[00:00:01.000 --> 00:00:02.000]  It's too...
[00:00:07.000 --> 00:00:11.000]  And it's time for humanity to stand up in the InfoWars and say,
[00:00:11.000 --> 00:00:13.000]  I don't know what's going to happen at the end of this,
[00:00:13.000 --> 00:00:17.000]  but you want to fight, you better believe you've got one!
[00:00:18.000 --> 00:00:24.000]  From the front lines of the Information War, it's Alex Jones.
[00:00:30.000 --> 00:00:45.000]  It's Tuesday, May 23rd, 2023.
[00:00:45.000 --> 00:00:48.000]  I'm your host, Alex Jones, reporting from the road.
[00:00:48.000 --> 00:00:53.000]  I'll be back, co-hosting with Owen, from the road, on Thursday.
[00:00:53.000 --> 00:00:57.000]  But again, today and tomorrow, I'll be filing video and audio reports
[00:00:57.000 --> 00:01:00.000]  on the major developments happening in our world.
[00:01:00.000 --> 00:01:03.000]  Coming up at the start of the next segment, I'm going to lay out
[00:01:03.000 --> 00:01:09.000]  what's really behind the big freak-out going on with the national debt,
[00:01:09.000 --> 00:01:11.000]  the debt ceiling, and the bonds.
[00:01:11.000 --> 00:01:13.000]  Will there be a big default?
[00:01:14.000 --> 00:01:19.000]  This is all part of what the globalists call the managed decline of the West.
[00:01:19.000 --> 00:01:23.000]  But really, it's a managed decline of the entire world,
[00:01:23.000 --> 00:01:27.000]  the destruction of the Western renaissance, our social contract,
[00:01:27.000 --> 00:01:35.000]  of upper mobility and a neglectorian system that believes in empowering humanity.
[00:01:35.000 --> 00:01:39.000]  This is a totalitarian, transhumanist death cult.
[00:01:39.000 --> 00:01:43.000]  And the reason humanity is in so much trouble is because
[00:01:43.000 --> 00:01:46.000]  we will not admit to ourselves that true evil exists,
[00:01:46.000 --> 00:01:50.000]  and when methodologies of total evil and corruption are being carried out against us,
[00:01:50.000 --> 00:01:54.000]  we will not come to grips with the fact that we are truly facing
[00:01:54.000 --> 00:01:58.000]  absolute, pure, total corruption,
[00:01:58.000 --> 00:02:03.000]  and a scientifically deployed system that is designed
[00:02:03.000 --> 00:02:06.000]  to bring in the end of humanity as we know it.
[00:02:06.000 --> 00:02:07.000]  That is what we're facing.
[00:02:07.000 --> 00:02:11.000]  And any rational person that even scientifically studies what's happening
[00:02:11.000 --> 00:02:12.000]  comes to that conclusion.
[00:02:12.000 --> 00:02:16.000]  Then you study the Bible and history and our enemies,
[00:02:16.000 --> 00:02:26.000]  and they are a consortium of people following what can only be called satanic principles.
[00:02:26.000 --> 00:02:29.000]  So Owen is about to host the rest of the segment.
[00:02:29.000 --> 00:02:31.000]  I'll be back to give you my breakdown on the other side.
[00:02:31.000 --> 00:02:34.000]  Please stay with us, because remember, folks,
[00:02:34.000 --> 00:02:37.000]  if you're watching or listening to this broadcast, you are the resistance.
[00:02:40.000 --> 00:02:42.000]  Thank you, Alex.
[00:02:42.000 --> 00:02:49.000]  We are now live in the Infowars World Headquarters in Austin, Texas.
[00:02:49.000 --> 00:02:53.000]  And we are just loaded with news today.
[00:02:53.000 --> 00:02:57.000]  False flags abound,
[00:02:57.000 --> 00:03:03.000]  and it's hard to separate what is real and what is fake.
[00:03:03.000 --> 00:03:07.000]  But, you know, as just kind of a starter for today,
[00:03:07.000 --> 00:03:10.000]  yesterday there was something fake,
[00:03:10.000 --> 00:03:12.000]  and, you know, over the years,
[00:03:12.000 --> 00:03:17.000]  you learn how to differentiate what's fake and what's real.
[00:03:17.000 --> 00:03:20.000]  It is perhaps harder now than ever,
[00:03:20.000 --> 00:03:22.000]  just because there is so much fake stuff out there.
[00:03:22.000 --> 00:03:26.000]  But it's like, there's real videos out there,
[00:03:26.000 --> 00:03:31.000]  for example, of on September 11th, 2001,
[00:03:31.000 --> 00:03:35.000]  and there's real videos out there of the Pentagon,
[00:03:35.000 --> 00:03:39.000]  and you can clearly tell there was no plane that went into the Pentagon.
[00:03:39.000 --> 00:03:41.000]  There's no plane damage. There's no plane parts.
