[00:00:00.209 --> 00:00:03.151]  What I do is I wait and I watch.
[00:00:03.151 --> 00:00:11.818]  I think that part of the reason why we're in the mess that we're in is because we keep reacting to the talking points that are being handed to us by the Mockingbird Media.
[00:00:11.818 --> 00:00:14.900]  Instead of creating our own talking points based on reality.
[00:00:16.431 --> 00:00:17.532]  Yes, exactly.
[00:00:17.532 --> 00:00:24.299]  So that's what we have to do, is we have to reinforce the objective reality that does in fact exist and everybody can perceive.
[00:00:24.299 --> 00:00:29.164]  So in psychological warfare, you have three different universes that the individual can live in.
[00:00:29.164 --> 00:00:36.492]  You have the collective objective universe, that's the universe that's real, that is actual the universe, the divine matrix.
[00:00:37.159 --> 00:00:40.482]  Then you have what's called a personal subjective universe.
[00:00:40.482 --> 00:00:49.550]  That is where a person's subconscious mind is programmed in a way that affects their conscious mind and they perceive reality not as it is, but as they are.
[00:00:49.550 --> 00:00:50.992]  As they think it is.
[00:00:50.992 --> 00:00:51.252]  Right?
[00:00:51.252 --> 00:00:54.415]  Based on things like neuro-linguistic programming, dogma, indoctrination, etc.
[00:00:55.195 --> 00:00:59.579]  Then the last one is what is called the Collective Subjective Universe.
[00:00:59.579 --> 00:01:07.426]  Now the Collective Subjective Universe is where you have a group of these people that all believe in the same personal subjective universe.
[00:01:07.426 --> 00:01:15.494]  And then they all are living in this echo chamber where they all agree with each other on this personal subjective universe and in the process they create
[00:01:16.014 --> 00:01:16.915]  We're good to go.
[00:01:34.705 --> 00:01:42.067]  So, this is also how it is that people like this, like this CNN producer, sending some more 19 years, luring a 9-year-old into sex acts.
[00:01:42.067 --> 00:01:49.048]  This is also how it is that these people that live in this personal subjective universe, or this collective subjective universe, cannot see these things.
[00:01:49.048 --> 00:01:50.168]  They don't want to see it.
[00:01:50.168 --> 00:01:52.769]  It causes too much of a cognitive dissonance.
[00:01:52.769 --> 00:01:53.649]  And it's painful.
[00:01:53.649 --> 00:01:56.910]  It is emotionally and mentally painful for these people.
[00:02:12.581 --> 00:02:16.705]  InfoWars, the most banned network in the world.
[00:02:41.974 --> 00:02:51.977]  We're good to go.
[00:03:02.395 --> 00:03:07.220]  Dr. Charles Morgan, former CIA and consultant for the U.S.
[00:03:07.220 --> 00:03:16.608]  Military on Neurological Sciences, spoke to cadets at West Point in 2018 about the current state of technology.
[00:03:16.608 --> 00:03:26.938]  He briefed the cadets on experiments from 2013 where humans were given neural implants that allowed them to control prosthetic arms with their thoughts.
[00:03:27.558 --> 00:03:34.605]  Experiments where one person can control another person's hands by just wearing an EEG cap.
[00:03:34.605 --> 00:03:38.849]  The person on the receiving end described the sensation as rather odd.
[00:03:38.849 --> 00:03:42.232]  So they didn't know anything until I saw my hand beginning to move.
[00:03:42.232 --> 00:03:48.819]  But the really fun part was that you're taking over somebody else's physical body with the mind of another human.
[00:03:49.617 --> 00:03:51.619]  So what do you think would be the next step?
[00:03:51.619 --> 00:03:56.325]  Experiments where information is transmitted from one mind to another.
[00:03:56.325 --> 00:03:59.889]  And experiments where memories are erased.
[00:03:59.889 --> 00:04:04.574]  Dr. Morgan admits they have the technology to target an individual person.
[00:04:04.574 --> 00:04:06.116]  But you can engineer anything.
[00:04:06.116 --> 00:04:09.340]  You can engineer a unique thing that would only kill one person in the world.
[00:04:09.992 --> 00:04:14.834]  And are working on the ability to erase the memories of any human they choose.
[00:04:14.834 --> 00:04:23.597]  Their biggest challenge five years ago was being able to interface with the hippocampus without the use of physical wires.
[00:04:23.597 --> 00:04:29.899]  And this is most likely one of the motivating factors for the deployment of the experimental COVID shots.
[00:04:30.863 --> 00:04:43.014]  Using dark field microscopy, Dr. Ana Maria Mijalcea has captured in great detail what the scientific literature describes as effective technologies that exist today.
[00:04:43.014 --> 00:04:46.076]  Technologies such as quantum dots.
[00:04:46.076 --> 00:04:54.684]  Quantum dots are nanotechnology with the ability to organize, operate, communicate, and build structures within the blood.
[00:04:55.279 --> 00:05:04.403]  They do so with a tunable photoluminescence that can be programmed to dictate various tasks via optical communication.
[00:05:04.403 --> 00:05:14.747]  The description and images displayed in the scientific literature, compared to what Mihael Sia's dark field microscopy has captured, are the same.
[00:05:14.747 --> 00:05:22.770]  You can see the quantum dots blinking in different colors, acting as the artificial intelligence directing the self-assembly around them.
[00:05:23.593 --> 00:05:28.080]  Bubbles are created within the blood that act as construction sites.
[00:05:28.080 --> 00:05:34.650]  Within these construction bubbles, the quantum dots organize the various materials into self-assembly.
[00:05:35.299 --> 00:05:42.702]  These technologies are being found in both the blood of the vaccinated and in the blood of the unvaccinated.
[00:05:42.702 --> 00:05:48.505]  Depending on what materials are needed, the quantum dots will trigger them into self-assembly.
[00:05:48.505 --> 00:05:55.568]  The COVID vaccines are full of rare and heavy metals to make all manner of nanotechnology.
[00:05:55.568 --> 00:06:00.050]  But it seems as if almost everyone is infected with some sort of nanotech.
[00:06:00.700 --> 00:06:10.768]  According to several research teams, everyone's blood seems to contain the materials required to produce the filaments and the latticework for this technology.
[00:06:10.768 --> 00:06:20.254]  Blood samples that appear to be healthy have been completely transformed by applying a mere 10 milliamps of electric current for two hours.
[00:06:20.254 --> 00:06:23.457]  And it looks as if we may have been infected by the chemtrails.
[00:06:24.156 --> 00:06:27.317]  Morgellons disease was first reported in 2002.
[00:06:27.317 --> 00:06:33.079]  It's when synthetic fibers or filaments are growing in a person's body.
[00:06:33.079 --> 00:06:38.321]  It has been theorized for decades that this was being spread via chemtrails.
