[00:00:00.000 --> 00:00:26.560]  InfoWars, tomorrow's news, today.
[00:00:26.560 --> 00:00:32.120]  When castles towered over vast landscapes and knights championed honor and valor, there
[00:00:32.120 --> 00:00:34.520]  came an unforeseen darkness.
[00:00:34.520 --> 00:00:40.400]  Amidst this impending doom stood a knight called Alex Jones, a brave and outspoken herald
[00:00:40.400 --> 00:00:41.880]  known as the Truth Sayer.
[00:00:41.880 --> 00:00:43.960]  Sir Alex Jones was not alone.
[00:00:43.960 --> 00:00:49.200]  In his most desperate hour in the battle against evil, a radiant light descended from the
[00:00:49.200 --> 00:00:50.200]  heavens.
[00:00:50.200 --> 00:00:54.680]  God, in all his glory and his legion of angels, stood by Alex's side.
[00:00:54.680 --> 00:00:59.880]  The battle raged on, but with every blow, Alex Jones' conviction grew stronger.
[00:00:59.880 --> 00:01:03.520]  With every truth he proclaimed, the demonic forces faltered.
[00:01:03.520 --> 00:01:09.080]  When the enemy was vanquished, Alex Jones swore a solemn oath that should the realm
[00:01:09.080 --> 00:01:16.200]  need him again, he would return, and now it's Alex Jones leading a full frontal assault
[00:01:16.200 --> 00:01:18.480]  on the satanic New World Order.
[00:01:18.480 --> 00:01:23.200]  Tune in at InfoWars.com forward slash show and share the link today.
[00:08:30.021 --> 00:08:41.301]  And it is just unspeakable what they are doing to us. Now I want to play you a
[00:08:41.301 --> 00:08:51.181]  clip of this doctor, medical doctor, and all he's doing is reading from mouse
[00:08:51.181 --> 00:09:02.301]  studies the University of Texas did. We covered three years ago where all the
[00:09:02.301 --> 00:09:12.541]  mice died an accelerated death and the average was two months. Some lived six
[00:09:12.541 --> 00:09:19.501]  months but they all had their life expectancies cut in about half when they
[00:09:19.501 --> 00:09:31.461]  gave them an mRNA cold virus so-called vaccine. So I get up about 6 a.m. this
[00:09:31.461 --> 00:09:34.661]  morning and I'm doing some research and I and I see this doctor talking about it
[00:09:34.661 --> 00:09:39.501]  and it reminded me of that and it made me mad because I remember covering it at
[00:09:39.501 --> 00:09:46.381]  nauseam but there's so much evil that even when you're on the front lines of
[00:09:46.381 --> 00:09:52.781]  the fight you compartmentalize it so you don't go crazy. And then I saw all
[00:09:52.781 --> 00:09:59.621]  these headlines out of ABC News, CBS News, all of them making the big announcement
[00:09:59.621 --> 00:10:06.141]  we told you was about to happen. Oh suddenly millions of people around the
[00:10:06.141 --> 00:10:11.581]  world including 450 plus thousand in the U.S. suddenly have been bitten by a tick
[00:10:11.581 --> 00:10:15.181]  even though they didn't find a tick even though a tick didn't bite them and they
[00:10:15.181 --> 00:10:20.941]  have the alpha-gal syndrome where they can't eat beef and other meats anymore
[00:10:20.941 --> 00:10:27.981]  particularly red meat. Now I have the CDC and FDA documents where they admit it's
[00:10:27.981 --> 00:10:39.021]  in the shot so they're doing it to us. Just like in October of 2020 the CDC and
[00:10:39.021 --> 00:10:45.501]  the FDA put out a prediction sheet of what they believe the shot would do in
[00:10:45.501 --> 00:10:53.261]  the adverse reactions and what did it say? It said Guillain-Barre heart attacks
[00:10:53.261 --> 00:11:00.901]  myocarditis blood clots strokes and dozens and dozens of other horrible
[00:11:00.901 --> 00:11:04.781]  things that happened because they knew exactly what they were doing because
[00:11:04.781 --> 00:11:13.621]  they tested on mice and monkeys and pigs and dogs. So at that point I get a little bit
[00:11:13.621 --> 00:11:18.821]  more angry and then I just look at article after article where they're
[00:11:18.821 --> 00:11:23.261]  rolling out how they're slowly killing us and their social engineering and
[00:11:23.261 --> 00:11:29.221]  their conditioning mutating our bodies and sitting back and laughing and they
[00:11:29.221 --> 00:11:34.461]  think it's funny. The globalists and the mad scientists that run it and their
[00:11:34.461 --> 00:11:40.661]  moronic minions aren't just cutting off our pipelines or dissolving our borders
[00:11:40.661 --> 00:11:45.501]  or human trafficking or promoting pedophilia or starting psychotic insane
[00:11:45.501 --> 00:11:51.341]  war with Russia they are bombarding us with radiation bombarding us with
[00:11:51.341 --> 00:11:55.341]  electromagnetic radiation bombarding us with chemtrails and geoengineering
[00:11:55.341 --> 00:12:01.421]  aluminum dioxide barium salts and also radioactive isotopes they are bombarding
[00:12:01.421 --> 00:12:05.821]  us with biological and chemical weapons to the shots and the shedding and they
[00:12:05.821 --> 00:12:11.141]  are just murdering people and the insurance actuaries show that death
[00:12:11.141 --> 00:12:17.701]  rate not in the care of COVID 2020 but as soon as those shots roll in in
[00:12:17.701 --> 00:12:24.661]  England in October boom straight up and in January in the US boom straight up and
[00:12:24.661 --> 00:12:30.421]  in January in Canada boom straight up in Australia in January of 2021 boom
[00:12:30.421 --> 00:12:36.421]  straight up I mean they start those shots baby and the deaths go boom and
[00:12:36.421 --> 00:12:42.301]  they're just still going right up and it's all confirmed and it's all there
[00:12:42.301 --> 00:12:47.021]  and it's all peer-reviewed and the spontaneous abortions and the
[00:12:47.021 --> 00:12:51.261]  miscarriages and the blood clots and the murder and then I sit there and watch
[00:12:51.261 --> 00:12:56.221]  leftist and minions of the system dropping dead left and right too but
[00:12:56.221 --> 00:13:03.101]  they all got that demonic dim glow to their eyes and those weird soy boy
[00:13:03.101 --> 00:13:14.621]  smiles on their faces their cultural spiritual suicide bombers and it's not
[00:13:14.621 --> 00:13:21.540]  normal to get up here and just laugh about all this and who look hunter
[00:13:21.540 --> 00:13:29.181]  Biden's in trouble oh look people are on Biden's tail now Biden is a chew toy for
[00:13:29.181 --> 00:13:33.101]  conservatives and populists to think we're battling something when all he is
[00:13:33.101 --> 00:13:43.781]  is a storm wall all he is is a seawall to block us off from the New World Order on
[00:13:43.781 --> 00:13:49.821]  the other side so we scrabble and scrape and claw and every other show
[00:13:49.821 --> 00:13:53.061]  including our website I can't even control it it's just everywhere nothing
[00:13:53.061 --> 00:13:58.061]  but a hundred by nothing but Joe Biden nothing but and it's a total distraction
[00:13:58.061 --> 00:14:01.061]  because he's meant to be there till they're ready to get rid of him which
[00:14:01.061 --> 00:14:06.861]  is very soon it needs to be about the UN and the World Health Treaty taking over
[00:14:06.861 --> 00:14:12.901]  your body and the 5g and the fentanyl and the human trafficking and the GMO and
[00:14:12.901 --> 00:14:17.781]  the nanotech they are battering ramming our bodies with
[00:14:17.781 --> 00:14:22.540]  y'all can sit here and show you Biden in a speech he gave yesterday I watched it
[00:14:22.540 --> 00:14:33.421]  this morning and it was all unintelligible hammered shit but he was
