[00:00:17.130 --> 00:00:18.231]  InfoWars.
[00:00:18.231 --> 00:00:19.432]  Tomorrow's news.
[00:00:19.432 --> 00:00:19.793]  Today.
[00:00:33.904 --> 00:00:36.185]  They set it up already.
[00:00:36.185 --> 00:00:37.265]  Hundreds of people around.
[00:01:15.658 --> 00:01:25.442]  AP, CNN, The New York Times, and Reuters had journalists embedded with Hamas during the October 7th massacre.
[00:01:25.442 --> 00:01:29.644]  A Reuters journalist photographed a lynch mob brutalizing an Israeli soldier.
[00:01:29.644 --> 00:01:32.305]  So grotesque, we actually couldn't show it to you there.
[00:01:32.305 --> 00:01:39.268]  And here, you can see two photographers snapping photos of terrorists as they're kidnapping a woman there that was on that motorcycle.
[00:01:39.268 --> 00:01:41.169]  These are not journalists.
[00:01:41.169 --> 00:01:43.049]  They are intelligence operatives.
[00:01:43.049 --> 00:01:44.410]  Do you have any
[00:01:45.546 --> 00:01:59.131]  People being paid by the CIA who are contributing to a major circulation, American Journal.
[00:01:59.131 --> 00:02:03.733]  We do have people who submit pieces to American Journals.
[00:02:03.733 --> 00:02:12.237]  Do you have any people paid by the CIA who are working for
[00:02:15.891 --> 00:02:20.332]  Television networks.
[00:02:20.332 --> 00:02:26.813]  This, I think, gets into the kind of, uh, getting into the details, Mr. Chairman, that I'd like to get into an executive session.
[00:02:26.813 --> 00:02:39.196]  Do you have any people being paid by the CIA who are contributing to the
[00:02:40.453 --> 00:02:47.485]  National News Services, AP and UPI.
[00:02:47.485 --> 00:02:52.793]  Well, again, I think we're getting into the kind of detail, Mr. Chairman, that I'd prefer to handle in Executive Session.
[00:02:53.416 --> 00:02:55.157]  These hearings are from 1975.
[00:02:55.157 --> 00:03:00.401]  CIA control of the media has been going on for quite some time now.
[00:03:00.401 --> 00:03:12.689]  The CIA has been exposed multiple times for creating terrorist groups, including Osama Bin Laden and Al Qaeda, who were used as an excuse for toppling governments in the Middle East.
[00:03:12.689 --> 00:03:17.252]  Israel and Mossad have been exposed for creating Hamas.
[00:03:17.252 --> 00:03:22.135]  In 2015, former Israeli diplomat Avi Primor admitted it on television.
[00:03:22.595 --> 00:03:27.281]  The Hamas is the Israeli government.
[00:03:27.281 --> 00:03:32.727]  We created the Hamas to create a weight against the Fatah at the time.
[00:03:33.550 --> 00:03:42.598]  If you look at the history, you'll find out that Hamas was encouraged and really started by Israel because they wanted Hamas to counteract Yasser Arafat.
[00:03:42.598 --> 00:03:48.302]  You could call it a false flag, the Hegelian dialectic, or problem-reaction-solution.
[00:03:48.302 --> 00:03:53.506]  But this is how wars are sold to the public, and it's been going on for all of recorded history.
[00:03:53.506 --> 00:03:56.989]  Explained here by the late, great Bill Hicks.
[00:03:56.989 --> 00:03:58.931]  We're like the bullies of the world, you know?
[00:03:58.931 --> 00:04:01.093]  We're like Jack Palance in the movie Shane.
[00:04:02.824 --> 00:04:05.947]  She's throwing the pistol at the sheepherder's feet.
[00:04:05.947 --> 00:04:06.487]  Pick it up.
[00:04:06.487 --> 00:04:11.091]  I don't want to pick it up, mister.
[00:04:11.091 --> 00:04:14.033]  You'll shoot me.
[00:04:14.033 --> 00:04:18.997]  Pick up the gun.
[00:04:18.997 --> 00:04:23.621]  I ain't looking for no trouble, mister.
[00:04:23.621 --> 00:04:26.663]  Pick up the gun.
[00:04:39.457 --> 00:04:41.543]  You are, sir.
[00:04:41.543 --> 00:04:42.626]  He had a gun.
[00:04:42.626 --> 00:04:46.898]  Reporting for InfoWars, this is Greg Reese.
[00:05:00.543 --> 00:05:05.966]  Please listen closely because this is life-changing critical information.
[00:05:05.966 --> 00:05:15.813]  The globalists are bombarding us with toxic chemicals hitting us in the air, the water, the food, the 5G, the poison shots, the shedding.
[00:05:16.793 --> 00:05:18.495]  GMO, all of it.
[00:05:18.495 --> 00:05:22.978]  But God's given us compounds through nature that do incredible things in our body.
[00:05:22.978 --> 00:05:26.741]  And one of the most important, if not the most important, is vitamin B12.
[00:05:26.741 --> 00:05:35.068]  We've got the best organic vitamin B12, Ultra 12, a bestseller finally back in stock after close to a year being sold out.
[00:05:35.068 --> 00:05:41.933]  You take it under the tongue for better absorption, and it's 40% off right now at InfoWarsTore.com.
[00:05:41.933 --> 00:05:44.916]  So go to InfoWarsTore.com right now.
[00:05:45.476 --> 00:05:52.319]  Get your Ultra 12 and other great products, and for 40% off, some products are even more, and it keeps the show on the air.
[00:05:52.319 --> 00:05:53.180]  That is a 360 win.
[00:05:53.180 --> 00:05:55.541]  The only way you lose is not taking action.
[00:05:55.541 --> 00:05:58.002]  I thank you all for your support, being part of this fight.
[00:05:58.002 --> 00:05:59.903]  Now go to infowarestore.com right now.
[00:06:11.158 --> 00:06:12.300]  Big Brother.
[00:06:12.300 --> 00:06:14.082]  Mainstream media.
[00:06:14.082 --> 00:06:16.005]  Government cover-ups.
[00:06:16.005 --> 00:06:17.688]  You want to stop tyranny?
[00:06:17.688 --> 00:06:19.350]  Well, so does he.
[00:06:19.350 --> 00:06:24.057]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:28.840 --> 00:06:33.223]  Some public schools and libraries invite drag queens, some dressed like torn demons, to read to young children.
[00:06:46.010 --> 00:06:49.932]  Parents' rights are limited, and children's rights are put ahead.
[00:06:49.932 --> 00:06:54.754]  So the child has the right to be protected from the parents when the parents behave badly.
[00:06:54.754 --> 00:07:02.517]  Yeah, that child molester just messed with the wrong preschooler.
[00:07:02.517 --> 00:07:04.958]  What makes you think he's a child molester?
[00:07:04.958 --> 00:07:07.219]  Oh, he's a child molester, believe me.
[00:07:07.219 --> 00:07:11.160]  Every child molester I've ever met looks just like that.
[00:07:11.160 --> 00:07:14.381]  And make gay little babies for the whole human race.
[00:07:14.381 --> 00:07:15.702]  Make a world we can live in.
[00:07:19.343 --> 00:07:19.483]  What?
[00:07:19.483 --> 00:07:20.144]  Hey, that's five.
[00:07:38.180 --> 00:07:43.664]  And then you have talk show stars like Joe Rogan who just wing it, who make it up as they go along.
[00:07:43.664 --> 00:07:53.551]  And because figures like Rogan are trusted by people that don't trust real newsrooms, we have a tension, a problem that's much bigger than Spotify, much bigger than any single platform, Kate.
[00:07:53.551 --> 00:07:59.315]  But that's what's at the heart of this r- Dammit, everything on TV sucks.
[00:07:59.315 --> 00:08:00.896]  It's Alex Jones.
[00:08:00.896 --> 00:08:01.457]  Cool.
[00:08:08.533 --> 00:08:09.194]  Fire!
[00:08:09.194 --> 00:08:09.936]  Fire!
[00:08:09.936 --> 00:08:11.078]  Fire!
[00:08:30.933 --> 00:08:31.774]  Hello?
[00:08:31.774 --> 00:08:33.135]  You piece of s***!
[00:08:33.135 --> 00:08:35.096]  You f***ing f***ing damn f***er!
[00:08:35.096 --> 00:08:36.417]  Listen, f***head!
[00:08:36.417 --> 00:08:38.518]  You have f***ing crossed the line!
[00:08:38.518 --> 00:08:41.160]  Get that through your f***ing damn f***ing head!
[00:08:41.160 --> 00:08:43.722]  Stop pushing your s***!
[00:08:43.722 --> 00:08:47.545]  We're gonna beat your ass!
[00:08:47.545 --> 00:08:50.927]  You just get that through your stinking traitorous heads!
[00:08:50.927 --> 00:08:55.330]  But I will stomp your head in if you start a fight with me, you thug scum!
[00:08:55.330 --> 00:08:56.711]  You think I'm a coward like you?! !
[00:08:58.840 --> 00:09:06.587]  Uh... I... We're... Uh... Whoa!
