[00:00:02.366 --> 00:00:03.166]  This is America.
[00:00:03.627 --> 00:00:06.627]  Psychological warfare against the population.
[00:00:08.468 --> 00:00:14.249]  Why are armored personnel carriers being delivered every week to small towns and big cities?
[00:00:14.549 --> 00:00:16.610]  Not for the military, but for police.
[00:00:17.150 --> 00:00:19.871]  Why is the military training with our police?
[00:00:21.231 --> 00:00:21.971]  And what's happening?
[00:00:23.452 --> 00:00:26.793]  My friends, this is the battle for the Republic.
[00:00:28.133 --> 00:00:31.154]  The enemy is not our police, and it's not our military.
[00:00:31.858 --> 00:00:42.363]  It is those that would pervert and twist the sacred oath that our peace officers and military folks have sworn to uphold.
[00:00:42.924 --> 00:00:47.266]  That is to defend our country from enemies foreign and domestic.
[00:00:48.900 --> 00:00:49.600]  It's up to you.
[00:00:50.061 --> 00:00:56.283]  This whole criminal system, this whole undertaking that we see unfolding before our eyes, is done through ignorance.
[00:00:56.563 --> 00:01:05.327]  It's up to you to educate the cop that lives next door to you, or to talk to your friend who's a captain, or a colonel, or a general, or a private in the United States military.
[00:01:05.727 --> 00:01:11.089]  It's up to you to educate them about what's happening, and refresh their memory about history.
[00:01:11.529 --> 00:01:13.270]  We are repeating what happened in 1933 Germany.
[00:01:13.290 --> 00:01:13.530]  My friends,
[00:01:16.903 --> 00:01:17.544]  It's up to you.
[00:01:17.564 --> 00:01:20.746]  In the next two hours, again, you're going to see the documentation.
[00:01:21.367 --> 00:01:22.127]  It's irrefutable.
[00:01:22.688 --> 00:01:27.972]  And I challenge you to research the information you'll see borne out in this documentary.
[00:01:29.873 --> 00:01:32.556]  Here are just a few of the scenes you'll see in the next two hours.
[00:01:33.096 --> 00:01:37.520]  So sit back and educate yourselves about what's happening to our nation.
[00:01:38.180 --> 00:01:40.882]  As I said, it is a battle for the Republic.
[00:01:41.483 --> 00:01:42.163]  How you doing, sir?
[00:01:44.585 --> 00:01:45.266]  Having a good time?
[00:01:46.184 --> 00:01:46.444]  Yes.
[00:01:46.885 --> 00:01:48.046]  How's it going over at the camp?
[00:01:48.686 --> 00:01:49.647]  Oh, pretty well.
[00:01:50.648 --> 00:01:53.970]  The guys are doing a bit of exercises now.
[00:01:55.011 --> 00:01:56.372]  They're doing pretty well.
[00:01:56.653 --> 00:02:00.075]  So the camp situation is going good with the disarming and things?
[00:02:00.095 --> 00:02:00.416]  Oh, yeah.
[00:02:00.456 --> 00:02:02.737]  Because we saw them over there disarming people.
[00:02:02.758 --> 00:02:03.738]  Is that what the exercise is?
[00:02:04.279 --> 00:02:06.160]  They're exercising now, yeah.
[00:02:06.220 --> 00:02:06.601]  Fantastic.
[00:02:06.621 --> 00:02:07.361]  Where are you from, sir?
[00:02:07.401 --> 00:02:08.242]  From Holland.
[00:02:08.722 --> 00:02:09.003]  Oh, okay.
[00:02:09.023 --> 00:02:10.224]  On the Dutch Marines.
[00:02:10.804 --> 00:02:12.403]  I am dancing in front of you.
[00:02:12.403 --> 00:02:13.403]  Come on.
[00:02:13.403 --> 00:02:14.403]  Four.
[00:02:14.403 --> 00:02:15.403]  Three.
[00:02:15.403 --> 00:02:17.403]  [WATER SPLASHING]
[00:02:17.403 --> 00:02:23.403]  [GRUNTING]
[00:02:23.403 --> 00:02:24.903]  Get off!
[00:02:24.903 --> 00:02:26.903]  Get off!
[00:02:26.903 --> 00:02:29.403]  Fuck!
[00:02:29.403 --> 00:02:30.403]  Fuck!
[00:02:30.403 --> 00:02:31.903]  Fuck!
[00:02:31.903 --> 00:02:34.403]  Fuck!
[00:02:34.403 --> 00:02:35.903]  No!
[00:02:35.903 --> 00:02:37.903]  Please try!
[00:02:37.903 --> 00:02:38.903]  Please!
[00:02:38.903 --> 00:02:39.903]  [RECORD SCRATCH]
