[00:00:00.149 --> 00:00:01.469]  Okay, he just got to the phone.
[00:00:01.469 --> 00:00:02.190]  That's good.
[00:00:02.190 --> 00:00:05.611]  Good to have him joining us.
[00:00:05.611 --> 00:00:08.452]  Jack McClam, police and military against the New World Order.
[00:00:08.452 --> 00:00:16.114]  Had you on many times and done a lot of great work and we'd love to get your in-depth analysis of what's happening right now inside the New World Order.
[00:00:16.114 --> 00:00:17.755]  Thanks for joining us.
[00:00:17.755 --> 00:00:21.296]  Well, it's very interesting you would call me this morning, Alex.
[00:00:21.296 --> 00:00:22.797]  Hope you're doing fine there, brother.
[00:00:22.797 --> 00:00:24.497]  Good to be on with you again.
[00:00:24.497 --> 00:00:25.417]  Absolutely.
[00:00:25.417 --> 00:00:26.018]  Yes, there's...
[00:00:30.116 --> 00:00:48.001]  As you will understand Alex, I'm limited in what I can say because for 20 years we've been putting out our military and police publication and we're fortunate to be connected with some of the higher ups in the military and in law enforcement.
[00:00:48.001 --> 00:00:56.563]  Last night I began to get some calls, coded calls, because we have a way to communicate with some of these people.
[00:00:57.429 --> 00:01:01.372]  That's not on a landline.
[00:01:01.372 --> 00:01:24.206]  There's some things that caused me to start calling our people who have left our eleven Christian constitutional communities up here and gone to other parts of the United States to work and to make money in their professions while they're building their Christian constitutional homes up here in our Christian constitutional communities.
[00:01:26.485 --> 00:01:34.509]  We've put out a call to those that are in far off places to be ready to move out in two or three hours out of where they're located.
[00:01:34.509 --> 00:01:35.390]  Well, that's what I've said.
[00:01:35.390 --> 00:01:36.791]  We've got about two hours.
[00:01:36.791 --> 00:01:46.116]  If there's one smallpox outbreak anywhere in the Western Hemisphere, the government has said in every major publication, all cities will be shut down, mass quarantines, troops rolling in.
[00:01:46.116 --> 00:01:53.380]  And they said last year, if our troops are, quote, tied down in a foreign operation on the war on terror, foreign assets will be used.
[00:01:53.380 --> 00:01:54.981]  I'm sure you've seen the AP reports.
[00:01:55.461 --> 00:02:05.645]  There's been dozens where they say that they will quote, use foreign assets here domestically, and they've signed deals with Mexico and Canada to bring in quote, peacekeepers.
[00:02:05.645 --> 00:02:19.731]  Your analysis on this, of course you're a police officer, retired police officer yourself, a veteran yourself, exactly what's the info you're getting as we move into this final phase of the takeover by the New World Order?
[00:02:19.731 --> 00:02:24.953]  Well, it is time that everybody prepare to leave their homes within two hours
[00:02:25.821 --> 00:02:31.587]  Three hours at the very most or 15 minutes, Alex, if they can do it, they'll be much better off.
[00:02:31.587 --> 00:02:41.416]  But we were just speaking with our people this morning and all throughout the night to be ready because things are to go critical real quick here.
[00:02:41.416 --> 00:02:50.085]  It is the plan of the government to lock the cities as tight as they can so that the people within those cities will not get out.
[00:02:50.669 --> 00:03:08.079]  That's why there's been a major, major work going on for the last 10 years, and specifically within the last year, to put those giant barricades up in the middle of the highways to where people, even in SUVs, can't turn around and get off the highway when they're on there.
[00:03:08.980 --> 00:03:13.423]  Uh, and many other things are being done to be sure that people can't get out of the cities.
[00:03:13.423 --> 00:03:31.515]  Uh, uh, the people may know, being on, listening to your show, you probably already told them that in Arizona and other places in the desert and, uh, uh, they've planted sensors in the desert to where people can't even walk out without being, uh, heard, uh, because of these sensors in the ground.
[00:03:32.159 --> 00:03:32.740]  Yeah, I think so.
[00:03:53.271 --> 00:03:56.455]  And better if it's one hour or two hours, then you're able to leave.
[00:03:56.455 --> 00:03:59.298]  Yes, if they haven't seen Red Dawn, that's the one that is probably
[00:04:14.219 --> 00:04:19.720]  Uh, shows the very scenario in many aspects of what they have to be prepared for.
[00:04:19.720 --> 00:04:26.642]  Uh, so I'm glad you brought that up, but there's a couple other things we need to talk about Alex here, if you don't mind.
[00:04:26.642 --> 00:04:34.163]  And that is from a police officer and a military viewpoint about barricade situation.
[00:04:34.163 --> 00:04:41.725]  If any of your listeners out there, as many of our friends have over the years, been fooled into believing that they can stay at home
[00:04:42.375 --> 00:04:58.087]  And they can barricade their homes in such a fashion with concrete embutments and all kinds of expensive tricks and changes into their home to where they can survive in their home by themselves with their family.
[00:04:58.087 --> 00:04:59.689]  They are mistaken.
[00:04:59.689 --> 00:05:02.271]  They are very mistaken.
[00:05:02.271 --> 00:05:11.518]  Believe me, as a law enforcement officer in a major city for many years, we know when people are trapped in a barricade situation in their own home,
[00:05:12.054 --> 00:05:13.435]  They always lose.
[00:05:13.435 --> 00:05:19.517]  I don't care if they got a year's worth of food or two years worth of food and water stored up in there.
[00:05:19.517 --> 00:05:20.978]  They're going to lose.
[00:05:20.978 --> 00:05:29.042]  You know, the old military thing we were trained with during the Vietnam War is you have to be able to shoot, move, and communicate.
[00:05:29.042 --> 00:05:30.522]  And you can't do that.
[00:05:30.522 --> 00:05:31.903]  You cannot communicate.
[00:05:31.903 --> 00:05:36.245]  You cannot move once they have you trapped like a rat in your own home.
[00:05:37.034 --> 00:05:41.836]  So that is a very bad idea unless there's a local riot.
[00:05:41.836 --> 00:05:45.777]  That's the only thing a barricaded home would be good for if it's a local riot.
[00:05:45.777 --> 00:05:58.322]  We saw that with the Korean and Vietnamese shopkeepers in the LA riots when the police stood back and then it was the shopkeepers on top of their stores that maintained some semblance of order.
[00:05:58.322 --> 00:06:02.203]  Yes, and there's something else too that we've seen in the major cities.
[00:06:02.859 --> 00:06:26.396]  And also, we know will happen because of our military friends and top levels of the military that communicate with us in coded form, I won't say any more than that, communication, is that what they expect is that the military will not have to do most of the work to take out most of the people that have survival goods in their own home.
[00:06:27.088 --> 00:06:43.756]  Because the hordes of people fleeing those areas, or even coming into your areas that you are out of town 20, 30, 40, 50 miles, is that the hordes of people that do get out, and there will be some people outside the gates when the gates close,
[00:06:44.420 --> 00:06:44.800]  That's right.
[00:07:04.540 --> 00:07:08.723]  They knew that the Bible told them and God told them to help their neighbor.
[00:07:08.723 --> 00:07:22.554]  But today, in a perfect example, those listening to us in the major cities know that your biggest threat, when you take a break and go to the grocery store, is that your neighbor is going to come in and take everything you've got while you're at the grocery store.
[00:07:22.554 --> 00:07:26.937]  So this is not the same society as it was during the Great Depression.
[00:07:26.937 --> 00:07:30.360]  So your biggest threat, and the government knows this, is that if they
[00:07:31.010 --> 00:07:46.621]  Put the fear in the people enough that those that bolt and get outside the perimeters will just absolutely scour the land and take you and your family and destroy what you've got, take in, hopefully not kill you.
[00:07:46.621 --> 00:08:00.010]  But you need to get out to areas, Alex, where there are hundreds of other like-thinking people that can gather together in secure areas way outside the population centers
[00:08:00.481 --> 00:08:11.215]  With hundreds of families, or as many families as you can get, to protect your backside from the hordes of people that will be coming your way to take what you have.
[00:08:11.215 --> 00:08:18.705]  Now Jack, let me stop you for just a second because a lot of people are joining us and they're like, this sounds ridiculous and this is sky is falling stuff.
[00:08:20.126 --> 00:08:25.610]  I'm looking at their own reports, their own statements, and they're going to cause the panic.
[00:08:25.610 --> 00:08:38.961]  If there's a single smallpox outbreak, and now they're saying that this is inevitable, it's going to happen, not a question of if and when, we hope that doesn't happen, but if the globals decide to create this fear wave, they say they already have troops,
[00:08:39.401 --> 00:08:45.204]  And state police pre-deployed in every city to shut down all highways and access roads.
[00:08:45.204 --> 00:08:46.985]  That will create the hysteria.
[00:08:46.985 --> 00:08:50.626]  They say riots will break out within four to ten days.
[00:08:50.626 --> 00:09:02.012]  For sure, ladies and gentlemen, the government will then pose as our saviors, bring troops in to restore order, and then we'll never emerge from that police state scenario.
[00:09:02.731 --> 00:09:04.532]  Right on target, Eric.
[00:09:04.532 --> 00:09:05.753]  Alex, right on target.
[00:09:05.753 --> 00:09:10.036]  That's exactly what they're going to do and it's all planned and it's on purpose.
[00:09:10.036 --> 00:09:15.839]  They know that they don't need to have a lot of numbers in military in here.
[00:09:15.839 --> 00:09:22.043]  Of course, they're sending all of our military and even many of our police officers out of the country as fast as they can right now.
[00:09:22.043 --> 00:09:26.766]  And they've said if they're tied down fighting a war on terror, foreign assets will be used.
[00:09:26.766 --> 00:09:27.266]  That's right.
[00:09:27.346 --> 00:09:46.252]  But see, they don't need many troops in these large population centers because they're going to allow the riots to go on for days and days and weeks until the good people are just dispatched by the mad, angry, non-Christian rioters out there, as we saw on our own television during the L.A.
[00:09:46.252 --> 00:09:46.913]  riots.
[00:09:46.913 --> 00:09:50.154]  Where the police were told to stand down.
[00:09:50.154 --> 00:09:50.854]  That's right.
[00:09:50.854 --> 00:09:53.135]  The police will stand down.
[00:09:53.135 --> 00:09:56.996]  Many of our good brothers and sisters know this and they don't want to stand down.
[00:09:57.662 --> 00:10:03.407]  But if they get out there by themselves trying to uphold their oath and do their duty, they're gone.
[00:10:03.407 --> 00:10:05.329]  Jack, have you seen my film, The Takeover?
[00:10:06.199 --> 00:10:07.580]  I have not Alex, no.
[00:10:07.580 --> 00:10:09.101]  Have you seen Police State 2000?
[00:10:09.101 --> 00:10:09.922]  Yes I have.
[00:10:09.922 --> 00:10:16.506]  Well I need to send you the takeover because the first 30 minutes is the local newscast, news articles, interviews with police in Seattle.
[00:10:16.506 --> 00:10:25.553]  And they've got detectives saying we were ordered to let them loot, to let them burn, and then we don't know why they housed the 50 looters and anarchists.
[00:10:25.553 --> 00:10:28.294]  Well it turned out they were working for the White House.
[00:10:28.294 --> 00:10:31.677]  This is confirmed Seattle newspapers video.
[00:10:32.437 --> 00:10:39.079]  So they're going to have, they already have pre-deployed folks, just like the communist model, who create mayhem, don't they?
