[00:00:05.783 --> 00:00:06.423]  Big Brother.
[00:00:07.084 --> 00:00:08.124]  Mainstream media.
[00:00:08.864 --> 00:00:09.944]  Government cover-ups.
[00:00:10.604 --> 00:00:11.444]  You want answers?
[00:00:12.185 --> 00:00:13.105]  Well, so does he.
[00:00:13.765 --> 00:00:17.446]  He's Alex Jones on the GCN Radio Network.
[00:00:17.926 --> 00:00:22.067]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.127 --> 00:00:23.487]  Music
[00:00:38.507 --> 00:00:39.608]  Hello, my friends.
[00:00:39.688 --> 00:00:43.090]  It is already Friday, the 15th day of October 2004.
[00:00:44.470 --> 00:00:45.651]  I'm your host, Alex Jones.
[00:00:45.671 --> 00:00:46.912]  Thank you so much for joining us.
[00:00:47.312 --> 00:00:49.874]  We're here Monday through Friday from 11 a.m.
[00:00:49.894 --> 00:00:50.634]  until 2 p.m.
[00:00:51.154 --> 00:01:01.060]  Central Standard Time, back from 9 to midnight Central Standard Time, going out on a wonderful list of brave and caring AM and FM stations, simulcasting on the Internet.
[00:01:01.660 --> 00:01:04.203]  Again, that's 9.475 during the day and 3210 at night.
[00:01:19.560 --> 00:01:30.086]  Big broadcast lined up for you today, not just all the news about the election and about the government saying there's impending terror attacks coming, but also Dr. John Breeding will be joining us.
[00:01:30.506 --> 00:01:45.255]  Yesterday we talked about state hearings that were held a few weeks ago where the state's doctors, psychiatrists, were saying that, well, the reason half the foster care children in Texas, and it's higher in other states where the average is about 53%,
[00:01:46.707 --> 00:01:47.568]  I think we're good to go.
[00:01:47.588 --> 00:01:48.710]  I think we're good to go.
[00:02:00.629 --> 00:02:05.553]  Expert on the New World Order and their activities will be here talking about the National ID Card.
[00:02:06.173 --> 00:02:12.838]  And then Declan McCullough, who writes for CNET News and many other big publications, will also be talking about that with us.
[00:02:12.898 --> 00:02:13.719]  It's a big deal.
[00:02:14.139 --> 00:02:15.080]  It's very important.
[00:02:15.140 --> 00:02:16.341]  It could pass any day now.
[00:02:16.881 --> 00:02:18.423]  It's passed out of the House and the Senate.
[00:02:18.463 --> 00:02:25.109]  It's in conference committee right now as they merge the two different pieces of legislation.
[00:02:25.169 --> 00:02:30.774]  Quote from the advisements of the 9-11 whitewashed police state promoting commission.
[00:02:31.735 --> 00:02:34.217]  So, that is coming up.
[00:02:35.098 --> 00:02:39.342]  Indymedia seizures a troll for Genoa G8 trial cover-up.
[00:02:40.111 --> 00:02:53.522]  Now we have found out, according to the Register and other publications, mainstream publications, that a foreign government ordered the FBI to grab 20 websites in this country, highly respected indie media sites.
[00:02:54.082 --> 00:02:59.006]  A lot of great journalists, even mainstream journalists, have quit and gone to work with these folks.
[00:03:00.748 --> 00:03:04.411]  Back a few years ago, remember in the Italy summit,
[00:03:05.333 --> 00:03:05.833]  We're good to go.
[00:03:27.870 --> 00:03:36.094]  And I say our websites, because Indy Media, any of us can go post things on them in their discussion areas, and I've used them.
[00:03:36.134 --> 00:03:39.075]  They carry a lot of my stuff, and it's our websites.
[00:03:39.695 --> 00:03:54.362]  So it's very, very serious, but the good news is Indy Media gets its servers back in court, and that's how they found out that this was the Italian government, the fascista government over there.
[00:03:55.662 --> 00:03:57.063]  Very, very serious situation.
[00:03:58.490 --> 00:03:59.351]  Leaders in D.C.
[00:03:59.411 --> 00:04:04.494]  mock Senator Dayton, how he evacuated three days ago from the U.S.
[00:04:04.554 --> 00:04:09.357]  Capitol, citing internal security reports he'd been given of impending attacks on the Capitol.
[00:04:10.477 --> 00:04:11.098]  Well, yeah.
[00:04:11.458 --> 00:04:13.719]  Three months ago, again, the feds told U.S.
[00:04:14.079 --> 00:04:16.841]  News & World Report that the Capitol would be destroyed.
[00:04:16.881 --> 00:04:17.962]  I think I would evacuate.
[00:04:17.982 --> 00:04:20.043]  Feds tell me your building will be destroyed.
[00:04:20.083 --> 00:04:20.623]  It will happen.
[00:04:20.683 --> 00:04:21.484]  I would leave.
[00:04:22.358 --> 00:04:29.203]  But they're saying, how dare him leave, and he's not allowed to talk about the threat he was given by Senator Frisk, the leader of the Senate, and he's very evil, they're saying.
[00:04:29.604 --> 00:04:34.247]  Meanwhile, Senator Byrd backs Dayton's decision to close his offices.
[00:04:34.628 --> 00:04:35.989]  This is out of the Associated Press.
[00:04:37.430 --> 00:04:45.316]  Families of 9-11 victims are looking to sue the government because they've dumped their bone fragments and ashes into the city landfill.
[00:04:45.336 --> 00:04:47.037]  They're not very happy about that.
[00:04:47.798 --> 00:04:51.501]  And now they're telling you how great the microchips will be under your skin to stop Al-Qaeda.
[00:04:52.153 --> 00:04:53.395]  That's the tip of the iceberg.
[00:04:54.036 --> 00:04:54.957]  You want to stay with us?
[00:04:55.698 --> 00:04:56.659]  We'll be right back.
[00:04:56.699 --> 00:04:58.421]  Don't forget, prisonplanet.tv.
[00:04:58.461 --> 00:04:59.763]  Got some new stuff posted there.
[00:05:02.146 --> 00:05:05.010]  What really happened September 11th, and who stands to gain?
[00:05:05.735 --> 00:05:07.036]  Alex Jones here, America.
[00:05:07.236 --> 00:05:12.978]  We answer these vital questions and much, much more in my newest and most explosive documentary yet, 9-1-1, The Road to Tyranny.
[00:05:13.239 --> 00:05:18.501]  In two hours and 24 minutes, we point a searing light of truth on the history of problem-reaction solution.
[00:05:18.801 --> 00:05:22.903]  Brace yourselves as the New World Order program for world domination is blown wide open.
[00:05:23.103 --> 00:05:26.887]  A nightmarish post-September 11th world, where the military and the police are merged.
[00:05:27.148 --> 00:05:31.793]  Witnesses' populations beg for national ID cards, and yes, even implantable microchips.
[00:05:31.893 --> 00:05:38.160]  Troops on the streets, foreign NATO aircraft in the skies, psychotic UN population control plans, and much, much more.
[00:05:38.200 --> 00:05:40.022]  This is one film you cannot afford to miss.
[00:05:40.482 --> 00:05:42.584]  Order 9-1-1 The Road to Tyranny today.
[00:05:42.665 --> 00:05:45.247]  Call toll-free 1-888-253-3139.
[00:05:45.387 --> 00:05:49.071]  That's 1-888-253-3139.
[00:05:49.812 --> 00:05:54.196]  Or order online at infowars.com or infowars.net.
[00:05:54.317 --> 00:05:56.299]  You see big brothers afraid of this documentary.
[00:05:56.539 --> 00:05:58.080]  Order today and spread the word.
[00:05:58.241 --> 00:06:00.323]  America's future depends on the truth getting out.
[00:06:02.771 --> 00:06:03.792]  The war on terrorism.
[00:06:04.133 --> 00:06:06.917]  Will it be fought overseas or will it affect us here at home?
[00:06:07.197 --> 00:06:11.363]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:06:11.783 --> 00:06:12.604]  So what do you do?
[00:06:12.925 --> 00:06:17.491]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:06:17.971 --> 00:06:20.093]  With a little know-how, it's not that difficult.
[00:06:20.593 --> 00:06:35.305]  Sheltering in Place, surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:06:35.345 --> 00:06:42.391]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:06:42.731 --> 00:06:47.153]  Get this critical video every American needs for only $29 plus shipping.
[00:06:47.573 --> 00:06:49.574]  Order by calling New Millennium today at 888-803-4438 That's 888-803-4438
[00:07:00.785 --> 00:07:04.489]  You've heard about PAWS from BioOx International and its bubble-up technology.
[00:07:04.749 --> 00:07:09.054]  But have you heard about BioOx Citrus Concentrate that also uses bubble-up technology?
[00:07:09.294 --> 00:07:16.222]  BioOx Citrus Concentrate harnesses the power of oxygen to safely attack and remove dirt, stains, odors, and soils at the source.
[00:07:16.602 --> 00:07:23.247]  It's a sad fact, but in just seconds, your carpet can be soiled with mud, your sofa ruined by pizza sauce, or your walls by color crayons.
[00:07:23.568 --> 00:07:27.030]  But in minutes, you can remove those problems with BioWalk Citrus Concentrate.
[00:07:27.050 --> 00:07:27.851]  Call 877-289-7297 or visit BioWalk.com.
[00:07:32.134 --> 00:07:39.297]  Bubble Up Technology is part of the reason BioOx International will guarantee you will have a cleaner and healthier home after using BioOx Citrus Concentrate.
[00:07:39.357 --> 00:07:46.060]  You can throw out all those bottles of harmful cleaning chemicals because it's just better to use BioOx Citrus Concentrate to clean your home.
[00:07:46.280 --> 00:07:50.943]  Call 877-289-7297 or visit BioOx.com.
[00:07:51.143 --> 00:07:53.664]  That's B-I-O-O-X dot com.
[00:07:53.824 --> 00:07:58.486]  When you see the difference, you'll know why it's just better to use BioOx family of products.
[00:08:02.131 --> 00:08:07.734]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:13.777 --> 00:08:18.119]  All right, my friends, we're now 8 minutes and 15 seconds into this first hour.
[00:08:18.159 --> 00:08:24.783]  Dr. John Breeding will be joining us to talk about how the government psychiatrists are now admitting that
[00:08:25.783 --> 00:08:27.884]  Taking people's children and forcibly drugging them.
[00:08:27.944 --> 00:08:32.766]  Half of the foster children plus in the country are on these drugs.
[00:08:32.826 --> 00:08:34.967]  They say it's because they're inferior.
[00:08:35.487 --> 00:08:36.307]  They're subhuman.
[00:08:38.068 --> 00:08:39.829]  It's eugenics right out in the open.
[00:08:40.709 --> 00:08:43.370]  So we'll talk to him for about 30 minutes at the bottom of this hour.
[00:08:43.430 --> 00:08:44.911]  Then Charlotte Iserby again, former...
[00:08:45.735 --> 00:08:50.616]  Deputy head of the Department of Education, number two position there in that department under Ronald Reagan.
[00:08:51.016 --> 00:08:54.197]  Talk about the national ID card and the state of education as well.
[00:08:54.817 --> 00:09:01.238]  Then the third hour, Declan McCullough from CNET News, also talking about the national ID card legislation.
[00:09:01.278 --> 00:09:01.959]  It's a big deal.
[00:09:01.979 --> 00:09:03.039]  We're going to talk a lot about it.
[00:09:03.819 --> 00:09:12.781]  And of course, throughout the broadcast, an important chronicle, or you could say smattering, of the most important news and information.
[00:09:14.051 --> 00:09:17.754]  Before I get into crude oil, hitting $55 a barrel.
[00:09:18.635 --> 00:09:20.316]  He told you Monday, looks like it's going to go to $60.
[00:09:22.458 --> 00:09:26.100]  And then we'll get into the future of face and identity checking.
[00:09:27.021 --> 00:09:28.342]  Your new National ID card.
[00:09:28.402 --> 00:09:28.442]  U.S.
[00:09:28.742 --> 00:09:31.164]  military pounds targets in and around Fallujah.
[00:09:32.545 --> 00:09:35.628]  Also, rapper Blacks cheered when 9-11 happened.
[00:09:36.385 --> 00:09:40.228]  I don't know what blacks you know, Mr. Racist, but the blacks I know certainly didn't cheer.
[00:09:40.248 --> 00:09:42.530]  A lot of black people died in those buildings.
[00:09:43.250 --> 00:09:52.057]  But disgusting racism, just the most venomous type of black Nazi activity you can imagine.
[00:09:52.898 --> 00:09:53.618]  Out of control.
[00:09:53.698 --> 00:09:54.739]  We'll be going over that.
[00:09:55.440 --> 00:10:00.864]  Also, Indy Media seizures a troll for Genoa G8 trial cover-up.
[00:10:00.884 --> 00:10:01.925]  This is out of the Registered.
[00:10:02.597 --> 00:10:04.538]  We're now learning why they grabbed the servers.
[00:10:05.139 --> 00:10:12.683]  A foreign government for no reason, and it turns out it's because reporters for that group were suing the Italian government for beating the living daylights out of them.
[00:10:12.923 --> 00:10:16.966]  They actually killed a lot of people, ran over them with armored vehicles, backed back over them on video.
[00:10:18.506 --> 00:10:22.429]  They would beat people so severely that a lot of them died.
[00:10:23.229 --> 00:10:26.351]  So that is coming up as well.
[00:10:27.232 --> 00:10:28.592]  Also, again, leaders in D.C.
[00:10:28.632 --> 00:10:31.054]  are mocking Senator Dayton, who's pulled out of the Capitol.
[00:10:31.949 --> 00:10:37.352]  But Senator Byrd says he's doing the right thing, so we'll cover that as well.
[00:10:37.372 --> 00:10:52.482]  And we're working today on getting some congressman or woman, some senator on the show, the broadcast, to maybe pry some of the details of this national security briefing they were given, but they're not allowed to talk about, a month ago.
[00:10:52.502 --> 00:10:55.304]  Of course, I think we know what that briefing was.
[00:10:55.824 --> 00:10:57.545]  Unnamed White House source told U.S.
[00:10:57.585 --> 00:10:58.466]  News and World Report,
[00:10:59.142 --> 00:11:03.083]  In the Associated Press three months ago that the Capitol, quote, will be destroyed.
[00:11:03.663 --> 00:11:05.084]  Again, I'm not saying that.
[00:11:05.124 --> 00:11:06.064]  Let's make this clear.
[00:11:06.985 --> 00:11:08.325]  It's the government saying it.
[00:11:08.385 --> 00:11:12.006]  We have that article, several of those articles, where they said it posted.
[00:11:14.367 --> 00:11:26.551]  And they've told Homeland Security, state police, police, military, everybody I know that there's going to be a big attack and that the big date is from October 1st to November 2nd.
[00:11:27.461 --> 00:11:30.122]  And then the alert continues through the new year.
[00:11:30.502 --> 00:11:33.483]  Are they drilling us for martial laws as another fake terror alert?
[00:11:33.863 --> 00:11:35.003]  I certainly hope it is.
[00:11:35.584 --> 00:11:36.884]  Talk about the lesser of two evils.
[00:11:36.924 --> 00:11:38.484]  I hope they're just issuing fake terror alerts.
[00:11:38.825 --> 00:11:39.865]  I hope it's not real.
[00:11:40.825 --> 00:11:48.147]  I hope the globalists don't have a group of patsies about to blow something up who think they're Al-Qaeda and don't know their bosses are CIA.
[00:11:48.528 --> 00:11:54.189]  Or I hope they don't have a group of Russian spitsnats posing as Chechnyans about to unleash suitcase nukes.
[00:11:55.530 --> 00:11:56.310]  Oh, by the way,
[00:11:57.145 --> 00:11:58.747]  I've gotten hundreds of emails.
[00:11:58.827 --> 00:12:00.228]  I've gotten a bunch of people calling.
[00:12:01.209 --> 00:12:05.112]  Why am I not talking about Bill O'Reilly and the sexual harassment suit?
[00:12:06.633 --> 00:12:08.875]  I read about five pages of it and then quit reading.
[00:12:09.176 --> 00:12:10.277]  Twenty pages of the suit.
[00:12:11.318 --> 00:12:12.358]  And I'm not going to talk about it.
[00:12:12.979 --> 00:12:14.080]  Now, we're not going to censor you.
[00:12:14.120 --> 00:12:15.301]  If you want to talk about it, we can.
[00:12:15.361 --> 00:12:19.965]  But we've got potential Chechnyans or somebody else with suitcase nukes in the country.
[00:12:21.166 --> 00:12:23.068]  We've got senators evacuating the Capitol.
[00:12:24.194 --> 00:12:29.935]  We've got every different agency I have contacts with saying they're told it's going to happen, martial law, the whole nine yards.
[00:12:31.235 --> 00:12:33.436]  We've got crude oil at $55 a barrel.
[00:12:33.496 --> 00:12:36.556]  We've got the high-tech job layoffs accelerating.
[00:12:37.676 --> 00:12:41.437]  We've got mass programs for a new national ID card to have a job.
[00:12:41.837 --> 00:12:46.158]  Federal programs to forcibly psychologically test every American about the pass.
[00:12:48.578 --> 00:12:51.919]  I would be embarrassed if I talked about Bill O'Reilly.
[00:12:52.722 --> 00:12:53.122]  We're good to go.
[00:13:16.141 --> 00:13:16.881]  Throw away the key?
[00:13:16.961 --> 00:13:19.102]  Okay, then throw your pill head in there.
[00:13:19.142 --> 00:13:20.842]  I don't believe you should go to prison, Mr. Limbaugh.
[00:13:20.862 --> 00:13:21.662]  I think you are sick.
[00:13:21.982 --> 00:13:23.123]  I know you did hurt your back.
[00:13:23.143 --> 00:13:24.163]  I know you did get addicted.
[00:13:24.183 --> 00:13:26.684]  I know the big farmer puts out these dangerous drugs.
[00:13:27.424 --> 00:13:30.444]  But, you know, you said it, so you need to go to prison.
[00:13:30.705 --> 00:13:31.465]  But I'm sorry.
[00:13:31.565 --> 00:13:33.825]  I just... Rush Limbaugh on pills.
[00:13:35.806 --> 00:13:36.966]  Bennett gambling.
[00:13:37.526 --> 00:13:38.786]  And allegedly, Mr...
[00:13:43.089 --> 00:13:49.835]  Mr. O'Reilly being a pervert, I mean, what am I supposed to say?
[00:13:50.035 --> 00:13:51.136]  What am I supposed to do here?
[00:13:51.296 --> 00:13:52.257]  It just doesn't matter.
[00:13:52.877 --> 00:13:55.219]  You know, David Dreyer living with his boyfriend.
[00:13:55.860 --> 00:13:58.122]  Frankly, the Republicans think it's a wonderful thing.
