[00:00:04.485 --> 00:00:05.787]  Big Brother.
[00:00:05.787 --> 00:00:07.568]  Mainstream media.
[00:00:07.568 --> 00:00:09.289]  Government cover-ups.
[00:00:09.289 --> 00:00:10.891]  You want answers?
[00:00:10.891 --> 00:00:11.812]  Well, so does he.
[00:00:11.812 --> 00:00:16.636]  He's Alex Jones on the GCN Radio Network.
[00:00:16.636 --> 00:00:24.262]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.262 --> 00:00:28.866]  I've been attacked savagely by the Washington Post, New York Times,
[00:00:29.793 --> 00:00:34.616]  And I probably devoted five minutes to each article.
[00:00:34.616 --> 00:00:49.026]  I probably devoted 20 minutes when Lionel Chetwin, the big award-winning director and the head of Homeland Security's operations taking over Hollywood, according to the Associated Press, threatened me, my wife,
[00:00:49.787 --> 00:00:50.448]  In a bathroom.
[00:00:50.448 --> 00:00:51.588]  He just said, we're going to get you.
[00:00:51.588 --> 00:00:53.650]  And then admitted it in front of witnesses.
[00:00:53.650 --> 00:01:01.536]  But I've been spending a couple hours on Benjamin Chertoff, reportedly, according to his mom and cousins, to the Homeland Security Director.
[00:01:01.536 --> 00:01:17.588]  And this hit piece of popular propaganda, I mean, science and mechanics, because he goes into fake reporters, controlled reporters, influence peddlers, the Hearst, I mean, who wrote the book on yellow journalism, the lies.
[00:01:17.588 --> 00:01:18.929]  They told me it was not a hit piece.
[00:01:19.981 --> 00:01:30.391]  The sniveling, bumbling of this individual, now going on the radio and attacking me and others for hours over the weekend, I'm not going to lay down for it.
[00:01:30.391 --> 00:01:35.055]  This guy, I've challenged him and his boss repeatedly to come on this show.
[00:01:35.055 --> 00:01:36.677]  And they have refused to come on.
[00:01:36.677 --> 00:01:41.441]  But then he'd get on the air and say, Mr. Jones needs to call in and defend himself while I'm asleep.
[00:01:42.356 --> 00:01:43.738]  on coast-to-coast AM.
[00:01:43.738 --> 00:01:50.724]  He's a callin' and defendin' himself and if he doesn't callin' and defendin' himself, well that just shows that he just isn't, you know, that he's afraid.
[00:01:50.724 --> 00:01:52.366]  He can't refute these facts.
[00:01:52.366 --> 00:01:53.807]  And I hope he never called in!
[00:01:53.807 --> 00:02:00.554]  Uh, so, when in truth, I've been challenging this young punk to come on here and do it.
[00:02:01.424 --> 00:02:14.953]  Joining us is respected researcher and journalist Christopher Bolin for American Free Press, Chertoff's cousin, penned popular Mechanics 9-11 hit piece, and to delve into this with us is Christopher Bolin.
[00:02:14.953 --> 00:02:16.634]  Christopher, honored to have you.
[00:02:16.634 --> 00:02:18.495]  Thank you.
[00:02:18.495 --> 00:02:25.340]  A lot of stations carry the news right now, so we'll have to recap whatever we say coming up in the next segment, but let's get into this piece.
[00:02:26.593 --> 00:02:27.614]  Sure.
[00:02:27.614 --> 00:02:38.162]  Well, when the piece came out, I noticed that the first writer mentioned was Benjamin Chertoff, and I tried to reach Popular Mechanics on a number of occasions to ask them.
[00:02:38.162 --> 00:02:45.328]  You know, the person who's supposed to speak for the newspaper is a man named Nathan Christopher, but he never answers his phone or his backup numbers.
[00:02:45.328 --> 00:02:51.573]  So I called Benjamin Chertoff, and I asked him, you know, well, you're calling people like Eric Hoochman and myself liars.
[00:02:51.573 --> 00:02:53.975]  And I asked him some questions.
[00:02:53.975 --> 00:02:56.197]  I said, by the way, are you related to Michael Chertoff?
[00:02:56.536 --> 00:02:58.558]  And he said, I don't know.
[00:02:58.558 --> 00:03:02.501]  And so then I just did a little research in the telephone books for Pelham, New York, where he went to high school.
[00:03:02.501 --> 00:03:06.845]  He graduated from high school in Pelham, New York, in 1998.
[00:03:06.845 --> 00:03:14.252]  And I found in the 1998 phone book for Westchester County, where Pelham is, that there was a Judith Chertoff living there.
[00:03:14.252 --> 00:03:19.757]  In the past few years, she's remarried and her last name is now Dargan.
[00:03:19.757 --> 00:03:23.080]  But in any case, I called her up and her number hasn't changed.
[00:03:23.550 --> 00:03:28.373]  And I asked her, you know, I read this piece in Popular Mechanics, and I said, um, is Benjamin Chertoff your son?
[00:03:28.373 --> 00:03:29.153]  And she said, sure!
[00:03:29.153 --> 00:03:31.214]  And I said, well, that's very interesting.
[00:03:31.214 --> 00:03:34.876]  I said, is he related to the great Michael Chertoff, the new Homeland Security czar?
[00:03:34.876 --> 00:03:37.517]  And she said, yes, of course, he's a cousin.
[00:03:37.517 --> 00:03:47.082]  And I listened last night, or the other night, to this show, this Coast to Coast Radio, and, uh, they really, uh, because I sent an open letter to Art Bell, that, you know, are you going to talk about this relationship?
[00:03:47.082 --> 00:03:48.463]  Because this is really egregious.
[00:03:49.048 --> 00:03:54.369]  To have a cousin of the man who is now head of... I think this is going to be a major scandal.
[00:03:54.369 --> 00:03:56.930]  I think this is going to be a scandal.
[00:03:56.930 --> 00:04:04.892]  It's pretty egregious because this is the kind of propaganda that is done in dictatorships like the one we've deposed in Iraq.
[00:04:04.892 --> 00:04:11.094]  Where you have cousins and brothers and sisters of senior officials writing propaganda to support the regime.
[00:04:12.475 --> 00:04:21.701]  Well, and this on the heels of Gannon, the man-whore, and all the fake reporters, and the Armstrong Williams.
[00:04:21.701 --> 00:04:22.862]  Yeah.
[00:04:22.862 --> 00:04:23.783]  Yeah, absolutely.
[00:04:23.783 --> 00:04:26.825]  And this is really bad, bad journalism.
[00:04:26.825 --> 00:04:33.189]  I'm going to address the essence of the Popular Mechanics piece this week, but just for example, look at what... Well, stay there.
[00:04:33.189 --> 00:04:35.711]  I want to recap your conversation with Ms.
[00:04:35.711 --> 00:04:37.753]  Chertoff, then I want to get into
[00:04:39.361 --> 00:04:40.442]  Your analysis of it.
[00:04:40.442 --> 00:04:46.066]  And I want to tell you about my conversations with Mr. Chertoff and others.
[00:04:46.066 --> 00:04:50.389]  Because they swore to me this is not a hit piece, Mr. Jones.
[00:04:50.389 --> 00:04:53.090]  And they're a pack of liars.
[00:04:53.090 --> 00:04:53.711]  We'll be right back.
[00:04:59.989 --> 00:05:04.492]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[00:05:04.492 --> 00:05:09.075]  Police State 3 details the architecture, goals, and operations of the New World Order.
[00:05:09.075 --> 00:05:13.478]  There is a chance to use this disaster for the New World Order.
[00:05:13.478 --> 00:05:14.859]  The New World Order.
[00:05:16.620 --> 00:05:20.904]  The film documents dozens of confirmed cases of government-sponsored terrorism worldwide.
[00:05:20.904 --> 00:05:27.971]  We rip the Sinister Patriot Act legislation one and two apart, piece by piece, and reveal the arrogance of what Ashcroft has to say about your liberty.
[00:05:27.971 --> 00:05:29.973]  You will lose your liberty.
[00:05:30.353 --> 00:05:40.958]  Homeland Security, executive orders, forced vaccinations, the new prison economy, the Total Information Society, the Pan-American Union, federal gun grants, government-run white slavery rings, and much, much more.
[00:05:40.958 --> 00:05:46.860]  If you want to understand what the new world order really is, then my new two-and-a-half-hour video, Police Day 3, is for you.
[00:05:46.860 --> 00:05:49.602]  Visit InfoWars.com or PrisonPlanet.com to order.
[00:05:49.602 --> 00:05:50.782]  Or call toll-free 1-888-253-3139.
[00:05:50.782 --> 00:05:51.102]  That's 888-253-3139.
[00:05:51.102 --> 00:05:53.063]  Order today and spread the word.
[00:06:00.274 --> 00:06:09.599]  Now you can upgrade your existing gravity filter to remove chemicals such as triamethylenes, atrazine, benzene, chlorine, chloroform, and NTVE to below detectable limits.
[00:06:09.599 --> 00:06:21.164]  Black Berkey elements are so powerful they remove pathogenic bacteria, cysts and parasites to non-detectable levels, and transform water, even raw stagnant pond water, into delicious crystal clear drinking water.
[00:06:21.164 --> 00:06:26.867]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum are no problem.
[00:06:27.267 --> 00:06:33.993]  All tastes like chlorine and obnoxious sulfur odors are removed without removing the healthful and beneficial minerals that your body needs.
[00:06:33.993 --> 00:06:41.079]  Black Berkey elements flow one and a half to two times faster than ordinary gravity elements, which means it takes much less time to filter your water.
[00:06:41.079 --> 00:06:43.101]  Supercharge your gravity filter today.
[00:06:43.101 --> 00:06:45.383]  Upgrade to Black Berkey purification elements.
[00:06:45.383 --> 00:06:47.264]  Get a two-pack for only $96 or a four-pack for only $175.
[00:06:47.264 --> 00:06:48.005]  Call New Millennium at 888-4-4-4.
