[00:00:03.936 --> 00:00:04.404]  We're good.
[00:00:05.712 --> 00:00:06.373]  Big Brother.
[00:00:07.033 --> 00:00:08.074]  Mainstream media.
[00:00:08.794 --> 00:00:09.915]  Government cover-ups.
[00:00:10.556 --> 00:00:11.376]  You want answers?
[00:00:12.137 --> 00:00:13.057]  Well, so does he.
[00:00:13.698 --> 00:00:17.460]  He's Alex Jones on the GCN Radio Network.
[00:00:17.881 --> 00:00:22.004]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.507 --> 00:00:31.230]  We're scheduled to have two very important guests on with us today.
[00:00:32.451 --> 00:00:35.033]  One of them is Dar Jamal, an American...
[00:00:35.794 --> 00:00:36.495]  We're good to go.
[00:00:36.595 --> 00:00:37.115]  We're good to go.
[00:00:55.842 --> 00:01:11.092]  What the scientific community and what governments are up to with genetic engineering, with nuclear energy and weapons, and what's going on with super weapons like antimatter bombs.
[00:01:12.353 --> 00:01:19.658]  Because many of these different sectors of research, their own top scientists admit that
[00:01:20.376 --> 00:01:31.343]  ...are uncontrolled and could easily cause massive calamities, including the complete destruction of the planet, and yes, even the solar system.
[00:01:33.104 --> 00:01:44.831]  Just a few particles of antimatter can easily be billions of times, the words are 10 billion times stronger, than the largest hydrogen bombs.
[00:01:46.255 --> 00:01:47.137]  Nuclear weapons.
[00:01:47.718 --> 00:01:58.738]  And the government is openly testing and colliding and manipulating these, admitting that the mathematics shows a probability of mega explosions.
[00:01:59.634 --> 00:02:02.958]  And this goes to the mega reactions.
[00:02:03.018 --> 00:02:07.603]  This goes to the heart of the insanity of the New World Order.
[00:02:07.623 --> 00:02:11.508]  They are introducing algaes and bacteria that have been engineered.
[00:02:12.229 --> 00:02:17.134]  They are causing already major problems with the global biosphere.
[00:02:17.635 --> 00:02:20.118]  They are engaging in cross-species...
[00:02:21.058 --> 00:02:22.319]  We're good to go.
[00:02:22.339 --> 00:02:23.020]  I think?
[00:02:39.253 --> 00:02:39.914]  We're good to go.
[00:02:39.994 --> 00:02:40.234]  I think?
[00:03:00.996 --> 00:03:05.817]  In fact, a lot of people love to talk about imaginary concentration camps and that they never want to talk about evidence.
[00:03:05.857 --> 00:03:11.699]  It's always what their cousins, brothers, nephews, neighbor heard somebody who saw it, maybe thought they could have.
[00:03:12.039 --> 00:03:21.461]  And then it's in major newspapers or building camps and people tend to kind of disassociate psychologically and divert themselves away from real things.
[00:03:21.541 --> 00:03:29.103]  If you've got video of Senate hearings where they're admitting, that's not a major story, but it'll go around the Internet for ten years, some rumor.
[00:03:29.583 --> 00:03:32.389]  Well, let the rumors end and the documentation begin.
[00:03:33.230 --> 00:03:34.052]  That's what we do here.
[00:03:34.861 --> 00:03:41.166]  And let me assure you, it is very, very serious, and I intend to write some articles about this in the next few days.
[00:03:41.226 --> 00:03:48.271]  I've talked about it some in the past, but I've really dropped the ball on this subject, and so we're not going to do that today.
[00:03:48.832 --> 00:03:55.036]  And I'd like to get you, the listeners, take on the things that I talk about, and of course you can add any of your interesting points to it.
[00:03:55.056 --> 00:03:58.759]  I'm always amazed by the incredible intelligence and...
[00:04:01.847 --> 00:04:03.627]  Ideas that you, the listeners, have.
[00:04:03.667 --> 00:04:10.089]  The websites are Infowars.com, PrisonPlanet.com, PrisonPlanet.tv, and Infowars.net.
[00:04:10.109 --> 00:04:16.770]  We're about to develop some of the other websites that have lain dormant, like JonesReport.com and others here in the near future.
[00:04:16.790 --> 00:04:23.472]  You'll be seeing some new websites that are dedicated predominantly just to key issues.
[00:04:24.666 --> 00:04:39.350]  I'm going to have issue-driven websites that cover what I think are the most important facets of mass poisoning of the population and developments that could easily kill all human life or all life itself on this globe.
[00:04:39.650 --> 00:04:45.912]  I believe Jones reports in the near future we're going to develop that and turn it into a site mainly dealing with extinction issues.
[00:04:47.321 --> 00:04:48.823]  We'll be right back after this break.
[00:04:48.904 --> 00:04:50.827]  I also have three audio clips we'll be playing.
[00:04:50.867 --> 00:04:53.371]  Lou Dobbs has been told to shut up about the UAE deal.
[00:04:53.691 --> 00:04:56.295]  More on the NSA situation with the spying.
[00:04:56.736 --> 00:04:59.200]  And a little parody piece about Alberto Gonzalez.
[00:05:02.458 --> 00:05:05.319]  There is a secret that holds the world's destiny in its grasp.
[00:05:05.579 --> 00:05:07.140]  Hello, my friends, Alex Jones here.
[00:05:07.500 --> 00:05:12.162]  Learn that secret with my new film, Martial Law, 9-11, Rise of the Police State.
[00:05:12.502 --> 00:05:16.923]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:05:17.363 --> 00:05:21.565]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:05:21.765 --> 00:05:24.586]  The Constitution has been shredded, and America is now a police state.
[00:05:24.686 --> 00:05:27.187]  This film exposes not just who was behind the 9-11 attacks,
[00:05:27.387 --> 00:05:29.349]  But the roots and history of its orchestrators.
[00:05:29.569 --> 00:05:33.953]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:05:34.193 --> 00:05:41.440]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:05:41.680 --> 00:05:44.102]  Discover the documented truth for yourself before it's too late.
[00:05:44.262 --> 00:05:46.004]  Call toll-free to get a copy of Martial Law.
[00:05:46.705 --> 00:05:52.152]  1-888-253-3139 Or visit Infowars.com and the secure shopping cart.
[00:05:52.232 --> 00:05:55.577]  That's Infowars.com or 888-253-3139 Or watch the film right now online at PrisonPlanet.tv
[00:06:01.656 --> 00:06:10.284]  Berkey water filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:06:10.484 --> 00:06:21.775]  The Berkey Light self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, salt for odors, foul tastes, and much, much more.
[00:06:21.995 --> 00:06:24.618]  Yet, they leave in the nutritional minerals that your body needs.
[00:06:24.978 --> 00:06:31.422]  The Berkey Light has ridges to deflect water if the upper chamber is overfilled and it can be used anywhere on a flat surface.
[00:06:31.582 --> 00:06:33.463]  That's because it has an elevated base.
[00:06:33.663 --> 00:06:39.687]  The entire system joins together to make the Berkey Light convenient to transport even while it's filtering water.
[00:06:39.927 --> 00:06:45.591]  Its rechargeable bright white LED lamps allow for optimum use at night or during emergency conditions.
[00:06:45.931 --> 00:06:49.854]  Get the Berkey Light, the ultimate filter for only $259 by calling New Millennium at 888-803-4438.
[00:06:49.874 --> 00:06:50.575]  That's toll-free, 888-803-4438.
[00:06:50.595 --> 00:06:51.295]  Not yet available in Iowa.
[00:07:01.744 --> 00:07:03.206]  Hey folks, this is Ted Anderson.
[00:07:03.546 --> 00:07:07.510]  You've all heard me on the radio talking about the importance of investing in precious metals.
[00:07:07.891 --> 00:07:11.415]  I feel it's time for me to talk about the importance of investing in your health.
[00:07:11.795 --> 00:07:15.339]  I was presented with the opportunity to try TriVibes from TriVortex.
[00:07:15.739 --> 00:07:20.605]  I was a bit hesitant of the idea of absorbing vitamins by wearing them rather than ingesting them.
[00:07:20.925 --> 00:07:26.730]  After conducting one of the tests found at TriVortex.com, I was convinced that the product might actually work.
[00:07:27.031 --> 00:07:33.176]  I now wear my TriVibes bands daily, and I'm feeling better than ever, not only physically, but also mentally.
[00:07:33.497 --> 00:07:39.282]  TriVortex also offers amazingly beneficial and beautiful jewelry worn by the women around the office daily.
[00:07:39.702 --> 00:07:40.883]  TriVortex is amazing.
[00:07:41.203 --> 00:07:42.324]  Don't take my word for it.
[00:07:42.404 --> 00:07:47.829]  Try TriVortex yourself and have fun and learn with the tests found on TriVortex.com.
[00:07:48.029 --> 00:07:51.492]  That's T-R-I-V-O-R-T-E-X dot com.
[00:07:51.772 --> 00:07:53.073]  Or call my friend Brian at 619-884-1455.
[00:07:53.113 --> 00:07:53.433]  That's 619-884-1455.
[00:07:53.473 --> 00:07:54.654]  He's the T-Rex of political talk.
[00:07:54.694 --> 00:07:56.475]  Alex Jones on the GCN Radio Network.
[00:08:10.718 --> 00:08:13.560]  Alright, big broadcast lined up for you today.
[00:08:13.620 --> 00:08:16.942]  Thank you so much for joining us on this final day of February 2006.
[00:08:17.022 --> 00:08:21.065]  We're already completing the second month of 2006.
[00:08:21.626 --> 00:08:27.610]  And coming up in the next hour, Dar Jamal is scheduled.
[00:08:27.630 --> 00:08:30.111]  He's on the road, but we're looking for him to join us.
[00:08:30.752 --> 00:08:33.033]  He, of course, is a combat journalist.
[00:08:33.174 --> 00:08:39.498]  He has been in Iraq as a non-embed for months and months and months, off and on in the last few years.
[00:08:40.274 --> 00:08:44.238]  Incredible bravery, and he is scheduled to join us coming up in the second hour.
[00:08:44.258 --> 00:08:53.968]  Then we have the editor and publisher of Neocon to Neocon again, himself a graduate of Annapolis, coming up in the third hour.
[00:08:54.108 --> 00:08:57.992]  Very interesting gentleman joining us then, an expert, in my opinion.
[00:08:58.012 --> 00:09:01.075]  I've heard him interviewed before on the New World Order.
[00:09:01.816 --> 00:09:03.097]  I've got a 20-minute clip.
[00:09:04.006 --> 00:09:05.148]  Alex Jones Show!
[00:09:05.188 --> 00:09:06.009]  We're good to go.
[00:09:19.411 --> 00:09:36.356]  In my films, like Road to Tyranny and others, we talked about the public fact that in 1996, nine billion plus dollars, I say nine billion plus because I don't remember, it's nine plus, nine billion something, it was supposed to be five billion, but it went over.
[00:09:37.513 --> 00:09:53.625]  And I remember reading in industry publications, because that's what I mainly read, that, oh yes, the major telecommunications companies, that all of the digital systems go through, the satellites, the internet, even landlines that are on copper wires are then digitized on the other end.
[00:09:53.885 --> 00:09:56.007]  It's all digital.
[00:09:56.087 --> 00:10:03.352]  That by 2001, October 1, 2001, a, quote, surveillance grid was to be in place.
[00:10:03.372 --> 00:10:04.693]  They didn't make any bones about it.
[00:10:06.133 --> 00:10:11.758]  So I've been perseverating on the issue ever since, and everything is fed through the NSA.
[00:10:11.799 --> 00:10:21.068]  The NSA actually has its own giant computers and hubs, and its officers in every major phone company hub in the country.
[00:10:21.428 --> 00:10:24.031]  Southwestern Bell, based in San Antonio, Texas.
[00:10:24.431 --> 00:10:27.715]  AT&T, they've now bought it, but AT&T based up in New York.
[00:10:28.336 --> 00:10:33.542]  All of these, every major hub that everything has to go through is the NSA.
[00:10:33.642 --> 00:10:35.064]  It isn't just connected to it.
[00:10:35.504 --> 00:10:40.370]  It is the National Security Agency and the echelon system, just one of many.
[00:10:40.410 --> 00:10:42.292]  And I tell people that, and they go, what are you talking about?
[00:10:42.312 --> 00:10:47.499]  We post the industry publications, but it got attention on the website, but never national traction.
[00:10:47.999 --> 00:10:49.039]  Now they're coming out.
[00:10:49.119 --> 00:10:55.841]  See, if they want to use this on a daily basis against all of us, for all crime and taxes and everything else, they've got to go ahead and condition us.
[00:10:55.921 --> 00:10:57.882]  Oh, it's just when Bin Laden calls America.
[00:10:58.542 --> 00:10:59.702]  No, that's not true.
[00:10:59.782 --> 00:11:00.843]  It's domestically.
[00:11:00.883 --> 00:11:11.085]  And part of this plan, and it's also in mainstream news today, is the fact that every cell phone in America, by law, sold.
[00:11:11.566 --> 00:11:13.026]  Every new phone sold for 2001 by federal law.
[00:11:17.868 --> 00:11:19.989]  It's tracked down to 15 feet.
[00:11:20.029 --> 00:11:25.811]  Now, they really work down to about 3 feet, but the federal law is 15 feet with a GPS tracker switch in it.
[00:11:25.931 --> 00:11:27.571]  Now, there isn't a GPS itself.
[00:11:27.591 --> 00:11:36.134]  It's a GPS tracker locator device that is triangulated by the cell tower systems down by federal law to 15 feet.
[00:11:37.558 --> 00:11:38.239]  We're good to go.
[00:11:52.578 --> 00:11:58.803]  We were going to be pallbearers, and so my dad says, I heard my new phone has a service where they can tell me where I'm at.
[00:11:58.863 --> 00:12:03.386]  He calls up, and he says, well, and they say, where are you?
[00:12:03.426 --> 00:12:06.468]  He has his own speakerphone in the car, and he says, let me look.
[00:12:06.488 --> 00:12:07.669]  And they go, well, we don't need to.
[00:12:07.729 --> 00:12:09.390]  You're at the corner of Main and this.
[00:12:09.891 --> 00:12:12.292]  And we looked up, and there we are driving past the sign.
[00:12:12.332 --> 00:12:13.333]  Yes, how did you know that?
[00:12:13.753 --> 00:12:15.875]  Oh, sir, we have you right here on a digital map.
[00:12:17.845 --> 00:12:22.708]  Again, we already knew that, but here we were experiencing it.
[00:12:23.088 --> 00:12:24.969]  Here we were living it.
[00:12:25.049 --> 00:12:26.570]  Here we were in the middle of it.
[00:12:27.947 --> 00:12:36.934]  And so this grid is admittedly Pentagon-designed, and they brag in industry publications that they are going to control the American people with it.
[00:12:37.254 --> 00:12:39.456]  It has nothing to do with terrorism.
[00:12:39.696 --> 00:12:42.598]  That's the backdrop, the excuse, the pretext.
[00:12:42.618 --> 00:12:54.647]  So we debate the Pentagon-watching people and soldiers on the ground, and we debate NSA spying, but they only debate a shaving of the top of the iceberg, just a shaving of the tip, not even the tip.
[00:12:55.710 --> 00:12:59.854]  And then, even with that, the majority of Americans in major polls don't like it.
[00:13:00.614 --> 00:13:07.900]  When they pose the question like, well, if bin Laden's calling America trying to kill you, is it okay if it stops a terror attack to listen to some calls?
