[00:00:00.309 --> 00:00:01.871]  Well, so does he.
[00:00:01.871 --> 00:00:06.055]  He's Alex Jones on the GCN Radio Network.
[00:00:06.055 --> 00:00:14.484]  And now, live from Austin, Texas, Alex Jones.
[00:00:14.484 --> 00:00:17.868]  All right, we just had Jimmy Walter, the billionaire philanthropist.
[00:00:19.238 --> 00:00:20.158]  From Caracas.
[00:00:20.158 --> 00:00:22.479]  Just met with the President of the Assembly.
[00:00:22.479 --> 00:00:23.179]  Been at his home.
[00:00:23.179 --> 00:00:24.580]  Has all the 9-11 documents.
[00:00:24.580 --> 00:00:25.140]  Knows the truth.
[00:00:25.140 --> 00:00:27.701]  They're going to have some kind of big truth commission down there.
[00:00:27.701 --> 00:00:29.041]  International trial.
[00:00:29.041 --> 00:00:31.442]  This weekend they're scheduled to meet with Hugo Chavez.
[00:00:31.442 --> 00:00:34.423]  It looks like they may be on his weekly Sunday night TV show.
[00:00:34.423 --> 00:00:36.064]  It's just getting bigger and bigger.
[00:00:36.064 --> 00:00:37.944]  So that news breaking here first.
[00:00:37.944 --> 00:00:43.766]  And we'll have it up in text for you on InfoWars.com and PrisonPlanet.com before this hour ends.
[00:00:43.766 --> 00:00:45.527]  Another amazing individual joins us.
[00:00:45.527 --> 00:00:46.427]  He's Ed Avner.
[00:00:47.205 --> 00:00:47.685]  Thank you, Mr. Jones.
[00:00:47.685 --> 00:00:48.585]  Good to be with you.
[00:01:14.711 --> 00:01:21.017]  When did you start questioning 9-11 and why are you now going even more public?
[00:01:21.017 --> 00:01:28.723]  Well, I'm reticent to go that public.
[00:01:28.723 --> 00:01:38.192]  I like to be totally invested and involved in knowing every angle and every potential arguing point.
[00:01:38.192 --> 00:01:40.554]  I've not had the time to invest in that.
[00:01:41.326 --> 00:01:53.635]  I became suspicious of 9-11 on the day it happened and I will always be that suspect of it and challenge it and challenge various points of it.
[00:01:53.635 --> 00:02:03.222]  But I certainly don't regard myself as an expert or what you would say a revelatory on the subject.
[00:02:05.683 --> 00:02:11.308]  But at the same time, you have spoken via videotape to some 9-11 truth meetings and have spoken out in the past.
[00:02:11.308 --> 00:02:12.630]  That's true, that's true.
[00:02:12.630 --> 00:02:19.436]  I do what I can, but I'm constantly seeking more information.
[00:02:19.436 --> 00:02:29.686]  That's one of the reasons I wanted to be on with you, because I found you to be a valuable fund of information on 9-11, and I applaud your efforts very much.
[00:02:30.350 --> 00:02:33.733]  Well, I applaud your efforts, and I hope we can talk about it some today.
[00:02:33.733 --> 00:02:35.234]  I know you are an expert on the war.
[00:02:35.234 --> 00:02:46.103]  You were spot on with your analysis on the eve of it, and now, for the last three horrific years, Mr. Asner, we're talking Ed Asner, folks, another famous actor and producer.
[00:02:46.103 --> 00:02:49.325]  Mr. Asner, we know NORAD stood down.
[00:02:49.325 --> 00:02:50.426]  We know they've never done it before.
[00:02:50.426 --> 00:02:53.288]  We know public officials were warned not to fly.
[00:02:53.288 --> 00:02:56.571]  We know Bush had the troops ready to invade Afghanistan on the ground.
[00:02:56.571 --> 00:02:58.973]  We know that bin Laden is a known CIA asset.
[00:02:59.508 --> 00:03:02.510]  We know that there are hundreds of points.
[00:03:02.510 --> 00:03:04.911]  We know firefighters said bombs were going off.
[00:03:04.911 --> 00:03:07.233]  We know Building 7 wasn't hit by a plane.
[00:03:07.233 --> 00:03:08.634]  I mean, it goes on and on.
[00:03:08.634 --> 00:03:10.655]  We know the official story is a fraud.
[00:03:10.655 --> 00:03:16.418]  I mean, you agree that the official fable of the 9-11 Commission is a fraud?
[00:03:16.418 --> 00:03:17.539]  I do.
[00:03:17.539 --> 00:03:19.260]  I do not buy it.
[00:03:19.260 --> 00:03:21.221]  I challenge it.
[00:03:21.221 --> 00:03:21.982]  I would like to
[00:03:22.862 --> 00:03:29.624]  I mean, I know all of these points that you've cited, the standing down.
