[00:00:05.882 --> 00:00:06.543]  Big Brother.
[00:00:07.203 --> 00:00:08.263]  Mainstream media.
[00:00:08.963 --> 00:00:10.103]  Government cover-ups.
[00:00:10.724 --> 00:00:11.564]  You want answers?
[00:00:12.304 --> 00:00:13.204]  Well, so does he.
[00:00:13.864 --> 00:00:17.545]  He's Alex Jones on the GCN Radio Network.
[00:00:18.045 --> 00:00:22.126]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.380 --> 00:00:34.522]  Welcome, my friends.
[00:00:34.622 --> 00:00:36.926]  It is the 17th day of April 2006.
[00:00:37.586 --> 00:00:40.631]  I'm Alex Jones, your host.
[00:00:40.651 --> 00:00:47.020]  We're going to be live here for the next three hours, and we've got a jam-packed broadcast for you today.
[00:00:48.021 --> 00:01:02.604]  But a lot of new developments concerning the Charlie Sheen story, how he first questioned the official 9-11 report as a fable, as a fiction, as the greatest conspiracy of them all, basically.
[00:01:03.004 --> 00:01:09.185]  He went on Jimmy Kimmel Live that comes on right after Nightline nationwide on ABC.
[00:01:10.025 --> 00:01:14.086]  We'll be playing that clip coming up in the next segment.
[00:01:15.262 --> 00:01:16.343]  Headline, U.S.
[00:01:16.663 --> 00:01:19.184]  plan for flu pandemic revealed.
[00:01:19.324 --> 00:01:23.086]  Multi-agency proposal awaits Bush approval.
[00:01:23.166 --> 00:01:26.088]  This is your martial law smokescreen.
[00:01:27.108 --> 00:01:31.170]  Also, fifth retired general calls for Rumsfeld's resignation.
[00:01:31.190 --> 00:01:36.013]  I actually count that as the eighth, but I guess it's the fifth in the last two weeks.
[00:01:37.174 --> 00:01:38.935]  Also, retired colonel claims U.S.
[00:01:38.975 --> 00:01:41.576]  military operations are already underway in Iran.
[00:01:42.176 --> 00:01:43.497]  We'll be getting into that report.
[00:01:45.384 --> 00:01:48.326]  Rumsfeld potentially liable for torture.
[00:01:48.346 --> 00:01:49.627]  That's what Reuters is reporting.
[00:01:50.107 --> 00:01:53.149]  We have his own orders, his own documents, his own memos.
[00:01:53.670 --> 00:01:58.893]  How do his underlings go to prison for following orders to torture, but he doesn't go to prison?
[00:01:59.313 --> 00:02:06.158]  Alberto Gonzalez, the Attorney General at the time when he wrote the memos, Chief White House Counsel, why doesn't he go to prison?
[00:02:07.799 --> 00:02:12.522]  And it dovetails nicely with an MSNBC report, America's Secret Police.
[00:02:13.320 --> 00:02:15.041]  No, that's not Alex Jones saying that.
[00:02:15.421 --> 00:02:16.562]  That's MSNBC.
[00:02:16.662 --> 00:02:24.326]  Intelligence experts warn that a proposal to merge two Pentagon intelligence units could create an ominous new agency.
[00:02:24.386 --> 00:02:25.127]  I've got news for you.
[00:02:25.147 --> 00:02:26.788]  It's already been created.
[00:02:28.090 --> 00:02:42.317]  NYPD deploys first of 500 security cameras, other than to take all the traffic cameras and, quote, traffic systems, which were, again, put in dual use nationwide with federal money to track and control the population.
[00:02:42.337 --> 00:02:46.259]  We see reports like this every day from different cities around the country, but we'll get into this one.
[00:02:47.400 --> 00:02:51.742]  Also, Qatar says OPEC can do nothing about high oil prices.
[00:02:52.102 --> 00:02:56.264]  Meanwhile, Exxon Chairman gets $400 million retirement package.
[00:02:57.131 --> 00:02:59.032]  Amid soaring gas prices.
[00:02:59.072 --> 00:03:00.292]  And it's not free market.
[00:03:00.872 --> 00:03:08.375]  And that $400 million retirement package is just a tiny fraction of a fraction of what's really going on.
[00:03:08.415 --> 00:03:14.377]  And we'll discuss why we're paying so much for gasoline right now and energy, period.
[00:03:14.417 --> 00:03:15.938]  And it dovetails with this headline.
[00:03:18.279 --> 00:03:21.040]  Gold storms to new 25-year high.
[00:03:21.060 --> 00:03:22.660]  Silver surges as well.
[00:03:25.512 --> 00:03:26.753]  We're good to go.
[00:03:26.773 --> 00:03:26.953]  I think?
[00:03:53.496 --> 00:03:56.759]  And by the way, China's hidden a lot of its growth, and we'll tell you why they've done that.
[00:03:57.160 --> 00:04:04.667]  Gingrich warns Republicans are in deep trouble, and that the American people are angry at Republicans.
[00:04:04.768 --> 00:04:05.849]  I wonder why.
[00:04:06.069 --> 00:04:08.992]  And Bush's new chief of staff signals shake-up.
[00:04:10.399 --> 00:04:17.588]  And how that goes along with what's happening with the borders that are completely open and much more today.
[00:04:17.628 --> 00:04:21.993]  The websites are jonesreport.com, now at Beta Daily.
[00:04:22.433 --> 00:04:23.635]  Really proud of that site.
[00:04:23.695 --> 00:04:24.956]  It's a quick download site.
[00:04:25.857 --> 00:04:29.582]  That is, it's not heavy on the bandwidth for those of you that don't have good connections.
[00:04:30.063 --> 00:04:37.573]  JonesReport.com, then there's Infowars.com, PrisonPlanet.com, PrisonPlanet.tv, and Infowars.net.
[00:04:37.933 --> 00:04:40.197]  Not to mention MartialLaw911.info, which is our 9-11 site.
[00:04:45.253 --> 00:04:47.356]  What, five minutes into the hour?
[00:04:47.436 --> 00:04:58.071]  We'll come back after a quick three-minute break and get straight into all the new Charlie Sheen developments and then the national, international news, the upcoming war with Iran, your phone calls, and a lot more.
[00:04:58.131 --> 00:04:58.632]  Stay with us.
[00:05:02.924 --> 00:05:05.766]  There is a secret that holds the world's destiny in its grasp.
[00:05:06.026 --> 00:05:06.727]  Hello, my friends.
[00:05:06.827 --> 00:05:07.607]  Alex Jones here.
[00:05:07.947 --> 00:05:12.630]  Learn that secret with my new film, Martial Law, 9-11 Rise of the Police State.
[00:05:12.971 --> 00:05:19.715]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy, out of the ashes of the September 11th tragedy.
[00:05:20.035 --> 00:05:22.016]  A dark empire of war and tyranny has risen.
[00:05:22.216 --> 00:05:25.057]  The Constitution has been shredded, and America is now a police state.
[00:05:25.157 --> 00:05:29.819]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:05:30.019 --> 00:05:34.421]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:05:34.661 --> 00:05:41.884]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:05:42.144 --> 00:05:44.565]  Discover the documented truth for yourself before it's too late.
[00:05:44.725 --> 00:05:46.506]  Call toll-free to get a copy of Martial Law.
[00:05:46.526 --> 00:05:46.586]  1-888-253-3139
[00:05:49.787 --> 00:05:51.790]  That's InfoWars.com or AAA-253-3139.
[00:05:51.850 --> 00:05:54.613]  Or watch the film right now online at PrisonPlanet.tv.
[00:06:02.702 --> 00:06:05.706]  The Berkey Light is your premier source for purified water.
[00:06:06.066 --> 00:06:14.877]  It's portable and requires no water pressure, so you can enjoy healthy drinking water, whether it's during normal times or hostile environments like a local or national emergency.
[00:06:15.197 --> 00:06:19.883]  That's because it can purify raw, untreated water from remote lakes and stagnant ponds.
[00:06:20.343 --> 00:06:27.070]  The Berkey Lot is unique because it removes pathogenic bacteria, cyst parasites, and harmful chemicals to below detectable levels.
[00:06:27.471 --> 00:06:39.223]  It also removes foul taste and odors like the rotten egg smell of sulfide, and it extracts nitrates and unhealthy minerals like lead and mercury while leaving in the healthful and nutritional minerals that your body needs.
[00:06:39.723 --> 00:06:44.189]  The Berkey Lights rechargeable LED lighting system is so bright it can be used as a reading light.
[00:06:44.349 --> 00:06:46.691]  Get the Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[00:06:46.711 --> 00:06:48.654]  And tell them Alex Jones sent you.
[00:06:48.674 --> 00:06:49.875]  That's toll free, 888-803-4438.
[00:06:49.955 --> 00:06:51.417]  Or order on the web at berkeywater.com.
[00:06:51.437 --> 00:06:52.638]  Not yet available in Iowa.
[00:07:01.872 --> 00:07:03.572]  What causes foods to spoil?
[00:07:03.992 --> 00:07:06.973]  All produce produces a natural gas which causes ripening.
[00:07:07.293 --> 00:07:12.574]  In addition, foods like onions and garlic emit odors, causing foods to lose their freshness and flavor.
[00:07:12.874 --> 00:07:22.416]  Now there's Forever Fresh for the fridge, a revolutionary new product proven to eliminate refrigerator odors and guaranteed to keep produce fresh at least twice as long as normal.
[00:07:22.696 --> 00:07:24.897]  Nancy McKimson of Jacksonville, Florida says...
[00:07:25.177 --> 00:07:28.739]  Since I started using Forever Fresh, everything stays fresh much longer.
[00:07:28.999 --> 00:07:32.221]  Like strawberries, which now last a couple of weeks instead of just a few days.
[00:07:32.501 --> 00:07:36.044]  Jane Burke of New Jersey says, You know, we eat a lot of salads.
[00:07:36.204 --> 00:07:39.686]  I used to throw out the leftovers because they'd turn brown and they'd shrivel up.
[00:07:39.806 --> 00:07:41.067]  I'm really amazed.
[00:07:41.227 --> 00:07:47.070]  Since I started using Forever Fresh, all my produce stays fresher longer, including the leftovers.
[00:07:47.210 --> 00:07:49.632]  Now I just couldn't get along without Forever Fresh.
[00:07:49.972 --> 00:07:58.097]  To order your Forever Fresh for the fridge, visit the web at foreverfresh.us or call toll-free 1-866-NO-ODERS.
[00:07:58.277 --> 00:08:00.278]  That's 1-866-NO-ODERS.
[00:08:01.459 --> 00:08:07.142]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:13.348 --> 00:08:21.695]  Well, more and more of the administration's martial law plan during a bird flu outbreak is becoming public knowledge.
[00:08:21.715 --> 00:08:22.476]  We'll get into that.
[00:08:23.697 --> 00:08:27.200]  Special Forces troops for at least a year and a half have been in Iran.
[00:08:27.240 --> 00:08:28.121]  That's admitted.
[00:08:28.962 --> 00:08:32.304]  Rumsfeld could finally get in trouble for ordering torture.
[00:08:32.324 --> 00:08:40.491]  The question is, will his boss, George Bush, and Bush's other minions like John Yoo and Alberto Gonzalez, that wrote these bone-chilling...
[00:08:41.465 --> 00:08:42.846]  Memos, will they get in trouble?
[00:08:42.886 --> 00:08:44.527]  We'll get into all of that.
[00:08:44.627 --> 00:08:48.190]  Gold exploding to $606 plus an ounce.
[00:08:48.590 --> 00:08:49.671]  Silver exploding.
[00:08:49.951 --> 00:08:54.335]  Oil prices having a meteoric rise right now.
[00:08:54.715 --> 00:09:01.560]  We'll get into all of it today and give you a chance to respond, give you a chance to give the audience of millions your take, listeners.
[00:09:01.920 --> 00:09:03.461]  The toll-free number to join us is 800-259-9231.
[00:09:03.481 --> 00:09:05.843]  I want to talk about Charlie Sheen right now, though.
[00:09:13.676 --> 00:09:24.907]  There are a lot of new developments concerning his questioning of the official 9-11 story starting, what, three weeks ago on this radio broadcast.
[00:09:26.409 --> 00:09:35.619]  And on Friday, he was live on the Jimmy Kimmel Show on national television.
[00:09:37.214 --> 00:09:47.602]  And during the lengthy discussion that Mr. Kimmel had with his guest, Charlie Sheen, he brought up his questioning of the 9-11 story.
[00:09:47.682 --> 00:09:51.405]  So let's go ahead and roll a clip of that segment.
[00:09:54.567 --> 00:09:57.670]  From Hollywood, it's Jimmy Kimmel Live!
[00:10:07.796 --> 00:10:16.565]  Our first guest tonight is not only a member of the world-famous Sheen family of actors, little known fact, also the genius behind the lucrative Afro-Sheen empire.
[00:10:16.665 --> 00:10:17.146]  That's right.
[00:10:17.346 --> 00:10:25.074]  You know him from movies like Platoon and Wall Street, and in addition to seeing him every week on Two and a Half Men, opening tonight you can see him in Scary Movie 4.
[00:10:25.174 --> 00:10:28.037]  Please welcome the indestructible Charlie Sheen!
[00:10:51.275 --> 00:10:51.755]  Thank you.
[00:10:51.815 --> 00:10:53.036]  Happy almost Easter.
[00:10:53.156 --> 00:10:53.956]  Hey, back at you.
[00:10:54.016 --> 00:10:54.356]  Thank you.
[00:10:54.416 --> 00:10:55.777]  You had some interesting comments.
[00:10:55.817 --> 00:11:05.440]  You were on a radio show, and you talked about 9-11, and you have... Is it a theory, or you just don't believe the government account of what happened on 9-11?
[00:11:06.521 --> 00:11:07.281]  I just had questions.
[00:11:07.501 --> 00:11:07.701]  Yeah?
[00:11:07.721 --> 00:11:17.785]  I had a lot of questions, and the forum I chose to voice those questions in is the Alex Jones Radio Show, and just because he's a guy that I've been a fan of and followed for a lot of years, and...
[00:11:19.349 --> 00:11:20.089]  Yeah, I got attacked.
[00:11:20.109 --> 00:11:21.230]  I mean, there were a lot of hit pieces.
[00:11:21.270 --> 00:11:22.391]  The reaction was pretty severe.
[00:11:22.411 --> 00:11:24.252]  People get very mad when celebrities have an opinion.
[00:11:24.292 --> 00:11:25.012]  No, I understand.
[00:11:25.032 --> 00:11:25.392]  I understand.
[00:11:25.432 --> 00:11:26.633]  I know he's not qualified.
[00:11:26.693 --> 00:11:33.356]  He doesn't... You know, he's just... Who the hell is he to have an opinion about something so horrible?
[00:11:33.576 --> 00:11:42.421]  And, you know, it was sad because they didn't really take a look at any of the stuff I was asking them to look at and any of the evidence or any of the stuff that generated those questions, you know?
[00:11:42.961 --> 00:11:47.243]  And they said, oh, he's another tinfoil hat-wearing Hollywood clown, you know?
[00:11:47.363 --> 00:11:48.124]  It's like the only...
[00:11:49.229 --> 00:11:57.575]  You know, I felt that the only real validation I needed was just being a tax-paying American that loves my country.
[00:11:57.976 --> 00:12:04.441]  Yeah, and you, I mean, it's just something that you wonder about, and you would like to know more about, I assume.
[00:12:04.581 --> 00:12:05.101]  Sure, sure.
[00:12:05.161 --> 00:12:11.986]  And you studied the tapes, and you... I've done a lot of research, and it's not just me, it's the people that have come before me, the experts and the...
[00:12:13.368 --> 00:12:17.691]  The engineers and the physicists and the scientists and the scholars that raised a lot of these things.
[00:12:17.732 --> 00:12:21.314]  And I took a look at their research and said, yeah, it doesn't add up.
[00:12:21.434 --> 00:12:22.435]  A lot of it doesn't add up.
[00:12:22.495 --> 00:12:23.996]  Hence these questions.
[00:12:24.957 --> 00:12:25.638]  There's two areas.
[00:12:25.658 --> 00:12:28.660]  There's Building 7 and there's the five frames from the Pentagon.
[00:12:28.940 --> 00:12:29.581]  Don't listen to me.
[00:12:29.821 --> 00:12:30.642]  Do your own research.
[00:12:30.682 --> 00:12:39.489]  But I think that what happened to a time in this country when we were entitled, when we had a constitutional and a God-given right to be curious about things that
[00:12:40.169 --> 00:12:41.010]  That didn't make sense.
[00:12:41.070 --> 00:12:41.830]  That's all it was.
[00:12:41.851 --> 00:12:45.614]  Well, because we have a lot of cable shows now, and they need stuff to be mad about.
[00:12:45.734 --> 00:12:50.177]  So, you know, stuff like this is like, oh boy, we could yell about this for an entire week.
[00:12:50.398 --> 00:12:54.241]  And plus, with your dad being the president and all, it puts a lot of the focus on him.
[00:12:54.281 --> 00:12:54.921]  That's true.
[00:12:55.081 --> 00:12:57.363]  Yeah, I should have conferred with him before I came out talking to you.
[00:12:57.463 --> 00:13:02.948]  All right, so there's a clip of Charlie Sheen last Friday night.
[00:13:04.108 --> 00:13:10.010]  Simply saying that it's his right as an American to question the official story.
[00:13:10.030 --> 00:13:23.855]  And then he, of course, brings up the fact that a lot of esteemed experts, a lot of physicists, scientists, researchers, scholars have been proving that the official story is a lie.
[00:13:25.416 --> 00:13:40.028]  Now, since then, there have been different film sites, different news sites, places like the National Ledger and others that have come out and attacked Sheen, claiming that what you just heard was a mea culpa or an apology or, hey, give me a pass.
[00:13:40.969 --> 00:13:42.470]  And that's not what's happening.
[00:13:42.611 --> 00:13:44.172]  Here's one out of a celebrity gossip.
[00:13:44.592 --> 00:13:46.474]  Charlie Sheen defends 911 questions.
[00:13:49.480 --> 00:14:04.524]  Charlie Sheen defends his comments about 9-1-1 on the Jimmy Kimmel Show last week while promoting Scary Movie 4, which, by the way, broke opening weekend box office records and making over $41 million, I would add, over the Easter weekend.
[00:14:04.564 --> 00:14:12.306]  So, again, Charlie Sheen defends his comments about 9-1-1 on the Jimmy Kimmel Show last week while promoting Scary Movie 4.
[00:14:13.266 --> 00:14:21.908]  The public attacked Sheen after asking questions about 9-1-1 on a national radio show, the general viewpoint being that he was just an actor.
[00:14:22.248 --> 00:14:25.349]  What right does he have to make such accusations?
[00:14:25.689 --> 00:14:28.850]  Now, the article goes on, but let's just stop right there.
[00:14:30.731 --> 00:14:38.173]  This celebrity gossip column just comes out and says that the majority of people disagree with Sheen.
[00:14:38.613 --> 00:14:40.033]  They show no evidence of that.
[00:14:40.373 --> 00:14:42.514]  They just state it as if it's the truth.
[00:14:43.277 --> 00:14:52.000]  And they also say basically that it's the general viewpoint that he is just an actor and that he's wrong.
[00:14:53.421 --> 00:14:58.143]  Here's another article out of the National Ledger that calls him Tom Cruise.
[00:14:58.503 --> 00:15:01.144]  I mean, that's how shoddy these writers are.
[00:15:01.989 --> 00:15:06.015]  Charlie Sheen wants a pass for the 9-11 conspiracy remarks.
[00:15:06.055 --> 00:15:14.266]  Two and a half men star Charlie Sheen is not happy that he was criticized after he joined the 9-11 conspiracy chorus on a national radio show last month.
[00:15:14.306 --> 00:15:17.811]  The comic actor tried to get serious and was...
[00:15:18.811 --> 00:15:27.053]  Sold as a credible voice by the conspiracy world as they deliberately seek publicity, any publicity, to get their wild 9-11 theories out.
[00:15:27.153 --> 00:15:39.855]  The wild theories that former German defense ministers and members of the Blair Cabinet and Congresswoman and, of course, scientists and doctors and the underwriters of the towers and it goes on and on.
[00:15:40.195 --> 00:15:46.256]  According to Contact Music UK, Cruz felt that the critics were not
[00:15:46.909 --> 00:15:48.629]  Warranted and wants a pass.
[00:15:49.270 --> 00:15:51.170]  So now they call him Tom Cruise.
[00:15:52.850 --> 00:15:56.291]  And right now, Ryan's writing an article about this in the office next to me.
[00:15:56.351 --> 00:16:08.034]  Ryan, be sure and point out that it's so shoddy that this writer, for a major publication, the National Ledger's pretty good size, gets it mixed up and is now calling him Tom Cruise.
[00:16:10.614 --> 00:16:13.375]  Now, so there's several points here.
[00:16:13.455 --> 00:16:13.635]  They...
[00:16:14.791 --> 00:16:17.572]  One minute he's Charlie Sheen, now he's Tom Cruise.
