[00:00:05.844 --> 00:00:06.505]  Big Brother.
[00:00:07.165 --> 00:00:08.226]  Mainstream media.
[00:00:08.926 --> 00:00:10.047]  Government cover-ups.
[00:00:10.708 --> 00:00:11.508]  You want answers?
[00:00:12.269 --> 00:00:13.209]  Well, so does he.
[00:00:13.830 --> 00:00:17.532]  He's Alex Jones on the GCN Radio Network.
[00:00:18.013 --> 00:00:22.136]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.256 --> 00:00:23.557]  Music
[00:00:31.858 --> 00:00:35.663]  Alright, I don't know how I'm going to cover all of this news today.
[00:00:35.723 --> 00:00:39.527]  This is going to be a massive broadcast, extremely important.
[00:00:40.908 --> 00:00:42.931]  It is Thursday, the 7th day of December.
[00:00:43.870 --> 00:00:47.573]  I'm thinking of December 7th, 1941.
[00:00:48.074 --> 00:00:55.339]  It is September 7th, 2006, ladies and gentlemen, and a very important broadcast lined up for you today.
[00:00:55.900 --> 00:01:00.583]  We have an Austin pastor who's gone public in the last year on 9-11 being an inside job.
[00:01:01.124 --> 00:01:09.851]  He's also written a book on the subject of the police state and the New World Order, America, Fascism, and God, Sermons from a Heretical Preacher.
[00:01:11.736 --> 00:01:14.837]  And so he is coming up later in the next hour.
[00:01:14.937 --> 00:01:23.319]  We also have one of our fine affiliate owners coming on who is doing a screening of Terror Storm.
[00:01:24.099 --> 00:01:31.680]  And so we'll have that guest on coming up in about 30 minutes, and we'll give you more details on both those guests after this first break.
[00:01:33.061 --> 00:01:35.641]  In the meantime, here's the type of news I have in front of me.
[00:01:35.961 --> 00:01:38.742]  Anderson Cooper's CIA secret.
[00:01:40.225 --> 00:01:42.546]  Here's another story out of the Chicago Tribune.
[00:01:43.046 --> 00:01:47.247]  Sterile victims stand up, decry legacy of eugenics.
[00:01:47.747 --> 00:01:49.368]  Chicago Tribune.
[00:01:52.168 --> 00:01:57.590]  President Bush, of course, yesterday, and we've got a clip of this we're going to play later, has come out and defended the secret CIA...
[00:01:58.795 --> 00:01:59.555]  Torture centers.
[00:01:59.595 --> 00:02:00.775]  But he says it isn't torture.
[00:02:00.815 --> 00:02:02.756]  We're just, quote, getting rough on them.
[00:02:03.116 --> 00:02:04.756]  You're not with Al Qaeda, are you?
[00:02:05.177 --> 00:02:15.259]  And he's also saying that conspiracy theorists are aiding the terrorists and that the terrorists are using conspiracy theories considering and concerning what really happened on 9-11.
[00:02:15.279 --> 00:02:19.620]  So we'll go through those reports as well.
[00:02:21.036 --> 00:02:22.878]  Here's a report out of Iran Focus.
[00:02:23.118 --> 00:02:24.138]  Iran says U.S.
[00:02:24.259 --> 00:02:26.560]  Israel ordered September 11th attacks.
[00:02:26.600 --> 00:02:39.810]  The Supreme Commander of Iran's Islamic Revolutionary Guard accused the Bush administration and Israel security services of ordering the September 11, 2001 attacks in New York and D.C.
[00:02:40.310 --> 00:02:46.295]  Of course, you know the news that Ahmedinejad has challenged Bush to a debate in the General Assembly.
[00:02:46.335 --> 00:02:47.536]  That will never happen.
[00:02:49.544 --> 00:02:53.007]  Yesterday we really had a bombshell report here.
[00:02:53.027 --> 00:03:02.515]  28-year career CIA official says that 9-11, clearly an inside job, highlights missing Pentagon trillions as potential motive.
[00:03:02.535 --> 00:03:07.859]  We'll be getting into that report for you after the break and a lot more.
[00:03:07.879 --> 00:03:13.183]  I also want to talk about a radio interview I did yesterday on KTSA 550.
[00:03:15.602 --> 00:03:30.611]  And the host, I guess Chris Duell, was friendly when I was on the phone with him, but then I had a chance to listen after I was off air as I drove in my car to the Alamo Draft House on South Lamar Movie Theater to give a speech and show my new film.
[00:03:31.452 --> 00:03:38.816]  And so I sat there in the parking lot and listened to 15 minutes of it, and Mr. Duell and another host from the station said,
[00:03:39.969 --> 00:03:56.739]  I had an interesting way of going after me, and I want to comment on the psychology that was manifest, and really how individuals like Mr. Duell and Mr. Ware, who were on the show, just don't have all the pieces of the puzzle.
[00:03:57.439 --> 00:04:08.546]  And I think they're genuinely starting to take serious what I have to say, and that's happening with more and more big mainstream radio hosts, but they still just can't come to grips with it, so I wanted to briefly...
[00:04:09.511 --> 00:04:10.492]  We're good to go.
[00:04:34.187 --> 00:04:35.248]  And there's so much more.
[00:04:35.688 --> 00:04:37.610]  I look at all the news here in front of me today.
[00:04:37.630 --> 00:04:40.913]  I'm going to attempt to cover it all in rapid succession.
[00:04:41.553 --> 00:04:42.714]  So stay with us.
[00:04:43.955 --> 00:04:46.277]  Huge, important broadcast lined up for you today.
[00:04:46.697 --> 00:04:58.207]  The websites are jonesreport.com, infowars.net, marshalllaw911.info, arnoldexposed.com, infowars.com, prisonplanet.com, prisonplanet.tv.
[00:05:02.139 --> 00:05:04.620]  This is Jack Blood with the Genesis Radio Network.
[00:05:04.741 --> 00:05:07.102]  I have an urgent message for all of our listeners.
[00:05:07.162 --> 00:05:13.346]  The mass media keeps telling us that we are the richest, most powerful economy in the world.
[00:05:14.826 --> 00:05:17.128]  If this is true, why can't we pay our bills?
[00:05:17.788 --> 00:05:21.330]  Why is the United States the world's largest debtor nation?
[00:05:21.870 --> 00:05:25.993]  The truth is that we are in the worst debt bubble in our nation's history.
[00:05:26.573 --> 00:05:29.535]  When the bubble bursts, will you be able to feed your family?
[00:05:30.518 --> 00:05:33.439]  When the inevitable crash occurs, will you be ready?
[00:05:34.179 --> 00:05:40.182]  Call Whitehurst International at 1-888-892-6238.
[00:05:40.422 --> 00:05:43.263]  That's 1-888-892-6238.
[00:05:43.503 --> 00:05:48.085]  For the following two free reports, U.S.
[00:05:48.165 --> 00:05:51.086]  Debt Bubble, Red Alert, and Real Estate Crash.
[00:05:52.046 --> 00:05:54.347]  Call 888-8XANADU.
[00:05:54.407 --> 00:05:58.588]  That's 888-8XANADU.
[00:05:58.929 --> 00:05:59.889]  And ask for George.
[00:06:00.805 --> 00:06:06.087]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:06:06.307 --> 00:06:08.388]  Your source for free solar electricity.
[00:06:08.608 --> 00:06:15.730]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:06:15.870 --> 00:06:27.374]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is unavailable.
[00:06:27.714 --> 00:06:28.515]  We're good to go.
[00:06:58.836 --> 00:07:07.006]  It's here, after a year in production and traveling to distant lands.
[00:07:07.346 --> 00:07:09.288]  My new film, Terror Storm, is complete.
[00:07:09.649 --> 00:07:17.218]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:07:17.981 --> 00:07:25.024]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:07:25.425 --> 00:07:36.890]  Terror Storm chronicles the lies that took us to war in Iraq, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:07:37.170 --> 00:07:40.672]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:07:41.132 --> 00:07:43.053]  It's an anthology of government crimes.
[00:07:43.393 --> 00:07:47.235]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:07:47.836 --> 00:07:59.640]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:08:01.141 --> 00:08:08.824]  The Genesis Communications Radio Network proudly presents the Alex Jones Show because there's a war on for your mind.
[00:08:11.078 --> 00:08:21.967]  We're good to go.
[00:08:37.185 --> 00:08:43.592]  At InfoWars.com we provide thousands and thousands of free streams of high quality audio for you.
[00:08:43.912 --> 00:08:48.217]  And we also now have a daily podcast of the entire three hour broadcast.
[00:08:48.237 --> 00:08:49.718]  You simply go subscribe to it.
[00:08:50.219 --> 00:08:51.160]  It's totally free.
[00:08:51.560 --> 00:08:57.727]  Just go to InfoWars.com and click on the podcasting button and it will take you to another page.
[00:08:58.087 --> 00:08:58.647]  We're good to go.
[00:09:26.065 --> 00:09:26.586]  We're good to go.
[00:09:26.746 --> 00:09:27.026]  I think?
[00:09:55.962 --> 00:10:18.830]  You remember back on the 10th of last month, or was it the 12th of last month, when I launched Operation Expose the Government Terrorists Part 2, the first time I launched that operation was two months before 9-11, and I said there was a lot of information, a lot of different indicators coming together showing us a prime opportunity
[00:10:21.076 --> 00:10:27.222]  window of terror attacks orchestrated by the military-industrial complex in the next two months.
[00:10:28.583 --> 00:10:29.444]  Two and a half months.
[00:10:30.545 --> 00:10:34.229]  That is from early last month until the end of October coming up next month.
[00:10:34.918 --> 00:10:42.343]  And we had a former top CIA analyst who ran an entire department of the CIA on yesterday, Bill Christensen.
[00:10:42.983 --> 00:10:48.487]  And he, of course, I talked to him during a break and hadn't even read my analysis on that subject.
[00:10:48.547 --> 00:10:51.029]  And I said, when do you see a prime window for attacks?
[00:10:51.089 --> 00:10:51.569]  And he said...
[00:10:52.262 --> 00:10:53.223]  In the next few months.
[00:10:53.683 --> 00:11:00.406]  And the other experts I've talked to, people who are currently in government, by the way, that I've talked to, off the record, see the same window.
[00:11:00.806 --> 00:11:07.589]  I mean, when you've been studying this for a long time, it's not really that hard to do.
[00:11:08.810 --> 00:11:11.711]  Their program to start World War III is stalling.
[00:11:13.152 --> 00:11:19.535]  There are a bunch of scandals threatening to bring down the current crime syndicate that's in control in Washington.
[00:11:21.022 --> 00:11:27.926]  They have midterm elections coming up and are in danger of having a lot of incumbents, both Democrat and Republican, being swept out.
[00:11:27.966 --> 00:11:32.448]  The establishment wouldn't care if it was just a Republican defeat and they kept their establishment Democrats in.
[00:11:32.728 --> 00:11:33.209]  No, no, no, no.
[00:11:33.289 --> 00:11:39.392]  It is 80 plus percent in major polls of the American people distrusting government at an all-time record high.
[00:11:39.712 --> 00:11:40.873]  The jig's up, boys!
[00:11:41.173 --> 00:11:42.614]  We know you're criminals, okay?
[00:11:43.014 --> 00:11:46.336]  And the majority of Americans now know you're murdering terrorists.
[00:11:47.133 --> 00:11:48.834]  You understand you're not going to stop us.
[00:11:49.414 --> 00:11:55.656]  And if you detonate a bomb in Chicago or Dallas or other prime targets, the CFR has mentioned, they love to brag.
[00:11:55.676 --> 00:11:56.697]  That's what psychopaths do.
[00:11:56.717 --> 00:11:58.518]  They like to, oh, this will probably get hit.
[00:11:58.558 --> 00:12:00.238]  And when it does, they go, see how smart we were.
[00:12:00.778 --> 00:12:02.059]  That's what these criminals are doing.
[00:12:02.079 --> 00:12:06.981]  That's one of the other big indices, indicator areas that we look at.
[00:12:08.301 --> 00:12:14.644]  So it is, I predicted that you would hear them right before the major attack, if they were going to go with a major attack,
[00:12:15.649 --> 00:12:17.629]  Okay, so we're seeing the key indicators now being laid out
[00:12:44.404 --> 00:12:55.749]  And we're seeing the same preparatory phase in the media, hyping, we're going to get hit, give up all your rights, martial law is good, anybody that criticizes the government is a terrorist, people that say 9-11 is an inside job are terrorists.
[00:12:56.269 --> 00:13:01.992]  We're seeing all of those key statements, key propaganda, preparatory actions being made.
[00:13:04.113 --> 00:13:05.714]  It doesn't look good.
[00:13:06.034 --> 00:13:13.097]  But at the same time, my prediction of government-sponsored terror, unless we get involved, that's the key addendum or caveat,
[00:13:14.429 --> 00:13:15.409]  Has been put out there.
[00:13:15.469 --> 00:13:17.390]  It's even been picked up by national television.
[00:13:17.430 --> 00:13:19.231]  It's been picked up by national newsprint.
[00:13:20.171 --> 00:13:23.192]  It has, thanks to you out there, really had a big effect.
[00:13:23.992 --> 00:13:28.814]  And so we may be able to stop them from nuking a city.
[00:13:28.854 --> 00:13:39.138]  That's their favorite, or releasing a bioweapon, which is in their own Pentagon documents, if they want to do that, to bring in martial law and capture us as an engine of global domination and hegemon.
[00:13:40.038 --> 00:13:40.198]  Now,
[00:13:43.260 --> 00:13:51.363]  If we're able to expose the government-sponsored terror attack paradigm in the West, which we have a chance of doing right now, though it doesn't look good.
[00:13:51.383 --> 00:13:52.644]  It looks like they're just going ahead with it.
[00:13:53.204 --> 00:13:54.544]  We may be able to back them off, though.
[00:13:55.365 --> 00:13:56.405]  I want to be clear about that.
[00:13:56.465 --> 00:13:57.925]  Please, expend all your energy.
[00:13:57.965 --> 00:13:58.626]  Take action.
[00:13:58.746 --> 00:13:59.546]  Inform everybody.
[00:13:59.846 --> 00:14:00.967]  Scream bloody murder now.
[00:14:01.567 --> 00:14:02.927]  Point out who the real criminals are.
[00:14:03.147 --> 00:14:05.428]  Because if we yell loud enough at them, it may scare them off.
[00:14:05.468 --> 00:14:07.289]  They may scurry off to another target.
[00:14:07.749 --> 00:14:10.010]  And that will be a massive terror attack in Israel.
[00:14:11.204 --> 00:14:20.207]  That will be a massive terror attack on a ship or a group of ships or an attack in even some place like Central Europe, Eastern Europe or Western Europe.
[00:14:20.587 --> 00:14:27.829]  And it may be a low intensity attack, a blowing up of a bus or something along those lines and then a connection to Iran.
[00:14:28.329 --> 00:14:31.170]  Though that may not be a big enough provocation to kick off World War III.
[00:14:32.933 --> 00:14:39.935]  Also, Israel's building up for a massive military offensive and announcing they may go into Lebanon and take over the entire country.
[00:14:40.355 --> 00:14:43.536]  Israel, of course, the last two weeks has announced they're getting ready to strike Iran.
[00:14:43.997 --> 00:14:45.237]  That could be the provocation.
[00:14:45.277 --> 00:14:49.098]  Just go ahead, right in front of everybody, attack Iran, and then drag the U.S.
[00:14:49.158 --> 00:14:54.760]  into it, and the general public switches back into mindless animal tribal groupthink again.
[00:14:56.184 --> 00:14:58.606]  And then Iran really could carry out some attacks.
[00:15:00.347 --> 00:15:07.652]  And as soon as that happens, as soon as there's an attack on Iran, conservatively, you're going to see a doubling in oil prices.
[00:15:08.613 --> 00:15:11.295]  And that will devastate the economy.
[00:15:11.995 --> 00:15:13.676]  So that's what we're facing right there.
[00:15:14.537 --> 00:15:21.242]  Bush is out hyping how they saved us from all these countless terror attacks and now detailing them.
[00:15:23.088 --> 00:15:25.760]  They are issuing, of course, more fake terror alerts.
[00:15:27.060 --> 00:15:34.025]  And the reason they need to do that before they stage another attack is so they can say, look, we saved you from all these other attacks.
[00:15:34.466 --> 00:15:36.867]  We can't stop every goal.
[00:15:37.468 --> 00:15:40.270]  We can't throw a no-hitter every time.
[00:15:40.730 --> 00:15:41.511]  We tried.
[00:15:41.571 --> 00:15:43.352]  You didn't give us the tools we needed.
[00:15:43.833 --> 00:15:47.015]  You blocked Patriot Act total expansion.
[00:15:47.455 --> 00:15:49.076]  And now it's your fault this happened.
[00:15:49.096 --> 00:15:55.241]  And I've heard the neocons on radio now reading off the script, most of them CIA, putting out,
[00:15:56.463 --> 00:15:57.904]  This type of propaganda.
[00:15:58.885 --> 00:16:00.966]  And let's be honest, most of those, quote, aren't CIA.
[00:16:01.146 --> 00:16:02.967]  They're just on government payroll.
[00:16:03.087 --> 00:16:03.708]  Let's be clear.
[00:16:04.128 --> 00:16:06.029]  They're not actually officers or agents.
[00:16:07.810 --> 00:16:08.451]  Or operatives.
[00:16:09.511 --> 00:16:09.991]  All right.
[00:16:10.872 --> 00:16:14.714]  Boy, I tell you, we're already 16 minutes in, and I don't know how I'm going to get to all of it.
[00:16:16.115 --> 00:16:16.776]  Here's a report.
[00:16:16.916 --> 00:16:18.757]  Anderson Cooper, CIA secret.
[00:16:19.497 --> 00:16:22.019]  CNN confirms the CIA passed.
[00:16:24.477 --> 00:16:30.400]  This is always an important subject because 400,000 plus women were sterilized in this country.
[00:16:31.921 --> 00:16:37.784]  If you made under a B plus and were from a single parent family, they would take you in for a quote medical exam.
[00:16:37.804 --> 00:16:42.867]  A lot of times they'd just knock you out without even letting you know that you were being put under.
[00:16:42.887 --> 00:16:47.430]  And well, here it is.
[00:16:47.530 --> 00:16:49.231]  It's out of the Chicago Tribune.
[00:16:50.772 --> 00:16:52.973]  And for some reason this has come back into the press.
[00:16:54.631 --> 00:17:02.156]  And the reason these type of stories are important is it shows the ruthlessness of the government and how these sterilizations were kept secret for 60 years.
[00:17:02.276 --> 00:17:06.679]  Now let's be clear, this was going on until the mid-1980s, but it went back into the 20s.
[00:17:07.239 --> 00:17:12.443]  And they kept it secret for 60 years, from the 20s until the 80s.
[00:17:14.008 --> 00:17:14.588]  60 plus years.
[00:17:14.628 --> 00:17:17.612]  And so I don't want to hear that you can't keep 9-11 secret.
[00:17:17.632 --> 00:17:19.334]  They kept the Manhattan Project secret.
[00:17:19.634 --> 00:17:23.079]  They kept black men even being given syphilis and allowed to spread it.
[00:17:23.519 --> 00:17:24.620]  Secret with Tuskegee.
[00:17:24.640 --> 00:17:25.982]  I can go through the drill.
[00:17:26.002 --> 00:17:27.063]  There's hundreds of examples.
[00:17:27.684 --> 00:17:31.629]  I'll do a whole show sometime where I dig up hundreds of examples and just go over them.
[00:17:33.476 --> 00:17:37.657]  I mean, they look at us like lunch meat on the shelf, folks, like a box of Cracker Jacks.
[00:17:37.957 --> 00:17:39.738]  We are literally a human resource.
[00:17:40.118 --> 00:17:47.780]  And when you start figuring out that the elite see us as absolute cattle and stop being naive, we can set about saving this country.
[00:17:49.721 --> 00:17:53.602]  Let me just briefly tell you about what happened on the radio yesterday.
[00:17:54.835 --> 00:18:18.980]  You know, I do interviews almost every day, some days multiple times, and I got a call they wanted me on KTSA 550, and back when I was anti-Bill Clinton, exposing Oklahoma City as an inside job, and back when I was exposing Waco as an inside job, and back when I was doing all that, they'd have me on their shows on KTSA, which is the biggest, if not the second largest, WAI and KTSA together are about the same size in the ratings.
[00:18:19.820 --> 00:18:21.200]  Point is, millions of people listen to it.
[00:18:22.114 --> 00:18:23.694]  And over the years, I was their darling.
