[00:00:18.612 --> 00:00:19.312]  People of the day!
[00:00:25.197 --> 00:00:27.839]  Kurt Lewis and Melanie Johnson reporting.
[00:00:28.480 --> 00:00:33.784]  One of the hostages has been identified as Paul Rubin, an American 39-year-old police officer.
[00:00:33.864 --> 00:00:40.449]  I think the great struggle we're going to have is between radicals and extremists versus people who want to live in peace.
[00:00:40.689 --> 00:00:45.596]  Sony Computer Entertainment President Kaz Hirai says there will be weekly shipments to try and meet U.S.
[00:00:45.616 --> 00:00:46.056]  demand.
[00:00:46.076 --> 00:00:51.644]  Our conference has come together with an appreciation for the opportunity to redefine who we are.
[00:00:51.664 --> 00:00:56.290]  As long as you have some fresh bread and you have some fresh ingredients in the fridge, throw it together any way you like.
[00:00:58.926 --> 00:01:00.568]  American hostages in Iraq.
[00:01:00.788 --> 00:01:03.110]  The President's APEC meetings in Vietnam.
[00:01:03.250 --> 00:01:05.032]  Boehner leads Republicans in the House.
[00:01:05.272 --> 00:01:07.134]  And PlayStation 3 mania.
[00:01:07.154 --> 00:01:11.878]  This is News Wrap USA's Week in Review edition for Friday, November 17th, 2006.
[00:01:12.899 --> 00:01:14.941]  Let's take a look at the top headlines.
[00:01:15.021 --> 00:01:23.949]  Four Americans and an Austrian working for a security contractor in Iraq have been kidnapped, but other hostages taken yesterday have been free, while another has reportedly been found dead.
[00:01:24.349 --> 00:01:31.051]  This comes as an American in civilian clothes has been killed by Iraqi police in what may have been a misunderstanding at the checkpoint.
[00:01:31.091 --> 00:01:39.573]  Speaking from Vietnam ahead of the Asia-Pacific Economic Cooperation Summit, President Bush today comparing the Iraq War to America's role in Vietnam.
[00:01:39.593 --> 00:01:49.795]  The President says his trip to the communist country nearly 30 years after a war that split America shows wounds caused by the current conflict in Iraq can be healed in time.
[00:01:49.955 --> 00:01:56.784]  The APEC Summit of 21 Nations will focus on trade and other global issues, including North Korea's pursuit of nuclear weapons.
[00:01:57.224 --> 00:02:02.831]  On Vietnam, President Bush is consulting with the leaders of four countries involved in the six-party talks with North Korea.
[00:02:03.132 --> 00:02:08.779]  He also appears to be prepared to bring up the Communist North's nuclear program in the general session that will wrap up on Sunday.
[00:02:09.039 --> 00:02:13.861]  As expected, House Republicans have selected Ohio's John Boehner to lead them in the new Congress.
[00:02:13.921 --> 00:02:15.621]  Boehner will become Minority Leader.
[00:02:15.681 --> 00:02:21.964]  Roy Blunt of Missouri will take on the title of Minority Whip when Democrats take over control of Congress in January.
[00:02:22.024 --> 00:02:30.267]  Residents of Elmora, North Carolina are cleaning up after Thursday's deadly tornado that killed at least 8 people and destroyed 40 homes.
[00:02:31.267 --> 00:02:34.148]  About 20,000 customers lost power in that salon.
[00:02:34.328 --> 00:02:38.609]  A high demand for that new PlayStation 3 has resulted in violence throughout the U.S.
[00:02:38.649 --> 00:02:44.091]  A 21-year-old man waiting in line to buy a game at a Connecticut Walmart was shot during a robbery attempt.
[00:02:44.471 --> 00:02:47.272]  A Wisconsin man trampled in a stampede of customers.
[00:02:47.752 --> 00:02:56.055]  eBay currently listing more than 10,000 units for sale, many of them from sellers who waited in long lines in hopes of making big bucks by reselling them.
[00:02:56.235 --> 00:03:00.237]  How have he started to reach their lowest level in more than six... That he used.
[00:03:00.617 --> 00:03:01.617]  They're shameful.
[00:03:02.117 --> 00:03:06.719]  I debated him, of course, Thursday on my weekday show, and I totally cleaned his clock.
[00:03:07.359 --> 00:03:10.161]  Every time he's faced with facts, he has to retreat.
[00:03:10.601 --> 00:03:14.963]  But that's the same thing that the rest of the people out there bashing 9-11 Truth do.
[00:03:15.303 --> 00:03:17.704]  And what's 9-11 Truth, for those that have been hiding under a rock?
[00:03:18.104 --> 00:03:23.346]  It's the people, the scientists, the former top CIA analysts, the members of Congress,
[00:03:23.966 --> 00:03:42.923]  who questioned the official story of 9-11 because the official story has been proven to be a huge giant lie from one side to the other from end to end so later we'll get into the amazing hit piece now this is a new pilot for a Saturday night special he's going to be doing
[00:03:44.162 --> 00:03:47.783]  I guess that's kind of a pun, because ManCow is a Saturday Night Special.
[00:03:48.123 --> 00:03:51.464]  Worthless and cheap and petty and nickel-plated.
[00:03:51.924 --> 00:03:52.824]  Alright, I'm digressing.
[00:03:52.864 --> 00:03:57.225]  For those who don't know, Saturday Night Special is a name for a cheap firearm you use to kill somebody.
[00:03:57.906 --> 00:04:11.029]  But Planet ManCow is the program, heavily hyped all week, and they started the show by saying that we're liars who live in backwoods shacks and tell lies.
[00:04:12.216 --> 00:04:16.260]  And I couldn't make it a few weeks ago for the taping because of family commitments.
[00:04:16.280 --> 00:04:17.421]  They had set me up for the show.
[00:04:17.441 --> 00:04:19.743]  I had forgotten a family commitment.
[00:04:19.823 --> 00:04:20.844]  I said, I'm canceling.
[00:04:21.144 --> 00:04:22.446]  They said, give us somebody else.
[00:04:22.486 --> 00:04:23.787]  And I said, okay, who am I going to be debating?
[00:04:24.147 --> 00:04:27.070]  And they said, a New York firefighter who thinks you're a liar.
[00:04:27.904 --> 00:04:31.848]  And I said, oh, you're trying to claim that we're against the firefighters, which isn't the case.
[00:04:32.169 --> 00:04:36.393]  The majority of firefighters agree with our view on 9-11 being an inside job.
[00:04:36.433 --> 00:04:39.116]  At the bare minimum, the vast majority know there's a cover-up.
[00:04:39.517 --> 00:04:44.222]  And I've got footage in New York on two separate trips where they're all running up to us in their dress blues.
[00:04:44.622 --> 00:04:45.122]  We're good to go.
[00:05:03.284 --> 00:05:05.445]  And they were claiming he was going to come on and call us liars.
[00:05:05.485 --> 00:05:07.107]  He didn't, indeed, do that.
[00:05:07.487 --> 00:05:10.649]  And it looks like we may be turning him over from the dark side to the light side here.
[00:05:11.150 --> 00:05:14.452]  But Mankow tried to imply, basically, again, it's us against the firefighters.
[00:05:14.753 --> 00:05:23.379]  That's one of many things that he did, and we're going to be exposing what Fox News did a little bit later in the broadcast.
[00:05:23.659 --> 00:05:29.564]  But we ought to be happy that Fox News is attacking us, and even Rush Limbaugh is commenting on this show.
[00:05:31.596 --> 00:05:32.237]  That's good.
[00:05:32.357 --> 00:05:34.038]  It shows that we're having an effect.
[00:05:34.358 --> 00:05:39.903]  The real conservatives, and that's me folks, that's my listeners, we're actually for controlling the borders.
[00:05:39.923 --> 00:05:41.384]  We're actually for the Second Amendment.
[00:05:41.804 --> 00:05:44.166]  We're actually against debasing the value of the dollar.
[00:05:44.547 --> 00:05:47.189]  We're actually against bankrupting this country.
[00:05:47.649 --> 00:05:50.952]  George Bush and his followers are not conservatives.
