[00:00:05.658 --> 00:00:09.861]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.521 --> 00:00:11.342]  You want answers?
[00:00:12.082 --> 00:00:13.043]  Well, so does he.
[00:00:13.643 --> 00:00:17.306]  He's Alex Jones on the GCN Radio Network.
[00:00:17.846 --> 00:00:21.929]  And now, live from Austin, Texas, Alex Jones.
[00:00:42.520 --> 00:00:44.161]  Welcome, ladies and gentlemen.
[00:00:44.521 --> 00:00:44.981]  Welcome.
[00:00:45.021 --> 00:00:49.805]  There have been new big developments in the Ed and Elaine Brown case.
[00:00:51.266 --> 00:00:53.328]  In the last few minutes, the feds ended a
[00:00:54.511 --> 00:00:58.675]  Press conference that was not carried by local radio or TV that we could find.
[00:00:59.255 --> 00:01:09.385]  We are waiting for either individuals that were at the press conference, local patriots, local members of the truth community, to call into this show to let us know what happened.
[00:01:09.805 --> 00:01:15.010]  We're waiting for the mainstream media to file stories on what the feds reportedly said,
[00:01:15.570 --> 00:01:28.474]  The local TV stations generally post later file reports with snippets from the news conferences, so you will be assured that in the next three hours during this transmission, we will detail exactly what happened to them.
[00:01:28.774 --> 00:01:29.555]  We know this.
[00:01:30.615 --> 00:01:39.458]  At around 7.30 Eastern last night, the Feds in over 40 SUVs descended on the Browns' home.
[00:01:40.698 --> 00:01:42.999]  They claim that no violence took place.
[00:01:43.059 --> 00:01:44.599]  The neighbors say they didn't hear shots.
[00:01:44.659 --> 00:02:02.325]  That sounds like, that's the way I figured the feds would take them if they were successful, quote, local patriots visiting them that were able to get in, that the feds opened the roadblocks for, would then draw down on them, taser them from behind, beat them from behind, you know, put guns to their heads and apprehend them that way.
[00:02:03.564 --> 00:02:09.328]  I do not yet know if that is the case, but I'd say there's about a 90% chance that that is the case.
[00:02:09.589 --> 00:02:20.517]  We hope that's the case because they could have actually been violent with them with firearms and then just told the neighbors to lie or the neighbors may not have heard the gunshots if they were inside watching television.
[00:02:21.457 --> 00:02:23.699]  We don't know exactly what happened.
[00:02:24.039 --> 00:02:31.225]  The AP, Reuters, the local newspapers are reporting a tense five-month standoff ended peacefully last night when U.S.
[00:02:31.265 --> 00:02:32.846]  Marshals took custody of
[00:02:33.406 --> 00:02:37.647]  Convicted tax evaders Ed and Elaine Brown at their Plainfield home, authorities announced.
[00:02:38.007 --> 00:02:40.867]  We had no identification that the Browns intended to voluntarily surrender.
[00:02:41.308 --> 00:02:41.508]  U.S.
[00:02:41.548 --> 00:02:48.429]  Marshal Stephen Monnier said in a statement, so we had to move forward with an operation that promised the safest possible outcome.
[00:02:48.989 --> 00:02:50.849]  That day was today.
[00:02:51.349 --> 00:02:53.070]  The arrest occurred without incident around 745.
[00:02:54.030 --> 00:02:59.411]  He said, high-profile situations like this are always difficult, but they don't have to be tragic.
[00:03:00.046 --> 00:03:04.750]  I'm glad no one was injured and that the community remained safe throughout the operation, Monnier said.
[00:03:05.030 --> 00:03:06.711]  The Browns were turned over to the U.S.
[00:03:06.731 --> 00:03:12.836]  Bureau of Prisons last night and will begin serving their 63-month federal prison term, Monnier said, in June.
[00:03:13.076 --> 00:03:17.120]  He said the Browns would eventually be charged with obstruction of justice for resisting arrest.
[00:03:18.781 --> 00:03:21.363]  Now, this is stuff he said last night.
[00:03:23.525 --> 00:03:26.207]  This came out in the early morning hours.
[00:03:26.367 --> 00:03:29.069]  This Boston Globe report is nine hours old.
[00:03:29.699 --> 00:03:31.701]  So I guess that came out about 2 or 3 in the morning.
[00:03:32.762 --> 00:03:36.185]  Were you at the press conference there at the federal courthouse?
[00:03:38.027 --> 00:03:39.688]  Have you seen local news reports?
[00:03:39.808 --> 00:03:41.970]  Because, again, there's too much for us to keep track of here.
[00:03:42.571 --> 00:03:49.177]  Specifically, if you have documented evidence of what they said at the press conference that we don't even know took place an hour ago.
[00:03:49.217 --> 00:03:50.698]  They said they would do it last night.
[00:03:51.299 --> 00:03:52.580]  Were you there in Plainfield?
[00:03:52.600 --> 00:03:53.841]  Can you call in right now?
[00:03:53.941 --> 00:03:54.902]  Please, don't call in.
[00:03:56.236 --> 00:04:03.420]  About any other subject right now, I want to know about this.
[00:04:03.440 --> 00:04:03.660]  1-800-259-9231.
[00:04:03.680 --> 00:04:10.344]  We don't normally screen calls, but John, find out what they're calling about.
[00:04:10.364 --> 00:04:11.064]  1-800-259-9231.
[00:04:11.845 --> 00:04:14.586]  Obviously, I have a lot of other really big news to cover here.
[00:04:15.947 --> 00:04:25.152]  And coming up on the show today, we have Dave Mustang, the lead singer, the founder,
[00:04:26.076 --> 00:04:31.499]  The writer for Megadeth, reportedly going to be joining us.
[00:04:31.559 --> 00:04:32.359]  He's on the road.
[00:04:33.360 --> 00:04:35.521]  And they guarantee if it isn't today, it'll be Monday.
[00:04:35.881 --> 00:04:38.463]  But we'll see if Dave Mustang joins us.
[00:04:38.523 --> 00:04:41.784]  Generally, these hard-to-pin-down guests do.
[00:04:43.145 --> 00:04:43.585]  And why?
[00:04:43.645 --> 00:04:45.887]  Because he's come out with an anti-New World Order album.
[00:04:47.627 --> 00:04:52.670]  But what's interesting is, he was doing anti-New World Order albums 16, 17, 18 years ago.
[00:04:55.988 --> 00:04:57.789]  So we'll be talking to Dave Mustang today.
[00:04:57.869 --> 00:05:00.270]  Ron Paul, too, in the second hour.
[00:05:03.111 --> 00:05:04.171]  The war on terrorism.
[00:05:04.492 --> 00:05:07.273]  Will it be fought overseas or will it affect us here at home?
[00:05:07.533 --> 00:05:11.694]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:05:12.115 --> 00:05:12.935]  So what do you do?
[00:05:13.255 --> 00:05:17.837]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:05:18.317 --> 00:05:20.439]  With a little know-how, it's not that difficult.
[00:05:20.940 --> 00:05:21.821]  Sheltering in Place!
[00:05:22.221 --> 00:05:35.634]  Surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:05:35.674 --> 00:05:42.741]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:05:43.081 --> 00:05:47.488]  Get this critical video every American needs for only $29 plus shipping.
[00:05:47.928 --> 00:05:49.711]  Order by calling New Millennium today at 888-803-4438.
[00:05:49.731 --> 00:05:49.951]  That's 888-803-4438.
[00:05:50.031 --> 00:05:51.574]  Or order on the web at Berkeywater.com.
[00:06:04.372 --> 00:06:09.858]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:06:10.219 --> 00:06:17.807]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:06:18.536 --> 00:06:25.600]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:26.001 --> 00:06:37.387]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:37.728 --> 00:06:41.390]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:41.670 --> 00:06:43.651]  It's an anthology of government crimes.
[00:06:43.951 --> 00:06:47.734]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:48.394 --> 00:06:55.838]  Get your copy today on InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:07:02.927 --> 00:07:08.889]  Each night when you sleep, your body uses the time to restore itself so that you could wake up feeling renewed.
[00:07:09.429 --> 00:07:11.810]  But wouldn't it be nice to also wake up looking younger?
[00:07:12.270 --> 00:07:20.013]  Now there's NightSkin, a serum that goes on while you sleep to reduce age spots, reduce the appearance of wrinkles, and moisturize the skin.
[00:07:20.553 --> 00:07:27.095]  NightSkin was made by Dr. Arthur Perry, a board-certified cosmetic surgeon, as an alternative to some invasive surgeries.
[00:07:27.595 --> 00:07:32.819]  It has real ingredients that have been shown to reduce the signs of aging and fight natural sun damage.
[00:07:33.480 --> 00:07:35.081]  All while you get a good night's sleep.
[00:07:35.521 --> 00:07:40.785]  Try NightSkin today and see what it's like to wake up feeling renewed both inside and out.
[00:07:41.125 --> 00:07:43.867]  Try NightSkin risk-free by calling 1-800-894-3418.
[00:07:44.208 --> 00:07:48.811]  NightSkin is guaranteed to renew your skin overnight.
[00:07:49.071 --> 00:07:51.293]  Turning back the clock has never been this easy.
[00:07:51.653 --> 00:07:53.595]  Try NightSkin risk-free today.
[00:07:54.015 --> 00:07:54.375]  Call 1-800-894-3418.
[00:07:57.537 --> 00:07:59.778]  That's 1-800-894-3418.
[00:08:02.439 --> 00:08:08.461]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:09.081 --> 00:08:12.122]  It's Alex Jones and the GCN Radio Network.
[00:08:19.804 --> 00:08:22.385]  I've been a little busy today.
[00:08:23.667 --> 00:08:33.074]  Because I found out that somebody in the chain of custody in Austin or in New York ripped off a copy of Endgame and we're starting to put it up on the web.
[00:08:33.374 --> 00:08:37.617]  I guess they mean well, but that will really devastate us here if someone does that.
[00:08:38.377 --> 00:08:44.281]  I mean, we put this stuff out for free, but first we've got to sell a few DVDs and have it for members, folks, in higher quality.
[00:08:44.621 --> 00:08:46.943]  So I've been busy dealing with that, scrabbling around.
[00:08:47.423 --> 00:08:49.104]  And don't worry, it's been taken down, folks.
[00:08:49.164 --> 00:08:51.106]  And I've been scanning for it.
[00:08:51.126 --> 00:08:52.807]  It had been up a few hours before I caught it.
[00:08:54.497 --> 00:08:56.798]  I mean, stuff like that happens, there won't be a film to come.
[00:08:56.818 --> 00:08:57.218]  You understand?
[00:08:57.258 --> 00:09:03.621]  We're that close to the margin of being able to operate here.
[00:09:05.462 --> 00:09:06.883]  But that's a side issue.
[00:09:08.004 --> 00:09:15.487]  Whoever does that, or whoever's got copies, if I catch you distributing copies before it comes out, I'm going to come after you.
[00:09:17.388 --> 00:09:18.228]  So you need to know that.
[00:09:18.288 --> 00:09:21.410]  I spent 14 months, and let's just say,
[00:09:22.877 --> 00:09:24.699]  Well over what Terror Storm cost.
[00:09:24.719 --> 00:09:25.860]  I don't even want to say how much.
[00:09:27.121 --> 00:09:27.441]  Okay?
[00:09:27.941 --> 00:09:31.324]  I have exhausted my limited treasury making Endgame.
[00:09:32.305 --> 00:09:35.167]  And I need to make money back so I can make another film.
[00:09:39.791 --> 00:09:43.333]  Anyways, I was just enraged early this morning to discover this.
[00:09:44.254 --> 00:09:45.315]  Totally enraged.
[00:09:51.135 --> 00:09:53.677]  And then I was very upset to hear about what happened to Browns.
[00:09:54.497 --> 00:09:58.560]  We've got Dave Mustang of Megadeth coming up later because he's gone totally anti-New World Order.
[00:09:59.160 --> 00:10:02.062]  And it looks like 9-11 Truth will have him on, Lord willing.
[00:10:02.602 --> 00:10:06.465]  Ron Paul will be on with us in the second hour today as well.
[00:10:06.985 --> 00:10:11.088]  We have two notoriously sketchy guests popping in, and I'm sure one of them will.
[00:10:12.769 --> 00:10:13.509]  These are both busy.
[00:10:13.529 --> 00:10:19.333]  One of them's on the road, one of them's in Congress right now, and running a presidential campaign, and just raised close to six mil
[00:10:20.327 --> 00:10:20.667]  I think so.
[00:10:40.160 --> 00:10:47.823]  But in the first segment I was saying we couldn't find the newscast online, we couldn't find the press conference by the Feds.
[00:10:47.903 --> 00:10:49.143]  Paul Watson did.
[00:10:49.683 --> 00:10:52.124]  It's up on PrisonPlanet.com right now.
[00:10:52.144 --> 00:10:58.486]  Paul Watson was able to find the press conference, he was able to find the reports.
[00:10:59.281 --> 00:11:12.766]  And so, oh, Steve Watson was as well, so it's up on Infowars.net, that's Infowars.net, originating at Infowars.net, and on PrisonPlanet.com, PrisonPlanet.com right now.
[00:11:13.506 --> 00:11:20.149]  Browns were duped by Trojan horse marshals posing as supporters, open door policy allowed officials,
[00:11:21.460 --> 00:11:25.421]  You mean Feds to walk in and arrest Ed and Elaine Brown.
[00:11:25.801 --> 00:11:28.342]  Tax protesters Ed and Elaine Brown were tricked by U.S.
[00:11:28.382 --> 00:11:31.703]  Marshals who entered their home yesterday afternoon posing as supporters.
[00:11:31.983 --> 00:11:33.023]  And I kept saying that.
[00:11:33.743 --> 00:11:36.084]  I mean, you know, you'll have the Browns with 20 people around them.
[00:11:36.544 --> 00:11:38.185]  That pistol in your belt meant nothing.
[00:11:38.565 --> 00:11:41.286]  And they're just going to pull it out and pistol whip you and it's going to be the end of it.
[00:11:41.306 --> 00:11:45.887]  Remember I said 10 minutes ago there's a 90% chance that's what happened.
[00:11:45.907 --> 00:11:46.427]  Well, here it is.
[00:11:47.159 --> 00:11:49.540]  Tax protesters Ed and Elaine Brown were tricked by U.S.
[00:11:49.580 --> 00:11:53.020]  Marshals who entered their home yesterday afternoon posing as supporters.
[00:11:53.421 --> 00:12:02.783]  The Marshals entered the house at a time when there were no other supporters present and catching the Browns off guard were able to arrest them and remove them from the property.
[00:12:03.303 --> 00:12:15.446]  As we reported earlier this morning the speculation was the Browns were infiltrated and tricked before violently subdued as authorities refused to provide any details behind their arrest beside the fact that they did not peacefully surrender.
[00:12:17.754 --> 00:12:31.464]  And it still goes on, but it has now been reported by WMUR News that, here's the quotes from the federal marshals, and we'll go to Paul Watson, let's see if we can get Steve on because he saw this.
[00:12:31.964 --> 00:12:34.806]  Ultimately, and then go up to Infowars.net right now for me,
[00:12:35.914 --> 00:12:37.355]  John, go ahead and grab that newscast.
[00:12:37.815 --> 00:12:49.606]  Ultimately, the open-door policy that they seemed to have, which allowed the Browns to have some supporters bring them supplies, welcome followers, and even host a picnic, this proved to be their undoing.
