[00:00:08.599 --> 00:00:09.860]  Monday through Friday from 11 a.m.
[00:00:09.860 --> 00:00:11.081]  until 2 p.m.
[00:00:11.081 --> 00:00:12.182]  Central Standard Time.
[00:00:12.182 --> 00:00:20.468]  We're here live and re-streamed on the web at PrisonPlanet.com and InfoWars.com.
[00:00:20.468 --> 00:00:23.811]  Well, my guest really needs no introduction.
[00:00:23.811 --> 00:00:25.973]  She's a more modern feminist, you could say.
[00:00:25.973 --> 00:00:37.502]  I agree with reports she's put out and analysis she's done about how destructive pornography is for both men and women, and her analysis fits with the scientific reports I've seen, which of course she covered, where
[00:00:38.439 --> 00:00:46.582]  This is what we have her on about today, but I'm saying she's very accomplished about how it doesn't turn men into these raving rapists like people thought it would 50 years ago.
[00:00:46.582 --> 00:00:51.944]  It actually turns them into men who don't interface with the women in their lives and who live in a fantasy land.
[00:00:51.944 --> 00:00:55.925]  It's very destructive for men, not just women, but that's some of the stuff she's written about.
[00:00:55.925 --> 00:01:06.469]  She's written multiple best-selling books, as I'm sure many of you know, and now she has valiantly come out and put out a new book, The End of America.
[00:01:07.962 --> 00:01:15.805]  And she also has written an essay called Fascist America in 10 Easy Steps.
[00:01:15.805 --> 00:01:23.107]  And we have links to Amazon.com where you can get her book and a lot more up on Infowars.com.
[00:01:23.107 --> 00:01:25.068]  Naomi Wolf, thanks for coming on with us.
[00:01:25.068 --> 00:01:27.949]  Thank you so much, Alex, for having me.
[00:01:27.949 --> 00:01:36.572]  When did you start to wake up to the police state that's really accelerated its expansion under the Bush administration in the last seven years?
[00:01:37.481 --> 00:01:48.580]  Yeah, well it was definitely not something I wanted to think about, but I have a friend who's the daughter of Holocaust survivors and she kept insisting when we talked about news events
[00:01:49.048 --> 00:01:49.768]  I don't know.
[00:02:09.974 --> 00:02:14.216]  1930, 31, 32, when Germany was a parliamentary democracy.
[00:02:14.216 --> 00:02:15.196]  Yes, a fragile one.
[00:02:15.196 --> 00:02:16.677]  The Weimar Republic.
[00:02:16.677 --> 00:02:17.477]  Exactly.
[00:02:17.477 --> 00:02:27.641]  But a small group of people began, very systematically, to use the law and dismantle the Constitution and put pressure on citizens to subvert the law.
[00:02:27.641 --> 00:02:29.722]  And that opened the door for everything to follow.
[00:02:29.722 --> 00:02:36.544]  And then when I started reading this, I saw that not only were tactics and strategies being reproduced exactly,
[00:02:36.944 --> 00:02:47.552]  Right now by the Bush administration, but that actual soundbites and language and images and scenarios and film moments are being reproduced.
[00:02:47.552 --> 00:03:00.241]  And then to summarize quickly, I looked at other times and places where would-be dictator, whether on the left or the right, wanted to close down a democracy or crush a pro-democracy movement.
[00:03:00.641 --> 00:03:16.393]  And I looked at Italy in the 20s, I mentioned Germany in the 30s, Russia in the 30s, East Germany in the 50s, Czechoslovakia in the 60s, China's crackdown on the democracy movement in the 80s, Pinochet's coup in Chile in 1973, and what I saw, Alex, was that there is a blueprint!
[00:03:16.393 --> 00:03:23.739]  I mean, that everybody who wants to close down a democracy does the exact ten things, the ten classic steps.
[00:03:24.139 --> 00:03:30.162]  And that unfortunately, I'm sorry to say we're seeing each of these 10 steps being put in place in the United States today.
[00:03:30.162 --> 00:03:38.926]  And you've pointed out, and I've interviewed actual special forces colonel commanders from Vietnam and other places where this has been carried out and people who are involved in death squads in Latin America.
[00:03:39.786 --> 00:03:53.300]  That our own government, not just the School of America's for Latin America and Fort Benning, Georgia, but other military bases and other spy schools and other officer training schools for foreign cadets are actually training the world.
[00:03:53.300 --> 00:03:53.860]  The U.S.
[00:03:53.860 --> 00:04:01.888]  for the last 50 years has been covertly, but now it's accelerating, training the world how to carry out these very policies, this very blueprint.
[00:04:02.805 --> 00:04:06.768]  Yeah, it's very, very distressing, especially if you're a patriot.
[00:04:06.768 --> 00:04:18.135]  And, you know, we can live in this bubble, as I did until I was, you know, 43 and started researching this, where you really think, you know, we are a force for good in the world, and we should be, and often we are.
[00:04:18.135 --> 00:04:22.218]  But what you've just said is horrifically true, I'm sorry to say, that the great dictators
[00:04:22.578 --> 00:04:23.439]  Yeah, I think so.
[00:04:39.876 --> 00:04:41.116]  No, no, no, going back!
[00:04:58.022 --> 00:05:16.837]  Really incredible lesson that since we turned a blind eye as citizens to how we were exporting this all over the world, paradoxically we don't recognize, because we're not in practice, we don't recognize these blinking red warning lights happening right now at home that democracy activists all over the world can recognize.
[00:05:16.837 --> 00:05:21.800]  And they're going, oh my god, no, you know, don't let the executive have more power to declare martial law.
[00:05:21.800 --> 00:05:27.585]  Don't let the executive have more power to round up his political opponents and put them in solitary confinement for three years.
[00:05:28.755 --> 00:05:44.180]  Now, going back to the roots of this with Hitler, and he was of course expanding on other systems of control, going back to the Romans, he adopted a lot of the, and I've read Heinz Hobel's War of the Deathshead, a lot of the Jesuits systems for controlling countries.
[00:05:44.700 --> 00:05:48.644]  And so Hitler was building on a lot of sciences that had been developed before he came along.
[00:05:48.644 --> 00:05:55.590]  But I'm sure you know this, and I haven't finished your book yet, and I'm wondering what's in there, that Prescott Bush was actually the head Nazi agent.
[00:05:55.590 --> 00:05:58.413]  The U.S., the McCormick-Dickstein committees exposed this.
[00:05:58.413 --> 00:06:06.020]  The guy that was about to be the Marine Corps Commandant, Brigadier General Smedley Butler, they tried to hire him to overthrow the government and set up a fascist dictatorship.
[00:06:06.440 --> 00:06:16.463]  So to see Bush even calling it homeland security, it was fatherland security there, setting up a homeland security, which is the Gestapo slash SS, I mean they're really going down the line.
[00:06:16.463 --> 00:06:25.545]  And when you learn, and I'm asking did you know this, that the Bush's actually got their first seed money from Fritz Thiessen, the man who bankrolled Hitler.
[00:06:25.545 --> 00:06:31.207]  Well, I have to say as you're speaking, you know, I'm very rarely at a loss for words, Alex, but I'm so
[00:06:31.903 --> 00:06:32.404]  We're good to go.
[00:06:54.938 --> 00:06:55.979]  Oh, yes, I'm here, Naomi.
[00:06:55.979 --> 00:06:56.579]  Okay.
[00:06:56.579 --> 00:07:23.054]  There was, as you just said very bravely to, you know, thousands of listeners, there was a scheme in the 30s, and Prescott Bush was one of the leaders of this scheme, industrialist, who admired fascism, and who thought it was a good idea to have a coup in the United States, along the lines of the coup that they saw taking place so profitably for corporations in Italy and in Germany, and you are
[00:07:23.454 --> 00:07:37.062]  A hundred percent right that Smedley Butler, and actually I have a good friend who's reporting this out and has access to the original document, so he's telling me about Smedley Butler even as you're speaking, so it's like this, you know, truth is just like coming out all over the place.
[00:07:37.062 --> 00:07:40.164]  Smedley Butler had gone along with violent regime change
[00:07:40.905 --> 00:07:41.245]  I don't think so.
[00:08:00.098 --> 00:08:00.458]  I don't think so.
[00:08:19.152 --> 00:08:29.021]  We're about to be brought to trial and sent to prison if there was a moment at which they were going to look into turning the spotlight on their American partners.
[00:08:29.021 --> 00:08:45.975]  And that's why when I look at the laws that the Bush White House has drafted, like the Military Commissions Act of 2006, which are so consciously designed to protect Bush and his co-conspirators from being indicted for war crimes, just as the Nuremberg conspirators were indicted for war crimes,
[00:08:46.655 --> 00:08:49.097]  That seems to me to resonate from the family history.
[00:08:49.097 --> 00:08:58.481]  The family history is you can make so much money, you know, uniting corporate interests with a fascist state that violently represses people.
[00:08:58.481 --> 00:09:14.530]  And that's why when I saw, you know, the recycling of so much Nazi language, Nazi tactics, Nazi strategies, Nazi imagery in the Bush White House, and then finally, belatedly, people brought to me this history of the Prescott Bush attempt to kill Ann Smedley Butler's revelations.
[00:09:14.969 --> 00:09:16.410]  It just gave me absolute chills.
[00:09:16.410 --> 00:09:19.554]  It gives me chills to hear you say it out loud.
[00:09:19.554 --> 00:09:23.117]  Is this the first time you've spoken about it?
[00:09:23.117 --> 00:09:34.969]  I have sort of skirted the issue as I've been waiting to get enough research that is sound to have a public conversation about it.
[00:09:35.999 --> 00:09:39.940]  You have very bravely dragged the subject out into a public conversation.
[00:09:39.940 --> 00:09:43.881]  I'm now confident enough of the data to confirm exactly what you're saying.
[00:09:56.701 --> 00:10:01.928]  Just so you know, if you go to Google Video, no need to buy the DVD from Infowars.com.
[00:10:01.928 --> 00:10:03.109]  That would be nice.
[00:10:03.109 --> 00:10:04.231]  I'll send you one for listeners.
[00:10:04.231 --> 00:10:07.054]  It's nice to have the high quality digital DVD.
[00:10:07.054 --> 00:10:13.743]  If you go to Google and type Marshall Law in and click Video Naomi, I made a three hour film about this.
[00:10:13.743 --> 00:10:14.985]  The last hour is about it.
[00:10:15.666 --> 00:10:16.327]  Are you serious?
[00:10:29.751 --> 00:10:34.715]  And BBC Radio and TV, so it's now... You're the guy who brought it out that the BBC picked it up from?
[00:10:34.715 --> 00:10:35.515]  That's amazing!
[00:10:35.515 --> 00:10:39.218]  Well, no, no, let me give credit where credit's due.
[00:10:39.218 --> 00:10:56.730]  Webster Tarpley, I already read this and talked about it, but Tarpley, about 12 years ago, did the main research, and then Mr. Buchanan, who I interviewed for the film with John Buchanan, he actually went to verify, and we went with him, to the National Archives.
[00:10:57.430 --> 00:10:58.251]  Oh my God!
[00:10:58.251 --> 00:11:00.032]  I'm listening.
[00:11:00.032 --> 00:11:09.560]  And since then we've gotten the actual clips of newsreel 18mm footage from the McCormick-Dickstein Committee.
[00:11:09.560 --> 00:11:10.541]  No!
[00:11:10.541 --> 00:11:11.721]  You're kidding!
[00:11:11.721 --> 00:11:12.022]  Yes.
[00:11:12.022 --> 00:11:14.444]  Oh my God, I've got to see this material.
[00:11:14.444 --> 00:11:16.105]  It's dangerous.
[00:11:16.105 --> 00:11:16.946]  We've got to bring this out.
[00:11:16.946 --> 00:11:19.908]  I've got a friend who is standing by to make
[00:11:20.288 --> 00:11:21.188]  We're good to go.
[00:11:45.437 --> 00:11:53.943]  Dimensionality of plausibility to something that is, until you have this kind of personal history confirmation, is circumstantial evidence.
[00:11:53.943 --> 00:11:54.984]  Oh my gosh.
[00:11:54.984 --> 00:12:07.393]  Now I want to, yeah, but for your research, London Guardian, and then you can expand out from there to BBC, and it was also picked up by three U.S.
[00:12:07.393 --> 00:12:12.777]  newspapers, but they're local dailies, so it's all been vetted out.
[00:12:13.837 --> 00:12:14.638]  No, I don't.
[00:12:28.156 --> 00:12:44.099]  And then it gets into Texas history, and even family that I talked to who didn't know what they were seeing in Midland after World War II, but was telling me about this when I was a little kid, and now all this comes out about how there were all these Nazis everywhere, and it's just... No, Alex, you're kidding me.
[00:12:44.099 --> 00:12:47.320]  Can we talk afterwards and follow up more about this?
[00:12:47.320 --> 00:12:47.820]  Absolutely.
[00:12:47.820 --> 00:12:52.021]  I get off at about 3 Eastern, I don't know what time zone you're in,
[00:12:52.501 --> 00:13:01.126]  This is really important, because, I mean, truly, what is so disturbing about the research that I found isn't the broad breaststrokes, and that's bad enough.
[00:13:01.126 --> 00:13:04.908]  But what is really disturbing are these minute fingerprints.
[00:13:04.908 --> 00:13:10.170]  Like, you look at, you know, they unloaded coffins at night in Germany, we unload coffins at night.
[00:13:10.170 --> 00:13:14.173]  They pioneered the embedding of reporters, we pioneered the embedding of reporters.
[00:13:14.173 --> 00:13:15.313]  Stop right there!
[00:13:15.313 --> 00:13:16.974]  Let's go through the ten steps while we have time.
[00:13:16.974 --> 00:13:17.414]  Go ahead.
[00:13:17.414 --> 00:13:18.715]  You've got the floor.
[00:13:18.715 --> 00:13:19.255]  Yeah, thank you.
[00:13:21.781 --> 00:13:24.964]  I'm sorry, I'm just like still reeling from what you're saying.
[00:13:24.964 --> 00:13:25.925]  Well, I understand, yeah.
[00:13:25.925 --> 00:13:26.425]  It's big.
[00:13:26.425 --> 00:13:29.128]  I mean, also, I'm not putting these pieces together.
