[00:00:02.891 --> 00:00:07.133]  It is Friday, the 21st day of December, 2007.
[00:00:07.133 --> 00:00:08.533]  I'm Alex Jones, your host.
[00:00:08.533 --> 00:00:14.755]  Third hour, wide open phones in this hour for Daniel Estelin.
[00:00:14.755 --> 00:00:17.056]  So any question you'd raise to me, you can raise to him.
[00:00:17.056 --> 00:00:19.037]  He's an expert on the New World Order.
[00:00:19.037 --> 00:00:23.118]  He'll give us any new info he's learned since last week.
[00:00:23.118 --> 00:00:24.919]  Last Friday, we dropped the bombshell on us.
[00:00:26.099 --> 00:00:35.025]  About high-level people inside intelligence saying the elite at the highest levels are discussing what would happen if they killed Ron Paul if he was removed.
[00:00:35.025 --> 00:00:40.509]  We'll talk about where the Bilderberg Group is going in the future, where their agenda is right now.
[00:00:40.509 --> 00:00:42.871]  There's big international attacks on Putin right now.
[00:00:43.658 --> 00:00:47.361]  They're reporting that he's stolen $40 billion from the Russian Treasury.
[00:00:47.361 --> 00:00:49.643]  I've got some news on that today.
[00:00:49.643 --> 00:00:54.266]  Also, how they're now rolling out the big police state and admitting the NSA is watching everyone.
[00:00:54.266 --> 00:00:56.468]  Why does Daniel think that that's happening?
[00:00:56.468 --> 00:01:00.110]  But the main reasons he's here is to take your calls.
[00:01:00.110 --> 00:01:06.755]  And he's also the author, of course, of the best-selling book, The True Story of the Bilderberg Group, available at InfoWars.com.
[00:01:06.755 --> 00:01:09.217]  We still have it in stock for a limited time.
[00:01:09.217 --> 00:01:10.178]  Daniel, thanks for coming on.
[00:01:10.806 --> 00:01:11.928]  Great to be with you Alex again.
[00:01:11.928 --> 00:01:12.548]  Thanks for having me.
[00:01:26.380 --> 00:01:29.621]  Vladimir Putin, they're really going after him in the press.
[00:01:29.621 --> 00:01:34.701]  The London Guardian's claiming that he ran off with $40 billion and he's bad.
[00:01:34.701 --> 00:01:42.583]  I'm not saying he's good or bad, but now four states are seceding that the Indians really do own, the Native Americans, here in the U.S.
[00:01:42.583 --> 00:01:45.843]  Putin's saying he's going to back that secession because the U.S.
[00:01:45.843 --> 00:01:51.284]  is backing the Kosovo secession from Serbia.
[00:01:51.284 --> 00:01:52.064]  What do you think about that?
[00:01:55.786 --> 00:02:08.279]  If anyone stole anything, I think it's the men behind the curtains, the Bilderbergers in the 1990s when they tried to destroy Russia by using their men, which was, of course, Yeltsin.
[00:02:08.279 --> 00:02:12.084]  They basically took away anything that wasn't tied down or nailed down to the floor.
[00:02:12.084 --> 00:02:15.167]  And based upon the information, I think a lot of it has come out in the press.
[00:02:15.947 --> 00:02:19.830]  Russian economy was bled of 500 billion dollars.
[00:02:19.830 --> 00:02:21.772]  That's in hard-earned cash.
[00:02:21.772 --> 00:02:28.317]  So when somebody says that this man stole 40 billion dollars, of course there's no proof of that, just mere speculation.
[00:02:28.317 --> 00:02:33.981]  You have to laugh at the Bilderberg-led plans to basically try to destroy Russia in the 1990s.
[00:02:33.981 --> 00:02:37.584]  They weren't able to do this, and now they're going back at Putin again.
[00:02:37.584 --> 00:02:39.605]  It's an orchestrated, organized attack.
[00:02:39.605 --> 00:02:44.069]  Now the documentary on Litvinenko is out in Spain,
[00:02:44.600 --> 00:02:51.945]  His wife was all over the press in my country, talking about how Putin is the bad guy, the evil doer, as they call him here.
[00:02:51.945 --> 00:02:59.110]  But needless to say, again, there's not one iota of proof that Putin, the President of Russia, had anything to do with Litvinenko.
[00:02:59.110 --> 00:03:08.557]  All proof that I have been able to gather, and again, I talk about it in my new book, which was just released in Spain, points the figure at Berezovsky and his cohorts in this particular affair.
[00:03:11.189 --> 00:03:13.411]  Continue, Daniel.
[00:03:13.411 --> 00:03:18.394]  I think there's just so much stuff going on, Alex, at the same time, simultaneously.
[00:03:18.394 --> 00:03:25.078]  I think, again, what before took us six months to actually process, now is actually going in about one week or ten days.
[00:03:25.078 --> 00:03:25.679]  Won't you agree?
[00:03:27.342 --> 00:03:31.365]  Everything is accelerating, and I mean, that isn't just perception.
[00:03:31.365 --> 00:03:33.306]  Everything is accelerating right now.
