[00:00:04.645 --> 00:00:10.691]  He stands for truth.
[00:00:11.652 --> 00:00:16.257]  He stands for justice.
[00:00:17.618 --> 00:00:19.220]  He stands for what's right.
[00:00:19.580 --> 00:00:22.383]  This is the Alex Jones Show.
[00:00:23.524 --> 00:00:25.206]  Call Alex now, hopefully.
[00:00:26.013 --> 00:00:26.994]  We're good to go.
[00:00:58.374 --> 00:01:11.540]  With passion and desire, I can literally taste it as my teeth clench and lock together.
[00:01:11.600 --> 00:01:23.785]  I can feel my ancestors' victories against tyranny and the great battles they fought, the struggles of the species.
[00:01:25.546 --> 00:01:28.247]  Everything it is to the human.
[00:01:28.467 --> 00:01:33.928]  I can feel it coursing through my very bones.
[00:01:34.048 --> 00:01:34.908]  My heart.
[00:01:35.348 --> 00:01:36.328]  My guts.
[00:01:36.768 --> 00:01:39.729]  The sinews in my forearms.
[00:01:40.289 --> 00:01:43.650]  My fists that are cracked and arthritic.
[00:01:43.870 --> 00:01:46.030]  Burn with power!
[00:01:46.451 --> 00:01:49.111]  All of you have that same human spark.
[00:01:53.832 --> 00:01:56.956]  Your destiny is to build.
[00:01:56.996 --> 00:01:59.820]  Your destiny is to create.
[00:01:59.900 --> 00:02:04.166]  Your destiny is to be free.
[00:02:05.047 --> 00:02:07.129]  Free of bondage.
[00:02:07.230 --> 00:02:09.873]  Free of lesser man's control.
[00:02:11.655 --> 00:02:13.457]  I want you to stand up.
[00:02:14.438 --> 00:02:16.721]  I want you to get focused.
[00:02:16.821 --> 00:02:26.391]  And I want you to stop being afraid of turning your own personal destiny and the power that God has put in each of us.
[00:02:27.372 --> 00:02:34.815]  We are literally made in the image of the creator of the universe.
[00:02:34.875 --> 00:02:38.137]  Do you realize that's why the New World Order hates you?
[00:02:38.537 --> 00:02:40.158]  That's why the devil hates you?
[00:02:41.138 --> 00:02:43.159]  And that's why they're so afraid of us?
[00:02:44.359 --> 00:02:50.142]  We are literally not even at embryonic form of what humanity is going to become.
[00:02:51.022 --> 00:02:54.984]  We have not even become larva yet, ladies and gentlemen.
[00:02:55.885 --> 00:03:07.045]  And every ounce of my being only wants to see the species do well and to grow and to turn into what we are to become.
