[00:00:00.649 --> 00:00:02.391]  Government cover-ups.
[00:00:02.391 --> 00:00:03.992]  You want answers?
[00:00:03.992 --> 00:00:05.553]  Well, so does he.
[00:00:05.553 --> 00:00:09.736]  He's Alex Jones on the GCN Radio Network.
[00:00:09.736 --> 00:00:13.839]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.542 --> 00:00:36.082]  Welcome, ladies and gentlemen.
[00:00:36.082 --> 00:00:39.283]  Welcome and thank you for joining us today.
[00:00:39.283 --> 00:00:48.864]  Coming up in the last 30 minutes of the broadcast today, we have a famous comedian joining us.
[00:00:48.864 --> 00:00:51.785]  We'll tell you about that a little bit later in the show.
[00:00:51.785 --> 00:00:57.406]  We've got some really big guests scheduled and lined up next week, and we've got a
[00:00:58.757 --> 00:01:07.643]  Big guest, and I mean big guest, that will go unannounced for you tomorrow.
[00:01:07.643 --> 00:01:22.952]  And going into the middle of April, mega massive guest, and I said guest with an S. We are going to have just some amazing interviews, and not just that they're big shots or well-known or movie stars or
[00:01:25.896 --> 00:01:28.217]  Things along those lines, I'll just leave it at that.
[00:01:28.217 --> 00:01:39.225]  It's that they're going to be talking about very serious issues on this radio show as we launch our counter-offensive against the global crime syndicate.
[00:01:39.225 --> 00:01:55.315]  The Fortune 100 dominating the Fortune 500 that have set up international institutions to criminally lobby and buy up control of our governments to then turn the government into a conduit or a straw
[00:01:56.201 --> 00:02:12.216]  To suck the economic life force and cultural life force out of every sovereign nation on the surface of Terra, Terra Firma, this planet.
[00:02:12.216 --> 00:02:16.119]  So we are going to have open phones today again.
[00:02:16.119 --> 00:02:19.863]  I took about 25 calls yesterday.
[00:02:19.863 --> 00:02:20.924]  That's more than usual.
[00:02:22.143 --> 00:02:27.268]  And we're going to be having some shows coming up next week where it is mainly guest again.
[00:02:27.268 --> 00:02:39.658]  But today and for part of the show tomorrow, I love the different directions that callers take us, the different issues, the different questions, the comments, the disagreements, all of it.
[00:02:40.179 --> 00:02:40.379]  1-800-259-9231.
[00:02:40.379 --> 00:02:40.459]  1-800-259-9231.
