[00:00:00.669 --> 00:00:01.770]  Government cover-ups.
[00:00:02.431 --> 00:00:03.231]  You want answers?
[00:00:04.012 --> 00:00:04.912]  Well, so does he.
[00:00:05.573 --> 00:00:09.215]  He's Alex Jones on the GCN Radio Network.
[00:00:09.756 --> 00:00:13.859]  And now, live from Austin, Texas, Alex Jones.
[00:00:14.920 --> 00:00:18.462]  Alright folks, it is the 4th of July, Independence Day.
[00:00:18.542 --> 00:00:20.804]  I'm not Alex Jones, I am Jason Burma sitting in.
[00:00:20.844 --> 00:00:25.007]  I'd like to thank Alex for giving me the opportunity to do this 4th of July show.
[00:00:25.707 --> 00:00:26.848]  Very exciting stuff.
[00:00:26.908 --> 00:00:29.530]  I never thought I'd be sitting in the hot seat, if you will.
[00:00:31.189 --> 00:00:39.550]  On such a very special day, and not only is it special because it does represent our breaking away from tyranny, our becoming independent.
[00:00:40.325 --> 00:00:43.046]  But also because we launched a new movie yesterday.
[00:00:44.047 --> 00:00:44.987]  We launched a little early.
[00:00:45.407 --> 00:00:47.268]  Unfortunately, we had two server issues.
[00:00:47.428 --> 00:00:51.310]  Two of the DivX files got cut off, but we re-uploaded the files.
[00:00:51.350 --> 00:00:52.650]  It wasn't an encoding issue.
[00:00:52.690 --> 00:00:56.572]  Something weird happened with the server where it cut off half a megabyte or something.
[00:00:56.892 --> 00:00:58.173]  But it looks great.
[00:00:58.213 --> 00:01:04.355]  The people that have downloaded and watched it on their DivX DVD players, television sets, and computers are raving about it.
[00:01:04.375 --> 00:01:06.196]  There's a bunch of comments out there.
[00:01:06.216 --> 00:01:08.557]  It's already up on the Torrent file sharing networks.
[00:01:09.403 --> 00:01:18.667]  Which is very encouraging to us, and we're really hoping that you're going to go over to PrisonPlan.TV, get the high-quality version, burn them to disk, and spread them around.
[00:01:18.687 --> 00:01:30.352]  We're going to have Luke Radowski on for a full hour in the fourth hour, the fourth and final hour of this broadcast, to talk about Truth Rising and what's coming up for September 11th this year.
[00:01:30.633 --> 00:01:32.593]  There are some things in the works, of course, folks.
[00:01:32.613 --> 00:01:33.574]  We weren't going to leave you hanging.
[00:01:33.814 --> 00:01:36.795]  We're going to be at New York City yet again this year.
[00:01:36.855 --> 00:01:37.916]  We are changed, and
[00:01:39.218 --> 00:01:43.579]  Corey Rowe really working hard right now to bring you a top-notch event down there.
[00:01:44.480 --> 00:01:45.280]  It's really exciting.
[00:01:45.360 --> 00:01:55.063]  And we're going to talk about more of that later, but we are going to have Philly 9-11 Truth, who are also doing street actions in literally, you know, Independence Hall.
[00:01:55.103 --> 00:01:55.923]  I mean, this is the place.
[00:01:55.943 --> 00:01:57.044]  This is where the Liberty Bell is.
[00:01:57.764 --> 00:01:59.564]  This is where a lot of our history happened.
[00:01:59.584 --> 00:02:03.345]  If you've never been to Philadelphia, it's one of the cooler cities out there, folks.
[00:02:03.846 --> 00:02:04.846]  I've been there a couple times.
[00:02:04.906 --> 00:02:08.307]  I actually lived outside of Philadelphia and New Jersey for a couple months.
[00:02:08.737 --> 00:02:11.037]  Back in 2001, I believe.
[00:02:11.077 --> 00:02:13.138]  I think it was, like, actually right after the attack.
[00:02:13.158 --> 00:02:14.638]  Maybe a month after I'd moved out there.
[00:02:15.238 --> 00:02:16.378]  And, uh, it's just a great city.
[00:02:16.418 --> 00:02:17.039]  Full of history.
[00:02:18.539 --> 00:02:19.419]  Very cool town.
[00:02:19.559 --> 00:02:21.219]  Lots of Masonic stuff, too, to check out.
[00:02:21.859 --> 00:02:24.440]  If you're into all the symbolism, it's everywhere in there.
[00:02:24.460 --> 00:02:25.880]  Especially inside the museums.
[00:02:26.540 --> 00:02:31.581]  So we're gonna have Philadelphia 9-11 Truth on for a half an hour at half past this hour.
[00:02:31.621 --> 00:02:36.362]  And then we're also going to have Bob Chapman of the International Forecaster.
[00:02:38.008 --> 00:02:41.932]  And he's going to talk with us for about 90 minutes about what's going on with the economy.
[00:02:41.972 --> 00:02:42.773]  Tons of news!
[00:02:42.793 --> 00:02:47.417]  I think Counterpunch just did a new article on Dennis Kucinich.
[00:02:48.038 --> 00:03:01.911]  And the fact that prior to Dennis putting out those 35 articles of impeachment, Nancy Pelosi and AIPAC came into his office and offered him some kind of a... And by the way folks, AIPAC is the big Israeli lobby if you don't know.
[00:03:03.849 --> 00:03:09.032]  And I offered him some sort of, uh, Oh, Dennis, please just don't impeach.
[00:03:09.112 --> 00:03:11.954]  Don't put these articles out there and there'll be something in it for you.
