[00:00:01.291 --> 00:00:02.873]  You want answers?
[00:00:02.873 --> 00:00:04.815]  Well, so does he.
[00:00:04.815 --> 00:00:08.640]  He's Alex Jones on the GCN Radio Network.
[00:00:08.640 --> 00:00:12.686]  And now, live from Austin, Texas, Alex Jones.
[00:00:16.028 --> 00:00:24.851]  Oil continues to explode in prices despite Saudi output increase pledge because it isn't supply.
[00:00:24.851 --> 00:00:26.191]  It isn't supply.
[00:00:26.191 --> 00:00:38.876]  If you read the actual OPEC report, it is dollar devaluation and speculation in commodities because the global currency is dying to make way for the New World Order.
[00:00:38.876 --> 00:00:39.896]  Unbelievable.
[00:00:39.896 --> 00:00:42.777]  Oil rises despite Saudi output pledge.
[00:00:44.440 --> 00:00:49.523]  The Supreme Court is set to announce in the next few hours a vicious attack on the Second Amendment.
[00:00:49.523 --> 00:00:55.046]  It will be announced as a victory for the Second Amendment, but will say they can restrict it by law.
[00:00:55.046 --> 00:00:58.227]  We've got Larry Pratt and Aaron Zellman coming on tomorrow to analyze this.
[00:00:58.227 --> 00:01:01.469]  We're waiting for that ruling, but we already know what it's going to be.
[00:01:01.469 --> 00:01:03.270]  And so that's coming up.
[00:01:03.270 --> 00:01:06.552]  We're about to have Jordan Maxwell on in the next segment.
[00:01:06.552 --> 00:01:08.312]  Right now, going back to Ted Anderson.
[00:01:08.312 --> 00:01:11.094]  Ted, this just now came out.
[00:01:12.029 --> 00:01:14.351]  Uh, in Associated Press.
[00:01:14.351 --> 00:01:16.212]  Right now, up on InfoWars.com.
[00:01:16.212 --> 00:01:18.893]  It's also up on Drudge and Yahoo News.
[00:01:18.893 --> 00:01:23.276]  Oil rises on modest Saudi increase, Nigeria.
[00:01:23.276 --> 00:01:27.279]  Oil prices have risen amid disappointment with Saudi's output hike.
[00:01:28.099 --> 00:01:33.122]  And it goes on, and they give you the disinfo saying it's Nigerian pipeline problems.
[00:01:33.122 --> 00:01:34.302]  It's dollar.
[00:01:34.302 --> 00:01:41.726]  I watched yesterday the Saudi oil emergency meeting, and they kept saying, it's currency, it's currency.
[00:01:41.726 --> 00:01:51.111]  But you'll never get on our news, because they can't tell the people the truth, because this is being done by design, and the public would get mad if they found out their criminal government did this, Ted.
[00:01:51.531 --> 00:01:52.892]  Certainly get away from the U.S.
[00:01:52.892 --> 00:01:54.352]  dollar, that's for sure.
[00:01:54.352 --> 00:01:56.773]  And that's what people should be doing at this time.
[00:01:56.773 --> 00:01:57.874]  When I talk about the U.S.
[00:01:57.874 --> 00:02:03.776]  dollar, I'm not talking about our constitutional currency that we should have here in the United States of America.
[00:02:03.776 --> 00:02:04.897]  The private Federal Reserve.
[00:02:04.897 --> 00:02:06.597]  Yeah, there's a private Federal Reserve.
[00:02:06.597 --> 00:02:10.639]  It has nothing to do with the United States government or representation of U.S.
[00:02:10.639 --> 00:02:11.579]  citizens.
[00:02:11.579 --> 00:02:13.620]  It has only to do with private bank economies.
[00:02:13.620 --> 00:02:18.482]  And we always told people it was dangerous to give them this power, and they're engineering a mass raping.
[00:02:18.482 --> 00:02:20.503]  Ted, give them the gold and silver offer of the day.
[00:02:20.723 --> 00:02:24.025]  Again, right now, I've got Walking Liberty Rolls.
[00:02:24.025 --> 00:02:26.706]  If you pick them up right now, they're at $182.
[00:02:26.706 --> 00:02:31.988]  If you look at it, if you buy them by the coin, it's $188 per roll, but you get a discount on that.
[00:02:31.988 --> 00:02:34.290]  I also have the British Sovereign coin.
[00:02:34.290 --> 00:02:36.911]  It's a great coin to get into a small piece of gold.
[00:02:36.911 --> 00:02:40.132]  They're at $243 per coin.
[00:02:40.132 --> 00:02:45.215]  You really do need to get into small gold, and you need to have small fractions of silver.
[00:02:45.795 --> 00:02:50.398]  And right now I also have the Frank coin, which we've talked a lot about too, Alex.
[00:02:50.398 --> 00:03:00.445]  And they're right now at $194, and we were talking about those back around January, and they're sitting at about $215 at that time.
[00:03:00.445 --> 00:03:05.588]  And the reason why the prices are low right now is just basically a seasonal thing.
[00:03:06.048 --> 00:03:09.452]  It's not low, it's up at 900 compared to what it was a year ago.
[00:03:09.452 --> 00:03:16.138]  Now, folks, it will go up in, I mean, every time it has, in the fall, and they're talking about $5,000 an ounce.
[00:03:16.138 --> 00:03:17.960]  It's at 900 an ounce right now.
[00:03:17.960 --> 00:03:18.060]  800-686-2237.
[00:03:18.060 --> 00:03:18.821]  Give them a gold coin, Ted.
[00:03:23.345 --> 00:03:31.508]  Yeah, right now the gold coin is, the best one is the franc right now at 194, and you can call us at 1-800-686-2237.
[00:03:31.508 --> 00:03:33.649]  Pick up your quantities of gold and silver now.
[00:03:33.649 --> 00:03:34.829]  Look at your portfolios.
[00:03:34.829 --> 00:03:35.950]  What do you have in stocks?
[00:03:35.950 --> 00:03:37.330]  What do you have in the bank?
[00:03:37.330 --> 00:03:38.811]  What do you have in the bond market?
[00:03:38.811 --> 00:03:40.831]  Where, you know, where are you sitting in real estate?
[00:03:40.831 --> 00:03:50.855]  At this time you should be taking a very serious look, because the United States dollar is doomed, because the foreigners want to get away from it, and they're the ones who supported it when we were going through.
[00:03:51.135 --> 00:03:53.037]  Do the right thing, do the smart thing.
[00:03:53.037 --> 00:03:57.122]  I know you're going to buy gold from Ted and silver from Ted when it's exploding.
[00:03:57.122 --> 00:03:58.865]  It's sitting there right now.
[00:03:58.865 --> 00:04:02.329]  They're saying in the fall it's going to start racing towards $2,000.
[00:04:02.329 --> 00:04:08.156]  I don't know what's going to happen, but I know the dollar's being devalued and that means gold's going to go up in the laws of finance.
[00:04:08.376 --> 00:04:08.576]  I think
[00:04:26.520 --> 00:04:27.581]  Buy one or two coins.
[00:04:27.581 --> 00:04:28.681]  Test it out.
[00:04:28.681 --> 00:04:30.021]  Buy a roll of silver dollars.
[00:04:30.021 --> 00:04:30.762]  They're great.
[00:04:30.762 --> 00:04:32.402]  They're hard to get right now.
[00:04:32.402 --> 00:04:34.423]  800-686-2237.
[00:04:34.423 --> 00:04:36.624]  The brokers are there right now.
[00:04:36.624 --> 00:04:39.565]  Tell them it's an Alex Jones special or it's going to cost more.
[00:04:39.565 --> 00:04:41.286]  Those are literally at cost.
[00:04:41.286 --> 00:04:42.826]  800-686-2237.
[00:04:42.826 --> 00:04:44.887]  Ted, thanks for coming on with us.
[00:04:44.887 --> 00:04:46.488]  Hey, thanks for having me up again, Alex.
[00:04:46.488 --> 00:04:47.808]  Bloomberg says $5,000 an ounce gold.
[00:04:51.969 --> 00:04:54.090]  May I have everybody's attention, please?
[00:04:54.090 --> 00:04:56.531]  I've come with a message of information.
[00:04:56.531 --> 00:04:58.833]  9-11 was an inside job.
[00:04:58.833 --> 00:05:00.374]  Do you like being a puppet, sir?
[00:05:00.374 --> 00:05:02.094]  Do you like being a puppet for the New World Order?
[00:05:02.094 --> 00:05:04.956]  How do the American people know that 9-11 was a stage?
[00:05:04.956 --> 00:05:09.618]  Was it engineered by you, David Rockefeller, the bilateral commission, the CFR, and you?
[00:05:12.640 --> 00:05:17.343]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:05:17.343 --> 00:05:19.584]  All hell is breaking loose on 6th Avenue.
[00:05:39.435 --> 00:05:43.798]  In 5 years, we will be here on the 10th anniversary of... Truth Rising.
[00:05:43.798 --> 00:05:46.640]  Download the film at PrisonPlanet.tv right now.
[00:05:46.640 --> 00:05:48.902]  Or get the DVD at Infowars.com.
[00:05:48.902 --> 00:05:51.824]  It's now time to take the revolution to the next level.
[00:05:51.824 --> 00:06:00.170]  Of the 3 million plus edible food plants that grow on Earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:06:00.510 --> 00:06:06.492]  At HempUSA.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:06:06.492 --> 00:06:13.615]  At HempUSA.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:06:13.615 --> 00:06:16.996]  Our powder is 50% protein and does not contain gluten.
[00:06:16.996 --> 00:06:19.237]  Gluten impairs the cells from absorbing nutrients.
[00:06:19.437 --> 00:06:26.042]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:06:26.042 --> 00:06:29.564]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:06:29.564 --> 00:06:36.609]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:06:36.609 --> 00:06:39.791]  The body will react and heal itself given the proper nutrition.
[00:06:39.791 --> 00:06:41.993]  This superfood will be your greatest asset.
[00:06:41.993 --> 00:06:45.315]  So try it today, store it today, and change your life.
[00:06:45.635 --> 00:06:46.740]  Call 908-691-2608 or order from hempusa.org.
[00:06:59.991 --> 00:07:06.273]  You've heard the commercials on Life Change T, the all-natural clean your system and lose weight product.
[00:07:06.273 --> 00:07:08.414]  Well, maybe you don't believe.
[00:07:08.414 --> 00:07:09.754]  Maybe you doubt.
[00:07:09.754 --> 00:07:13.795]  For those who don't believe, we will give you a money-back guarantee.
[00:07:13.795 --> 00:07:16.376]  That's right, a 45-day money-back guarantee.
[00:07:16.376 --> 00:07:17.637]  Some restrictions apply.
[00:07:17.637 --> 00:07:21.418]  That's right, if you don't feel better and lose weight, you can get your money back.
[00:07:21.798 --> 00:07:23.319]  So what are you waiting for?
[00:07:23.319 --> 00:07:24.059]  Call now.
[00:07:24.059 --> 00:07:25.860]  Friendly operators are standing by.
[00:07:25.860 --> 00:07:27.200]  928-308-0408.
[00:07:27.200 --> 00:07:33.443]  That's 928-308-0408.
[00:07:33.443 --> 00:07:35.984]  Or you can order online.
[00:07:35.984 --> 00:07:37.985]  GetTheTea.com.
[00:07:37.985 --> 00:07:40.607]  That's GetTheTea.com.
[00:07:40.607 --> 00:07:43.168]  Or you can go to LifeChangeTea.com.
[00:07:43.168 --> 00:07:44.488]  Read up on us.
[00:07:44.488 --> 00:07:47.249]  You have nothing to lose, but wait.
[00:07:53.297 --> 00:07:59.944]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:07:59.944 --> 00:08:03.428]  It's Alex Jones and the GCN Radio Network.
[00:08:03.428 --> 00:08:07.352]  We're going to be talking to an individual who for more than 50 years
[00:08:09.778 --> 00:08:12.579]  It's coming up on 50 Plus.
[00:08:12.579 --> 00:08:14.239]  We've been fighting the New World Order.
[00:08:14.239 --> 00:08:29.504]  We've been having icons on the show, like G. Edward Griffin and many others, but I really can't think of anybody when it comes to really delving deeply into the New World Order and exposing so many dark secrets that we now just take as commonplace knowledge.
[00:08:29.504 --> 00:08:36.426]  So much of it was pioneered and rediscovered because it was all there in the ancient documents and text by Jordan Maxwell.
[00:08:36.426 --> 00:08:38.026]  So we'll be talking to him in just one moment.
[00:08:38.792 --> 00:08:47.595]  Before we go to Jordan, uh, you can pre-order my new film, 9-11 Chronicles, Truth Rising, Part 1, Truth Rising.
[00:08:47.595 --> 00:08:50.676]  And the way the world's going, who knows, there'll be a part 2.
[00:08:50.676 --> 00:09:05.180]  Uh, but it's got Willie Nelson in it, it's got Governor Jesse Ventura, it's got video interview with George Carlin, who died last night, of course, in Southern California, of heart failure, uh, talking about how the government wouldn't have an investigation in 9-11, they wouldn't investigate something they did.
[00:09:05.180 --> 00:09:07.141]  They wouldn't investigate, uh, themselves.
[00:09:08.410 --> 00:09:10.932]  I mean, it's got everybody.
[00:09:10.932 --> 00:09:19.980]  Martin Sheen, it's got the head of democracy now saying 9-11 should be investigated, Building 7 should be investigated.
[00:09:19.980 --> 00:09:24.523]  Michael Moore saying it could be an inside job and that firefighters have told him there were bombs in the buildings.
[00:09:26.531 --> 00:09:38.900]  We've got to expand the description that's up on the InfoWars.com shopping cart because it mainly gets into how we confront Schwarzenegger and how we confront Lynne Cheney and how just all these people get confronted, hundreds of people.
[00:09:38.900 --> 00:09:43.184]  Barack Obama, I mean, the list goes on and on.
[00:09:43.184 --> 00:09:47.567]  Both presidential candidates, Barack Obama and of course John McCain.
[00:09:48.843 --> 00:09:51.784]  With We Are Change and 9-11 Truth and everybody.
[00:09:51.784 --> 00:09:56.105]  The video of, of course, We Are Change L.A.
[00:09:56.105 --> 00:10:01.547]  basically taking over Bill Maher's show.
[00:10:01.547 --> 00:10:15.472]  So, it's a story of people standing up, taking action, having a great effect, confronting Bill Clinton, Hillary, Bill Clinton blowing up, admitting Bohemian Grove, admitting Bilderberg, meltdowns, the media saying, kill us, arrest us.
[00:10:17.609 --> 00:10:22.852]  Woven through this is the firefighters, police and military and EMTs dying of the dust.
[00:10:22.852 --> 00:10:28.475]  The government documents where they knew it was going to kill them and decided not to give them health care.
[00:10:28.475 --> 00:10:33.257]  All of that is in the film.
[00:10:33.257 --> 00:10:37.779]  And it just completely devastates their official story.
[00:10:37.779 --> 00:10:40.241]  Truth Rising will ship July 5th.
[00:10:40.241 --> 00:10:42.822]  So, the official release date is July 4th.
[00:10:42.822 --> 00:10:46.284]  It will be on PrisonPlanet.tv midnight.
