[00:00:00.069 --> 00:00:01.970]  Lose weight and feel great!
[00:00:01.970 --> 00:00:05.230]  If you're uncomfortable with credit cards or PayPal, that's okay.
[00:00:05.230 --> 00:00:07.951]  Call us for our address and send a check or money order.
[00:00:07.951 --> 00:00:08.671]  The phone number is 928-308-0408.
[00:00:08.671 --> 00:00:09.091]  Again, 928-308-0408.
[00:00:09.091 --> 00:00:10.912]  Once again, thank you from GetTheTee.com.
[00:00:10.912 --> 00:00:11.672]  You are listening to GCN.
[00:00:34.142 --> 00:00:38.966]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:38.966 --> 00:00:40.547]  You want answers?
[00:00:40.547 --> 00:00:42.108]  Well, so does he.
[00:00:42.108 --> 00:00:46.291]  He's Alex Jones on the GCN Radio Network.
[00:00:46.291 --> 00:00:50.374]  And now, live from Austin, Texas, Alex Jones.
[00:00:53.416 --> 00:00:57.704]  It is Friday, the 28th day of November 2008, the day after Thanksgiving.
[00:00:57.704 --> 00:01:05.758]  Hope you had a great Thanksgiving with your family and hope you gave thanks for what this country has stood for in the past, the Republic.
[00:01:06.701 --> 00:01:20.073]  Our liberties, our freedoms, the Bill of Rights, the Constitution, all of which is under assault by the Pentagon, under assault by the foreign banks that control the Pentagon and the executive, as well as many of the leaders of the legislative.
[00:01:20.073 --> 00:01:22.054]  They are enemies of the Republic.
[00:01:22.054 --> 00:01:28.360]  They are openly declaring war on the Bill of Rights and the Constitution, making themselves tyrants and treacherous traitors.
[00:01:29.850 --> 00:01:42.217]  That does not mean our enlisted men and women are tyrants or treacherous traitors any more than people in the German military that stood up against Hitler were traitors against the German military or the German people.
[00:01:42.217 --> 00:01:44.578]  In fact, they were defenders.
[00:01:44.578 --> 00:01:48.080]  And make no mistake, ladies and gentlemen, we're in a lot of trouble.
[00:01:48.080 --> 00:01:54.944]  I took off, what, Wednesday and Thursday, and it was very hard to do that.
[00:01:54.944 --> 00:01:56.245]  In fact, yesterday morning,
[00:01:57.296 --> 00:02:06.241]  I called up the network and they had a skeleton crew, just somebody in there to make sure all the computers fired and replayed the shows, and I was told I couldn't go live yesterday.
[00:02:06.241 --> 00:02:15.967]  Then about an hour later, John Harmon, who's my regular guy running the show up in Minnesota, I'm down here in Texas, called me and said, well, I'll come in if you want.
[00:02:15.967 --> 00:02:18.909]  I said, no, let's just go live tomorrow.
[00:02:18.909 --> 00:02:19.910]  So here we are.
[00:02:19.910 --> 00:02:21.811]  Why did I want to go live on Thanksgiving?
[00:02:23.177 --> 00:02:28.599]  Well, because of the string of bombings and attacks and hostage-taking in India.
[00:02:28.599 --> 00:02:43.364]  And we have the most detailed reporting you'll find anywhere at InfoWars.com and PrisonPlanet.com from Paul Watson, Steve Watson, and Kurt Nemo, all of them doing great jobs writing news stories on Thanksgiving.
[00:02:43.364 --> 00:02:49.166]  So we'll be going over that with Paul Watson, who is joining us in about 10 minutes.
[00:02:49.166 --> 00:02:50.346]  For the balance of this hour,
[00:02:53.070 --> 00:02:56.773]  But I did something else Wednesday night and Thursday night.
[00:02:56.773 --> 00:03:01.016]  I did a lot of research.
[00:03:01.016 --> 00:03:10.463]  A lot of research on the memo put out by Secretary of Defense Gates.
[00:03:10.463 --> 00:03:13.525]  And I have that in front of me here today.
[00:03:13.525 --> 00:03:21.091]  I read the entire 50-something page memo last night.
[00:03:22.674 --> 00:03:37.021]  Secretary of Defense, Memorandum for Secretaries of the Military Departments, Recommendations on the Commission of the National Guard Reserves, and it's worse than even I had thought.
[00:03:37.021 --> 00:03:52.249]  They openly declare the states are vassals of the federal government, the governors are vassals, that regular army will be used against the American people in our everyday lives, the National Guard is to be abolished and rolled into NORTHCOM completely,
[00:03:52.944 --> 00:03:56.725]  And he admits in here that this was already done covertly.
[00:03:56.725 --> 00:04:03.206]  Over and over again they say no changes needed, no further recommendations needed, already operational.
[00:04:03.206 --> 00:04:06.507]  This is just an announcement to the world.
[00:04:06.507 --> 00:04:09.528]  You see, the private banks took over the U.S.
[00:04:09.528 --> 00:04:09.828]  in 1913.
[00:04:09.828 --> 00:04:19.270]  Then they engineered the Great Depression to get us under federal control with the War Powers Act and the Emergency Powers Act of 1933.
