[00:00:00.369 --> 00:00:04.051]  Alex Jones on the GCN Radio Network.
[00:00:31.394 --> 00:00:32.154]  Thank you for joining us.
[00:00:32.194 --> 00:00:47.080]  We are live at PrisonPlanet.tv, simulcasting on the internet streams at Infowars.com, PrisonPlanet.com and simulcast on AM and FM stations across the country and WWCR, Global Shortwave, as well as satellites.
[00:00:47.460 --> 00:00:51.441]  Don't forget the free daily podcast served out to over 115,000 people a day, now subscribing.
[00:00:54.222 --> 00:00:57.383]  And we've got about 60,000 subscribing to the Sunday podcast.
[00:00:57.423 --> 00:01:00.724]  You sign up for those podcasts for free at InfoWars.com.
[00:01:00.764 --> 00:01:02.604]  Listen how you want, when you want, where you want.
[00:01:02.964 --> 00:01:04.665]  And you also have a library of the shows.
[00:01:04.685 --> 00:01:05.545]  You can share those files.
[00:01:05.825 --> 00:01:15.148]  We also have complete archives of the shows posted within hours up on InfoWars.com via MP3 in high quality audio for everybody out there.
[00:01:15.168 --> 00:01:19.849]  I want to thank the listeners, the sponsors, the Genesis Network, my great crew here in
[00:01:20.649 --> 00:01:24.477]  Mission Control in Austin, Texas and John Harmon up in Minnesota.
[00:01:25.098 --> 00:01:28.545]  We're getting April Gallup on either Sunday or Monday.
[00:01:29.767 --> 00:01:32.032]  We had her on the show
[00:01:33.311 --> 00:01:48.059]  If you remember about four or five months ago and we raised money for her on the air so she could sue the federal government for basically staging the terror attacks and she's got a very, very strong case.
[00:01:48.079 --> 00:01:54.622]  She was inside the Pentagon and so we're going to be covering some of that with Richard Gage in the next 50 minutes as well.
[00:01:55.002 --> 00:01:58.304]  Richard Gage a few years ago founded, I guess about a year and a half ago,
[00:01:58.824 --> 00:02:10.172]  Architects and Engineers for 9-11 Truth and he's gotten hundreds and hundreds of members of architects and engineers, structural engineers, to join his organization.
[00:02:10.472 --> 00:02:24.802]  There are also other organizations with hundreds of members of scientists and physicists and others coming out and showing that clearly Building 7 and Tower 1 and 2 on 9-11 were controlled demolitions and now
[00:02:25.783 --> 00:02:29.855]  Mr. Gage and many others have been vindicated because NIST's latest report
[00:02:30.970 --> 00:02:34.732]  has had to admit that there was free fall involved.
[00:02:34.752 --> 00:02:36.273]  They denied that in Building 7.
