[00:00:00.380 --> 00:00:03.262]  Alex Jones on the GCN Radio Network.
[00:00:09.785 --> 00:00:10.446]  Big Brother.
[00:00:11.086 --> 00:00:12.186]  Mainstream media.
[00:00:12.867 --> 00:00:14.007]  Government cover-ups.
[00:00:14.628 --> 00:00:15.468]  You want answers?
[00:00:16.209 --> 00:00:17.169]  Well, so does he.
[00:00:17.749 --> 00:00:21.431]  He's Alex Jones on the GCN Radio Network.
[00:00:21.952 --> 00:00:26.014]  And now, live from Austin, Texas, Alex Jones.
[00:00:28.557 --> 00:00:31.803]  It is Wednesday, the 29th day of April 2009.
[00:00:31.843 --> 00:00:36.130]  We've got two hours left standing out before us.
[00:00:36.630 --> 00:00:37.993]  Researcher, author.
[00:00:39.215 --> 00:00:41.236]  Steve Quayle joins us in T-minus 60 minutes.
[00:00:41.316 --> 00:00:51.599]  In the next hour, Dr. Lynn Horowitz joins us in an extremely informative 10-minute video that we have posted up at InfoWars.com right now.
[00:00:51.619 --> 00:00:56.921]  Dr. Horowitz, Anglo-American vaccine industry behind swine flu outbreak.
[00:00:57.521 --> 00:01:00.142]  Now, I'm going to be very clear about something about Dr. Horowitz.
[00:01:02.603 --> 00:01:04.083]  I remember in October of
[00:01:09.970 --> 00:01:15.854]  2001, seeing articles he put out at tetrahedron.org and other news sites that he has.
[00:01:17.735 --> 00:01:26.501]  He's an author, Harvard medical graduate, best-selling author, researcher, filmmaker, radio talk show host at that time on Genesis.
[00:01:27.862 --> 00:01:30.304]  This network came on before me, the hours before me in the morning.
[00:01:31.064 --> 00:01:34.546]  Very popular show, he just got too busy with his practice to continue it.
[00:01:35.807 --> 00:01:36.608]  And I remember
[00:01:37.932 --> 00:01:43.158]  As people watch this live at PrisonPlanet.tv and then around the world on the web later, when this gets posted to the Four Winds.
[00:01:43.178 --> 00:01:45.681]  In fact, we should probably pull that article up.
[00:01:45.701 --> 00:01:48.104]  Maybe he can remind me of the title of it.
[00:01:48.464 --> 00:01:51.107]  Or you can just Google Dr. Len Horowitz anthrax.
[00:01:51.708 --> 00:01:53.290]  And then you'll find his original article from 2001.
[00:01:55.231 --> 00:02:12.563]  Laying out that it was weaponized, had to be Fort Detrick, Maryland, that had been coated in bentonite, that had little wings on it that they had with nanotech, that cost hundreds of millions of dollars of equipment, and that it was, you know, totally weaponized, and that these people were patsies, that they were claiming had done it, and that it was the government.
[00:02:13.744 --> 00:02:19.408]  And then it came out months and months later, like a year later, that the whole White House was on Cipro, the anthrax-fighting antibiotic.
