[00:00:12.599 --> 00:00:14.121]  Or call 888-766-6066.
[00:00:14.141 --> 00:00:18.665]  888-766-6066 today.
[00:00:18.846 --> 00:00:20.367]  ZeroFlu.com.
[00:00:20.527 --> 00:00:23.450]  Protecting you and your family, one day at a time.
[00:00:26.713 --> 00:00:28.535]  Thank you for listening to GCN.
[00:00:28.915 --> 00:00:31.138]  Visit GCNlive.com today.
[00:00:37.632 --> 00:00:40.293]  Hi RNUSA Radio News, I'm Jody Jordan.
[00:00:40.733 --> 00:00:46.255]  Spain's high number of swine flu cases may be due to the popularity of holidays to Mexico.
[00:00:46.815 --> 00:00:47.835]  Here's Harold Heckel.
[00:00:48.035 --> 00:01:02.300]  Spain actually is the hardest hit country in Europe at the moment, but that is probably most easily explained by the fact that many Spaniards traditionally like to enjoy summer breaks in the warm waters of the Gulf of Mexico.
[00:01:02.320 --> 00:01:02.840]  Spain trails
[00:01:03.080 --> 00:01:04.261]  We're not out of the woods.
[00:01:04.301 --> 00:01:07.343]  The information that we've been getting over the past couple days is encouraging.
[00:01:34.361 --> 00:01:36.123]  Are you losing your home to foreclosure?
[00:01:36.423 --> 00:01:38.826]  Are you behind on your mortgage and fear the worst?
[00:01:39.106 --> 00:01:50.116]  The law firm of Pomeroy and Associates would like to offer you a free, no-obligation consultation that will show you how to stop foreclosure, reduce your interest rates, and save thousands on your mortgage.
[00:01:50.637 --> 00:01:54.120]  Do not let this economic slowdown take your home from you and your family.
[00:01:54.481 --> 00:01:55.602]  You have worked too hard.
[00:01:56.122 --> 00:02:04.629]  Pomeroy & Associates is an attorney-based loan modification firm that can negotiate the terms of your mortgage so you can afford to live in and enjoy your home.
[00:02:05.090 --> 00:02:07.612]  Call for a free, no-obligation consultation.
[00:02:07.952 --> 00:02:11.996]  There is no cost to find out how this program can help you save your home.
[00:02:12.396 --> 00:02:12.716]  Call 800-604-8525.
[00:02:12.776 --> 00:02:12.956]  That's 800-604-8525.
[00:02:12.976 --> 00:02:16.900]  It does not matter how far behind you are on payment or what your credit score is.
[00:02:24.326 --> 00:02:31.994]  Jack Kemp, a former quarterback for the Buffalo Bills who represented Western New York for nine terms in Congress, has died of cancer in suburban Washington.
[00:02:32.034 --> 00:02:32.314]  He was 73.
[00:02:45.751 --> 00:02:55.037]  Former campaign manager Ed Fulner remembers when Kemp would tell stories about his football days and was upset that his black colleagues were treated as second class.
[00:02:55.197 --> 00:03:10.588]  That's why Jack always, when he was campaigning, whether it was for Congress or for Vice President or whether he was campaigning on somebody else's behalf, always insisted that the bottom rungs of the ladder had to stay in place so everybody had an opportunity to climb up the ladder as high
[00:03:11.238 --> 00:03:13.299]  And as far as she or he could go.
[00:03:13.319 --> 00:03:15.261]  Make sure we got a head count in there!
[00:03:15.581 --> 00:03:22.225]  In sounds yesterday of team officials checking for victims after the roof collapse at the Dallas Cowboys indoor training facility.
[00:03:22.886 --> 00:03:27.208]  A special teams coach broke his back and 11 more people were hospitalized.
[00:03:28.049 --> 00:03:32.111]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:34.204 --> 00:03:37.927]  You could be financially independent and never have to worry about money again.
[00:03:37.947 --> 00:03:40.069]  Hi, how in the world are you anyway?
[00:03:40.129 --> 00:03:43.071]  This is Andy Willoughby speaking for The Three Step Plan.
[00:03:43.211 --> 00:03:48.035]  The Three Step Plan is a business system designed to help families start their own home-based business.
[00:03:48.235 --> 00:03:53.019]  If you like working with people with similar family values, you'll love The Three Step Plan.
[00:03:53.159 --> 00:03:55.561]  Go to 3stepplan.com or call 800-879-5819.
[00:03:55.581 --> 00:03:55.621]  800-879-5819.
[00:04:04.605 --> 00:04:14.611]  Pope Benedict says he hopes his upcoming trip to the Holy Land will give encouragement to the Christians there and also promote peace and reconciliation between Israel and the Palestinians.
[00:04:14.891 --> 00:04:20.155]  I ask you all to join me in praying for the afflicted peoples of the region.
[00:04:20.675 --> 00:04:27.719]  In a special way, I ask that you remember the Palestinian people who have endured great hardship and suffering.
[00:04:27.879 --> 00:04:32.863]  He spoke about his trip during his weekly Sunday blessing to pilgrims and tourists in St.
[00:04:32.903 --> 00:04:33.503]  Peter's Square.
[00:04:34.474 --> 00:04:40.676]  A bombing has killed four people, including two children, in a busy market in southern Himalayan province in Afghanistan.
[00:04:41.357 --> 00:04:46.759]  While militants seem to target military forces, children and others are also sometimes victims.
[00:04:47.403 --> 00:04:48.664]  Here's Jason Strasioso.
[00:04:48.844 --> 00:04:54.529]  Such improvised explosive devices are typically aimed at Afghan officials or international or Afghan troops.
[00:04:54.889 --> 00:04:55.309]  But the U.S.
[00:04:55.409 --> 00:04:59.893]  military has said 1,800 Afghans were killed or wounded last year in such bomb attacks.
[00:04:59.913 --> 00:05:06.698]  The violence threatens to overshadow the August 20th election, the second since the ouster of the Taliban in 2001.
[00:05:07.479 --> 00:05:12.843]  Human rights officials already suspect potential fraud because of so many women have signed up to vote.
[00:05:13.408 --> 00:05:22.157]  Afghan males in the conservative countryside often do not let their women relatives outside the house and therefore try to register to vote for women relatives.
[00:05:22.357 --> 00:05:29.644]  The Chairman of the Independent Human Rights Commission is worried that those males may use those registrations to perpetrate fraud at the ballot box.
[00:05:29.804 --> 00:05:32.787]  I'm Jody Jordan for IRN USA Radio News.
[00:05:39.298 --> 00:05:40.519]  Health Lesson 101.
[00:05:40.939 --> 00:05:43.101]  Swine flu is the topic of news.
[00:05:43.782 --> 00:05:47.805]  Fear and panic seems to be at the top of our emotions.
[00:05:48.346 --> 00:05:48.706]  Fact.
[00:05:49.327 --> 00:05:54.010]  If your colon is cleansed of toxins, you are less susceptible to any flu virus.
[00:05:54.611 --> 00:05:58.594]  Viruses love unhealthy bodies and attack our system to make us sick.
[00:05:58.855 --> 00:06:00.876]  So get prepared before the attack.
[00:06:01.197 --> 00:06:02.137]  Drink your way to health.
