[00:00:00.009 --> 00:00:01.150]  Great videos we carry.
[00:00:01.310 --> 00:00:05.953]  The t-shirts that are a great way of meeting like-minded people in your area.
[00:00:06.033 --> 00:00:10.796]  All these Patriot Liberty t-shirts to wear to the tea parties or to work or whatever.
[00:00:10.816 --> 00:00:14.258]  The toll-free number to get the t-shirts, books, and videos is 888-253-3139.
[00:00:14.278 --> 00:00:14.438]  888-253-3139.
[00:00:14.518 --> 00:00:20.902]  Or you can see them all in super high quality and watch the live TV show that starts in 70 seconds at PrisonPlanet.tv.
[00:00:21.103 --> 00:00:21.563]  Stay with us!
[00:00:33.306 --> 00:00:35.248]  You are listening to GCN.
[00:00:36.829 --> 00:00:40.291]  Visit GCNlive.com today.
[00:00:41.832 --> 00:00:42.433]  Hello, friends.
[00:00:42.473 --> 00:00:43.413]  This is Alex Jones.
[00:00:43.534 --> 00:00:48.137]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:00:48.277 --> 00:00:51.039]  We need to be independent, and food and water is the key.
[00:00:51.239 --> 00:00:54.121]  You'll never have to stand in a bread line if you have your own bread.
[00:00:54.281 --> 00:00:57.904]  You'll never have to go to the Superdome and beg for FEMA to take care of your family.
[00:00:58.084 --> 00:01:03.327]  In any emergency, if you simply prepare, no one is going to take care of your family in the final equation but you.
[00:01:03.587 --> 00:01:10.491]  You know, efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:01:10.571 --> 00:01:13.713]  And they do it at almost half the cost of last year's grocery prices.
[00:01:13.873 --> 00:01:14.053]  Call 1-800-409-5633.
[00:01:14.113 --> 00:01:15.754]  Or on the web, go to efoodsdirect.com.
[00:01:18.996 --> 00:01:25.077]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:01:25.258 --> 00:01:28.618]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:01:28.638 --> 00:01:29.699]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[00:01:29.719 --> 00:01:30.199]  Take action today.
[00:01:30.219 --> 00:01:31.659]  The first step is getting storable food.
[00:01:44.631 --> 00:01:46.532]  Waging war on corruption.
[00:01:47.032 --> 00:01:49.894]  Alex Jones on the GCN Radio Network.
[00:01:56.318 --> 00:01:56.958]  Big Brother.
[00:01:57.618 --> 00:01:58.679]  Mainstream media.
[00:01:59.379 --> 00:02:00.520]  Government cover-ups.
[00:02:00.540 --> 00:02:01.981]  You want answers?
[00:02:02.721 --> 00:02:03.682]  Well, so does he.
[00:02:04.282 --> 00:02:07.984]  He's Alex Jones on the GCN Radio Network.
[00:02:08.464 --> 00:02:12.527]  And now, live from Austin, Texas, Alex Jones.
[00:02:15.103 --> 00:02:17.906]  Well, we just celebrated the nation's birthday.
[00:02:18.006 --> 00:02:19.828]  And let me tell you, it may be one of our last.
[00:02:19.968 --> 00:02:29.117]  I'm sure as we're a regional slave holding of the New World Order, they'll still have the fireworks displays for the slaves.
[00:02:29.457 --> 00:02:30.938]  But they do have a bad carbon footprint.
[00:02:30.958 --> 00:02:34.081]  They do put off carbon dioxide and may need to be banned.
