[00:00:07.393 --> 00:00:10.658]  I love you folks.
[00:00:10.758 --> 00:00:11.480]  I love all of you.
[00:00:11.540 --> 00:00:12.822]  And thanks for putting up with me.
[00:00:12.922 --> 00:00:13.423]  I am in a bit of a...
[00:00:15.094 --> 00:00:37.028]  I'm in an angry mood today because watching my country die, watching it being overrun by crooks, watching them on the verge of passing taxes on toilet paper, bottled drinks, beef, chicken, pork, roads, all plastics, factories, to know that it's unlimited power for all these agencies to just come in and shut down whatever they want.
[00:00:37.048 --> 00:00:38.709]  It makes me mad!
[00:00:40.390 --> 00:00:41.530]  You really want to get down to it.
[00:00:41.570 --> 00:00:43.832]  I try to just get angry and hate these people, but at the
[00:00:44.932 --> 00:00:46.713]  At the core of it, I'm just sick of it!
[00:00:47.314 --> 00:00:51.236]  It's so ridiculous that the evil has to keep winning!
[00:00:51.277 --> 00:00:52.237]  I'm tired of it!
[00:00:54.579 --> 00:01:01.143]  We just went live at PrisonPlanet.tv, what, an hour and fifty minutes into the radio show.
[00:01:01.163 --> 00:01:02.665]  We're here live every day, 11 a.m.
[00:01:02.685 --> 00:01:03.345]  to 3 p.m.
[00:01:05.427 --> 00:01:06.507]  Central Standard Time.
[00:01:07.968 --> 00:01:10.030]  Coming up, I've got a bunch of video clips I want to play.
[00:01:10.090 --> 00:01:14.213]  I've got Walter Cronkite at a World Federalist Society calling for world government.
[00:01:15.060 --> 00:01:30.024]  We have Hillary Clinton last week at the Council on Foreign Relations saying that the CFR tells the White House what to do, which is a fact, but now these bastards are openly... They've gone from saying the CFR didn't exist 10-12 years ago to saying it exists and they run things.
[00:01:31.184 --> 00:01:33.765]  I mean, again, they're dominating us.
[00:01:34.245 --> 00:01:36.266]  They're just showing us everything.
[00:01:38.487 --> 00:01:39.927]  And I have a CNBC clip
[00:01:41.092 --> 00:01:49.040]  Because the last time, three months ago, the last number was $14.8 trillion they'd stolen in seven months.
[00:01:50.201 --> 00:01:55.586]  Now, nine months into the banker takeover from last October, $24 trillion!
[00:01:55.986 --> 00:01:58.348]  Trillion!
[00:01:59.529 --> 00:02:00.791]  The sky's the limit, folks!
[00:02:01.051 --> 00:02:02.252]  We gotta pay for all this!
[00:02:02.472 --> 00:02:03.353]  We're the interest!
[00:02:05.895 --> 00:02:06.096]  I mean,
[00:02:07.375 --> 00:02:07.915]  It's over!
[00:02:08.015 --> 00:02:08.656]  We're screwed!
[00:02:08.956 --> 00:02:15.978]  Either we say we're not paying it, it's fraud, you all go to jail, bankers, or they rule us with carbon police!
[00:02:20.580 --> 00:02:21.460]  And it's on the news!
[00:02:22.001 --> 00:02:23.081]  They've got carbon police.
[00:02:23.541 --> 00:02:24.382]  It's on the news!
[00:02:24.602 --> 00:02:26.022]  They're saying it's good!
[00:02:29.363 --> 00:02:31.364]  I mean, I am just going crazy, folks.
[00:02:32.125 --> 00:02:33.125]  This is so insane.
[00:02:36.584 --> 00:02:37.905]  And by the way, we're not the bankers.
[00:02:37.965 --> 00:02:42.908]  We're not the New World Order to get to tax you and then use our own money against us.
[00:02:44.830 --> 00:02:48.672]  So at the closing of this hour, we'll come right back and get into all the video clips and your calls.
[00:02:49.593 --> 00:02:51.374]  I want to tell folks about Fabled Enemies.
[00:02:53.776 --> 00:02:57.638]  Jason Burmas' hard-hitting 9-11 film exposing how the globalists carried out the attacks.
[00:02:58.379 --> 00:03:01.020]  The latest information, the most up-to-date.
[00:03:01.040 --> 00:03:02.561]  Want to get Fabled Enemies at InfoWars.com.
[00:03:04.139 --> 00:03:09.399]  Endgame blueprint for global enslavement to understand what makes the new world order tick, what their master plan is.
[00:03:10.569 --> 00:03:16.715]  A new documentary presentation with added footage nobody had ever seen of that last interview Aaron Russo did before he died with me.
[00:03:17.315 --> 00:03:19.117]  Reflections and Warnings interview with Aaron Russo.
[00:03:19.337 --> 00:03:24.742]  We've got a deal on InfoWars.com where you can get this for free when you get it with the Obama deception.
[00:03:24.762 --> 00:03:26.143]  I just want to get these out to people.
[00:03:26.643 --> 00:03:30.367]  Folks have requested that we put this on a DVD in higher quality.
[00:03:30.427 --> 00:03:33.349]  It's got a presentation for myself, the latest banking info.
[00:03:34.466 --> 00:03:38.247]  And a bunch of other clips and documents, reflections and warnings, very important.
[00:03:38.688 --> 00:03:48.291]  Global warming, emerging science and understanding, Dr. Michael Kaufman's latest film on the whole green tax scam, and of course the Obama deception.
[00:03:49.812 --> 00:03:57.294]  I watched this film again with friends I was staying with in Los Angeles while I was doing some work, and they were just completely blown away by it.
[00:03:58.155 --> 00:04:01.656]  And I really, watching my own film in hindsight, five months after it came out,
[00:04:02.782 --> 00:04:04.843]  This sucker is powerful and needs to be seen.
[00:04:04.863 --> 00:04:06.363]  InfoWars.com.
[00:04:06.523 --> 00:04:10.765]  Have these DVDs on your books shelf, on your video shelf.
[00:04:11.105 --> 00:04:13.225]  And also, your purchase supports this radio show.
[00:04:13.245 --> 00:04:17.347]  I want to thank all of you that have gotten the books and videos available at InfoWars.com.
[00:04:17.387 --> 00:04:19.227]  You can also call toll-free.
[00:04:19.608 --> 00:04:20.608]  Operators are standing by.
[00:04:20.628 --> 00:04:20.748]  888-253-3139.
[00:04:20.768 --> 00:04:20.808]  888-253-3139.
[00:04:20.828 --> 00:04:21.728]  Alright, third hour.
[00:04:21.748 --> 00:04:22.288]  Stay with us.
[00:04:33.638 --> 00:04:35.239]  Thank you for listening to GCN.
[00:04:36.140 --> 00:04:38.502]  Be sure to visit GCNlive.com today.
[00:04:41.024 --> 00:04:42.125]  This is Alex Jones.
[00:04:42.405 --> 00:04:44.187]  Have you heard of the Millionaire Patriot?
[00:04:44.407 --> 00:04:45.008]  Well, you should.
[00:04:45.028 --> 00:04:49.632]  He has a free handgun and five days of firearms training waiting for you.
[00:04:49.872 --> 00:04:50.372]  That's right.
[00:04:50.672 --> 00:05:00.601]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
