[00:00:04.821 --> 00:00:05.461]  It is Monday.
[00:00:32.563 --> 00:00:33.023]  September 28, 2009.
[00:00:33.023 --> 00:00:39.689]  We're going to be live here for the next four hours.
[00:00:39.689 --> 00:00:59.064]  And you notice that the establishment is launching the flu hype and talk of forced inoculations right at the same time that regular Army, Marines, and National Guard are running unannounced checkpoints all over the country from California to Texas, from Michigan to Iowa, from Florida to New York, from Tennessee
[00:01:00.404 --> 00:01:01.305]  To New Mexico.
[00:01:01.305 --> 00:01:04.007]  It's just happening everywhere.
[00:01:04.007 --> 00:01:15.257]  Remember about eight months ago, the RAM Corporation published a report that was big news in Europe, saying that the central banks need World War III as a pretext to bring in their world government.
[00:01:15.257 --> 00:01:18.980]  They openly brag about all their criminal activity.
[00:01:18.980 --> 00:01:24.926]  And then right on time, suddenly they bust somebody in Illinois and in Texas
[00:01:26.104 --> 00:01:40.003]  Why the FBI, they admit, made the bombs, trained them, found the people, recruited them, and then busted them on the same day to create the illusion of this army of terrorists connected to Al-Qaeda, connected to Iran.
[00:01:40.003 --> 00:01:42.867]  Doesn't matter if CIA created Al-Qaeda, doesn't matter if
[00:01:43.408 --> 00:01:45.110]  Al-Qaeda is the archenemy of Iran.
[00:01:45.110 --> 00:01:49.754]  It doesn't matter if Al-Qaeda is attacking Iran for the last six years with covert forces.
[00:01:49.754 --> 00:01:54.498]  It doesn't matter if the last two White Houses admit they're running Al-Qaeda inside Iran.
[00:01:54.498 --> 00:01:57.000]  The public can't find Iran.
[00:01:57.000 --> 00:01:59.903]  Hell, the public can't find their own state on a map.
[00:01:59.903 --> 00:02:00.523]  So why not?
[00:02:00.523 --> 00:02:02.625]  Tell them.
[00:02:02.625 --> 00:02:05.968]  I'm surprised they don't say that Japan runs Al-Qaeda next.
[00:02:05.968 --> 00:02:08.230]  The public will think Japan is South America.
[00:02:10.131 --> 00:02:12.412]  Lambs to the slaughter.
[00:02:12.412 --> 00:02:18.053]  The ignorance of the public only welcomes abuse from the criminal elite.
[00:02:18.053 --> 00:02:20.054]  They don't just rob and steal for power.
[00:02:20.054 --> 00:02:21.134]  They enjoy it.
[00:02:21.134 --> 00:02:22.474]  They laugh about it.
[00:02:22.474 --> 00:02:28.976]  They write books about how dumb the public is and how funny all of this is.
[00:02:28.976 --> 00:02:31.437]  And so right on time, you've got this amazing
[00:02:33.476 --> 00:02:59.495]  operation where Iran opened hundreds of different uranium enrichment centers because it takes tens of thousands of centrifuges even to make a peaceful system and the UN hasn't been inspecting in the last two years and so Iran openly opens a new facility and then the media hypes it and spins it just like they hyped yellow cake uranium and aluminum tubes and WMDs in Iraq
[00:03:00.845 --> 00:03:05.808]  It's the same way they hyped that Russia had launched a sneak attack last year on 888.
[00:03:05.808 --> 00:03:11.851]  For the first two days, CNN, Fox said Russia launched a premeditated, dastardly sneak attack.
[00:03:11.851 --> 00:03:18.274]  Of course, then it came out that it was the complete opposite.
[00:03:18.274 --> 00:03:28.079]  That NATO-backed forces in Georgia had launched a sneak attack on peacekeepers in South Ossetia and on the borders of the militarized zone Abkhazia.
[00:03:30.151 --> 00:03:31.712]  Facts are facts.
[00:03:31.712 --> 00:03:36.775]  The lies are so big it's like calling the moon the sun and the sun the moon.
[00:03:36.775 --> 00:03:47.122]  And saying the sun is solid rock and the moon at night is what really is radiating the sun's rays.
[00:03:47.122 --> 00:03:47.763]  And it works!
[00:03:47.763 --> 00:03:50.805]  If they told the public that the moon was actually the sun, they'd believe it.
[00:03:50.805 --> 00:03:54.427]  I mean, they tell the public carbon dioxide's a deadly nerve gas.
[00:03:54.427 --> 00:03:57.149]  Doesn't matter if trees breathe it and put off oxygen that we breathe.
[00:03:58.459 --> 00:04:07.982]  Large portions of the public believe carbon dioxide is a deadly nerve agent, a toxic chemical, a weapon, an ultimate weapon.
[00:04:07.982 --> 00:04:12.103]  Pretty soon, they'll probably attack Iran and say they're putting off carbon dioxide.
[00:04:12.103 --> 00:04:15.384]  The public will run screaming in fear in all directions.
[00:04:15.384 --> 00:04:24.487]  They'll throw their children on the author of Moloch to the government, begging the CPS to take more of their children or inject them with deadly mercury-filled, adjuvant-filled vaccines.
[00:04:28.160 --> 00:04:28.840]  It's amazing.
[00:04:28.840 --> 00:04:30.341]  So I'm going to break all this down today.
[00:04:30.341 --> 00:04:32.382]  They are definitely getting ready to hit Iran.
[00:04:32.382 --> 00:04:37.024]  Mainstream media says the hit is on.
[00:04:37.024 --> 00:04:41.687]  Same propaganda they use in Iraq.
[00:04:41.687 --> 00:04:43.467]  We'll break it all down coming up today.
[00:04:43.467 --> 00:04:48.750]  Kurt Nemo, Paul Watson, then we got Mike Adams, the health ranger, on with the latest flu developments.
[00:04:48.750 --> 00:04:49.851]  Big show today.
[00:04:51.030 --> 00:04:53.832]  I'm Alex Jones, your host.
[00:04:53.832 --> 00:05:00.837]  We got news coming up on one of our reporters getting arrested, Rob Dew at the G20, as they openly announce world government and further raping of the slaves.
[00:05:00.837 --> 00:05:07.822]  Millionaire, entrepreneur, businessman, your congressional candidate, and author Robert Beatles wrote a new book called Here's What You Do.
[00:05:07.822 --> 00:05:13.907]  You can buy it at here'swhatyoudo.net as an e-book for six bucks, or the book for ten bucks.
[00:05:13.907 --> 00:05:16.549]  And we have an audio book on its way for you commuters as well.
[00:05:16.849 --> 00:05:23.134]  Here's what you do tells you exactly what to do to survive and thrive in these harsh economic times.
