[00:00:05.168 --> 00:00:06.469]  Big Brother.
[00:00:06.469 --> 00:00:08.231]  Mainstream media.
[00:00:08.231 --> 00:00:09.993]  Government cover-ups.
[00:00:09.993 --> 00:00:11.575]  You want answers?
[00:00:11.575 --> 00:00:12.496]  Well, so does he.
[00:00:12.496 --> 00:00:17.321]  He's Alex Jones on the GCN Radio Network.
[00:00:17.321 --> 00:00:21.366]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.259 --> 00:00:29.824]  We've got an incredibly important video transmission lined up for you today.
[00:00:29.824 --> 00:00:32.867]  Thank you so much for joining us.
[00:00:32.867 --> 00:00:35.929]  Charlie Sheen is coming up in the third segment.
[00:00:37.483 --> 00:00:43.345]  of this hour with the winner of the 20 Minutes with the President contest.
[00:00:43.345 --> 00:00:49.687]  It is the 29th day of November 2009 on this Sunday edition.
[00:00:49.687 --> 00:01:05.672]  Webster Griffin Tarpley to talk about ClimateGate in the last 30 minutes of the radio broadcast today and just so many other important police state issues and economic issues that we are going to be covering as well.
[00:01:08.010 --> 00:01:18.218]  On top of all that, four police shot dead in a coffee shop in Washington State, in a suburb of Seattle, killed execution style.
[00:01:18.218 --> 00:01:23.483]  Is it drug related?
[00:01:23.483 --> 00:01:26.205]  Or will they claim that Islamist terrorists did it?
[00:01:26.205 --> 00:01:31.029]  We are all trying to analyze this right now and find out what's happening.
[00:01:34.278 --> 00:01:40.969]  But again, Charlie Sheen coming up in T-minus 15 minutes from now, live with us on air.
[00:01:40.969 --> 00:01:43.774]  And we're going to get the winner of the 20 Minutes with the President.
[00:01:44.815 --> 00:02:06.387]  Contest video contest that was really the brainchild of Charlie Sheen the idea of taking the 20 key points in a interview with the president an interview a dialogue he wishes would happen to bring more attention to 9-11 truth and why those of us at 9-11 truth question the official fable so that is coming up.
[00:02:10.717 --> 00:02:16.281]  We are also going to be taking your phone calls later on, but the phones aren't open quite yet.
[00:02:16.281 --> 00:02:19.563]  Here is the stack on the ClimateGate information I have.
[00:02:19.563 --> 00:02:23.326]  We're going to be covering this after Charlie Sheen leaves us at about 45 after.
[00:02:23.326 --> 00:02:27.189]  He's going to do two segments with us tonight.
[00:02:29.042 --> 00:02:29.923]  Climate change.
[00:02:29.923 --> 00:02:32.987]  This is the worst scientific scandal of our generation.
[00:02:32.987 --> 00:02:41.937]  More than that, I can't think of a scientific fraud in the last couple hundred years bigger than this, other than the Nazis and their scientific fraud.
[00:02:41.937 --> 00:02:45.421]  Everything they did was claimed through their pseudoscience.
[00:02:46.383 --> 00:02:51.889]  Of the Aryan race and the world, the global government they were going to build based on eugenics.
[00:02:51.889 --> 00:03:00.419]  But when you realize that this is part of eugenics, the whole global warming, man-made global warming movement is, then it makes total and complete sense.
[00:03:01.604 --> 00:03:07.008]  Lord Mocton was on with us Friday for over an hour, an incredible interview.
[00:03:07.008 --> 00:03:09.369]  He went further than he's ever gone in the past.
[00:03:09.369 --> 00:03:13.052]  He said, shut down the United Nations, arrest Al Gore.
[00:03:13.052 --> 00:03:21.218]  The video clips of that and the key article written by Paul Joseph Watson are up on InfoWars.com and PrisonPlanet.com.
[00:03:21.218 --> 00:03:26.401]  And on Google searches, the number one search in the last week has been ClimateGate.
[00:03:26.401 --> 00:03:29.643]  So even though a lot of the mainstream media is blacking out this news story,
[00:03:30.544 --> 00:03:42.214]  And trying to spin it when they do report on it, the number one issue on the web is ClimateGate fully eclipsing the fraud of man-made global warming.
[00:03:42.214 --> 00:03:47.259]  Also, I keep getting emails and phone calls here to the office saying I work for the oil companies.
[00:03:47.259 --> 00:03:52.784]  Later, I'm going to go over The Guardian, The New York Times, Bloomberg.
[00:03:52.784 --> 00:03:55.126]  Exxon Chief backs carbon tax.
[00:03:56.892 --> 00:03:58.614]  That's London Guardian.
[00:03:58.614 --> 00:03:59.354]  Bloomberg.
[00:03:59.354 --> 00:04:04.579]  Shell calls for global expansion of cap-and-trade CO2 programs.
[00:04:04.579 --> 00:04:12.386]  We're going to play a video clip of an international TV ad running with Dutch Royal Shell calling for a global tax.
[00:04:12.386 --> 00:04:13.387]  Here's another article.
[00:04:13.387 --> 00:04:13.827]  Shell.
[00:04:13.827 --> 00:04:15.289]  Cap-and-trade is a good thing.
[00:04:17.375 --> 00:04:27.181]  So I want to go over that and point out that the media keeps saying on health care that the insurance companies are against it when they wrote the bill and admit it.
[00:04:27.181 --> 00:04:31.383]  The oil companies are behind the cap-and-trade scam.
[00:04:31.383 --> 00:04:32.724]  It's all coming up.
[00:04:32.724 --> 00:04:36.366]  Plus, climate change data dumped times online, times of London.
[00:04:37.369 --> 00:04:42.797]  The East Anglia head UN University that they got all their data from has now destroyed the data.
[00:04:42.797 --> 00:04:44.219]  They're in a lot of trouble.
[00:04:44.219 --> 00:04:46.923]  That's coming up as well.
[00:04:46.923 --> 00:04:47.464]  Stay with us.
[00:04:47.464 --> 00:04:52.250]  We're going to cover ClimateGate, then Charlie Sheen live, ladies and gentlemen.
[00:04:53.562 --> 00:04:57.627]  On this Sunday, 29th of November, 2009 edition.
[00:04:57.627 --> 00:04:58.949]  Stay with us, we'll be right back.
[00:04:58.949 --> 00:05:02.333]  Have you ever wanted to generate your own supply of electrical power?
[00:05:02.333 --> 00:05:05.957]  If so, this is going to be the most important message you will ever hear.
[00:05:05.957 --> 00:05:10.543]  Solar power generators are now available from Solutions from Science in Thompson, Illinois.
[00:05:10.543 --> 00:05:11.965]  These emergency backup systems
[00:05:12.185 --> 00:05:15.066]  Provide life-saving electrical power when you need it most.
[00:05:15.066 --> 00:05:21.187]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[00:05:21.187 --> 00:05:24.807]  It's like having an electric power plant running quietly in your own home.
[00:05:24.807 --> 00:05:29.608]  Run sump pumps, shortwave radios, computers, and even keep food from spoiling.
[00:05:29.608 --> 00:05:36.190]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[00:05:36.190 --> 00:05:38.130]  When the power goes out, you'll be ready.
[00:05:38.610 --> 00:05:41.813]  With a solar-powered generator from Solutions from Science.
[00:05:41.813 --> 00:05:46.317]  Go to MySolarBackup.com and get off the grid today!
[00:05:46.317 --> 00:05:48.479]  That's MySolarBackup.com or call 877-327-0365.
[00:05:48.479 --> 00:05:48.539]  877-327-0365.
[00:05:48.539 --> 00:05:49.560]  Don't wait, call today!
[00:06:01.451 --> 00:06:08.086]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:08.086 --> 00:06:11.072]  It's Alex Jones and the GCN Radio Network.
[00:06:13.089 --> 00:06:16.171]  Well, I'm here live Monday through Friday from 11 a.m.
[00:06:16.171 --> 00:06:16.972]  to 3 p.m.
[00:06:16.972 --> 00:06:18.073]  Central Standard Time.
[00:06:18.073 --> 00:06:19.654]  I'm Alex Jones, your host.
[00:06:19.654 --> 00:06:21.856]  You have found at the front lines of the Info War.
[00:06:21.856 --> 00:06:23.497]  It's not about left and right.
[00:06:23.497 --> 00:06:24.438]  It's about justice.
[00:06:24.438 --> 00:06:25.659]  It's about integrity.
[00:06:25.659 --> 00:06:32.924]  It's about exposing the world government openly being set up by a private group of central banks across the planet.
[00:06:32.924 --> 00:06:34.486]  And there can no longer be any denial.
[00:06:35.660 --> 00:06:50.697]  The head of the UN, the head of the EU, Al Gore, all these world leaders are announcing planetary government is here and the global cap-and-trade, cap-and-tax system is the funding mechanism for their world government.
[00:06:50.697 --> 00:06:53.300]  And we are now more than a week into climate gate.
[00:06:53.860 --> 00:07:14.614]  Internal emails and documents from inside the East Anglia University in England, the main university, sourced and used as one of three climate centers to study man-made global warming, engaged in premeditated fraud with the UN, the NASA Goddard Space Center, and more.
[00:07:14.614 --> 00:07:18.277]  We'll give you all the latest developments on that coming up.
[00:07:19.130 --> 00:07:32.895]  We are also of course going to be interviewing Charlie Sheen live on air coming up in the next segment on this 29th day of November 2009 on this live Sunday edition.
[00:07:32.895 --> 00:07:43.039]  Charlie Sheen is coming up this evening with us live on air with the winner of the 20 minutes with the president dot com contest.
[00:07:44.022 --> 00:07:47.665]  And we'll give you more details of that coming up this evening.
[00:07:47.665 --> 00:07:56.751]  Very appreciative to Charlie and having the idea to do this and all that he's been doing, exposing false flag stage government terrorism like 9-11.
[00:07:56.751 --> 00:07:58.413]  We are here to expose frauds.
[00:07:58.413 --> 00:08:00.514]  We are here to expose hoaxes.
[00:08:00.514 --> 00:08:04.577]  We are here to tell the truth about what's happening in our planet.
[00:08:04.577 --> 00:08:06.699]  Justice be done, may the heavens fall.
