[00:00:00.110 --> 00:00:00.272]  Hmm.
[00:00:04.810 --> 00:00:09.654]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.654 --> 00:00:11.235]  You want answers?
[00:00:11.235 --> 00:00:12.797]  Well, so does he.
[00:00:12.797 --> 00:00:16.980]  He's Alex Jones on the GCN Radio Network.
[00:00:16.980 --> 00:00:24.526]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.526 --> 00:00:29.690]  We have another powerful, very important transmission lined up for you today.
[00:00:29.690 --> 00:00:30.591]  We are live.
[00:00:30.591 --> 00:00:32.953]  It is the 17th day of September 2010.
[00:00:35.179 --> 00:00:38.961]  We have our once-a-week visit with Bob Chapman on the economy.
[00:00:38.961 --> 00:00:42.703]  And boy, it's going to be a very important time to have him on now with all that's happening.
[00:00:42.703 --> 00:00:45.464]  They're admitting that layoffs are at record levels.
[00:00:45.464 --> 00:00:50.547]  The double dip in the housing market has basically begun.
[00:00:50.547 --> 00:00:53.088]  Of course, it never really ended.
[00:00:53.088 --> 00:00:58.611]  Gold has reached an all-new height after breaking two previous records this week.
[00:00:59.926 --> 00:01:04.448]  It's at an all-time high, yet again breaking the last two previous records.
[00:01:04.448 --> 00:01:17.034]  The eugenicists are openly pushing the flu vaccine for pregnant women and saying basically that all the school children need it, even though it's admitted in hundreds of publications like the British Medical Journal.
[00:01:18.495 --> 00:01:41.189]  And the London Telegraph, the Associated Press, but again, that's hidden in the background, never on the nightly news, that massive neurological disorders, brain damage, Guillain-Barre, permanent epilepsy, narcolepsy, where you just pass out routinely when you're driving your car, walking down the street, or watching TV.
[00:01:41.189 --> 00:01:45.232]  I mean, this stuff is frying your brain by design.
[00:01:46.192 --> 00:01:51.493]  In fact, guys, I know it's in the stacks from a few weeks ago, but will you go back through the stack from about two weeks ago?
[00:01:51.493 --> 00:02:00.516]  I want all those Rockefeller Foundation documents where they admittedly created the vaccines that covertly sterilize you and brain damage you.
[00:02:00.516 --> 00:02:05.497]  We've had more than 10 reports written at InfoWars.com.
[00:02:06.477 --> 00:02:09.318]  By one of our great writers on that, just the last few weeks.
[00:02:09.318 --> 00:02:16.180]  But when Sherry Tenpenny, Dr. Sherry Tenpenny joins us, I want to bring up some of those issues for her.
[00:02:16.180 --> 00:02:20.982]  Because for every thousand documents we find, there's tens of thousands we haven't run into.
[00:02:20.982 --> 00:02:24.163]  And it's just anytime we research, it's all public.
[00:02:24.163 --> 00:02:25.584]  They're proud of it.
[00:02:25.584 --> 00:02:27.524]  They're proud of how they're sterilizing you.
[00:02:27.524 --> 00:02:29.785]  They're proud of how they're brain damaging you.
[00:02:29.785 --> 00:02:31.746]  This is not even hidden.
[00:02:31.746 --> 00:02:34.387]  Do you understand the magnitude of that?
[00:02:35.745 --> 00:02:37.107]  The debate's over.
[00:02:37.107 --> 00:02:41.435]  If we bring this information out against them, it's over for them.
[00:02:41.435 --> 00:02:47.645]  When we bring the information out about global warming being man-made, or even being real, being a fraud, the debate is over.
[00:02:48.379 --> 00:02:54.664]  That's why Al Gore gets up there and tells the opposite of the truth and says the debate is over on climate change.
[00:02:54.664 --> 00:02:55.625]  It's all man-made.
[00:02:55.625 --> 00:02:56.866]  It's deadly.
[00:02:56.866 --> 00:03:03.771]  In five years, San Francisco will be underwater, LA will be underwater, San Diego underwater, Malibu underwater.
[00:03:03.771 --> 00:03:07.614]  That's why he's buying, you know, giant houses right on the water.
[00:03:07.614 --> 00:03:11.377]  Because he knows the evidence all shows he's a stinking fraud.
[00:03:11.377 --> 00:03:12.478]  So he arrogantly
[00:03:13.666 --> 00:03:14.367]  That's the truth.
