[00:00:03.302 --> 00:00:04.002]  I'm Chuck Baldwin.
[00:00:26.201 --> 00:00:33.912]  I'm a syndicated columnist, radio talk show host, and for 35 years the pastor of Crossroad Baptist Church in Pensacola, Florida.
[00:00:34.713 --> 00:00:38.879]  I'm the husband of one, the father of three, and the grandfather of seven.
[00:00:40.919 --> 00:00:46.602]  I've said all over the country that I believe that we have far more to fear from Washington D.C.
[00:00:47.162 --> 00:00:54.286]  than we do from Tehran or from Afghanistan or some other foreign entity.
[00:00:55.226 --> 00:01:00.869]  The Founding Fathers recognized that and I think that we need to start recognizing it again today.
[00:01:01.769 --> 00:01:05.351]  The potential for tyranny, usurpation of power, etc.
[00:01:05.851 --> 00:01:08.573]  is far greater from the central government in D.C.
[00:01:09.349 --> 00:01:10.950]  Than it is from any foreign entity.
[00:01:11.771 --> 00:01:17.334]  My main reason for running in 2008 was because Dr. Ron Paul was defeated in the Republican primary.
[00:01:18.355 --> 00:01:21.617]  I was supporting him during that primary.
[00:01:22.177 --> 00:01:25.679]  In fact, I traveled to several states endorsing his candidacy.
[00:01:26.640 --> 00:01:31.743]  I believe his message of constitutional government is exactly the message that America needed and still needs.
[00:01:32.643 --> 00:01:35.185]  When it became obvious that he would not be the Republican nominee,
[00:01:36.333 --> 00:01:50.717]  Several people, including those within the Constitution Party, urged me to consider becoming their candidate in 2008 so that the message of constitutional government could continue throughout the general election process.
[00:01:51.617 --> 00:02:04.040]  Obviously, a lot of prayer and thought went into that, but at the end of the day, I accepted that challenge, and the Constitution Party committee and the membership of that organization chose me
[00:02:04.820 --> 00:02:05.181]  We're good.
[00:02:18.314 --> 00:02:23.260]  We'd like to address some of the FEMA and national emergency issues during our interview today.
[00:02:23.280 --> 00:02:27.706]  And one of those items that's come up over the past few years are the clergy response teams.
[00:02:28.207 --> 00:02:32.452]  We've had leaked information about pastors being used for those purposes.
[00:02:33.233 --> 00:02:34.595]  Could you tell us what you know about that?
[00:02:35.936 --> 00:02:36.957]  I've heard the same thing.
[00:02:36.997 --> 00:02:46.502]  In fact, I had a pastor friend of mine from Ohio that told me that he was solicited by FEMA representatives for that purpose.
[00:02:47.202 --> 00:02:50.244]  And he actually attended one of the training seminars.
[00:02:51.164 --> 00:03:01.347]  And he and I had a lengthy discussion over the telephone as he relayed to me the information that was given out and what they were trying to do.
[00:03:01.827 --> 00:03:09.149]  There's no question that there was a concerted effort, and probably still is, to enlist pastors and clergymen
[00:03:09.813 --> 00:03:14.474]  To be part of some kind of, as you said, a clergy response team.
[00:03:14.834 --> 00:03:23.076]  The primary goal of that would be to use the clergyman to encourage their constituents, their parishioners, etc.
[00:03:23.757 --> 00:03:33.179]  to submit to whatever governmental decree would come down in the event of a national emergency, including the confiscation of firearms.
