[00:00:21.089 --> 00:00:21.889]  Welcome, my friends.
[00:00:21.989 --> 00:00:23.170]  I'm your host, Alex Jones.
[00:00:23.250 --> 00:00:25.390]  This is InfoWars Nightly News.
[00:00:25.990 --> 00:00:28.911]  Friday, the 28th day of October 2011.
[00:00:29.551 --> 00:00:48.157]  Coming up, we're going to look at TSA checkpoints on the streets of the United States, a Washington Times report that the Israeli-Palestinian prisoner exchange is a prelude towards an Israeli strike on Iran, and more.
[00:00:49.284 --> 00:00:53.807]  But first, I want to get to a special report that we compiled today.
[00:00:55.608 --> 00:01:16.703]  Yesterday, we played here on the news one clip of literally thousands from Iraq and Libya of a Libyan child, looks about three years old, with their entire lower mandible blown away and their tongue hanging out, screaming in pain and horror and confusion.
[00:01:17.708 --> 00:01:21.289]  Uh, from Sirte, the, uh, hometown of Gaddafi that was leveled.
[00:01:21.909 --> 00:01:32.232]  And it's confirmed the Al-Qaeda rebels that NATO and the West put in power, through our peace president, uh, Obama, went in and systematically, basically killed almost everybody.
[00:01:32.952 --> 00:01:35.773]  Including those that have been trying to broker a peace deal.
[00:01:36.513 --> 00:01:42.215]  We've also talked to Wayne Madsen and other sources that have confirmed that Gaddafi left in broad daylight, love him or hate him,
[00:01:43.345 --> 00:01:46.727]  He left in broad daylight with a white flag of truce.
[00:01:46.787 --> 00:01:51.850]  He believed Hillary was there to meet him, and he was going to turn himself in.
[00:01:52.010 --> 00:01:54.312]  But they know that dead men tell no tales.
[00:01:55.152 --> 00:02:11.642]  And my issue here is that you have 40,000 to 50,000 dead, that's what even mainstream media is saying, it's probably a lot more, on the Gaddafi side, mostly men, women and children, mostly non-combatants, innocent civilians,
[00:02:13.127 --> 00:02:18.890]  And I've seen comments in the media about parking lot, kill everybody, kill them all, kill, kill, kill.
[00:02:21.271 --> 00:02:25.512]  And this is just such an incredible dehumanization of who we are.
[00:02:27.833 --> 00:02:29.234]  And it shows such ignorance.
[00:02:29.334 --> 00:02:38.598]  You know, in the last seven years, Gaddafi gave up his WMDs, came into the West, invested large amounts of the country's money,
[00:02:39.571 --> 00:02:44.655]  with the West and believed he was engaged in detente or peacemaking.
[00:02:45.415 --> 00:02:52.060]  And it's just incredible treachery from the white flag seven years ago to the white flag when he was killed a few weeks ago.
[00:02:52.080 --> 00:03:04.310]  And just ignorant people who don't hold passports, who haven't been around the world, who don't study geopolitical systems, to just say, they're brown, they're in Africa, kill them.
[00:03:06.457 --> 00:03:08.358]  After all, Al-Qaeda hit us on 9-11.
[00:03:08.378 --> 00:03:15.740]  But then, Al-Qaeda is the very group that was brought in to start the overthrow of Gaddafi.
[00:03:15.780 --> 00:03:17.801]  And we're told this war was launched.
