[00:00:00.049 --> 00:00:01.415]  War on Corruption.
[00:00:01.898 --> 00:00:04.650]  Alex Jones on the GCN Radio Network.
[00:00:11.243 --> 00:00:15.346]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.067 --> 00:00:16.887]  You want answers?
[00:00:17.668 --> 00:00:18.629]  Well, so does he.
[00:00:19.209 --> 00:00:23.052]  He's Alex Jones on the GCN Radio Network.
[00:00:23.392 --> 00:00:27.515]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.096 --> 00:00:37.437]  Welcome, it is Wednesday, November 23rd, 2011.
[00:00:37.977 --> 00:00:41.717]  You are tuned in to the Alex Jones Show.
[00:00:42.337 --> 00:00:46.718]  Thank you so very much for joining us today on this day before Thanksgiving.
[00:00:46.738 --> 00:00:50.019]  I'm going to be wishing you a happy Thanksgiving throughout the show.
[00:00:50.539 --> 00:00:51.459]  My name is Mike Adams.
[00:00:51.519 --> 00:01:01.681]  I'm the fill-in host for Alex today, who is on the road returning to Austin after filming a number of videos and filing many reports from the road, as you've heard and seen here.
[00:01:02.422 --> 00:01:04.673]  On the Alex Jones Show and InfoWars Nightly News!
[00:01:05.526 --> 00:01:18.372]  Now today we have just an incredible lineup of news, including coverage of the debate last night, where Ron Paul, well they gave him more than 89 seconds, for starters, can you imagine that?
[00:01:19.292 --> 00:01:32.398]  And he just blew away the competition with some rational, common sense answers to keep us out of wars, to return some fiscal sanity to America, and basically do what's right for the future of our nation.
[00:01:33.038 --> 00:01:57.105]  So we're going to be playing some clips for you from that debate and also bringing you some commentary on that and covering some of the crazy, the crazy answers by Newt Gingrich and Mitt Romney and all the other globalists there who are now essentially saying that, hey, the Bill of Rights shouldn't apply to you if we declare some kind of a war, even if it hasn't been legally declared by the Congress.
[00:01:57.885 --> 00:01:58.385]  Imagine that.
[00:01:58.765 --> 00:02:20.870]  Also today coming up we have Paul Craig Roberts will be joining us at the bottom of the hour to talk about tyranny and a concept that we're calling trickle-down tyranny and what else is going on with the TSA and the world of security that was also the topic of the debates last night the CNN presidential debates or I'm sorry Republican nominee debates
[00:02:21.830 --> 00:02:31.200]  We also have coming up today Dr. Stuart Lonke, who's going to be talking to us about the dangers of environmental toxins that you may not know about.
[00:02:31.861 --> 00:02:42.391]  In fact, he's the author of a book called Invisible Killers, and he's here to talk to us about the toxic metals that are found in the environment and in the foods
[00:02:43.172 --> 00:02:47.214]  And in industrial processes that we are now taking into our bodies.
[00:02:47.314 --> 00:02:58.359]  And I am convinced that much of the insanity that we are seeing in the world today, especially in America, is due to heavy metals poisoning and chemical poisoning.
[00:02:58.999 --> 00:03:11.687]  I think it's a topic that we haven't covered enough and it could explain why so many voters and so many people, so many members of the mass public out there, they seem to be literally insane!
[00:03:11.707 --> 00:03:14.269]  I mean insane, completely irrational!
