[00:00:03.553 --> 00:00:05.457]  Waging war on corruption.
[00:00:05.939 --> 00:00:08.705]  Alex Jones on the GCN Radio Network.
[00:00:15.339 --> 00:00:19.541]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.162 --> 00:00:20.982]  You want answers?
[00:00:21.762 --> 00:00:22.683]  Well, so does he.
[00:00:23.303 --> 00:00:26.865]  He's Alex Jones on the GCN Radio Network.
[00:00:27.505 --> 00:00:31.608]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.558 --> 00:00:48.585]  Well, you knew the attacks on Ron Paul were gonna kick into high gear now that in Iowa and other states, he's in first or second in all the major polls.
[00:00:50.267 --> 00:01:18.499]  But now the Iowa governor, the Republican establishment rhino, big government individual, is coming out and saying ignore a Ron Paul win and he himself is trying to derail the Iowa caucuses and claiming that it's Ron Paul's fault and saying it's going to be discredited forever now to try to make Iowans hate Ron Paul, which I guess means hate themselves because they're supporting him.
[00:01:19.119 --> 00:01:38.707]  I mean, you talk about mind control, you talk about selling trendiness and what's in style, being a slave, being in debt, being lied to, supporting banker bailouts, supporting all these illegal wars, supporting the overthrow of the Bill of Rights and Constitution, and they always say, the troops want more war!
[00:01:39.688 --> 00:01:47.551]  And of course, in every major poll, over 70% are against it, and Ron Paul gets over 70% of the donations, from Democrats and Republicans.
[00:01:48.575 --> 00:01:50.476]  Compared to the other candidates, it's the same thing.
[00:01:50.856 --> 00:01:52.937]  You know the troops love war and want more.
[00:01:53.257 --> 00:01:55.658]  The troops don't like you, but the facts don't show that.
[00:01:56.179 --> 00:02:00.521]  Oh my gosh, Ron Paul is discrediting the Iowa caucuses.
[00:02:00.561 --> 00:02:01.581]  I have the quotes right here.
[00:02:02.261 --> 00:02:07.524]  Oh my goodness, this is going to destroy Iowa's importance and you know whose fault it is.
[00:02:07.744 --> 00:02:08.805]  It's Ron Paul!
[00:02:09.285 --> 00:02:13.567]  What they're saying to you in a mind control game is, here, hold this hand grenade.
[00:02:14.517 --> 00:02:18.538]  And you're like Wiley Coyote, I guess, when Roadrunner gives him the hangar name.
[00:02:18.698 --> 00:02:19.599]  He's like, oh, thank you!
[00:02:19.859 --> 00:02:21.039]  And then sits there and it blows up.
[00:02:21.479 --> 00:02:22.620]  Are we that stupid?
[00:02:23.960 --> 00:02:25.521]  The globalists are almost out of bullets.
[00:02:26.641 --> 00:02:30.502]  They're almost out of bullets, but... And they tried to destroy Rand Paul and it backfired.
[00:02:30.842 --> 00:02:31.843]  But in this case...
[00:02:33.237 --> 00:02:52.549]  They could have some success on this unless we really expose what they're doing because there's nothing mainline Republicans are more into than going to their fake church and thinking it's the end of the world and never fighting corruption or tyranny and basically just going with whoever Fox News tells them.
[00:02:52.569 --> 00:02:58.432]  They're like, Newt Gingrich is for global government, open borders and carbon taxes and Obamacare.
[00:02:59.133 --> 00:03:00.614]  He's the sensible one.
[00:03:01.455 --> 00:03:02.860]  And you're like, but that doesn't make any sense.
[00:03:02.880 --> 00:03:05.248]  They're like, but Fox News says it.
[00:03:06.280 --> 00:03:11.485]  And if a Republican governor says it, you're going to destroy our state's reputation.
