[00:00:02.734 --> 00:00:05.198]  We are under chemical and biological attack.
[00:00:05.578 --> 00:00:09.785]  The scientific dictatorship sought to not only overthrow nation-states...
[00:00:10.879 --> 00:00:14.300]  ...but to destroy the family and the human species itself.
[00:00:14.960 --> 00:00:16.601]  All of us are under attack.
[00:00:17.301 --> 00:00:21.863]  The global technocrats launch their assaults through covert means.
[00:00:22.423 --> 00:00:30.686]  Through our water and food supplies, as well as household items, food packaging, prescription and over-the-counter drugs.
[00:00:31.286 --> 00:00:37.388]  All of these systems used to deliver their covert Trojan horse payloads of control.
[00:00:38.368 --> 00:00:45.394]  If we are unsuccessful in stopping these technocratic madmen, humanity as we know it is a thing of the past.
[00:00:45.934 --> 00:00:50.418]  The report that you are about to see documents this horrific fact in detail.
[00:00:50.858 --> 00:00:53.180]  What you do with the information is up to you.
[00:00:54.181 --> 00:00:55.322]  You have been warned.
[00:00:56.683 --> 00:01:06.711]  The information that you are about to see and hear is some of the most important info that you will ever witness in your life.
[00:01:08.004 --> 00:01:10.225]  I can say that unequivocally.
[00:01:11.486 --> 00:01:28.957]  And I am begging you, for the sake of you and your family and for our human family, to please take notes, to check the different documents and news articles that we're going to show you here today, and prove to yourself that we're telling you the truth.
[00:01:29.657 --> 00:01:32.459]  In fact, we're only scratching the surface.
[00:01:33.579 --> 00:01:37.402]  There is a private global corporate government, now operating in the open,
[00:01:39.815 --> 00:01:43.920]  That is based on the quack science of eugenics.
[00:01:45.362 --> 00:01:52.971]  And to put that in a pop culture context, or something the general public will understand, Hitler was a eugenicist.
[00:01:54.534 --> 00:01:57.776]  And he got his ideas from scientists in England and the United States.
[00:01:57.876 --> 00:02:09.484]  Now, the robber barons like the Rockefellers that funded Hitler early on and the Kaiser Wilhelm Institute still control this nation and much of the world today.
[00:02:10.504 --> 00:02:14.027]  And the entire development of modern sciences
[00:02:14.887 --> 00:02:27.335]  Through large tax-free foundations and government funding, and DARPA, that President Eisenhower warned us about, has been in the direction of basically creating an artificial habitat.
[00:02:27.976 --> 00:02:36.882]  An artificial system where the scientific dictators, or the technocrats as they call themselves, play God over us and manipulate us.
[00:02:37.782 --> 00:02:39.864]  They see us as lab rats, as guinea pigs.
[00:02:40.990 --> 00:02:49.142]  Now, in the last decade I've talked a lot about eugenics, really for more than 16 years on air, but intensely for 10 years or more.
[00:02:50.083 --> 00:02:52.366]  And in the different documents that we're going to show you here,
[00:02:53.823 --> 00:03:10.662]  We found the UN documents, the Planned Parenthood documents, the World Population Organization documents, where they openly discussed breaking up the family, getting rid of the quote, arcane institution, so they could have their international collectivist system.
[00:03:11.483 --> 00:03:14.447]  Shutting down all competition against the ultra-rich.
[00:03:15.228 --> 00:03:18.392]  That is the system that we face as a society.
[00:03:18.432 --> 00:03:20.075]  And I'm going to go over some of those documents.
[00:03:20.635 --> 00:03:22.137]  But up front, I want to just say this.
[00:03:22.778 --> 00:03:25.782]  The system is scared to death of this information.
[00:03:26.704 --> 00:03:46.131]  Three years ago, they had a bunch of different George Soros-affiliated, Democratic Party-affiliated groups come out against me and really simplify the straw man that they'd built and go after me by saying, Alex Jones says the government is putting chemicals in your food and water to make UK.
[00:03:47.632 --> 00:03:55.155]  What I had actually said was, Bisphenol A alone, that's in thousands of plastic products, printer ink,
[00:03:56.886 --> 00:03:57.446]  You name it.
[00:03:59.107 --> 00:04:11.670]  Is lowering male fertility, is a estrogen mimicker, and is feminizing boys and men, and hyper-feminizing women, and has been linked in major studies to breast cancer and other cancers.
[00:04:13.311 --> 00:04:25.935]  It is devastating our society, and these hormonal disruptors are actually running off into the lakes, streams, and rivers, and
[00:04:27.031 --> 00:04:35.456]  Confusing the sexual reproduction of nutria rats, rodents, fish, turtles, you name it.
[00:04:37.177 --> 00:04:52.946]  This is a toxic waste and it is added to our water, it is added to our food, it is added through the plastics that are in almost everything to our daily lives to reduce our fertility.
[00:04:53.706 --> 00:04:56.148]  Now I want to show you first this document.
[00:04:57.503 --> 00:05:11.495]  This is from Planned Parenthood to the President of the Population Council that was tied in with the United Nations and in it they break down in 1969 plans to lower population and destroy the family.
[00:05:13.410 --> 00:05:15.052]  Postpone or avoid marriage.
[00:05:15.132 --> 00:05:18.195]  B. Alter image of ideal family size.
[00:05:18.235 --> 00:05:20.237]  Demonize having more than one child.
[00:05:20.638 --> 00:05:22.319]  Compulsory education of children.
[00:05:22.339 --> 00:05:23.200]  They mean brainwashing.
[00:05:23.861 --> 00:05:24.442]  Listen to this one.
[00:05:25.102 --> 00:05:27.405]  Encourage increased homosexuality.
[00:05:28.660 --> 00:05:29.180]  There's another one.
[00:05:29.801 --> 00:05:31.562]  Educate for Family Limitation.
[00:05:31.922 --> 00:05:34.684]  Fertility Control Agents in Water Supply.
[00:05:35.084 --> 00:05:40.847]  And the current White House Science Czar, John P. Holdren, is on record in multiple books calling for this as well.
[00:05:41.087 --> 00:05:41.888]  And I got news for you.
[00:05:42.308 --> 00:05:43.849]  It's going on now.
[00:05:44.809 --> 00:05:48.932]  You are being forcibly drugged with toxic chemicals.
[00:05:50.126 --> 00:05:57.870]  Hundreds of them are added to the water supply, including radioactive isotopes, not just sodium fluoride, that gives you a seven-fold increase in cancer.
[00:05:58.231 --> 00:06:02.133]  They have gone absolutely ape over the fact that I'm talking about this.
[00:06:03.494 --> 00:06:06.655]  Because it hits at the core of how these scientists are playing God.
[00:06:07.236 --> 00:06:07.476]  Okay?
[00:06:09.329 --> 00:06:13.394]  This is not saying that people in the Roman times, some of them weren't gay or whatever.
[00:06:13.615 --> 00:06:15.157]  This is not about a moral issue.
[00:06:15.738 --> 00:06:25.331]  This is about to reduce population, giving men estrogen mimickers, so that they're not attracted to women and so they're less fertile or infertile.
[00:06:25.811 --> 00:06:32.419]  But on the other side, it's making girls go into puberty at 9, 10 years old, many of them now at 5.
[00:06:32.880 --> 00:06:34.843]  I've seen some articles as young as 3.
[00:06:34.903 --> 00:06:36.905]  This is all over the Western world.
[00:06:37.406 --> 00:06:44.234]  The United States has the highest cancer rates, especially in women and breast cancer.
[00:06:44.875 --> 00:06:48.337]  It basically accelerates the aging process to simplify it.
[00:06:48.357 --> 00:06:50.539]  It does a bunch of other horrible things as well.
[00:06:50.599 --> 00:06:58.884]  It causes deformities in utero, causes more abortions, women to have miscarriages, and that's what this document gets into.
[00:07:00.085 --> 00:07:06.849]  It says compulsory abortion for out-of-wedlock pregnancies, compulsory sterilization of all who have had two children.
[00:07:07.749 --> 00:07:08.810]  What do you see in China?
[00:07:09.070 --> 00:07:11.292]  Our government went over there in the 70s, made a deal
