[00:00:00.669 --> 00:00:01.590]  Alex Jones.
[00:00:17.500 --> 00:00:18.961]  We're live, my friends.
[00:00:19.041 --> 00:00:21.243]  Thank you so much for joining us.
[00:00:22.418 --> 00:00:40.785]  As we watch the world inch and then hop and then leap towards giant military conflict with Iran, China and more, while the traitorous government that has taken control of our republic is actually moving our jobs as fast as they can to China.
[00:00:41.725 --> 00:00:45.947]  A schizophrenic policy, but there is a method to the madness.
[00:00:46.860 --> 00:00:58.645]  Now coming up at the bottom of the second hour, Charlotte Thompson Isserby will be joining us, expert on the brainwashing and dumbing down of our Republic.
[00:00:59.646 --> 00:01:09.350]  She will be joining us and I'll also get her to talk some about her father and grandfather who were skull and bones and she has publicly said that she believes that
[00:01:11.132 --> 00:01:15.174]  Our hour-long piece on Skull & Bones is the best report ever done on it.
[00:01:15.634 --> 00:01:25.577]  She's the lady that, of course, leaked the information to Anthony Sutton decades ago that first exposed Skull & Bones, what was going on there.
[00:01:25.617 --> 00:01:27.138]  And since then, it's all been confirmed.
[00:01:27.778 --> 00:01:31.219]  But she showed us even more books, documents, and things that were internal Skull & Bones.
[00:01:31.720 --> 00:01:32.560]  Never before seen.
[00:01:32.600 --> 00:01:35.521]  That interview is posted at PrisonPlanet.tv.
[00:01:35.621 --> 00:01:38.142]  Charlotte Isserby, Skull & Bones, blown wide open.
[00:01:41.434 --> 00:01:45.296]  We also are going to have Tyrell Ventura pop in.
[00:01:45.797 --> 00:01:48.438]  Remember Jesse Ventura was on the show last Thursday.
[00:01:48.458 --> 00:02:02.246]  He was planning to leave Friday or Saturday morning in his RV because he won't fly because of the TSA to drive down through the United States into Mexico and down to Baja for a few months during the coldest months in Minnesota.
[00:02:03.547 --> 00:02:07.630]  That didn't stop the corporate media and Fox News linked up
[00:02:09.775 --> 00:02:15.518]  Groups like TMZ to claim that Jesse had been road raging and stopped by the police going to the airport.
[00:02:16.838 --> 00:02:20.400]  It was funny because I talked to him the day before he was in Minnesota, but they don't care.
[00:02:20.420 --> 00:02:21.520]  They just said he's road raging.
[00:02:21.540 --> 00:02:22.220]  It wasn't true.
[00:02:22.981 --> 00:02:24.541]  They were forced to do a retraction.
[00:02:26.282 --> 00:02:27.803]  He thought it was probably a psyop.
[00:02:28.943 --> 00:02:41.411]  And now they've got, you know, the super sniper, because at Fallujah and other turkey shoots, any type of uprising enrolls the giant military and they just call them terrorists.
[00:02:42.231 --> 00:02:51.057]  And this guy has come out and talked about sucker punching Jesse Ventura and then running off.
[00:02:53.075 --> 00:02:53.775]  Running from him.
[00:02:53.895 --> 00:02:54.915]  But very weird.
[00:02:55.396 --> 00:02:58.776]  And it turns out Jesse was there at McPee's bar.
[00:03:00.257 --> 00:03:01.177]  The Navy Seal bar.
[00:03:01.237 --> 00:03:02.617]  Then he was there for an event.
[00:03:03.378 --> 00:03:05.158]  And I went and looked up articles about it.
[00:03:05.378 --> 00:03:12.580]  And I saw people commenting who were Seals and who were there and said, I was there, this didn't happen, or we would have seen this, we would have heard of this.
[00:03:13.060 --> 00:03:18.781]  So I called Ty last night, who's here in the U.S., Ventura's son, who I've worked with on the show Conspiracy Theory.
[00:03:18.801 --> 00:03:20.982]  And he hadn't heard of it yet, and he said, what?
[00:03:22.259 --> 00:03:23.320]  I would have heard about that.
[00:03:23.500 --> 00:03:26.704]  And my dad wouldn't say SEALs deserve to die.
[00:03:27.164 --> 00:03:28.946]  He said, I know that's not true.
[00:03:29.867 --> 00:03:31.669]  And I've seen Jesse around veterans and others.
[00:03:32.269 --> 00:03:33.430]  I know that's not true as well.
[00:03:33.591 --> 00:03:34.551]  Very bizarre.
[00:03:35.853 --> 00:03:37.154]  But I went and looked up this guy.
[00:03:37.174 --> 00:03:41.298]  It turns out he runs a mercenary group out of North Texas.
[00:03:42.435 --> 00:03:44.116]  They did a profile on him in Texas Monthly.
[00:03:44.136 --> 00:03:45.136]  I didn't read the article.
[00:03:45.156 --> 00:03:47.638]  I was at my parents' last month and opened it up.
[00:03:47.718 --> 00:03:48.959]  Because I've been profiled in Texas Monthly.
[00:03:48.979 --> 00:03:50.019]  I thought, oh, let me see what's in here.
[00:03:50.039 --> 00:03:53.161]  And he was wearing like an outfit and a skull hat and all this stuff.
[00:03:53.221 --> 00:03:56.122]  And I was like, man, how cheesy.
