[00:00:22.301 --> 00:00:23.402]  Welcome, my friends!
[00:00:24.123 --> 00:00:31.008]  Here we are, Friday the 13th, 2012, on this Friday edition.
[00:00:31.349 --> 00:00:46.942]  Coming up after the first news that we're going to cover, the head of Euro-Pacific Capital, always an informative guest, Peter Schiff, will be joining us to look at the economy, the Iran situation, Ron Paul surging, and a lot more.
[00:00:47.463 --> 00:00:49.604]  But first, let's look at the situation
[00:00:50.525 --> 00:00:57.030]  in the Middle East, namely the Middle East bordering Central Asia and Persia or Iran.
[00:00:57.050 --> 00:01:05.676]  Ex-Israeli intelligence officer says Pearl Harbor-style attack will be pretext for war with Iran.
[00:01:06.397 --> 00:01:08.338]  Jerusalem Post article implies U.S.
[00:01:08.378 --> 00:01:11.759]  will stage provocation to justify military assault.
[00:01:12.119 --> 00:01:14.060]  Former Israeli intelligence officer A.V.
[00:01:14.120 --> 00:01:22.463]  Perry writes that a surprise Pearl Harbor-style Iranian attack on an American warship in the Persian Gulf will provide the pretext for the U.S.
[00:01:22.483 --> 00:01:25.964]  to launch all-out warfare against Iran.
[00:01:26.997 --> 00:01:33.022]  Continuing with that situation, here is the report out of the Jerusalem Post.
[00:01:33.062 --> 00:01:34.783]  The looming war with Iran.
[00:01:35.424 --> 00:01:37.446]  You mean the buildings getting blown up?
[00:01:37.886 --> 00:01:39.167]  Military bases being blown up?
[00:01:39.227 --> 00:01:40.408]  Missile bases being blown up?
[00:01:40.828 --> 00:01:42.169]  Scientists being assassinated?
[00:01:43.030 --> 00:01:45.012]  It's already going on.
[00:01:45.592 --> 00:01:48.514]  And Iran is saying they're going to respond back against Israeli targets.
[00:01:49.215 --> 00:01:50.255]  And if they can prove the U.S.
[00:01:50.315 --> 00:01:51.636]  is involved, that the U.S.
[00:01:52.156 --> 00:01:52.896]  will be targeted.
[00:01:52.956 --> 00:01:59.478]  And then we're off the races, and the TSA has a good excuse, I guess, to stick their hands down your pants and set up checkpoints in America.
[00:02:00.739 --> 00:02:03.420]  Putin says he's confident Israel will push U.S.
[00:02:03.640 --> 00:02:04.960]  into Iran attack.
[00:02:05.020 --> 00:02:15.404]  That was quite an announcement that came out in major Russian newspapers today, like Interfax, but got almost no attention here in the United States.
[00:02:16.344 --> 00:02:19.646]  It goes on to say, talk about Iran creating an atomic bomb by next week.
[00:02:19.686 --> 00:02:29.312]  We have heard for many years, he said, instead of making sure Iran does not develop a nuclear weapon, the United States is attempting to overthrow Iran's leadership using all available means to make the country into a loyal partner.
[00:02:29.813 --> 00:02:31.614]  And that is certainly what's going on.
[00:02:31.634 --> 00:02:37.237]  Not that I'm saying Putin is some type of saint, but that certainly is the truth of what's going on here.
[00:02:37.938 --> 00:02:42.581]  Let's continue now, shifting gears out of the World War III news to Xbox 360.
[00:02:45.123 --> 00:02:47.185]  Workers reportedly threatened mass suicide.
[00:02:47.745 --> 00:02:53.830]  Another one of the big Foxcom Laboratories there in China.
[00:02:54.751 --> 00:02:57.973]  And I want to go ahead and read over some of this article here.
[00:02:58.854 --> 00:03:01.777]  Xbox 360 workers reportedly threatened mass suicide.
[00:03:01.817 --> 00:03:06.240]  A dissident website is reporting 300 employees at a plant in China that makes the Xbox 360.
[00:03:06.580 --> 00:03:10.504]  Threatened earlier this month to commit mass suicide for being denied promise compensation.
[00:03:10.844 --> 00:03:13.886]  The report an anti-government website China Jasmine Revolution.
[00:03:14.767 --> 00:03:22.830]  via We Want China Times, claims that the protest took place January 2nd at Foxconn plant in China.
[00:03:23.290 --> 00:03:32.713]  A tragedy was avoided after the town's mayor got involved and talked the workers off of their threat off the roof, but now the suicide nets have been put back up.
[00:03:32.733 --> 00:03:39.536]  This has happened at several Foxconn facilities, including one that makes the iPhone.
[00:03:40.176 --> 00:03:42.037]  And if Americans would just pay
[00:03:43.524 --> 00:03:44.925]  A few dollars more for their iPhones.
[00:03:44.965 --> 00:03:45.866]  I've seen the different numbers.
[00:03:46.366 --> 00:03:47.627]  These people could have a living wage.
[00:03:47.667 --> 00:03:53.291]  But see, everything has to be driven down to the lowest common denominator because this is economic warfare.
[00:03:53.771 --> 00:03:59.435]  Not just against the Chinese citizens, but against American citizens having our industrial base destroyed.
[00:03:59.795 --> 00:04:01.456]  No one can compete with the slave labor.
[00:04:02.056 --> 00:04:12.303]  And there's just been massive suicides all across China related to the working 18 hours a day, not being able to sit down, just being absolute robots, breathing all these toxic fumes.
[00:04:12.343 --> 00:04:12.964]  Just amazing.
[00:04:14.845 --> 00:04:18.546]  So we're going to continue to monitor that.
[00:04:19.947 --> 00:04:26.149]  Microsoft has rushed in and I guess offered them a few extra pennies so they could actually feed their kids so they won't commit suicide.
[00:04:27.110 --> 00:04:27.990]  Here's another report on it.
[00:04:28.110 --> 00:04:31.832]  One million workers, 90 million iPhones, 17 suicides.
[00:04:31.872 --> 00:04:32.412]  Who's to blame?
[00:04:33.012 --> 00:04:36.176]  Now, I notice our media does cover this, and they should cover this.
[00:04:36.616 --> 00:04:42.483]  But why not cover the fact that we have seven times the rate of suicides in returning U.S.
[00:04:42.523 --> 00:04:44.866]  military forces than we've ever seen before?
[00:04:45.187 --> 00:04:48.050]  There's always a high rate of suicides, but these are off the charts.
[00:04:48.110 --> 00:04:51.094]  It's gotten some attention, but very, very little.
[00:04:53.015 --> 00:04:54.516]  We need to ask ourselves, why is this happening?
[00:04:54.536 --> 00:04:57.017]  Well, they're serving many, many tours, more than they should.
[00:04:57.037 --> 00:05:02.301]  They're exposed to deadly DU, given toxic vaccinations, and can't live on what they're paid.
[00:05:03.281 --> 00:05:05.923]  And a lot of them morally think that what they've done in the wars is wrong.
[00:05:07.569 --> 00:05:15.213]  Continuing here, loan shark firm targets students 4,000% interest offered as alternative to student loans.
[00:05:15.913 --> 00:05:17.774]  And you're seeing more and more of this.
[00:05:18.215 --> 00:05:21.056]  I mean, just a few decades ago, loan sharking in England and the U.S.
[00:05:21.076 --> 00:05:21.636]  was illegal.
[00:05:22.137 --> 00:05:24.478]  But it's illegal if Vinnie down the street does it.
[00:05:25.118 --> 00:05:30.862]  But as long as big banks and groups are doing it, well, it's O-A-A-OK.
[00:05:31.323 --> 00:05:32.664]  Some credit cards in the U.S.
[00:05:32.864 --> 00:05:35.526]  annually have 70-plus percent interest.
[00:05:35.806 --> 00:05:40.309]  And the big megabanks get your taxpayer money at zero percent interest and then loan it out.
[00:05:40.589 --> 00:05:43.131]  If that isn't loan sharking, I don't know what is.
[00:05:44.619 --> 00:05:48.284]  But the world government's run basically by Ponzi scheme, money-changing loan sharks.
[00:05:48.324 --> 00:05:49.165]  So what do you expect?
[00:05:49.585 --> 00:05:55.033]  Shifting gears into Congressman Ron Paul, away from our little friends the loan sharks.
[00:05:55.934 --> 00:06:00.299]  South Carolina, Ron Paul surges past Santorum into top tier.
[00:06:00.720 --> 00:06:02.562]  In most states he's in first or second place.
[00:06:03.183 --> 00:06:03.483]  I don't know.
[00:06:20.462 --> 00:06:36.056]  The parrot, dinosaur, corporate whore, prostitute, media whore, Decepticon media has basically gone into cardiac arrest and is just going after Ron Paul at every level.
[00:06:36.116 --> 00:06:43.002]  And the public trying to mind control you saying you cannot defeat the globalist, resistance is futile, Ron Paul cannot win.
[00:06:43.462 --> 00:06:53.928]  But he's swimming like a salmon upstream against this, and just continue to support Ron Paul, because we're causing a revolution of awakening and issues here.
[00:06:54.188 --> 00:06:59.972]  Whether he wins, loses, or draws, we all win for liberty, and Ron Paul is our champion.
[00:07:00.012 --> 00:07:10.138]  So support him financially, pray for him, and spread the word and get involved in your state, because Ron Paul is a gateway into liberty, and he is a modern Thomas Jefferson.
[00:07:12.031 --> 00:07:17.778]  All right, let's go ahead now, moving away from Ron Paul to the wars that he has been decrying.
[00:07:18.299 --> 00:07:24.046]  United States Marine Corps investigates desecration video, Afghanistan.
[00:07:24.427 --> 00:07:27.050]  Hamid Khorzai calls footage simply inhuman.
[00:07:28.038 --> 00:07:35.605]  And, of course, there's the footage of the Marines urinating on some dead people that they reportedly killed that are reportedly Taliban.
[00:07:36.326 --> 00:07:39.229]  And, of course, I've heard talk show hosts defending this.
[00:07:39.629 --> 00:07:43.052]  You understand this is going to cause the Muslims over there to get mad?
[00:07:44.153 --> 00:07:51.754]  As a vendetta, because they take this type of insult very seriously, and that they will now target more U.S.
[00:07:51.774 --> 00:07:55.075]  troops right when they're trying to get a ceasefire going and a deal.
[00:07:55.895 --> 00:07:58.476]  The neocons are all over the radio laughing, saying it's great.
[00:07:59.216 --> 00:08:00.216]  We're bankrupt, folks.
[00:08:00.236 --> 00:08:02.236]  We're getting our butts kicked in Afghanistan.
[00:08:02.517 --> 00:08:05.617]  We're there so the government can ship 500 billion in opium out a year.
[00:08:06.597 --> 00:08:07.357]  It's not funny.
[00:08:07.657 --> 00:08:08.378]  You know how many U.S.
[00:08:08.418 --> 00:08:09.958]  troops are going to get killed because of this?
[00:08:11.630 --> 00:08:16.514]  But I'll say, peeing on dead bodies is nothing compared to shooting kids and then laughing about it.
[00:08:16.954 --> 00:08:17.995]  Or killing people's dogs.
[00:08:18.275 --> 00:08:21.638]  But still, it's arrested development.
[00:08:23.019 --> 00:08:24.740]  And it's indefensible and it's stupid.
[00:08:25.774 --> 00:08:40.287]  Alright, I'm done talking about that, but it does make me think of that apocalypse now where Colonel Kurtz is saying, you know, we censure our pilots for riding F-U-C-K on the side of their airplanes, but then we train them to drop napalm on children.
[00:08:40.967 --> 00:08:48.034]  So, it's also much ado about nothing in the final equation because it's a way that the Defense Secretary can look like he cares about people he's killing.
[00:08:48.314 --> 00:08:52.598]  We won't pee on you when you're dead, we'll just kill you for no reason, for your opium.
[00:08:53.762 --> 00:08:59.017]  Continuing, France's downgrade by S&P losing AAA status report.
[00:08:59.318 --> 00:09:00.982]  It's now equal with the United States.
[00:09:02.589 --> 00:09:06.210]  Also, five European nations to be downgraded now.
[00:09:06.671 --> 00:09:09.692]  They're saying after this initial report on France.
[00:09:10.352 --> 00:09:14.633]  Also, MF Global may not be able to pay back clients.
[00:09:15.654 --> 00:09:19.335]  Former customers of MF Global Holdings collapsed brokerage.
[00:09:19.695 --> 00:09:27.518]  We're disappointed to hear Thursday that trustees hunting for funds missing from their accounts has no immediate plans to transfer money to them.
[00:09:27.978 --> 00:09:38.686]  Well, it's well known it went to London and JP Morgan, and it just goes on to tell them that, hey, that's just the way it is, because Don Corzine says so.
[00:09:39.665 --> 00:09:46.090]  All right, that is it for the initial news on this Friday the 13th, 2012 edition.
[00:09:46.330 --> 00:09:47.751]  We do have a quote for you, though.
[00:09:48.251 --> 00:09:57.618]  Every night we have a Patriot quote or we have a globalist-sniveling New World Order quote for you here on the Nightly News.
[00:09:58.339 --> 00:09:59.620]  And here is that quote.
