[00:00:21.573 --> 00:00:27.016]  Welcome to the Monday, January 30th, 2012 edition of the InfoWars Nightly News.
[00:00:27.096 --> 00:00:27.796]  I'm Aaron Dykes.
[00:00:28.197 --> 00:00:32.139]  Now coming up, Alex Jones has an extended interview with Nomi Prins.
[00:00:32.519 --> 00:00:36.041]  That's the financial expert from Wall Street and whistleblower.
[00:00:36.381 --> 00:00:39.463]  They're going to get into all aspects of the financial crisis.
[00:00:39.823 --> 00:00:45.506]  We've also got an in-depth report on Bill Gates' ties to the media and their collusion coming up.
[00:00:45.546 --> 00:00:46.867]  But first, other news.
[00:00:47.387 --> 00:00:48.908]  Obama met with
[00:00:49.708 --> 00:00:50.789]  George H.W.
[00:00:50.829 --> 00:00:53.993]  Bush and son Jeb Bush at the White House Friday.
[00:00:54.233 --> 00:01:02.302]  Unbeknownst to the press, President Obama met Friday evening with the former president and his son, former Florida Governor Jeb Bush, in the Oval Office.
[00:01:02.762 --> 00:01:05.866]  Jeb, of course, the one they tell us will be the third Bush president.
[00:01:06.346 --> 00:01:15.496]  In that string of dynasties, but really what we're looking at here is both sides of what we were told was the World Wrestling Federation, the left and the right, meeting together.
[00:01:15.536 --> 00:01:18.098]  They're basically the same on most issues.
[00:01:18.178 --> 00:01:22.363]  They're both reportedly CIA families and a whole lot more so.
[00:01:23.789 --> 00:01:30.433]  There you have it, really, and Jeb Bush refused to endorse any Republicans, and they're going to let them fight it out.
[00:01:30.633 --> 00:01:31.654]  Kind of interesting as well.
[00:01:32.034 --> 00:01:37.117]  Meanwhile, Ron Paul wins the straw poll in Tennessee, but it didn't make the news.
[00:01:37.277 --> 00:01:37.918]  Go figure.
[00:01:37.978 --> 00:01:38.758]  Big surprise.
[00:01:39.298 --> 00:01:47.323]  And they've got people complaining in the media that they showed up to vote, but their vote was only for the straw poll, and that was just supposed to be an audience grabber.
[00:01:48.684 --> 00:02:00.949]  The actual group who conducted it, the Tennessee Republican Assembly, had a separate vote for who to endorse, and that was Rick Santorum, who garnered all the press coverage and a whole lot more.
[00:02:00.969 --> 00:02:06.031]  That's just what you get all through this race, all through the 2008 race.
[00:02:06.551 --> 00:02:11.273]  A media conspiracy against Ron Paul, how many times does it have to be proved, and some
[00:02:11.713 --> 00:02:14.695]  Weirdo Rick Santorum is the one they give coverage to.
[00:02:14.715 --> 00:02:15.736]  It doesn't make any sense.
[00:02:16.456 --> 00:02:24.421]  The media is well aware there's a huge groundswell of support, grassroots supporters for Ron Paul, and yet that somehow has no value.
[00:02:24.461 --> 00:02:28.223]  No matter how many straw polls he wins, no matter what place he comes in in these votes.
