[00:00:21.260 --> 00:00:22.200]  Welcome, my friends.
[00:00:22.260 --> 00:00:26.161]  It is the final day of the first month of January 2012.
[00:00:26.201 --> 00:00:29.042]  It is Tuesday.
[00:00:29.062 --> 00:00:32.282]  This is another edition of InfoWars Nightly News.
[00:00:32.943 --> 00:00:40.564]  We've got investigative journalist Wayne Madsen joining us to talk about the latest attacks on Occupy Wall Street and violations of the First Amendment.
[00:00:40.624 --> 00:00:47.646]  Regardless of what you think of Occupy Wall Street, their First Amendment rights are beginning to be violated in a Homeland Security coordinated effort.
[00:00:48.763 --> 00:00:54.386]  Since when has the Homeland Security set state policy or city or county policy?
[00:00:54.446 --> 00:00:55.626]  Why are they involved?
[00:00:56.007 --> 00:00:57.407]  Just incredible federalization.
[00:00:57.427 --> 00:01:00.469]  He'll get into Obama, the latest on his birth certificate.
[00:01:01.425 --> 00:01:02.807]  And the Iran situation.
[00:01:22.335 --> 00:01:24.176]  Things like Aspartame today.
[00:01:24.236 --> 00:01:27.537]  This is powerful information coming up at the end of the show tonight.
[00:01:27.677 --> 00:01:34.601]  Please stay with us for that and help get this report out to everyone you know because a lot of lives are in the balance.
[00:01:34.621 --> 00:01:37.622]  They're putting Aspartame in tens of thousands of products now.
[00:01:38.002 --> 00:01:44.245]  The public wakes up to something, they just proliferate it into almost every product where it's almost impossible to stay away from it.
[00:01:44.625 --> 00:01:45.386]  So that's coming up.
[00:01:46.106 --> 00:01:47.667]  But speaking of Iran,
[00:01:49.039 --> 00:01:50.560]  There are massive U.S.
[00:01:50.720 --> 00:01:56.324]  troop buildups being reported by a lot of different publications.
[00:01:56.544 --> 00:01:58.345]  I've got family that's been sent to Kuwait.
[00:01:59.286 --> 00:02:02.708]  There's major naval buildups in and around the Strait of Hormuz.
[00:02:02.828 --> 00:02:04.329]  Israel admits they may strike them.
[00:02:04.729 --> 00:02:08.932]  The United States and NATO have put giant sanctions on Iran.
[00:02:09.112 --> 00:02:11.314]  Iran is threatening to close the Strait of Hormuz.
[00:02:11.914 --> 00:02:14.236]  This is moving rapidly towards open war.
[00:02:14.516 --> 00:02:18.699]  There's already covert war going on inside
[00:02:20.640 --> 00:02:22.141]  Of Iran right now.
[00:02:22.181 --> 00:02:26.963]  The base is getting blown up, the general's being killed, the scientists being assassinated.
[00:02:27.924 --> 00:02:35.048]  All of this is unfolding and really starting to come to a head and we'll continue to break all of that down as it unfolds.
[00:02:35.108 --> 00:02:40.611]  I talked to political scientists, PhD and insider, former State Department
[00:02:42.771 --> 00:02:44.576]  Highest security clearance individual.
[00:02:44.957 --> 00:02:50.592]  Dr. Jerome Corsi today and he said the intel is the physical hot war is imminent.
[00:02:51.516 --> 00:02:52.456]  He was on the radio today.
[00:02:53.397 --> 00:02:57.418]  Shifting gears out of Iran to what's happening here in the United States.
[00:02:58.018 --> 00:03:02.279]  Senate bill will force radiation testing on TSA scanners.
[00:03:02.599 --> 00:03:04.299]  Because part of those TSA lies.
