[00:00:02.469 --> 00:00:02.729]  I think.
[00:00:35.313 --> 00:00:38.478]  It's Monday, April 31st, 2012.
[00:00:40.040 --> 00:00:44.688]  Get ready for another edition of InfoWars Nightly News.
[00:00:45.469 --> 00:00:48.033]  Tonight on the InfoWars Nightly News...
[00:00:49.383 --> 00:00:59.067]  More speculation into the death of Andrew Breitbart as his coroner turns up dead in Los Angeles and arsenic poisoning is suspected.
[00:00:59.707 --> 00:01:07.270]  Then, according to a newly released instructional video by the NSI, public photography is terrorism.
[00:01:08.325 --> 00:01:13.509]  Plus, the Department of Justice confirms Russian troops to train on U.S.
[00:01:13.570 --> 00:01:13.970]  soil.
[00:01:14.310 --> 00:01:22.397]  And finally, exposing false flag terrorism and battling the TSA has now become a congressional campaign issue.
[00:01:22.757 --> 00:01:25.340]  Alex Jones talks with Kurt Haskell.
[00:01:27.121 --> 00:01:31.605]  All this and more coming up tonight on the InfoWars Nightly News.
[00:01:32.125 --> 00:01:34.808]  And now, Alex Jones.
[00:01:44.619 --> 00:01:46.581]  Let's get right into the headlines.
[00:01:47.001 --> 00:01:49.723]  The ultimate green bombshell.
[00:01:50.343 --> 00:01:54.947]  New study finds wind farms actually cause climate change.
[00:01:55.488 --> 00:01:57.289]  Not to mention killing all the local birds.
[00:01:57.849 --> 00:02:03.714]  After years of searching, it appears that scientists have finally identified an actual cause of climate change.
[00:02:04.094 --> 00:02:04.755]  Wind farms.
[00:02:05.375 --> 00:02:09.599]  Blood and Telegraph reports, usually at night the air closer to the ground becomes
[00:02:10.239 --> 00:02:13.723]  Colder, when the sun goes down and the earth cools.
[00:02:13.823 --> 00:02:23.833]  But on huge wind farms, the motion of the turbines mixes the air higher in the atmosphere that is warming, pushing up the overall temperature.
[00:02:24.274 --> 00:02:26.956]  Satellite data over a large area of Texas.
[00:02:28.203 --> 00:02:30.946]  You know, you can't drive anywhere in West Texas to see the beautiful mountains anymore.
[00:02:30.986 --> 00:02:31.907]  It's all just wind farms.
[00:02:32.548 --> 00:02:33.690]  Al Gore makes money off of.
[00:02:34.390 --> 00:02:37.935]  It is now covered by four of the world's largest wind farms.
[00:02:38.475 --> 00:02:45.283]  Found that over a decade, the local temperature went up almost one degree Celsius as more turbines are built.
[00:02:46.104 --> 00:02:48.506]  Kinda like Bill Gates owns the big weather weapon company.
[00:02:48.526 --> 00:02:52.848]  He can just launch tornadoes whenever he wants and say, pay Al Gore and me money!
[00:02:53.569 --> 00:02:56.531]  Or it's all over, and there's the spoils of green fascism.
[00:02:57.031 --> 00:02:58.032]  Death by turbine.
[00:02:58.052 --> 00:02:59.232]  Yeah, that's the reports I've seen.
[00:02:59.733 --> 00:03:01.234]  You want all your local birds dead?
[00:03:02.374 --> 00:03:03.495]  You want dead birds?
[00:03:03.815 --> 00:03:04.736]  You want blood?
[00:03:04.796 --> 00:03:05.336]  You got it!
[00:03:05.636 --> 00:03:06.797]  Blood on the streets!
[00:03:07.137 --> 00:03:08.398]  Blood on the rocks!
[00:03:08.678 --> 00:03:10.099]  Blood every which way!
[00:03:10.139 --> 00:03:10.760]  You got it!
[00:03:10.820 --> 00:03:11.900]  You want some dead bats?
[00:03:11.960 --> 00:03:12.581]  We got it!
[00:03:13.334 --> 00:03:16.178]  If you want blood, we got it!
[00:03:17.780 --> 00:03:18.601]  Continuing here.
[00:03:19.542 --> 00:03:22.066]  This could have long-term effects on wildlife.
[00:03:22.106 --> 00:03:22.546]  Who cares?
[00:03:22.566 --> 00:03:25.490]  As long as it goes to select contributors to the Globalist.
[00:03:26.547 --> 00:03:29.911]  This could have long-term effects on wildlife like GMO does, you're not worried about?
[00:03:30.531 --> 00:03:33.935]  In the immediate areas of larger wind farms, really?
[00:03:34.516 --> 00:03:41.503]  It could also affect regional weather patterns as warmer areas affect the formation of clouds and even wild species.
[00:03:41.984 --> 00:03:44.346]  Gee, you think chemtrails are having any effect?
[00:03:44.847 --> 00:03:45.607]  What about those?
[00:03:47.529 --> 00:03:48.691]  But again, the government loves us.
[00:03:50.171 --> 00:03:51.532]  Oh, but here's another report.
