[00:00:02.517 --> 00:00:03.118]  I don't think so.
[00:00:34.858 --> 00:00:36.919]  Good evening, ladies and gentlemen, and welcome.
[00:00:37.099 --> 00:00:37.820]  I'm Aaron Dykes.
[00:00:37.900 --> 00:00:39.961]  This is the InfoWars Nightly News.
[00:00:40.321 --> 00:00:42.362]  Today is Tuesday, May 15, 2012.
[00:00:44.123 --> 00:00:48.385]  Tonight on the InfoWars Nightly News, Bilderberg 2012.
[00:00:49.325 --> 00:00:55.088]  Meet the new face of treason as we report on the Bilderbergers' plan to hack the U.S.
[00:00:55.228 --> 00:00:55.769]  elections.
[00:00:56.409 --> 00:01:03.373]  Plus, Henry Kissinger gets a taste of his own tyranny as he is searched by unwitting TSA agents.
[00:01:04.173 --> 00:01:08.877]  Then, sound cannons to be used in Chicago to pacify the masses?
[00:01:09.357 --> 00:01:13.740]  All this and more coming up next on the InfoWars Nightly News.
[00:01:26.149 --> 00:01:36.801]  And of course, we also have an exclusive interview with Yuri Mason coming up tonight on how the World Bank is using loans as leverage to force population control measures on people.
[00:01:37.221 --> 00:01:41.626]  Now, turning to the Bilderberg Conference coming up in just a few weeks in Chantilly, Virginia.
[00:01:42.146 --> 00:01:42.446]  I think so.
[00:02:02.580 --> 00:02:10.427]  For other countries to follow suit, threatening to torpedo the euro single currency and entire agenda for the European super state.
[00:02:10.707 --> 00:02:21.417]  And of course, Iceland was an early template for the recovery because they said no to the bankers debt and they've basically already gotten themselves out of at least the worst of the financial crisis.
[00:02:21.757 --> 00:02:26.782]  Other countries like Ireland are talking about following suit and they really don't want to be embarrassed here.
[00:02:27.122 --> 00:02:41.347]  You had the head of the Bilderberg Group, the Steering Committee Chairman, Etienne d'Avignon, in 2009, bragging about how the meeting brought together the Euro project in the first place, really going back to the 50s, but especially in the early 90s.
[00:02:41.687 --> 00:02:56.133]  And now it is disastrously unraveling and they don't want a country like Greece, A, to buck the austerity measures that would help them control the population, B, to embarrass their Bilderberg technocrats who've been taken over and put in without a vote, and C,
[00:02:56.753 --> 00:03:10.321]  They don't want them to lead the way for other European countries to re-establish their sovereignty, to avoid the banker debt, and to go independent rogue and create their whole domino scheme and allow it to collapse in a bad way.
[00:03:10.621 --> 00:03:12.122]  We'll keep an eye on what happens there.
[00:03:12.142 --> 00:03:15.944]  We're going to bring you more Bilderberg information, too, at the end of this broadcast.
[00:03:16.044 --> 00:03:18.685]  We've got a special presentation that will come together.
[00:03:19.005 --> 00:03:19.666]  But first,
[00:03:20.226 --> 00:03:37.955]  Chicago cops buy SoundCannon to provide protesters with public safety messages and police there have spent over 1 million dollars on riot equipment including purchasing a controversial LRAD long-range acoustic device SoundCannon designed to cause extreme pain to those in its path.
[00:03:38.295 --> 00:03:56.821]  Now we've seen this at the Pittsburgh G20 meeting, we saw it at the Toronto G20 meeting, and we've seen it at other recent globalist meetings while all these cretins get together to jam another lousy globalist deal on us that's only going to put us in worse positions in the global economy and put more restraints on the population.
[00:03:57.142 --> 00:04:06.905]  They also want it to be a police state show measure, play with all their new toys, and of course legitimize using these less lethal devices on other countries they're at war with.
[00:04:07.245 --> 00:04:09.547]  Yes, they believe if they can use it on the U.S.
[00:04:09.587 --> 00:04:21.277]  population first, they could use it anywhere, and they want to make sure that in this age of great democracy, nobody in the streets with a voice can actually be heard, and they don't want to encourage any types of Occupy movements.
[00:04:21.657 --> 00:04:23.879]  Not in Chicago, not during that big lockdown.
[00:04:23.919 --> 00:04:24.900]  That's coming up next week.
[00:04:24.920 --> 00:04:26.662]  We're going to see what happens.
[00:04:27.122 --> 00:04:29.803]  Meanwhile, evidence TSA is a mindless machine.
[00:04:29.903 --> 00:04:31.784]  Henry Kissinger gets a pat down.
[00:04:31.804 --> 00:04:41.969]  We haven't seen the pictures yet, but it has been reported he was sent through TSA security without much of his own security, keeping him from being pat down, and that he got the full Monty.
[00:04:41.989 --> 00:04:44.410]  You know, the word on the street is he kind of likes it, too.
[00:04:44.850 --> 00:04:45.190]  Anyway...
[00:04:46.571 --> 00:05:01.509]  Perhaps in an ideal world it would be good for our leaders to be held to the same standards as the populace, but with such a runaway police state, invasive constitution, destroying and violating measure, well, I'm not even in favor of old Kissinger getting the pat down at the airport.
[00:05:01.530 --> 00:05:05.715]  If they want to do it after he's being arrested and put on treason for trial, that's a different story.
[00:05:06.095 --> 00:05:06.515]  The U.S.
[00:05:06.615 --> 00:05:10.357]  and Canada are implementing beyond the border perimeter security initiatives.
[00:05:10.697 --> 00:05:13.358]  This has been going on for months, but it's gotten very little play.
[00:05:13.758 --> 00:05:19.280]  Dana Gabrielle, who wrote this report, has been following the issue for months, for years, for a long time.
[00:05:19.760 --> 00:05:24.422]  And this is a beyond the border pact to more closely merge Canada with the United States.
[00:05:24.762 --> 00:05:26.123]  They're now allowing
[00:05:26.923 --> 00:05:30.966]  Border enforcement, law enforcement people to share data across borders.
[00:05:31.106 --> 00:05:38.011]  They, for instance, have given Homeland Security all of Canadians' passenger data, even if they don't travel through the United States.
[00:05:38.431 --> 00:05:50.360]  Furthermore, they're ratcheting up the trusted traveler programs, the use of biometrics at border crossing checkpoints and other trackpoints, and they're just overall merging the two systems
[00:05:50.720 --> 00:06:02.709]  Allowing a fusion not just of police and military but of different nations as they merge us into the larger North American Union and regulatory czar Cass Sunstein among others had a big part in that.
[00:06:03.029 --> 00:06:03.349]  The U.S.
[00:06:03.410 --> 00:06:11.235]  and Canada are also scheduled to deploy a land-based version of the shipwriter program at some point this summer as part of the security perimeter deal.
[00:06:11.275 --> 00:06:19.742]  Both countries will implement two next-generation pilot projects to create integrated teams in areas such as intelligence and criminal investigations.
[00:06:20.482 --> 00:06:23.724]  And an intelligence-led uniform presence between points of entry.
[00:06:24.064 --> 00:06:35.809]  Attorney General Eric Holder, an upstanding man, revealed plans that would allow law enforcement officers to operate on both sides of the border, announcing the creation of NextGen, with cross-designated officers allowing blah blah blah.
[00:06:36.129 --> 00:06:38.451]  Yeah, they just want to clamp down on all that info.
[00:06:38.491 --> 00:06:40.892]  We'll keep an eye on that as it continues to develop.
[00:06:40.912 --> 00:06:45.214]  They're also using that plan to harmonize GMO regulations enforced on Canada.
[00:06:46.034 --> 00:06:50.238]  We're going to discuss this in greater detail with Yuri Mason later in the program.
[00:06:50.278 --> 00:06:57.545]  However, the UN and World Bank strangle sovereign nations into accepting global population reduction dictates.
[00:06:57.946 --> 00:06:58.667]  And what is this?
[00:06:58.827 --> 00:07:10.338]  It's World Bank loans with that backing from the policy set by the United Nations Fund for Population Activities and other branches that control population, deal with environment,
[00:07:10.698 --> 00:07:19.382]  And they're saying now to nations, especially in the developing world, that if you want those loans, you're going to first meet those population reduction goals.
[00:07:19.702 --> 00:07:20.822]  And this is looking forward.
[00:07:20.862 --> 00:07:22.683]  They've done this stuff in decades past.
[00:07:22.743 --> 00:07:23.584]  It's been a scandal.
[00:07:23.924 --> 00:07:25.764]  But now in their current report for the year 2010,
[00:07:27.105 --> 00:07:32.049]  Which looks forward to the year 2015 and explains what they're trying to accomplish and how.
[00:07:32.349 --> 00:07:50.021]  It's very similar to the schemes they use through the IMF to control third world and developing nations, seize control of those resources, turn it over to mainly Western-backed corporations, and exploit and keep down the population all under the promise of free trade, giving those countries jobs and otherwise uplifting them.
[00:07:50.361 --> 00:07:50.782]  It doesn't.
[00:07:50.822 --> 00:07:52.263]  We know the strings are very harmful.
[00:07:52.323 --> 00:07:53.323]  The devil's in the details.
[00:07:53.363 --> 00:07:53.804]  We know that.
[00:07:54.384 --> 00:07:55.584]  You heard about Kony 2012.
[00:07:55.644 --> 00:08:14.889]  That itself was months after Obama began his rather covert invasion of Africa to legitimize the AFRICOM mission to seize oil and other assets in Central Africa in particular and to ratchet up public support for humanitarian crises here, certain causes here.
[00:08:15.229 --> 00:08:15.449]  We're good
[00:08:34.525 --> 00:08:37.126]  Hunt for the Lord's Resistance Army.
[00:08:37.547 --> 00:08:49.233]  Radhika Kumaswamy, a UN Special Representative for Children in Armed Conflict, called on Ugandan authorities Monday not to apply amnesty but instead to bring back Akelam to justice.
[00:08:49.713 --> 00:08:57.639]  The arrest and subsequent prosecution of Akelem would send a strong message to the LRA leadership that they will be held accountable for their actions.
[00:08:57.960 --> 00:09:04.565]  Of course, they want to hold them accountable in the International Criminal Court set up by George Soros, which really hasn't done anything yet.
[00:09:04.865 --> 00:09:12.451]  They're trying to legitimize that use, make it a big splash, which, by the way, does not apply to the United States or most of the other Western countries.
[00:09:12.752 --> 00:09:19.217]  It's only to go after showpieces in Africa, little dictators they can brand as bad guys but who nobody really knows who they are.
[00:09:19.557 --> 00:09:19.877]  I don't know.
[00:09:36.935 --> 00:09:48.762]  And we've rearranged the story here because our researchers, John Bounds and others, have really realized that they put as a footnote what seems to be on the surface the main reason for taking over interest in these countries.
[00:09:49.162 --> 00:10:01.169]  South Sudan briefly sees the Heglil oil field inside South Kordofan, which is vital to Sudan's economy because it produces almost half of the country's output of 115,000 barrels per day.
[00:10:04.531 --> 00:10:12.333]  That led to last January when President Barack Obama added South Sudan to the list of countries eligible to buy weapons from the U.S.
[00:10:12.733 --> 00:10:14.594]  leading to the former U.S.
[00:10:14.634 --> 00:10:20.816]  official said that the proposition he's making would create a stalemate and get the North back to the negotiating table if the U.S.
[00:10:20.876 --> 00:10:24.317]  provides material the South can end the Norse bombing campaign.
[00:10:25.057 --> 00:10:27.539]  Most North Air Force pilots are mercenaries.
[00:10:27.599 --> 00:10:30.602]  If they start talking heavy losses, they will leave Sudan quickly.
[00:10:31.002 --> 00:10:40.471]  And of course, the Sudan story is important not just because it's part of the same general region of Africa where AFRICOM is trying to take over, but because it's part of the same PSYOP.
[00:10:40.751 --> 00:10:50.340]  While Angelina Jolie and others were blah blah blahing about Kony 2012, you had actors like George Clooney and the State Department's John Prendergast going to South Sudan
