[00:00:01.169 --> 00:00:01.309]  I think.
[00:00:34.065 --> 00:00:36.408]  It's Friday, the 18th of May, 2012.
[00:00:37.029 --> 00:00:42.975]  I'm Alex Jones, and this is another edition of InfoWars Nightly News.
[00:00:44.411 --> 00:00:47.433]  They rape your privacy on the phone.
[00:00:47.714 --> 00:00:49.815]  They rape your privacy on the email.
[00:00:50.075 --> 00:00:52.157]  They rape your daughter in the airport.
[00:00:52.457 --> 00:00:54.519]  They rape your son in schools.
[00:00:54.879 --> 00:00:58.642]  How long are you going to sit and put up with heat rape?
[00:01:14.594 --> 00:01:23.726]  Plus, Chicago prepares for the invasion of NATO as 40 federal agents man secret command centers outside the city.
[00:01:24.087 --> 00:01:27.511]  All that and more on the InfoWars Nightly News.
[00:01:33.902 --> 00:01:41.404]  Coming up first, we're going to look at Obama and the absolute proof, on top of proof, that he was not born in this country and is being blackmailed.
[00:01:41.844 --> 00:01:45.465]  And then some very painful information we have to cover, but please bear with us for this.
[00:01:46.045 --> 00:01:48.666]  Warning though, you probably don't want your children watching this.
[00:01:48.726 --> 00:01:53.207]  Well, maybe you do, so they understand how criminal the state is and how they're preying on them.
[00:01:53.327 --> 00:01:58.369]  So I guess children do have to see this, even though it's dangerous and scary and frightening, so they understand.
[00:02:00.099 --> 00:02:12.723]  That they cannot trust the system, they cannot trust their teachers, they cannot trust their doctors, they can trust no one but their parents, because we are living in a total New World Order, Soviet-slash-fascist nightmare, where they've combined every system of authoritarianism.
[00:02:13.343 --> 00:02:17.664]  Giant kidnapping rings, murdering children, en masse, coming up.
[00:02:18.225 --> 00:02:18.705]  I'm not kidding.
[00:02:18.725 --> 00:02:19.825]  You're going to see total proof of this.
[00:02:20.805 --> 00:02:21.846]  Shakes me to my very core.
[00:02:21.886 --> 00:02:23.326]  I spent most of the radio show today on this.
[00:02:23.346 --> 00:02:23.886]  That's coming up.
[00:02:24.266 --> 00:02:25.707]  First off, let's look at Barack Obama.
[00:02:26.727 --> 00:02:28.588]  I wasn't a birther four and a half years ago.
[00:02:28.609 --> 00:02:29.209]  I was like, really?
[00:02:29.229 --> 00:02:29.849]  Born in Kenya?
[00:02:29.869 --> 00:02:30.750]  I mean, why would they do that?
[00:02:31.651 --> 00:02:33.772]  Then I learned that Hillary had used it against him.
[00:02:33.812 --> 00:02:36.975]  She'd brought it forward because she had all the FBI dossiers.
[00:02:36.995 --> 00:02:38.736]  The Clintons still run Washington, basically.
[00:02:38.956 --> 00:02:41.018]  So they're on their third term through blackmailed Obama.
[00:02:41.638 --> 00:02:42.999]  And I learned all the background.
[00:02:43.039 --> 00:02:45.921]  His wife, Michelle, in speeches saying he was born in Kenya.
[00:02:45.941 --> 00:02:46.922]  They visited his homeland.
[00:02:47.242 --> 00:02:48.523]  We played those clips before.
[00:02:48.543 --> 00:02:49.444]  Just type in Michelle.
[00:02:49.864 --> 00:02:51.685]  Says that Obama visited his homeland, Kenya.
[00:02:51.725 --> 00:02:52.646]  You'll get the video clips.
[00:02:52.786 --> 00:02:53.507]  It's all over the place.
[00:02:54.447 --> 00:02:58.891]  Uh, his fake first birth certificate, the second fake one was ridiculously fake.
[00:02:58.911 --> 00:02:59.831]  A five-year-old made it.
[00:02:59.851 --> 00:03:06.296]  I mean, it's unbelievable with a fake typewriter font where all the typewriter fonts are the same when each one is different.
[00:03:07.277 --> 00:03:14.743]  Uh, the fact that he was Barry Sotero and they denied that in Indonesia and later they went, oh yeah, he was Barry Sotero and, you know, got Indonesian citizenship.
[00:03:14.783 --> 00:03:15.724]  You can only give up your U.S.
[00:03:15.744 --> 00:03:16.945]  citizenship and get that at the time.
[00:03:17.105 --> 00:03:17.685]  It's all on record.
[00:03:18.366 --> 00:03:20.948]  Uh, all the weirdness, the CIA family, all of it.
[00:03:21.228 --> 00:03:23.269]  Why would they want someone who wasn't a U.S.
[00:03:23.389 --> 00:03:23.630]  born?
[00:03:24.639 --> 00:03:25.500]  To blackmailing.
[00:03:26.081 --> 00:03:30.588]  And to get everybody involved in a lie so big that no one would want to challenge it.
[00:03:31.429 --> 00:03:34.854]  Because all the laws he's signed on to in the last three and a half years, they're null and void.
[00:03:35.455 --> 00:03:37.178]  That's the big enchilada right there.
[00:03:37.538 --> 00:03:38.400]  That's the big kahuna.
[00:03:39.636 --> 00:03:44.380]  Paul Watson has a big article breaking all of this down at Infowars.com.
[00:03:45.401 --> 00:03:46.742]  Breitbart broke it yesterday.
[00:03:46.802 --> 00:03:58.111]  It turns out his literary agent, his publicist that he still uses from 91 to 2007, that's 16 and a half years, said that he was born in Kenya and then lived in Indonesia and Hawaii.
[00:03:58.151 --> 00:03:59.472]  Well, that's what our research shows.
[00:04:01.195 --> 00:04:07.076]  Researchers going over there and trying to see his birth certificate and being detained and arrested like Dr. Corsi.
[00:04:08.237 --> 00:04:12.818]  You've got things going on there as well.
[00:04:12.898 --> 00:04:14.718]  I mean, I'm just giving you some background right now.
[00:04:15.279 --> 00:04:17.479]  Bush, we later learned, this is official State Department.
[00:04:18.359 --> 00:04:19.400]  It's public info.
[00:04:19.480 --> 00:04:20.200]  It's in our article.
[00:04:20.600 --> 00:04:23.361]  Evidence Obama born in Kenya goes beyond 1991 brochure.
[00:04:24.341 --> 00:04:27.182]  And you learned that Obama
[00:04:30.506 --> 00:04:33.869]  The Bush administration sent their ambassador to find out to the Kenyans.
[00:04:33.889 --> 00:04:34.790]  They said, was he born here?
[00:04:34.810 --> 00:04:35.771]  Because Hillary's saying this.
[00:04:36.211 --> 00:04:37.953]  And they said, yeah, we've gone to the birth files.
[00:04:38.013 --> 00:04:38.794]  It's been cut out.
[00:04:39.734 --> 00:04:41.036]  It appears to be a criminal action.
[00:04:41.096 --> 00:04:43.298]  So you don't cut out records that weren't there.
[00:04:43.938 --> 00:04:44.579]  You understand that?
