[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[00:00:04.537 --> 00:00:07.599]  This transmission is coming to you.
[00:00:07.599 --> 00:00:11.982]  Waging war on corruption.
[00:00:11.982 --> 00:00:18.246]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:18.246 --> 00:00:21.008]  You see the Earth?
[00:00:21.008 --> 00:00:22.489]  It's a beautiful planet.
[00:00:26.579 --> 00:00:32.183]  Infested with control freaks who have combined themselves into organized gangs.
[00:00:32.183 --> 00:00:34.864]  And they've taken control of most of our governments and corporations.
[00:00:34.864 --> 00:00:39.527]  It's time we awaken to the real threat and restore liberty planet-wide.
[00:00:39.527 --> 00:00:43.229]  What I call 1776 worldwide.
[00:00:43.229 --> 00:00:44.050]  Thank you for joining us.
[00:00:44.050 --> 00:00:46.471]  We are live, ladies and gentlemen.
[00:00:46.471 --> 00:00:48.773]  It is Sunday, the 20th day of May 2012.
[00:00:48.773 --> 00:00:53.896]  We are accelerating towards Bilderberg 2012.
[00:00:56.520 --> 00:00:59.201]  And it is in Chantilly, Virginia, where they held it four years ago.
[00:00:59.201 --> 00:01:01.562]  I've confirmed that through two different sources.
[00:01:01.562 --> 00:01:04.044]  To my knowledge, they've never moved a venue.
[00:01:04.044 --> 00:01:13.508]  They may, though, because there is massive protest being prepared, and a bunch of mainstream media are covering it, Politico and others today.
[00:01:13.508 --> 00:01:17.810]  And they admit they're real, and they do shape policy, but we're still conspiracy theorists.
[00:01:18.672 --> 00:01:28.716]  I'm still a conspiracy theorist for being right, for reporting on it for 17 years, for being accurate, for being there four years ago when Obama and Hillary were inside making a deal.
[00:01:28.716 --> 00:01:31.538]  When national news was, where have they gone for a day?
[00:01:31.538 --> 00:01:32.778]  We're there calling media.
[00:01:32.778 --> 00:01:33.779]  They're here, Bilderberg.
[00:01:33.779 --> 00:01:36.980]  They're like, we're not allowed to report on that.
[00:01:36.980 --> 00:01:38.941]  But Bilderberg has no power.
[00:01:38.941 --> 00:01:41.142]  Media wasn't allowed to report on it.
[00:01:41.142 --> 00:01:46.184]  I was told that from national news sources.
[00:01:47.904 --> 00:01:50.206]  But they don't have any power.
[00:01:50.206 --> 00:01:51.427]  So that is coming up.
[00:01:51.427 --> 00:01:54.709]  Bilderberg Agenda attracts national exposure.
[00:01:54.709 --> 00:02:00.814]  Politico, Rubio, and the Bilderberg Conspiracy all at Infowars.com right now.
[00:02:00.814 --> 00:02:09.661]  Every day, most of the news in here is stuff I've IM'd or already read or looked at before I get into the office, but every day they give me stacks of stuff now I hadn't seen yet.
[00:02:09.661 --> 00:02:12.803]  Here's a London Independent.
[00:02:12.803 --> 00:02:17.307]  Britain arrested in Thailand after being found with roasted human babies.
[00:02:19.060 --> 00:02:25.204]  A whole bunch of them roasted and wrapped in gold leaf to be sold to rich people for satanic rituals.
[00:02:25.204 --> 00:02:28.706]  It's like, used to I saw this every few months, now it's every two days.
[00:02:28.706 --> 00:02:30.647]  Remember one a few days ago last week?
