[00:00:02.486 --> 00:00:02.906]  We're good to go.
[00:00:34.912 --> 00:00:36.534]  Welcome, ladies and gentlemen, welcome.
[00:00:36.574 --> 00:00:38.295]  This is the InfoWars Nightly News.
[00:00:38.435 --> 00:00:39.857]  I'm your host, Aaron Dyches.
[00:00:39.917 --> 00:00:46.964]  Today is Wednesday, May 23, 2012, and we have a special Bilderberg breakdown for you just ahead.
[00:00:50.737 --> 00:00:59.041]  So you already underscored the eugenics behind all this, that they want to reduce the world population almost all the way, 90 plus percent basically.
[00:00:59.101 --> 00:01:00.982]  They want to take six-sevenths of it away.
[00:01:01.362 --> 00:01:10.066]  Lord Mocton joins us in studio as he discovers Agenda 21's globalist death plan to kill six-sevenths of the population.
[00:01:10.486 --> 00:01:15.709]  Then, the Facebook scandal heats up while the power behind the throne that is Bilderberg
[00:01:16.049 --> 00:01:18.231]  All that and more up next on the InfoWars Nightly News.
[00:01:37.278 --> 00:01:43.866]  First up tonight, the Facebook IPO has fallen into total controversy as the value of the shares have fallen.
[00:01:44.226 --> 00:01:51.614]  Investors are going crazy, people are laying blame everywhere, and people are wondering what is the future of Facebook.
[00:01:51.935 --> 00:01:54.518]  Now we predicted last week in our special report
[00:01:55.138 --> 00:02:03.500]  A, pointing out all the important connections between the Bilderberg Group and the important founder and funder circles around Facebook and other top technology.
[00:02:03.900 --> 00:02:22.223]  Now, they are looking to review Morgan Stanley's regulation practices, also that of Goldman Sachs, to see if, in fact, there was an insider tip that the stock was overvalued just before it went public, and whether or not that warning actually went out to all investors or just a few insiders.
[00:02:22.624 --> 00:02:24.404]  Of course, we know that among others,
[00:02:24.984 --> 00:02:34.247]  Zuckerberg and Peter Thiel on the steering committee of Bilderberg cashed in mega shares and there it is in MarketWatch.
[00:02:34.307 --> 00:02:45.111]  They put even more shares on the market than they initially planned, really dovetailing with the speculation that there may have been some foul play with the early warning on the Facebook IPO.
[00:02:45.551 --> 00:02:49.173]  We predicted it may well be a pump-and-dump stock scam.
[00:02:49.553 --> 00:02:52.274]  That remains to be seen as the fine print will fall.
[00:02:52.614 --> 00:02:54.937]  But certainly Facebook has been making a lot of headlines.
[00:02:54.997 --> 00:03:04.088]  Please check out my special report from last week about the Facebook IPO, Sean Parker, Peter Thiel and all the other Bilderbergers around that circle.
[00:03:04.628 --> 00:03:09.274]  Now, today on the Drudge Report, he linked to my article, Mark of the Beast,
[00:03:09.714 --> 00:03:13.097]  Bilderberg pushes mandatory Internet ID for Europe.
[00:03:13.457 --> 00:03:31.830]  And indeed, in the heels of PIPA, SOPA, ACT-A treaty, and everything else that's going down, now CISPA inside the United States, the European Union is looking to mandate some kind of electronic signature online ID system that would be used for all online access,
[00:03:32.430 --> 00:03:37.071]  Most of commerce and all kinds of other verification and authentication.
[00:03:37.411 --> 00:03:40.232]  Behind the deal is one Neely Crows.
[00:03:40.592 --> 00:03:44.152]  She's been going to Bilderberg, well, religiously, since the year 2005.
[00:03:45.513 --> 00:03:51.014]  In the article, I've got links to the membership rosters where she shows up officially year after year.
[00:03:51.034 --> 00:03:53.474]  2005, 2006 in Ottawa, Canada, 2007 in Istanbul, 2008 in Chantilly, Virginia.
[00:03:59.355 --> 00:04:05.638]  2009 in Volhynia, Greece, 2010 in Sitges, Spain, and of course last year at St.
[00:04:05.678 --> 00:04:18.563]  Moritz, where Neely Crows showed up with a brand new title, not only on the EU's Commission, but now the Commissioner for the Digital Agenda, and boy did they have a digital agenda they were pursuing.
[00:04:18.923 --> 00:04:45.806]  It's no coincidence all those tech heads from Microsoft people to Google, Eric Schmidt of course, and all the Facebook people converged around cybercom leader General Keith Alexander and around the EU's Commissioner for the Digital Agenda and the US counterpart for antitrust and all the others and they laid out this plan and they've been pursuing it and we're seeing it in action now so they want a mandatory internet ID so they can control the web.
[00:04:46.647 --> 00:04:47.328]  It's that simple.
[00:04:47.808 --> 00:04:50.872]  Meanwhile, it dovetails with Kurt Nemo's report from today.
[00:04:51.252 --> 00:04:54.216]  New York bill outlaws internet political speech.
[00:04:54.796 --> 00:05:03.006]  And so a New York Republican, Jim Conte, has declared himself an enemy of the First Amendment and is pushing a so-called Internet Protection Act.
[00:05:03.346 --> 00:05:05.228]  All this lingo we've seen time and again.
[00:05:06.149 --> 00:05:09.812]  With proposals that have fallen off the way and those that are going to make it to the finish line.
[00:05:10.173 --> 00:05:14.937]  And they're trying to protect people from cyber bullying by taking it out on the First Amendment.
[00:05:15.057 --> 00:05:17.759]  And otherwise, as I said, trying to clamp down on the Internet.
[00:05:18.159 --> 00:05:21.022]  Alex has exposed this agenda for how long now?
[00:05:21.703 --> 00:05:23.444]  And here it is coming into play.
[00:05:23.524 --> 00:05:24.205]  It's all true.
[00:05:24.585 --> 00:05:26.106]  You've got to do the research for yourself.
[00:05:26.186 --> 00:05:29.810]  See what their vision is for Internet 2, the kill switch, all of it.
[00:05:30.450 --> 00:05:34.411]  Meanwhile, Bilderberg Group changed their chairman.
[00:05:34.871 --> 00:05:37.532]  It had been Etienne D'Avignon for many years.
[00:05:37.932 --> 00:05:48.696]  It quietly changed to the head of AXA Insurance Group out of France, Henri de Castries, and it turns out he was a good friend and business school
[00:05:49.316 --> 00:05:57.962]  Uh, alumni alongside of Francois Hollande, who is of course just elected president in France, uh, the first socialist president in some time, I think.
[00:05:58.383 --> 00:06:12.573]  At any rate, the head of the Bilderberg Group is quite chummy with Hollande, and there it is in Bloomberg and other sources about how they all went to HEC Paris, one of the top business schools, and other pedigree as well.
[00:06:13.073 --> 00:06:18.377]  Other people, including officer Jean-Paul Agnon, French telecom chief Stéphane Richard,
[00:06:18.677 --> 00:06:18.997]  I think so.
[00:06:33.885 --> 00:06:38.769]  Now you may recall the report from a few weeks ago about how Goldman rules the world.
[00:06:39.209 --> 00:06:41.611]  Certainly in Europe they've made a major impact.
[00:06:41.871 --> 00:06:48.676]  You've got people like Peter Sutherland over BP Oil and Goldman Sachs director out of Ireland.
[00:06:48.936 --> 00:06:53.360]  You've got Mario Monti taking over as the top technocrat without an election in Italy.
[00:06:53.700 --> 00:07:02.149]  You've got the heads of state and finance in Greece and more all part of the Bilderberg Group, so we know that's a major part of their plank.
[00:07:02.509 --> 00:07:14.001]  Of course, Ednier Davignon, the former chairman of the Bilderberg Group, bragged a few years ago back in 2009 that the group had indeed brought the euro into livelihood, had nurtured it along for
[00:07:14.702 --> 00:07:23.786]  Really 50 years as part of the European community project that emerged into the EU and which of course went hand-in-hand with the currency.
[00:07:23.806 --> 00:07:31.569]  They've got a quote there about how really the goal was for people understand confusingly there's a change in the air but no government.
[00:07:31.969 --> 00:07:32.609]  We're good to go.
[00:07:49.614 --> 00:07:50.194]  We're good to go.
[00:08:15.763 --> 00:08:16.163]  We're good to go.
[00:08:41.790 --> 00:08:48.016]  The Bilderberg attendee who helped choose Obama's VP running mate, James A. Johnson.
[00:08:49.037 --> 00:08:52.040]  He was the former CEO of Fannie Mae.
[00:08:52.140 --> 00:09:05.374]  He became embattled in a scandal when it emerged he got some really questionable loans from Countrywide and the whole scandal surrounding Angelo Mazzello and really played a questionable role in the popping of the housing bubble.
[00:09:06.044 --> 00:09:17.999]  Now he's in another scandal, not dealing with choosing the running mate, but with the fact that he's been one of the longest serving board members of Goldman Sachs, who, as we noted, rules the world.
[00:09:18.420 --> 00:09:23.046]  Now, some counter-elite factions, including the Sequoia Fund,
[00:09:23.566 --> 00:09:31.711]  And if I'm not mistaken, Warren Buffett are opposing his reelection, really saying his scandal's been too out in the open and it's not a good signal to reelect him to the board.
[00:09:32.031 --> 00:09:39.336]  Of course, it's likely that he will be reelected to the board, but it just illustrates the extremely close ties between Goldman Sachs
[00:09:39.676 --> 00:09:41.197]  and the Obama presidency.
[00:09:41.557 --> 00:09:48.099]  Again, James A. Johnson openly in the press had the role of helping choose Obama's VP running mate.
[00:09:48.399 --> 00:10:00.843]  When the scandal emerged with Fannie Mae and Countrywide, he suddenly stepped down just a couple days after the Bilderberg Group met back in 2008 at the same location they're meeting this year in Chantilly, Virginia.
[00:10:01.303 --> 00:10:03.286]  Very, very interesting stuff.
[00:10:03.747 --> 00:10:12.399]  And he just quietly stepped down and Obama said, well, James A. Johnson might be Goldman Sachs, but he was an unpaid volunteer, so let's not pay attention to those connections.
[00:10:12.579 --> 00:10:14.121]  After all, I'm for the people, hope change.
[00:10:15.188 --> 00:10:31.875]  And of course, James A. Johnson not only helped pick Obama's VP in 2008, he had a very public role in helping to pick John Kerry's running mate, which was John Edwards, who again went to the Bilderberg meeting in 2004, long before he himself was caught up in scandal, and had Kerry won
[00:10:33.115 --> 00:10:33.715]  We're good to go.
