[00:00:01.800 --> 00:00:01.940]  I think.
[00:00:34.653 --> 00:00:36.436]  Welcome to the InfoWars Nightly News.
[00:00:36.737 --> 00:00:40.083]  I'm your host, Rob Dew, and today's date is Thursday, July 5th, 2012.
[00:00:40.123 --> 00:00:42.789]  And here's a little look at what we have coming up tonight.
[00:00:45.919 --> 00:00:51.602]  Tonight, shocking video reveals the truth behind the Syrian Freedom Fighters.
[00:00:52.042 --> 00:00:59.886]  Plus, the fog of the Info War, as DARPA wants to bust whistleblowers with disinformation technology.
[00:01:00.286 --> 00:01:06.490]  Then, the Chief Administrator for the Drug Enforcement Agency shares her expertise.
[00:01:07.130 --> 00:01:10.232]  Is heroin worse for someone's health than marijuana?
[00:01:11.472 --> 00:01:12.433]  All illegal drugs
[00:01:13.246 --> 00:01:15.007]  You just mean you don't know?
[00:01:15.027 --> 00:01:15.108]  Okay.
[00:01:15.688 --> 00:01:18.850]  So does that mean that the health impact of heroin is worse than marijuana?
[00:01:18.870 --> 00:01:21.212]  Is that what you're telling me?
[00:01:30.058 --> 00:01:32.419]  I think you're asking a subjective question.
[00:01:32.499 --> 00:01:33.319]  No, it's objective.
[00:01:33.479 --> 00:01:36.080]  Just looking at the science, this is your area of expertise.
[00:01:36.140 --> 00:01:44.663]  Meanwhile, law enforcement officers in Long Beach are caught on tape using excessive force in a raid on a marijuana dispensary.
[00:01:44.923 --> 00:01:50.045]  Plus, Mike Adams, the health ranger, talks with Rob Dew about the Merck vaccine fraud.
[00:01:50.385 --> 00:01:54.987]  All that, plus much more, up next on the InfoWars Nightly News.
[00:02:05.202 --> 00:02:15.566]  Our top story tonight was going to be the $3 billion fine levied against GlaxoSmithKline because they were misleading people about Paxil and pushing it on kids, but we're going to cover that with Mike Adams in the next segment.
[00:02:15.666 --> 00:02:21.769]  So, we move on to Test Point 2, possible Arafat poisoning, and that is out of Al Jazeera from July 3, 2012.
[00:02:22.889 --> 00:02:29.692]  Eight years after his death, it remains a mystery what exactly killed the longtime Palestinian leader Yasser Arafat.
[00:02:30.772 --> 00:02:43.842]  And basically, his wife sent some samples of his toothbrush, his headpiece, some of his clothing in to be tested, and it was found to contain abnormal levels of polonium, a rare, highly active radioactive element.
[00:02:44.802 --> 00:02:58.292]  And the tests carried out, the samples suggested there was high levels of polonium inside his body when he died, and that was the same substance which killed a Russian activist back a couple years ago.
[00:03:00.273 --> 00:03:02.494]  So it'll be interesting to see what comes out of that.
[00:03:03.014 --> 00:03:04.114]  Now we move on to Syria.
[00:03:05.135 --> 00:03:08.716]  Shocking videos reveal the truth behind Syrian freedom fighters.
[00:03:08.736 --> 00:03:10.277]  And this is by Paul Joseph Watson.
[00:03:11.057 --> 00:03:28.003]  And despite the fact that both parties on both sides of the conflict in Syria have been responsible for violence, the international NATO-aligned media has often hyped the dubious accusations of Assad-sponsored massacres while virtually ignoring massacres, beheadings, and other acts of brutality by other rebel insurgents.
[00:03:28.723 --> 00:03:30.444]  We're going to go to this shot here.
[00:03:30.464 --> 00:03:32.205]  I actually pulled up some of the videos.
[00:03:32.225 --> 00:03:33.886]  Some of it I couldn't even show you.
[00:03:33.926 --> 00:03:35.827]  It's so graphic and disgusting.
[00:03:36.528 --> 00:03:37.128]  What's going on?
[00:03:37.168 --> 00:03:38.469]  So let's roll that clip.
[00:03:39.529 --> 00:03:40.410]  This is the atrocities.
[00:03:40.450 --> 00:03:43.512]  Here's some young children that were gunned down, obviously.
[00:03:44.656 --> 00:03:47.579]  I mean, it's... I couldn't even show you that video.
[00:03:47.599 --> 00:03:48.600]  There's just a still of that.
[00:03:49.080 --> 00:03:54.986]  There's a civilian that was hung who was supposedly aligned with Assad, and then they shot his body up.
[00:03:56.267 --> 00:03:58.669]  The next video is some mercenary... U.S.
[00:03:58.709 --> 00:04:00.951]  mercenaries torture and hang and shoot mentally ill...
[00:04:01.952 --> 00:04:11.276]  Person and while they're while they're doing that they're shouting Allah Akbar and Then here's a child that was shot and here's some more activists that were shot.
[00:04:11.316 --> 00:04:17.799]  They were pro Assad activists and they were kidnapped tortured and Killed by Syrian rebels.
[00:04:18.240 --> 00:04:26.423]  The next one is a bunch of activists that were thrown into a ditch There's a guy who's beheaded and honestly, I didn't want to show you this video.
[00:04:26.623 --> 00:04:27.344]  It's it's
[00:04:28.404 --> 00:04:29.885]  It's gruesome, it's horrible.
[00:04:30.045 --> 00:04:37.332]  If you want to go to the article, the article is called, Shocking Videos Reveal Truth Behind Syrian Freedom Fighters, and it's by Paul Joseph Watson.
[00:04:38.213 --> 00:04:45.579]  It was on yesterday's InfoWars, you can probably find it in the Featured Archives section, or the Featured Stories Archive.
[00:04:46.540 --> 00:04:47.681]  So I encourage you to go look at that.
[00:04:48.001 --> 00:04:51.864]  Now below those videos, there's another set of videos, and this was
[00:04:52.847 --> 00:04:56.348]  Fake videos that were put out by anti-Assad forces.
[00:04:56.448 --> 00:04:59.129]  It shows people putting on, you know, fake wounds.
[00:04:59.730 --> 00:05:01.150]  It shows, there's some guys there.
[00:05:01.190 --> 00:05:02.130]  Look, there's their head wounds.
[00:05:02.190 --> 00:05:03.071]  Peace, everybody.
[00:05:03.311 --> 00:05:04.391]  You know, we're doing the right thing.
[00:05:04.671 --> 00:05:06.692]  We're creating fake propaganda.
[00:05:07.092 --> 00:05:08.673]  I mean, it's not even real atrocities.
[00:05:08.713 --> 00:05:10.113]  So they're there, lined up.
[00:05:10.634 --> 00:05:11.434]  There was another video.
[00:05:11.454 --> 00:05:14.775]  It shows some guy kicking his leg and with a fake blood wound.
[00:05:14.815 --> 00:05:16.636]  Here's a guy who wakes up from his funeral.
[00:05:17.256 --> 00:05:17.736]  Watch this!
[00:05:18.117 --> 00:05:19.818]  They're reading... Oh!
[00:05:20.218 --> 00:05:20.458]  Wait!
[00:05:21.039 --> 00:05:21.659]  Oh, he's awake.
[00:05:21.719 --> 00:05:22.900]  He's not even really dead.
[00:05:23.740 --> 00:05:26.062]  And so, I mean, this is just crazy what goes on.
[00:05:26.102 --> 00:05:29.584]  There was another video that was shot of a supposed massacre.
[00:05:30.565 --> 00:05:32.866]  And it cuts... You don't see the whole thing.
[00:05:32.886 --> 00:05:39.511]  When you go to the Al Jazeera footage, it shows real quick clips of a guy kicking his leg and he's got blood coming out, which turned out to be fake blood.
[00:05:39.911 --> 00:05:42.873]  And then another guy that they're dragging, who said he didn't want any blood on him.
[00:05:43.393 --> 00:05:46.676]  And they're dragging him away in the Al Jazeera footage.
[00:05:47.796 --> 00:05:50.679]  Wow, it would be interesting if the mainstream media could put that out.
[00:05:50.739 --> 00:05:52.760]  Well, actually they did today.
[00:05:53.501 --> 00:05:56.243]  Syrian hacktivists launch Al Jazeera cyber attack.
[00:05:56.883 --> 00:05:58.284]  And this is really interesting.
[00:05:58.605 --> 00:06:04.829]  Al Jazeera's streamed Twitter account was hacked today by a group labeling itself as the Syrian Electronic Army, or SEA.
[00:06:05.550 --> 00:06:11.414]  As soon as the hackers gained access to the account, they began sending out info war stories about the real situation in Syria.
[00:06:11.995 --> 00:06:12.896]  I just want to go on the record.
[00:06:13.846 --> 00:06:16.429]  We were not responsible for that attack in any way, shape, or form.
[00:06:16.449 --> 00:06:18.011]  We don't engage in that kind of behavior.
[00:06:19.152 --> 00:06:20.954]  But I think it was very interesting.
[00:06:20.974 --> 00:06:22.656]  I'm going to go ahead and read you some of the tweets.
[00:06:23.076 --> 00:06:30.844]  One of the first tweets to be sent out after the attack was a link to a recent InfoWars story entitled, Syrian Rebels Ransack Christian Churches.
[00:06:31.917 --> 00:06:34.019]  And you can see that's the actual tweet right there.
