[00:00:04.582 --> 00:00:04.762]  Yeah.
[00:00:36.263 --> 00:00:38.406]  Welcome to the InfoWars Nightly News.
[00:00:38.586 --> 00:00:46.137]  I'm your host, Rob Due, and today's date is Tuesday, July 24, 2012, and here's a little look at what we have coming up tonight.
[00:00:49.349 --> 00:00:50.849]  Tonight, U.S.
[00:00:50.949 --> 00:01:04.132]  troops to assist local authorities in criminal investigations, as the Associated Press reports that Marine Corps law enforcement battalions are training to control civil disturbances.
[00:01:04.692 --> 00:01:11.433]  Then, Ice-T defends gun rights and says it's the last form of defense against tyranny.
[00:01:11.694 --> 00:01:16.174]  Plus, a man with Tourette's says cops beat him for their own amusement.
[00:01:16.494 --> 00:01:19.015]  And Rob Doo talks with Webster Tarpley,
[00:01:19.275 --> 00:01:22.536]  About the disinformation campaign against Syria.
[00:01:22.876 --> 00:01:26.896]  All that and more, up next, on the InfoWars Nightly News.
[00:01:36.378 --> 00:01:46.380]  Alright, as you can see, we have a big show, so let's get started right into the saga that is James Holmes, the so-called Batman Massacre
[00:01:47.813 --> 00:01:54.118]  I guess he's just the crazy nut now, but now we've learned that he has DARPA connections in his past.
[00:01:54.679 --> 00:01:55.900]  Let's just go over these real quick.
[00:01:55.940 --> 00:01:57.641]  In fact, they go all the way back to his grandfather.
[00:01:58.242 --> 00:02:07.109]  James Holmes was one of six recipients of the National Institutes of Health Neuroscience Training Grant at the University of Colorado Anschutz Medical Campus in Denver.
[00:02:07.890 --> 00:02:09.412]  That was found by Wayne Madsen.
[00:02:09.973 --> 00:02:13.097]  The medical campus is a recently decommissioned site for the U.S.
[00:02:13.237 --> 00:02:21.086]  Army's Fitzsimmons Army Medical Center and is named after Philip Anschultz, the billionaire Christian fundamentalist, oil and railroad tycoon.
[00:02:22.625 --> 00:02:29.366]  Furthermore, Holmes also worked as a research assistant intern at the Salk Institute of the University of California at San Diego.
[00:02:29.406 --> 00:02:30.727]  Now, I did this in high school.
[00:02:31.707 --> 00:02:47.930]  And the Salk Institute teamed up with DARPA, Columbia University, the University of California at San Francisco, and the University of Wisconsin, Wake Forest, and the candy bar company, Mars, to prevent fatigue and combat troops through enhanced use of a blood-flowing, dilating, antioxidant, flavanol
[00:02:48.550 --> 00:02:49.411]  We're good to go.
[00:03:13.627 --> 00:03:14.768]  But it doesn't stop there.
[00:03:15.309 --> 00:03:19.053]  The Holmes family appears to have deep connections to the military-industrial complex.
[00:03:19.133 --> 00:03:19.473]  Lt.
[00:03:19.513 --> 00:03:19.773]  Col.
[00:03:19.833 --> 00:03:28.522]  Robert Holmes, grandfather of James Holmes, was a Turkish-language graduate of the Army Language School, and later the Defense Language Institute in Monterey, California.
[00:03:29.023 --> 00:03:35.809]  The same institute installation, incidentally, where alleged 9-11 hijacker Saeed Allami
[00:03:36.610 --> 00:03:37.450]  Supposedly trained.
[00:03:38.070 --> 00:03:41.051]  So you got all these deep DARPA connections with James Holmes.
[00:03:41.071 --> 00:03:41.872]  You see him in court.
[00:03:41.932 --> 00:03:43.672]  His eyes are bugging out of his skull.
[00:03:44.272 --> 00:03:46.353]  He looks totally detached from reality.
[00:03:46.713 --> 00:03:49.854]  Nobody seems to be questioning that, at least in the mainstream media.
[00:03:50.334 --> 00:03:52.194]  Everybody else is wondering, what's this guy on?
[00:03:52.855 --> 00:03:54.395]  But, of course, there's nothing there.
[00:03:54.975 --> 00:04:01.317]  Now, ABC News, right when it came out, they reported, and it was on Drudge, it said, Mother, you have the right person.
[00:04:02.337 --> 00:04:04.338]  And then it also said he's a member of a tea party.
[00:04:05.427 --> 00:04:11.692]  Well, now Politico's reporting Holmes' mother suggests ABC News mischaracterized her statement.
[00:04:12.713 --> 00:04:14.874]  And she was awakened by the media.
