[00:00:00.129 --> 00:00:02.313]  Coast, direct from Austin.
[00:00:03.015 --> 00:00:06.221]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.578 --> 00:00:21.121]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:00:21.601 --> 00:00:24.302]  You're listening to the Alex Jones Show!
[00:00:26.183 --> 00:00:31.845]  It is Sunday, the 23rd day of September 2012.
[00:00:31.885 --> 00:00:37.928]  We're going to be here for the next two hours, as we are every Sunday, 4 to 6 p.m.
[00:00:37.968 --> 00:00:38.949]  Central, 5 to 7 Eastern.
[00:00:40.509 --> 00:00:43.914]  We have a very important transmission lined up for you today.
[00:00:44.454 --> 00:00:49.441]  Coming up after the break, former Minnesota Governor Jesse Ventura will join us.
[00:00:51.123 --> 00:00:56.130]  He recently made headlines on CNN saying every war starts with a false flag.
[00:00:56.751 --> 00:00:58.113]  That is coming up.
[00:00:59.389 --> 00:01:00.749]  Then, Lenin LaRouge.
[00:01:00.849 --> 00:01:03.230]  Love him or hate him, he's always informative.
[00:01:03.270 --> 00:01:05.510]  He says World War III is a distinct possibility.
[00:01:05.530 --> 00:01:07.011]  A lot of top brass says that as well.
[00:01:07.051 --> 00:01:07.751]  He'll be joining us.
[00:01:08.171 --> 00:01:09.751]  And then, Dinesh D'Souza.
[00:01:10.072 --> 00:01:13.212]  The guy that's got one of the top documentaries in history out right now.
[00:01:13.232 --> 00:01:15.833]  2016, Obama's America.
[00:01:16.233 --> 00:01:17.853]  He is going to be joining us as well.
[00:01:17.933 --> 00:01:23.815]  And even if you've heard Jesse Ventura, or you've heard Dinesh D'Souza, or you've heard good old Alex Jones,
[00:01:24.935 --> 00:01:26.976]  Spread the word about the broadcast.
[00:01:27.036 --> 00:01:31.199]  Look, I know a lot of my regular listeners know as much as I do, or even more!
[00:01:31.999 --> 00:01:33.500]  You guys correct me all the time.
[00:01:33.520 --> 00:01:35.021]  You give me a lot of key intel.
[00:01:35.061 --> 00:01:35.581]  I get calls.
