[00:00:03.507 --> 00:00:03.647]  I think.
[00:00:36.127 --> 00:00:39.232]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:00:39.512 --> 00:00:42.357]  I'm your host, Aaron Dykes, on this Tuesday, September 25th, 2012.
[00:00:47.793 --> 00:00:59.662]  Tonight, shocking images of a state-sponsored execution in China, as a villager is brutally crushed to death after refusing a forced government relocation.
[00:01:00.042 --> 00:01:05.386]  Then, Monsanto launches damage control over GMO cancer study.
[00:01:05.746 --> 00:01:14.773]  Plus, Harvard researchers now ridiculously insist that fluoride only lowers IQ levels outside the United States.
[00:01:15.473 --> 00:01:16.194]  Yeah, right.
[00:01:16.695 --> 00:01:24.749]  And Alex Jones talks with Amy Larson, who was recently arrested for writing 9-11 was an inside job on the sidewalk.
[00:01:25.150 --> 00:01:28.515]  That's coming up next on the InfoWars Nightly News.
[00:01:38.482 --> 00:01:49.848]  Tonight in news, a shocking and graphic story as a man was trampled underneath a street paving car on orders of a Chinese Communist Party official in China.
[00:01:49.928 --> 00:01:54.791]  A villager in northern China was resisting a forced government relocation
[00:01:55.251 --> 00:01:55.651]  I don't know.
[00:02:14.159 --> 00:02:29.234]  and instead laid down in the path of the construction workers refusing to leave his property and his reward for standing up to that was death in this world but he's surely made a mark for land rights and for individual rights across the world
[00:02:29.594 --> 00:02:35.715]  This is just another horrific example of the face of tyranny, not just in China, but around the world.
[00:02:36.115 --> 00:02:42.997]  This is New World Order behavior, ready to relocate anyone in their path and ready to kill anyone who stands up to that.
[00:02:43.337 --> 00:02:48.958]  It's extremely reminiscent of the Tiananmen Square massacres that happened in 1989.
[00:02:49.458 --> 00:02:57.400]  Hundreds and hundreds, actually I read the number was 1,400 protesters killed by tanks and otherwise killed by government soldiers.
[00:02:57.780 --> 00:03:08.887]  Of course, there was that one iconic tank man who stood up to the tanks, blocked their path, and at least one of the tank drivers showed his humanity and was not able to just brutally run someone over.
[00:03:09.287 --> 00:03:13.230]  But this is just one more protest in the ongoing current...
[00:03:13.570 --> 00:03:13.850]  I think?
[00:03:28.687 --> 00:03:30.968]  And so they are rightfully outraged.
[00:03:30.988 --> 00:03:33.289]  There's been riots in all kinds of Chinese villages.
[00:03:33.609 --> 00:03:35.569]  We've covered some of those stories over the years.
[00:03:35.929 --> 00:03:37.530]  There's so many of them, though.
[00:03:37.850 --> 00:03:39.570]  But it's good to see someone standing up.
[00:03:39.631 --> 00:03:46.693]  Of course, they have tried to suppress this story, keeping it out of the state-controlled media, trying to keep it off of the web.
[00:03:47.033 --> 00:03:49.754]  But news is spreading here at Infowars.com.
[00:03:50.034 --> 00:03:54.455]  It was posted on DrudgeReport.com, and it's otherwise going across the alternate.
[00:03:54.855 --> 00:03:56.856]  So something to keep in mind there in China.
[00:03:57.076 --> 00:04:02.538]  This story also brings to mind the horrific example that happened with Rachel Corey in Gaza.
[00:04:02.578 --> 00:04:13.802]  She was a protester trying to block literal bulldozers about to steam over Palestinian homes and what have you, and she was, well, it's debated, but she was run over by the bulldozer.
[00:04:13.842 --> 00:04:24.586]  Her parents sued the government, raised a lawsuit, and ultimately they didn't win that lawsuit, but they did point out the fact that she was basically murdered, as this Chinese villager clearly was as well.
[00:04:25.166 --> 00:04:25.487]  And it's
[00:04:40.663 --> 00:04:41.044]  We're good.
[00:04:59.142 --> 00:05:07.688]  The minimum size just for a living room is larger than the type of apartment they're trying to construct in San Francisco for $1,400 to $1,900 a month.
[00:05:07.708 --> 00:05:09.569]  A little, tiny, micro 225 square foot apartment.
[00:05:09.689 --> 00:05:13.792]  Once you take out the space for closets and bathrooms, that's 150 square feet, 10 by 15.
[00:05:13.832 --> 00:05:14.873]  That's the compacting.
[00:05:14.893 --> 00:05:15.193]  That is Agenda 21.
[00:05:24.179 --> 00:05:30.944]  Trying to eliminate the family, create living spaces that aren't big enough to have children in, or spouses, or pets.
[00:05:31.325 --> 00:05:35.808]  They want to compact everyone into tightly regulated zones where no one can be sustainable.
[00:05:36.189 --> 00:05:38.170]  All in the name of sustainable development, of course.
[00:05:38.551 --> 00:05:48.018]  This is taking people out of rural areas, driving them into the integrated, compacted cities that they plan under all this smart growth and other related plans.
[00:05:48.338 --> 00:05:50.460]  And it's just to make people dependent on government
[00:05:50.860 --> 00:05:56.645]  Unable to take care of themselves and of course to make some rent money and destroy other living options.
[00:05:57.005 --> 00:05:59.727]  And this all ties in to an update I filed.
[00:06:00.027 --> 00:06:19.162]  It's a follow-up to our more thorough investigation on Agenda 21 and the way they're taking over at the local level by pushing smart growth, by pushing sustainable communities, and trying to talk even rural towns into building these concentrated development zones, places where in particular they want people to live in the same buildings they work.
[00:06:19.202 --> 00:06:20.283]  They call them shop houses.
[00:06:20.703 --> 00:06:22.584]  They already have that in China, too, by the way.
[00:06:22.924 --> 00:06:30.827]  The dormitories where they pack five people into a room and you live in slave conditions and then you work all day in the factories and the workers want to kill themselves.
[00:06:31.187 --> 00:06:33.348]  Well, that's the kind of thing they're bringing home to America.
[00:06:33.448 --> 00:06:36.929]  It's that plant society that is such a bad idea.
[00:06:37.209 --> 00:06:41.431]  Unless you're a control freak New World Order system, then it's exactly what you want.
[00:06:41.511 --> 00:06:42.291]  Here's that report now.
[00:06:44.252 --> 00:06:56.440]  Aaron Dykes here with a quick update from InfoWars.com investigating the stealth implementation of the United Nations Agenda 21 right here in the United States under the name of Sustainable Communities.
[00:06:56.460 --> 00:06:57.820]  So why is this important?
[00:06:58.141 --> 00:07:01.883]  To oppose Agenda 21 is to oppose the planned society.
[00:07:02.063 --> 00:07:04.905]  As the cartoon Plannedopolis tried to convince us.
[00:07:05.465 --> 00:07:08.047]  I'm looking forward to showing you around Plannedopolis today.
[00:07:08.663 --> 00:07:12.064]  Where we were told how great life would be under a centralized system.
[00:07:12.224 --> 00:07:13.505]  No, not meat.
[00:07:13.605 --> 00:07:14.745]  It's not your birthday.
[00:07:15.045 --> 00:07:19.767]  The Global Food Council are doing a really good job of keeping food production going.
[00:07:19.927 --> 00:07:21.467]  Directed by technology.
[00:07:21.547 --> 00:07:23.748]  Switch off brain and go to work.
[00:07:24.508 --> 00:07:28.009]  With this many people around, I'm glad there's a mega-computer in charge.
[00:07:28.190 --> 00:07:32.411]  Despite the fact that our lives would be tightly controlled, including calorie restrictions.
[00:07:32.935 --> 00:07:34.877]  Have you got your calorie card open on your smartphone?
[00:07:35.317 --> 00:07:36.838]  Transportation restrictions.
[00:07:36.978 --> 00:07:39.520]  I registered your visit with Slick Travel Corp.
[00:07:39.540 --> 00:07:42.022]  the other day, so they've allotted you a journey time.
[00:07:42.082 --> 00:07:44.945]  People have asked, what's so bad about Agenda 21?
[00:07:45.285 --> 00:07:47.607]  The founders believed in the separation of powers.
[00:07:48.087 --> 00:08:01.771]  But the modern-day framers work through the United Nations, through bankers working with communist and collectivist systems, and through environmental groups who want to seize land and redirect it for the vision of a few who wish to rule from the top.
[00:08:02.311 --> 00:08:04.071]  It's taking away our free will.
[00:08:04.592 --> 00:08:05.952]  You know, the American way.
[00:08:06.252 --> 00:08:13.495]  To fight against Agenda 21 is to oppose the straitjacket being imposed upon us under global and environmental pretexts.
[00:08:13.956 --> 00:08:27.962]  I want you to think for a minute about the existing neighborhood and housing regulations people voluntarily sign up for when they move into different neighborhoods, how tall your grass can be, whether or not you can have a basketball court or a fishing boat or an RV.
[00:08:28.582 --> 00:08:35.589]  In your front yard or in many cases even in your backyard, you've seen the news articles where people aren't allowed to grow gardens in many areas.
[00:08:36.089 --> 00:08:38.151]  That is nothing compared to what's coming.
[00:08:38.311 --> 00:08:52.985]  If you followed the cap and trade laws that they tried to pass through Congress that were narrowly defeated only because there was a huge outcry, those thousands of pages were going to implement all kinds of new regulations on people's homes, on the kind of cars they can drive,
[00:08:53.505 --> 00:08:56.867]  On top of the already existing burdensome regulations.
[00:08:57.227 --> 00:09:02.411]  They were going to have housing inspectors, new rules on what kind of light bulbs you can have, and on and on.
[00:09:02.451 --> 00:09:04.212]  It was this endless laundry list.
[00:09:04.612 --> 00:09:09.015]  That's the kind of thing we're seeing happening under sustainable development.
[00:09:09.075 --> 00:09:10.856]  It's not sustainable at all.
[00:09:11.316 --> 00:09:18.381]  I can give you dozens and dozens if not hundreds of quotes from leading globalists who say they want to destroy society.
[00:09:18.681 --> 00:09:31.207]  Mari Strong, one of the leading advocates for Agenda 21 and a speaker at the United Nations Rio Summit in 1992 said, isn't the only hope for the planet that the industrialized civilizations collapse.
[00:09:31.487 --> 00:09:33.968]  Isn't it our responsibility to bring that about?
[00:09:34.328 --> 00:09:38.210]  A number of these environmental groups have said things to the same effect.
[00:09:38.510 --> 00:09:39.891]  They want to stop growth.
[00:09:39.951 --> 00:09:42.392]  That's what smart growth, so-called, is all about.
[00:09:42.752 --> 00:09:44.233]  It's not about new developments.
[00:09:44.293 --> 00:09:48.115]  It's about controlling and steering where humanity is allowed to go.
[00:09:48.275 --> 00:09:51.736]  They say they don't want there to be another United States in the developing world.
[00:09:51.816 --> 00:09:54.998]  They don't want other countries to be brought up to our living standards.
[00:09:55.378 --> 00:09:59.560]  They want to lower the United States living standards to a third world area.
[00:10:00.140 --> 00:10:16.069]  Greatly reduce the population across the globe and here at home and have more and more say in your life what you're allowed to do on your own land because it's now going to be rezoned under the sustainable development plans and it's just like the things we've already seen in China.
[00:10:16.149 --> 00:10:26.115]  In fact the workshop I was at in Elgin for these sustainable communities specifically talked about shop houses where they would have workers live in the same buildings they were working at.
[00:10:26.195 --> 00:10:28.516]  That's already going on in China and it's nightmarish.
[00:10:28.536 --> 00:10:37.881]  You've heard about the Foxcom factory workers who commit suicide to such an extent that they have to put up suicide nets so that their own workers can't escape their own lives.
[00:10:37.921 --> 00:10:39.281]  They're basically slaves.
[00:10:39.301 --> 00:10:40.402]  You can call it what you want.
[00:10:40.462 --> 00:10:54.048]  We spoke to a number of people throughout the community as well as these local bureaucrats and some of them recognize that these kind of plans to contain humanity and tell you how big or what kind of house you can live in is a Chinese-style tyranny.
[00:10:54.408 --> 00:10:55.349]  Come home to America.
[00:10:55.509 --> 00:11:02.240]  Jenna21's a plan we've been signed on to with the United Nations where we'd give up our property rights and freedom and be forced to live in apartments no bigger than this square.
[00:11:02.260 --> 00:11:03.021]  What do you think about that?
[00:11:03.615 --> 00:11:04.656]  I think that's terrible.
[00:11:04.736 --> 00:11:13.541]  Sounds kind of like Chinese foreign policy or interior policy regarding their house and how they're controlling all aspects of your life.
[00:11:14.101 --> 00:11:17.923]  And furthermore, communist China really is the ultimate class system.
[00:11:18.003 --> 00:11:23.366]  We're trained to think of communism as a leveling, as an equalizing of everyone, but it's actually not.
[00:11:23.426 --> 00:11:25.387]  It's the ultimate insider scheme.
