[00:00:07.403 --> 00:00:11.785]  Waging war on corruption.
[00:00:11.785 --> 00:00:17.388]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:34.493 --> 00:00:43.279]  Ladies and gentlemen, thank you for joining us on this live Sunday transmission.
[00:00:43.279 --> 00:00:46.041]  We are going to be here for the next two hours.
[00:00:47.523 --> 00:01:14.125]  The news websites are InfoWars.com and PrisonPlanet.com and we are going to be joined as well coming up in the second hour by investigative journalist John Rappaport going over, well, the New York Times and hundreds of other newspapers out with a disgusting talking point
[00:01:15.888 --> 00:01:18.590]  That we need to just drug all children.
[00:01:18.590 --> 00:01:25.396]  That drugs, Ritalin, Prozac, you name it, actually makes their brains work better.
[00:01:25.396 --> 00:01:28.838]  So, it's not just for ADHD kids, it's for everybody.
[00:01:28.838 --> 00:01:33.442]  In fact, the New York Times has written five articles I've seen in the last three days or so.
[00:01:33.442 --> 00:01:39.107]  Drugs to improve learning, attention disorder or not, pills to help in school.
[00:01:40.694 --> 00:01:43.316]  With or without attention deficit, this helps them learn.
[00:01:43.316 --> 00:01:44.457]  They all need it.
[00:01:44.457 --> 00:01:45.978]  That's the new freedom initiative.
[00:01:45.978 --> 00:01:50.741]  See, instead of just saying half are mentally ill, look at this poor kid they've got on speed type drugs.
[00:01:50.741 --> 00:01:52.703]  And they say, look how much it's helping him.
[00:01:52.703 --> 00:01:55.505]  And you look at the color photo of him, he looks like a zombie.
[00:01:55.505 --> 00:01:56.806]  Poor child.
[00:01:56.806 --> 00:02:00.909]  The pills boost focus and impulse control in children.
[00:02:00.909 --> 00:02:03.751]  Ah, and that they all need it now.
[00:02:03.751 --> 00:02:04.352]  Here's another one.
[00:02:05.851 --> 00:02:09.558]  Risky rise of the good grade pill.
[00:02:09.558 --> 00:02:13.325]  That's actually a New York Times article critical of it, but they've got many, many others.
[00:02:13.325 --> 00:02:18.315]  It is a full court press coming out with the whole new freedom initiative.
[00:02:20.171 --> 00:02:25.674]  And so we're going to be breaking all of that down here today.
[00:02:25.674 --> 00:02:28.456]  In fact, guys, my clock fell off the wall, I'm noticing.
[00:02:28.456 --> 00:02:36.120]  And I guess I've gotten obsessive compulsive about things that I'm so used to be able to look at with the clock and the date and all that.
[00:02:36.120 --> 00:02:38.221]  I must have it was on the floor and I couldn't read it.
