[00:00:05.230 --> 00:00:05.593]  Yeah.
[00:00:40.694 --> 00:00:42.695]  It's Thursday, the 25th of October, 2012.
[00:00:43.776 --> 00:00:45.737]  I'm Alex Jones.
[00:00:46.037 --> 00:00:52.461]  Strap yourselves in for another original teleprompter-free edition of InfoWars Nightly News.
[00:00:52.821 --> 00:00:53.582]  Straight ahead!
[00:00:55.289 --> 00:00:57.731]  Tonight, on the InfoWars Nightly News.
[00:00:58.231 --> 00:01:03.314]  Organic food is not good for kids, declares the Academy of Pediatrics.
[00:01:03.975 --> 00:01:07.277]  Plus, Novartis flu vaccines banned in Italy.
[00:01:08.018 --> 00:01:15.563]  Then, preppers beware, using common sense during an economic collapse is now a terrorist act.
[00:01:16.343 --> 00:01:21.905]  And Alex Jones speaks with Brian Garish about pedophiles in places of power.
[00:01:22.465 --> 00:01:39.051]  They want to draw politicians and bankers and top policemen and militarymen into this depraved area of child abuse, because the moment they've been caught in that net, they can be blackmailed to do the rest of their bidding.
[00:01:39.512 --> 00:01:42.993]  All that and more on the InfoWars Nightly News.
[00:01:54.079 --> 00:02:11.308]  First off tonight, Hurricane Sandy is being called, well, the perfect storm by the Associated Press, Franken-storm in the International Business Times and Bloomberg, because as it goes up the East Coast, it's now off the coast of Florida, it's passed over Cuba,
[00:02:12.388 --> 00:02:19.396]  It is headed up the East Coast to hit New York and New Jersey after going by Washington, D.C.
[00:02:20.477 --> 00:02:32.670]  And the fact that winter storms are projected in the next four or five days as it makes landfall to collide, you've got a hot hurricane, tropical storm by the time it makes landfall,
[00:02:33.516 --> 00:02:36.258]  Going in towards a blue northern.
[00:02:37.138 --> 00:02:41.001]  That's the kind of thing in the spring that gives you tornadoes.
[00:02:41.761 --> 00:02:48.626]  So it is being called by meteorologists, well you heard it, Frankenstorm and the perfect storm.
[00:02:49.086 --> 00:02:52.248]  We all saw what happened to George Clooney in that movie.
[00:02:52.308 --> 00:02:56.791]  So that storm actually happened back in 1991, the last perfect storm.
[00:02:58.988 --> 00:03:05.955]  Look out, ladies and gentlemen, we'll continue to watch this, and that'll be a perfect disaster right before the election with all the other craziness that's going on.
[00:03:05.976 --> 00:03:07.377]  We hope it doesn't turn out to be a disaster.
[00:03:07.757 --> 00:03:15.666]  Hopefully it turns out to sea into the Atlantic and doesn't kill fishermen like the perfect storm did in that same area doing the same thing in 1991.
[00:03:15.726 --> 00:03:16.567]  But there is that report.
[00:03:21.178 --> 00:03:28.648]  Now let's go ahead and shift gears away from the storm here to some good news.
[00:03:29.329 --> 00:03:36.819]  Bloomberg is also reporting Italy bans flu vaccine, citing side effects.
[00:03:39.065 --> 00:03:46.669]  Italy and Switzerland halted sales of the AG traded NOVN flu vaccine.
[00:03:47.069 --> 00:03:51.992]  However, the company informed Italian authorities of a buildup of particles in the shots.
[00:03:53.133 --> 00:03:56.235]  And it goes on with the company saying that it is safe.
[00:03:56.275 --> 00:04:01.878]  The vaccines present quality defects that are potentially hazardous for the public.
[00:04:02.478 --> 00:04:02.778]  Health.
[00:04:02.859 --> 00:04:03.499]  Well, there you go.
[00:04:03.519 --> 00:04:13.913]  I mean, they know the flu vaccine massively increases Alzheimer's in major studies, reduces your fertility, causes all sorts of neurological disorders like Guillain-Barre.
[00:04:14.373 --> 00:04:15.054]  Don't believe me?
[00:04:15.134 --> 00:04:17.137]  Just go read the inserts.
[00:04:18.038 --> 00:04:21.481]  But I thought I'd take you back to reports in Time Magazine.
[00:04:21.501 --> 00:04:22.922]  The Examiner reports on this.
[00:04:23.442 --> 00:04:24.883]  Swine flu vaccine safety.
[00:04:24.963 --> 00:04:29.326]  German politicians get safer swine flu vaccine.
[00:04:29.346 --> 00:04:30.367]  Remember that four years ago?
[00:04:31.147 --> 00:04:37.792]  So they're taking something other than what they want you to take.
[00:04:38.433 --> 00:04:45.337]  Now, moving ahead here, the Los Angeles Times runs with this shocking headline.
[00:04:45.878 --> 00:04:46.178]  Prop 37
[00:04:47.882 --> 00:04:50.167]  ...is in dead heat amid ad blitz.
[00:04:50.768 --> 00:04:54.697]  Just two weeks ago here on air we covered polls that were in the LA Times.
[00:04:56.369 --> 00:05:02.031]  Uh, where the vast majority, well two to one, were for GMO labeling.
[00:05:02.051 --> 00:05:09.514]  Hey, just let me know if you've crossed, you know, insect genes with this corn, or if the corn's growing its own pesticide, or if things like that.
[00:05:09.534 --> 00:05:22.358]  Uh, but because of pesticide companies, GMO companies, Big Agra, they are running so many ads right now saying it's preposterous, it's going to increase your food prices, the last thing you want to do is know what's in your food.
[00:05:23.078 --> 00:05:23.918]  We're good people.
[00:05:24.379 --> 00:05:26.260]  Just take the shots and get out of our way.
[00:05:27.380 --> 00:05:29.281]  Take the pharmacological corn.
[00:05:29.321 --> 00:05:30.101]  Everything's okay.
[00:05:30.842 --> 00:05:37.165]  And support for Proposition 37, which seeks to label genetically engineered food in the state, has plummeted in the last month.
[00:05:38.297 --> 00:05:41.720]  Times, UC, USC poll finds.
[00:05:41.740 --> 00:05:45.063]  Of course, really, a lot of these polls in the past have been found to be skewed.
[00:05:45.543 --> 00:05:48.946]  They can just tell you, well, it doesn't matter if you were going to vote this down 2-1.
[00:05:49.266 --> 00:05:50.907]  Now the polls show you love it.
[00:05:51.528 --> 00:06:05.599]  So, after a barrage of negative television advertisements, financed by $41 million opposition war chest, the USC Los Angeles Times poll revealed Thursday showed 44% of surveyed voters backed the initiative and 42% opposing it.
[00:06:07.000 --> 00:06:13.163]  A substantial slice of the electorate, 14% remains undecided, are unwilling to take a position.
[00:06:14.063 --> 00:06:18.285]  Yeah, if you believe the public doesn't want to know of GMOs and their food, I got a bridge to sell you.
[00:06:19.045 --> 00:06:24.007]  California is normally the bellwether to pass gun control restrictions on freedom.
[00:06:24.387 --> 00:06:29.469]  Now it's pushing for freedom, it's a bellwether that will spread not just in the U.S., but worldwide.
[00:06:29.969 --> 00:06:33.211]  So, Monsanto and other dangerous actors
[00:06:34.272 --> 00:06:38.084]  They are running around right now throwing the kitchen sink at this, but hey!
[00:06:39.093 --> 00:06:40.934]  You can run, but you can't hide.
[00:06:40.994 --> 00:06:49.977]  The truth is getting out there and nobody's going to stop us being able to know if pharmacological crops are being fed to us, that you feed to the bugs, they die.
[00:06:50.717 --> 00:06:55.979]  They have the crops grow their own pesticide in many cases, in many varieties, so that bugs can't eat it.
[00:06:56.459 --> 00:06:57.139]  Well, you know what?
[00:06:57.339 --> 00:06:58.080]  I don't want to eat it.
[00:06:58.740 --> 00:07:04.702]  And the fact that even Whole Foods can't say they're not serving a GMO shows how ridiculous all this has gotten.
[00:07:05.566 --> 00:07:07.047]  Here's a story by Melissa Melton.
[00:07:07.547 --> 00:07:12.370]  I saw a study a few weeks ago where they said, hey, organic isn't necessarily better.
[00:07:12.670 --> 00:07:16.713]  But they admitted in that study that we're not looking at what pesticide does to you.
[00:07:17.013 --> 00:07:19.594]  We're just saying it gives you the same nutritional value.
[00:07:19.874 --> 00:07:22.156]  And they admitted that study was funded by Monsanto.
[00:07:23.396 --> 00:07:24.097]  Well, here's another one.
[00:07:25.296 --> 00:07:28.817]  Academy of Pediatricians say organic food not better for kids.
[00:07:29.357 --> 00:07:36.199]  And it goes on, but the needed long-term studies do not yet exist to show that eating pesticide-free food makes people healthier.
[00:07:37.680 --> 00:07:41.421]  So, just absolutely ridiculous there.
[00:07:42.201 --> 00:07:43.922]  Continuing with the Washington Post,
[00:07:46.536 --> 00:07:54.142]  Provocative research could lead to babies with DNA from three people avoiding rare disease risk.
[00:07:54.302 --> 00:08:04.311]  And that's where all this is going, is they're going to say you've got a predisposition for this disorder or that disorder, and then you're not going to be able to be born.
[00:08:04.331 --> 00:08:11.837]  They're going to say, you've got to go to government or government health care, they're already proposing this, and we'll take your DNA and we'll make an egg and we'll make the sperm.
[00:08:12.037 --> 00:08:12.718]  They can already do that.
[00:08:13.038 --> 00:08:21.207]  And we'll make a baby for you, but with all sorts of backdoors built into it, just like they build backdoor spying systems into your cell phones and other systems.
[00:08:21.988 --> 00:08:33.401]  Scientists in Oregon have created embryos with genes from one man and two women using a provocative technique that could someday be used to prevent babies from inheriting certain rare, incommunicable diseases.
[00:08:35.130 --> 00:08:36.451]  Let's just expand on that.
[00:08:37.031 --> 00:08:46.995]  A lot of these genetic disorders, yeah, you're predisposed to get a disorder even quicker if you've got certain genes, if you aren't getting the right vitamins and minerals.
[00:08:47.275 --> 00:08:49.856]  But they'll never tell you why all the disorders are exploding.
[00:08:50.276 --> 00:08:52.277]  They'll never tell you why breast cancer is exploding.
[00:08:52.577 --> 00:08:57.599]  It's never race to find the cause, it's always race to find the cure, which they never find.
[00:08:57.819 --> 00:08:58.900]  And the more money you spend,
[00:09:00.629 --> 00:09:03.371]  On them, the worse it gets, the more people die of cancer.
[00:09:03.431 --> 00:09:09.455]  It's part of a eugenics operation where they pose as the savior, killing us while consolidating the economy.
[00:09:10.535 --> 00:09:15.458]  Okay, this was our top story last night with Rob Dew doing an excellent interview.
[00:09:15.478 --> 00:09:17.680]  The video is up at InfoWars.com.
[00:09:18.180 --> 00:09:21.422]  National Guard whistleblower Doomsday Preppers will be treated as terrorists.
[00:09:21.942 --> 00:09:23.984]  And in the other article by Melissa Melton,
[00:09:24.864 --> 00:09:29.988]  She goes through all the documents backing up everything that Soldier X broke down on air.
[00:09:30.368 --> 00:09:39.034]  Then we talked to police officers and others today about FM 3-39.40 and internment and resettlement operations and civil disturbance operations.
[00:09:39.374 --> 00:09:41.395]  All these different army documents we linked to.
[00:09:41.835 --> 00:09:46.539]  The National Defense Authorization Act, the Civilian Inmate Labor Camp Program, proving
[00:09:47.199 --> 00:10:03.640]  That the military is preparing to go after Americans that don't accept total tyranny and reorganization of the economy around the malice, great leap forward, cultural revolution model, based off of what the Soviets did, starving people out in the Ukraine and Poland.
[00:10:04.261 --> 00:10:06.623]  So, absolutely huge situation.
[00:10:06.643 --> 00:10:11.006]  We've got some graphics as well that go over all these areas.
[00:10:11.367 --> 00:10:19.293]  But I was able to interview Soldier X as well again on the radio today, expanding on that.
[00:10:19.313 --> 00:10:20.634]  But that video is important to get out.
[00:10:21.154 --> 00:10:25.498]  Army told Preppers are terrorists and they are to be hunted down and killed.
[00:10:26.198 --> 00:10:27.038]  Uh, during a collapse.
[00:10:27.078 --> 00:10:27.719]  Well, you can't have.
[00:10:27.739 --> 00:10:29.759]  Well, you're re-educating everybody through starvation.
[00:10:30.139 --> 00:10:32.280]  You can't have folks that knew what was happening dug in.
