[00:00:03.198 --> 00:00:03.538]  We're good.
[00:00:35.540 --> 00:00:36.080]  Good evening.
[00:00:36.200 --> 00:00:37.280]  I'm David Ortiz.
[00:00:37.460 --> 00:00:39.721]  You're watching InfoWars Nightly News.
[00:00:39.861 --> 00:00:45.402]  It's Monday, the 12th of November of 2012, and here's what we have in store for you tonight.
[00:00:48.822 --> 00:01:03.545]  Tonight, the feds harass gun enthusiasts as a federal checkpoint is established outside a shooting range in Arizona, and drivers are asked about their shooting habits while their vehicles are searched.
[00:01:04.105 --> 00:01:12.328]  Plus, victory in the fight against water fluoridation, as voters in Wichita say no to the chemical additive.
[00:01:12.828 --> 00:01:17.890]  And Hurricane Sandy refugees in prison-like conditions at a FEMA camp.
[00:01:18.310 --> 00:01:21.832]  That's coming up next on the InfoWars Nightly News.
[00:01:31.877 --> 00:01:32.598]  Welcome back.
[00:01:32.678 --> 00:01:40.385]  Well, this past weekend, Alex took a road trip with his family, and during the road trip, he saw a monument to tyranny.
[00:01:40.425 --> 00:01:42.487]  What he deemed was a monument to tyranny.
[00:01:42.867 --> 00:01:46.571]  He was so bothered by this monument, he decided to file a report.
[00:01:46.971 --> 00:01:49.233]  So let's go over to that report that Alex filed.
[00:01:53.117 --> 00:01:55.079]  Alex Jones here reporting for InfoWars.com.
[00:01:56.403 --> 00:02:01.406]  I was driving through Houston and came across the George Bush monument.
[00:02:01.586 --> 00:02:02.947]  They've got them at the airports here.
[00:02:02.987 --> 00:02:05.489]  They've got them all over.
[00:02:05.509 --> 00:02:19.417]  And it's just amazing when you actually know history and know that his father, George Herbert Walker Bush's father, grandfather to George W. Bush, Prescott Bush, was the top Nazi under Brown Brother Harriman here in the United States.
[00:02:19.457 --> 00:02:21.678]  It came out in the different hearings.
[00:02:23.239 --> 00:02:25.761]  And this is a guy openly promoting world government.
[00:02:27.486 --> 00:02:32.169]  This is a guy openly pushing planetary tyranny.
[00:02:32.229 --> 00:02:37.772]  Right there, there's one of his famous 1991 New World Order global government quotes.
[00:02:37.792 --> 00:02:39.593]  The guy who supported the assault weapons ban.
[00:02:39.613 --> 00:02:43.956]  If you want to know why Barack Obama won, it's because he's designed to win.
[00:02:43.976 --> 00:02:50.740]  The Rockefeller Republicans are there to be placeholders to make sure the United States can be moved towards the model of China.
[00:02:51.621 --> 00:02:53.102]  When he was ambassador to China,
[00:02:54.574 --> 00:03:01.342]  In the mid-1970s, before being CIA director, they went in and got him to set up a one-child policy in the planned, staged economy.
[00:03:01.823 --> 00:03:04.266]  To use China to leverage out the rest of the free world.
[00:03:04.426 --> 00:03:05.608]  Total globalist puppet.
[00:03:06.749 --> 00:03:10.113]  Always groveling after tyranny, just like his father did for the Nazis.
[00:03:11.092 --> 00:03:12.953]  And the McCormick-Dickstein Committee hearings.
[00:03:13.194 --> 00:03:14.695]  And it wasn't that they were even Nazis.
[00:03:15.175 --> 00:03:19.778]  They were just groveling up to the fascist order in an attempt to socially climb.
