[00:00:00.029 --> 00:00:00.549]  Alex Jones!
[00:00:20.444 --> 00:00:24.646]  Ladies and gentlemen, it is the 16th day of November 2012.
[00:00:25.326 --> 00:00:28.488]  I am your host, Alex Jones.
[00:00:28.508 --> 00:00:31.909]  We're going to be live here for the next three hours.
[00:00:34.890 --> 00:00:49.477]  Obviously, yesterday I talked about the fact that there is only one remedy that is in the Bill of Rights Constitution and the Declaration of Independence that can fix the problem that we're facing
[00:00:52.037 --> 00:01:02.900]  Outside of an armed assault against the globalist occupation forces that have hijacked the federal government and most of the states.
[00:01:03.861 --> 00:01:07.482]  It is lawful redress.
[00:01:07.702 --> 00:01:10.563]  It is in the Declaration of Independence.
[00:01:11.683 --> 00:01:16.485]  And we are going to go over the Declaration of Independence when we come back out of this break.
[00:01:17.545 --> 00:01:20.266]  And I left my copy in there and earlier I needed another one printed, please.
[00:01:21.710 --> 00:01:37.127]  Now, since I called for this yesterday, and it's like calling the sun coming up in the morning, it's not anything, you know, credit to myself, it's just that it's self-evident, so I'm pointing it out.
[00:01:38.250 --> 00:01:56.143]  It has gone extremely viral, thanks to all of you, the listeners, and thanks to Edwin Vieira, advisor to Ron Paul, and of course, constitutional lawyer and his former chief of staff and founder of the Von Mise Institute, Lou Rockwell, concurring with my analysis and battle plan yesterday.
[00:01:56.163 --> 00:02:01.347]  It has gone extremely viral, and of course, thanks to Matt Drudge of DrudgeReport.com,
[00:02:01.887 --> 00:02:10.070]  Still linking to it right in the middle of the main column, right in the center, third story down underneath Ron Paul's farewell address that's now been up there for two days.
[00:02:10.650 --> 00:02:13.951]  Obviously, Drudge knows that's important, as we all do.
[00:02:13.991 --> 00:02:23.914]  Most powerful speech Ron Paul's ever given, one of the greatest speeches I've ever seen, as it just lays out the compendium and the absolute tyranny that we as a society are facing.
[00:02:25.654 --> 00:02:30.176]  Again, ladies and gentlemen, yesterday, because I had that epiphany,
[00:02:31.897 --> 00:02:34.378]  Wednesday night, I was pretty wound up in the first hour.
[00:02:34.398 --> 00:02:37.619]  I'm even more focused today, and I'm going to go to break.
[00:02:38.019 --> 00:02:54.944]  I'm going to come back, and I am going to calmly lay out exactly what I'm saying we need to do and direct you to the Redlinked article that is a synopsis, basic boil-down of a general framework
[00:02:56.351 --> 00:02:57.852]  of how we can defeat the globalists.
[00:02:58.052 --> 00:03:14.337]  And if you believe in yourself, and if you take these powerful tools up in your hands, and if you prosecute the globalists by exposing them, speaking out against them, resisting them, demonizing them, which is easy to do, you just point out what they've done,
