[00:00:00.009 --> 00:00:00.429]  Network.
[00:00:07.156 --> 00:00:07.797]  Big Brother.
[00:00:08.457 --> 00:00:09.499]  Mainstream media.
[00:00:10.219 --> 00:00:11.360]  Government cover-ups.
[00:00:11.981 --> 00:00:12.802]  You want answers?
[00:00:13.563 --> 00:00:14.484]  Well, so does he.
[00:00:15.124 --> 00:00:18.708]  He's Alex Jones on the GCN Radio Network.
[00:00:19.308 --> 00:00:23.392]  And now, live from Austin, Texas, Alex Jones.
[00:00:29.275 --> 00:00:30.376]  I cannot fail.
[00:00:30.396 --> 00:00:32.498]  I will not fail.
[00:00:32.518 --> 00:00:41.806]  I have got to cover all of this news that I've been chomping at the bit last night, this morning, and today to cover here.
[00:00:43.367 --> 00:00:49.552]  We've got Syrian girl, who by the way, her family was ousted by the Assad regime decades ago.
[00:00:50.774 --> 00:00:51.034]  I think?
[00:01:11.136 --> 00:01:16.163]  And there's US aircraft carriers, British ships, you name it, French.
[00:01:16.223 --> 00:01:20.108]  The Germans have announced that they are massing troops.
[00:01:20.629 --> 00:01:23.913]  German cabinet decides to send troops to Turkey-Syria border.
[00:01:24.434 --> 00:01:25.295]  It's on, folks.
[00:01:25.916 --> 00:01:49.221]  An incredible Western started proxy war using Al Qaeda to destabilize the country and they're getting ready to invade and the US and Russians have been meeting because there are Russian spits and ants on record there fighting US and British and other Arab special forces backed by Al Qaeda in proxy battles.
[00:01:50.305 --> 00:01:51.366]  This is amazing.
[00:01:51.586 --> 00:02:00.253]  You know, 2012 is coming up, the end of the world, 21st, and I've always said it's pure bull, but there's a lot of analysts saying this could spark a nuclear war.
[00:02:00.753 --> 00:02:05.657]  Kind of like South Obsidia-Abkhazia-Georgia situation back in 2008 on 888.
[00:02:06.898 --> 00:02:09.380]  So, I mean, this is crazy.
[00:02:09.500 --> 00:02:12.143]  And it looks like the Russians may back down and pull out.
[00:02:12.723 --> 00:02:14.785]  And if that happens, Assad is going to run.
[00:02:16.534 --> 00:02:21.678]  And if they're going to hand the country over to Al-Qaeda, they're going to kill all the Christians, and it will not be on the news.
[00:02:22.358 --> 00:02:27.662]  Or it'll be the back of the paper, like, oh, too bad, they're murdering the Alawite Muslim minority and the Christians.
[00:02:28.003 --> 00:02:33.547]  Oh, the Jews that were there for 3,000 years in Damascus, they're being killed too.
[00:02:34.127 --> 00:02:35.068]  And that's what's going on.
[00:02:35.088 --> 00:02:37.430]  I mean, it is so crazy.
[00:02:37.470 --> 00:02:41.953]  But the general public can't find their state capital, doesn't know the three branches of government.
[00:02:43.553 --> 00:02:46.775]  Most high school seniors don't know who the first president was.
[00:02:46.795 --> 00:02:48.415]  You know, they do those national polls every year.
[00:02:48.956 --> 00:02:54.978]  So when you're dealing with drooling idiots, the government runs Al Qaeda!
[00:02:56.179 --> 00:02:59.541]  To take over a country, slaughter people, it's so immoral.
[00:03:00.541 --> 00:03:04.543]  And again, Syrian girl, her family was run out of there by Assad's daddy.
[00:03:05.103 --> 00:03:05.884]  She hates him!
[00:03:06.284 --> 00:03:07.184]  She's a Sunni!
[00:03:09.205 --> 00:03:10.886]  Assad's are the minority Alawites.
[00:03:15.018 --> 00:03:17.399]  Oh, it's so unbelievable.
[00:03:19.199 --> 00:03:21.440]  But I liken it to being blind.
[00:03:22.340 --> 00:03:28.521]  If you're visually impaired, you can't see something.
[00:03:29.221 --> 00:03:32.782]  And if you can see, you're going, look, I'm telling you that there's a blue sky right there.
[00:03:32.822 --> 00:03:33.902]  Well, I've been blind my whole life.
[00:03:33.942 --> 00:03:34.903]  I don't know what a blue sky looks like.
[00:03:35.443 --> 00:03:36.343]  Describe it to me, Alex.
[00:03:37.225 --> 00:03:40.766]  It's the same thing with the general public, except I'm going, hey, this is going on here, it's all admitted.
[00:03:41.146 --> 00:03:42.187]  Oh, conspiracy theory!
[00:03:42.207 --> 00:03:46.908]  Because thinking and being involved and being informed, that's a conspiracy theory.
[00:03:46.948 --> 00:03:52.310]  In fact, now a lot of people think it's weird to be able to talk proficiently and have a big vocabulary.
[00:03:52.490 --> 00:04:05.474]  They think you're showing off when you use varied semantical combinations to try to describe the true tenor and palate of a development.
[00:04:07.557 --> 00:04:08.718]  They think that's showing off.
[00:04:08.738 --> 00:04:27.836]  They don't understand that reality is so multifaceted, multivariate, that even the greatest verbal prose cannot describe the incredible five-sense, three-dimensional interface that takes us to
[00:04:31.127 --> 00:04:32.768]  The heights of wisdom.
[00:04:33.709 --> 00:04:35.690]  Now, I said I must cover it all.
[00:04:35.970 --> 00:04:37.531]  That's coming up at the bottom of the hour.
[00:04:38.071 --> 00:04:45.516]  Then we've got Lord Monkton who got thrown out of the new UN conference they're having, openly calling for brainwashing kids, global carbon taxes, it's on.
[00:04:45.796 --> 00:04:51.059]  He literally ferreted out the Copenhagen global government tax three years ago and blew that up.
[00:04:52.422 --> 00:04:55.647]  It was a massive victory, and he's got devastating info as well.
[00:04:55.727 --> 00:04:58.611]  Second hour coming up, but first, the news blitz!
[00:04:59.011 --> 00:05:00.573]  Straight ahead, stay with us!
[00:05:04.412 --> 00:05:12.079]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:12.519 --> 00:05:16.143]  Alex and his staff have used these pure soap products for years.
[00:05:16.583 --> 00:05:23.409]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:23.889 --> 00:05:26.712]  See them on the web at 5starsoap.com.
[00:05:26.912 --> 00:05:31.415]  Or call 800-340-7091 for a free catalog.
[00:05:31.756 --> 00:05:37.420]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:37.700 --> 00:05:42.804]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:43.104 --> 00:05:44.726]  This is an amazing deal.
[00:05:45.086 --> 00:05:49.709]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:50.330 --> 00:05:52.492]  See them on the web at 5starsoap.com
[00:05:53.032 --> 00:05:54.554]  Or call 800-340-7091 for a free catalog.
[00:06:02.117 --> 00:06:06.139]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:06:06.219 --> 00:06:07.340]  Don't be one of them!
[00:06:07.440 --> 00:06:12.982]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:06:13.142 --> 00:06:22.767]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:06:22.947 --> 00:06:29.610]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:06:29.730 --> 00:06:33.851]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:06:34.071 --> 00:06:43.033]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:06:43.173 --> 00:06:46.614]  The Science Digest Journal says, silver is our mightiest germ fighter.
[00:06:46.834 --> 00:06:50.455]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:06:50.675 --> 00:06:56.947]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:06:57.067 --> 00:07:00.534]  That's SupernaturalSilver.com and like us on Facebook.
[00:07:02.424 --> 00:07:07.887]  Sodium fluoride in the body reduces IQ and increases cancers.
[00:07:08.188 --> 00:07:15.252]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[00:07:15.552 --> 00:07:17.994]  We're battling the globalists on so many fronts.
[00:07:18.294 --> 00:07:24.338]  Health is an area where we can all take control of our lives and it all starts with that basic building block of water.
[00:07:24.998 --> 00:07:27.761]  It is time to purify our family's water.
[00:07:28.041 --> 00:07:34.687]  The ProPure filtration system with added fluoride filters is the best system from my research to protect you and your family.
[00:07:34.927 --> 00:07:40.032]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[00:07:40.232 --> 00:07:45.898]  But until December 10th, we are going to offer 15% off the already lowest price.
[00:07:46.258 --> 00:07:48.301]  I know what I'm giving my family this Christmas.
[00:07:48.581 --> 00:07:49.122]  ProPure.
[00:07:49.302 --> 00:07:55.290]  Go to infowarestore.com and get 15% off the already lowest price out there with the code WATER15.
[00:07:55.310 --> 00:07:57.613]  WATER15 and you get 15% off at infowarestore.com.
[00:08:13.323 --> 00:08:14.204]  You have found it.
[00:08:14.224 --> 00:08:15.946]  The tip of the spear.
[00:08:16.567 --> 00:08:18.769]  The front lines of the Infowar.
[00:08:19.550 --> 00:08:23.715]  The defense of humanity and liberty worldwide starts with you.
[00:08:25.208 --> 00:08:32.832]  To discover the ancient knowledge of liberty and the ancient knowledge of oppressors, and to choose which side you will stand with.
[00:08:33.912 --> 00:08:38.794]  I am Alex Jones, your host, and we are transmitting worldwide.
[00:08:39.315 --> 00:08:43.357]  It is Friday, the 7th day of December, 2012.
[00:08:43.797 --> 00:08:50.320]  Thank you so much for joining us today, ladies and gentlemen.
[00:08:51.701 --> 00:09:00.687]  As we broadcast worldwide, reaching a combined audience every day of three million people or more, I am blessed to be here and honored.
[00:09:00.867 --> 00:09:07.191]  Okay, Lord Monckton from the big UN conference, thrown out, got the internal documents as usual.
[00:09:08.872 --> 00:09:20.520]  You cannot hype up how big it was three years ago when he got the Copenhagen document, which was confirmed a week later to be accurate, and destroyed the global convention that was going to set up the carbon tax.
[00:09:21.716 --> 00:09:27.240]  It was a Star Wars episode for Death Star Destruction event.
[00:09:28.721 --> 00:09:32.683]  And I actually went down to get champagne and popped it on air when all that happened.
[00:09:32.943 --> 00:09:34.264]  People are like, why are you getting so excited?
[00:09:34.304 --> 00:09:35.044]  I said, watch.
[00:09:35.625 --> 00:09:37.166]  And that was the turning of the tide.
[00:09:37.606 --> 00:09:38.767]  We are routing them now.
[00:09:38.807 --> 00:09:39.447]  But they don't care.
[00:09:39.747 --> 00:09:43.810]  We're routing them intellectually and in the process worldwide.
[00:09:43.870 --> 00:09:44.751]  And they now admit that.
[00:09:45.391 --> 00:09:45.991]  But they don't care.
[00:09:46.031 --> 00:09:46.832]  They're still in charge.
[00:09:46.852 --> 00:09:47.612]  They're rolling forward.
[00:09:47.913 --> 00:09:49.714]  But now it's clearly dictatorial.
[00:09:50.819 --> 00:09:52.460]  Congress didn't pass the carbon tax.
[00:09:52.780 --> 00:09:53.801]  They didn't get what they wanted.
[00:09:53.861 --> 00:09:56.823]  Now they're having to do it with executive fiat worldwide.
[00:09:58.404 --> 00:10:01.566]  So Moncton's got more incredibly important data.
[00:10:01.866 --> 00:10:12.973]  He'll be breaking with us coming up, joining us from the global UN conference that is in the second hour today.
[00:10:15.044 --> 00:10:19.126]  Amazing information coming up with Lord Monckton.
[00:10:19.847 --> 00:10:28.451]  Former Thatcher advisor Lord Monckton evicted from UN Climate Summit after challenging global warming, escorted from a hall, and security officers stripped him of his UN credentials.
[00:10:29.859 --> 00:10:35.021]  And this is, he is again at the UN Conference in Qatar.
[00:10:35.081 --> 00:10:37.742]  We are going to be breaking that down.
[00:10:37.762 --> 00:10:41.143]  UN Summit, transforming your kids into climate change agents.
[00:10:41.483 --> 00:10:45.225]  How they're going to try to push the new carbon tax program.
[00:10:45.265 --> 00:10:46.886]  He's been ferreting out those documents.
[00:10:47.306 --> 00:10:51.927]  They literally, I've seen video of it, they've had police assault him from behind before.
[00:10:53.248 --> 00:10:55.609]  They just absolutely hate his guts.
[00:10:57.510 --> 00:11:02.213]  They wouldn't let him into the one in South Africa, so he parachuted in.
[00:11:04.154 --> 00:11:07.876]  In fact, that was in Durban, South Africa, what, six months ago.
[00:11:08.356 --> 00:11:09.717]  So, I mean, this is unbelievable.
[00:11:10.337 --> 00:11:11.898]  He's going to be joining us coming up.
[00:11:11.958 --> 00:11:13.099]  And we've got Syrian girl.
[00:11:14.260 --> 00:11:15.981]  Hey, she's coming up at the bottom of the hour.
[00:11:17.102 --> 00:11:17.542]  Report!
[00:11:17.662 --> 00:11:20.304]  NATO military intervention in Syria imminent.
[00:11:20.804 --> 00:11:22.345]  It looks like Russia's starting to blink.
[00:11:22.726 --> 00:11:25.187]  Special forces mass in preparation for final assault.
[00:11:25.587 --> 00:11:29.590]  German cabinet decides to send troops to Turkey-Syria border.
[00:11:31.411 --> 00:11:36.454]  And I guess the Germans were allies with the Turks back in World War I, so it is on.
[00:11:36.975 --> 00:11:37.595]  It is on.
[00:11:37.835 --> 00:11:46.141]  And it looks like Assad may flee because they are preparing after 21 months for the physical invasion to install al-Qaeda.
[00:11:46.821 --> 00:11:51.245]  In control of Syria and slaughter all Christians, all minority Muslims and Jews.
[00:11:51.705 --> 00:11:54.788]  And it's ongoing, just cutting their heads off, throwing them off roofs.
[00:11:56.109 --> 00:11:59.712]  Tens of thousands of missiles given to Al Qaeda, they swear to use them against the United States.
[00:11:59.732 --> 00:12:04.256]  And of course the globalists love that because they'll take all of our rights when they shoot down the aircraft.
[00:12:04.716 --> 00:12:11.442]  And currently, unless we expose this, I am predicting that there's a very good chance they're going to start shooting down European and US aircraft.
[00:12:11.682 --> 00:12:13.764]  And the media, the prostitute media,
[00:12:15.523 --> 00:12:20.507]  We'll not even point out when this happens that, hey, wait a minute, our government gave them missiles.
[00:12:22.549 --> 00:12:23.830]  That's why they killed the ambassador.
[00:12:23.870 --> 00:12:26.492]  They just had a big cash they gave to the Turks.
[00:12:26.832 --> 00:12:27.873]  Turkish ambassador left.
[00:12:28.213 --> 00:12:31.336]  And they go, all right, send in al-Qaeda, wipe out those special forces.
[00:12:31.896 --> 00:12:33.678]  And the ambassador, they just transferred the missiles.
[00:12:33.898 --> 00:12:34.919]  No, they're just getting rid of him.
[00:12:34.939 --> 00:12:40.844]  And of course, the troops, you know, the al-Qaeda, they send al-Qaeda in just under orders to kill him.
[00:12:40.944 --> 00:12:43.286]  The al-Qaeda they sent in was the head of security in Benghazi.
[00:12:43.306 --> 00:12:44.287]  It's all on record.
[00:12:45.185 --> 00:12:47.250]  They just got rid of the bag man.
[00:12:47.270 --> 00:12:48.031]  That's what you do.
[00:12:48.051 --> 00:12:49.976]  That's how you handle it.
[00:12:52.159 --> 00:12:54.060]  Yeah, so NATO edging towards Syria intervention.
[00:12:54.161 --> 00:12:59.064]  Russia says that is out right now, being reported by Al Jazeera and others.
[00:12:59.104 --> 00:12:59.765]  So it's on.
[00:13:00.185 --> 00:13:01.366]  Edging towards intervention?
[00:13:01.586 --> 00:13:03.587]  Like, oh, it's been going on, it's too sad.
[00:13:03.607 --> 00:13:15.496]  Yes, Assad, I think I heard him on Fox News Radio this morning going, well, the activists say Assad's attacking them again, implying they're not like al-Qaeda with rocket launchers backed up by U.S.
[00:13:15.516 --> 00:13:20.860]  Special Forces just blowing up airports, attacking airports, blowing up
[00:13:21.600 --> 00:13:28.164]  Infrastructure, TV stations, power plants, shutting down their cell phone systems and then saying Assad's doing it.
[00:13:28.625 --> 00:13:31.747]  I mean, it is house-to-house absolute war.
[00:13:32.387 --> 00:13:39.972]  Turkey firing in with their huge howitzers across the border, opening up al-Qaeda injection ports.
[00:13:42.523 --> 00:13:48.506]  Russia says NATO Patriot move is step in involvement in Syria moving Patriot missiles in.
[00:13:48.966 --> 00:13:52.388]  Yeah, it's all crazy and saying we've got to attack or they've got chemical weapons.
[00:13:52.708 --> 00:13:53.409]  That's coming up.
[00:13:55.515 --> 00:14:00.640]  I'm surprised I don't have Colin Palgo show some people some anthrax and say, look at these mobile trucks we found for making anthrax.
[00:14:01.100 --> 00:14:05.404]  They could go to Jane's Weapons Quarterly and they knew it was 1970s because the U.S.
[00:14:05.444 --> 00:14:06.004]  paid for it.
[00:14:06.405 --> 00:14:13.471]  British hydrogen balloon trucks to put hydrogen balloons up with video cameras on them.
[00:14:14.152 --> 00:14:15.233]  Saddam also bought U.S.
[00:14:15.273 --> 00:14:16.834]  systems for the Iran-Iraq war.
[00:14:17.455 --> 00:14:19.737]  You send them up to 10,000 feet on a cable.
[00:14:20.549 --> 00:14:21.609]  With video cameras.
[00:14:22.189 --> 00:14:24.690]  And then that directs artillery in the Iran-Iraq War.
[00:14:25.030 --> 00:14:26.170]  They sold it to them.
[00:14:26.650 --> 00:14:28.831]  It's hydrogen trucks.
[00:14:30.131 --> 00:14:30.911]  Balloon trucks.
[00:14:31.592 --> 00:14:32.732]  They use them on the border here.
[00:14:33.372 --> 00:14:35.653]  And they told you it was an anthrax machine.
[00:14:35.673 --> 00:14:36.073]  Yeah!
[00:14:36.753 --> 00:14:38.073]  Day one, we went and looked at it.
[00:14:38.113 --> 00:14:38.613]  Went and looked.
[00:14:39.354 --> 00:14:40.354]  And changed weapons quarterly.
[00:14:40.374 --> 00:14:41.094]  Anybody can do it.
[00:14:42.577 --> 00:14:43.197]  And guess what?
[00:14:43.257 --> 00:14:43.897]  There they were.
[00:14:44.558 --> 00:14:46.618]  By the way, we were some of the first to break that.
[00:14:46.658 --> 00:14:48.019]  It broke kind of simultaneously.
[00:14:48.799 --> 00:14:49.699]  Okay, wow.
[00:14:50.059 --> 00:14:53.921]  Let me just run through the headlines here that I will cover in detail in the third hour.
[00:14:54.561 --> 00:14:56.381]  Let's just start here of all the things.
[00:14:56.701 --> 00:14:57.642]  Cat parasite.
[00:14:58.442 --> 00:15:04.545]  Toxoplasma uses Trojan horse to infect human brain and may cause suicidal thoughts and risk-taking.
[00:15:04.865 --> 00:15:06.346]  They've known this for thousands of years.
[00:15:06.366 --> 00:15:07.887]  That's where the old, that's London Independent.
[00:15:08.607 --> 00:15:13.189]  That's, the media is always reporting something that's actually well known, like, we discovered the Atlantic Ocean is salty.
[00:15:14.370 --> 00:15:25.135]  But that was the old thing of witches having cats and cats being unlucky was because you would get the parasite, which was rampant at that time because they didn't have, you know, veterinary clinics.
[00:15:26.462 --> 00:15:34.286]  But then they killed all the cats, seeing them as bad luck, and then the rats went crazy with the fleas, with the bubonic plague, and well, you know what happened, the rest is history.
[00:15:35.427 --> 00:15:42.130]  So, I'm not saying cats, or I'm not saying I believe in the wives tale, the point is, cats are cute, cats are nice, I don't like them.
[00:15:43.211 --> 00:15:45.252]  Because they carry the parasite, and I've always known that.
[00:15:46.220 --> 00:15:55.509]  I mean, it's well known, folks, that a lot of the depression and mental illness and the massive skyrocketing of schizophrenia in this country is heavy metal toxification.
[00:15:55.529 --> 00:16:04.177]  You know, mad as a hatter, people that worked in the clothiers back in England, staining things with different colors, full of lead, mercury and stuff, mad as a hatter.
[00:16:04.597 --> 00:16:05.198]  Schizophrenia.
[00:16:07.120 --> 00:16:07.420]  I don't
[00:16:27.558 --> 00:16:29.380]  Okay, so a little microorganism can do that.
[00:16:29.960 --> 00:16:34.064]  By the way, you know Bill and Melinda Gates Foundation is studying this, and a bunch of others.
[00:16:34.084 --> 00:16:34.324]  You know why?
[00:16:34.344 --> 00:16:39.469]  Because they can use it as another Trojan once it takes over, and then they can have a program on the Trojan.
[00:16:39.849 --> 00:16:41.130]  This is called nanotech.
[00:16:42.071 --> 00:16:52.320]  And this is the new wave, the new vaccines where you're never upset again, never want to drink again, never want to smoke cigarettes again, never want to use drugs again, because it goes in and reprograms your brain.
[00:16:53.437 --> 00:16:54.998]  Oh, yeah, they've had that for about 15 years.
[00:16:55.038 --> 00:16:57.618]  By the way, there's clear evidence it's already being used on the population.
[00:16:57.879 --> 00:16:58.999]  Go get your flu shot!
[00:16:59.019 --> 00:17:01.260]  You wonder why people are becoming total zombies?
[00:17:01.380 --> 00:17:14.824]  Because, folks, it's, oh, yeah, well, we actually had a top scientist on who found that a year before the flu outbreak three years ago that they hyped so much the H1N1 that they were putting out carrier tracker viruses that didn't give you the flu but changed brain chemistry.
[00:17:15.484 --> 00:17:16.905]  Folks, we're being hit right now.
[00:17:16.985 --> 00:17:19.428]  We're entering total fantasy land, okay?
[00:17:19.968 --> 00:17:22.030]  I mean, this is Buck Rogers, okay?
[00:17:22.070 --> 00:17:23.071]  I mean, but it's crazy.
[00:17:24.052 --> 00:17:29.637]  Hundreds of thousands of genetically modified mosquitoes said to be released in Florida Keys in an experiment to fight Denang fever.
[00:17:30.517 --> 00:17:32.859]  And I had the head of a company on a few months ago about this.
[00:17:33.440 --> 00:17:34.941]  And they admit, guess what?
[00:17:35.682 --> 00:17:41.987]  You know mosquitoes, Bill Gates has talked about this, are perfect to force you to take vaccines, they've said, so you can't escape it.
[00:17:43.287 --> 00:17:45.529]  Because the mosquito, you know how a mosquito gets your blood right?
[00:17:45.549 --> 00:17:48.992]  They don't just slurp up your blood with the platelets that would clog their proboscis.
[00:17:49.933 --> 00:17:57.580]  They inject their saliva, a powerful acid, to liquefy the cells before slurping.
[00:17:58.180 --> 00:18:00.861]  That's why mosquitoes are perfect to carry bioweapons.
[00:18:00.921 --> 00:18:03.301]  But that's not what this company is doing, they say.
[00:18:03.541 --> 00:18:07.242]  They say they just want to have these mosquitoes breed out the other mosquitoes.
[00:18:08.063 --> 00:18:10.123]  But there you have it.
[00:18:10.143 --> 00:18:11.263]  I thought I'd mention that for you.
