[00:00:15.964 --> 00:00:17.525]  You want to fight?
[00:00:17.645 --> 00:00:21.389]  You better believe you've got one!
[00:00:40.177 --> 00:00:41.901]  Welcome to the InfoWars Nightly News.
[00:00:42.001 --> 00:00:43.284]  I'm your host, Jakari Jackson.
[00:00:43.585 --> 00:00:46.732]  This is what we have in store for you for this Tuesday, January 29th, 2013 edition.
[00:00:51.553 --> 00:01:00.381]  Tonight, on the Infowars Nightly News, a police chief predicts that guns will be a thing of the past within a generation.
[00:01:00.562 --> 00:01:05.947]  Meanwhile, a gun buyback program turns into a full-blown gun show in Seattle.
[00:01:06.407 --> 00:01:12.993]  Plus, the father of the Oregon terror suspect says his son was brainwashed by the FBI.
[00:01:13.514 --> 00:01:16.657]  All that and more on the Infowars Nightly News.
[00:01:28.567 --> 00:01:33.888]  Top story, headline, police chief, within a generation guns will be taken off the streets.
[00:01:34.268 --> 00:01:39.789]  These words said by San Diego Police Chief William Lansdow and we can see the quotes right there.
[00:01:40.509 --> 00:01:48.571]  These are the quotes said by somebody referencing Chief Lansdow who plays an active role in the western region of the International Association of Chiefs of Police.
[00:01:48.931 --> 00:01:55.732]  The article goes on to point out that he's a supporter of Senator Dianne Feinstein's proposed assault weapons ban legislation.
[00:01:56.292 --> 00:02:06.014]  Now, for everybody, we've talked about this several times on our show, but just to keep in mind, this thing goes way beyond the 100, and I think it's 58 things Feinstein wants to ban.
[00:02:06.094 --> 00:02:11.376]  I mean, guns will cease to exist under her new legislation, and you can see the article right there.
[00:02:11.716 --> 00:02:16.697]  But it goes way beyond the 158 proposed guns that would just cease to exist.
[00:02:17.197 --> 00:02:17.918]  I don't know.
[00:02:35.468 --> 00:02:40.712]  As absurd and impractical as this gun would be, it would be banned of the new legislation.
[00:02:41.073 --> 00:02:47.678]  Let's say you have a two-shot Derringer with a telescopic stock and a scope attached to it.
[00:02:48.018 --> 00:02:51.040]  This thing would characterize as an assault weapon.
[00:02:51.120 --> 00:02:56.544]  And I know that gun sounds completely ridiculous and highly impractical, but that would characterize as an assault weapon.
[00:02:56.564 --> 00:02:58.306]  It goes way beyond just a .158.
[00:02:59.186 --> 00:03:03.790]  So as we keep saying, call your representatives, your legislators, and let them know about this.
