[00:00:00.880 --> 00:00:01.382]  You got it.
[00:00:07.959 --> 00:00:12.062]  Waging war on corruption.
[00:00:12.342 --> 00:00:13.782]  It's Alex Jones.
[00:00:14.343 --> 00:00:18.045]  Coming to you live from the front lines of the InfoWar.
[00:00:20.246 --> 00:00:22.147]  We see the Earth now.
[00:00:22.227 --> 00:00:27.410]  DA14 is now rapidly accelerated past the Earth on its elliptical orbit.
[00:00:36.038 --> 00:00:38.100]  Well, we've reportedly been back our way for another 267 years.
[00:00:38.140 --> 00:00:42.424]  I don't know when it's going to be back.
[00:00:42.524 --> 00:00:44.986]  I just thought I'd have some fun with a regular intro.
[00:00:45.587 --> 00:00:49.491]  Being astronauts from the Apollo program saying, we see the Earth from here.
[00:00:50.959 --> 00:00:57.221]  Ladies and gentlemen, it is Sunday, the 17th day of February 2013.
[00:00:57.281 --> 00:01:09.884]  Stuart Rhodes of Oath Keepers will be joining us to break down the open military training to condition the military, the police, and the public to acclimate us for
[00:01:11.460 --> 00:01:12.541]  Open martial law.
[00:01:13.041 --> 00:01:14.962]  The TSA checkpoints expanding.
[00:01:15.022 --> 00:01:22.786]  Everything we warned about were called conspiracy theorists for being well-researched and actually going to the government documents and finding out about what was happening.
[00:01:23.406 --> 00:01:24.947]  It's now unfolding out in the open.
[00:01:26.052 --> 00:01:36.240]  And we'll also get into a California police chief and others saying, the citizens should not have any guns, guns are not defensive weapons, therefore the police to intimidate us with.
[00:01:36.260 --> 00:01:40.764]  He basically says that, very bizarre, but actually it's bizarre he'd be so truthful.
[00:01:40.784 --> 00:01:48.190]  It was like a police chief, what was it, in Maryland, Baltimore a few years ago said, we wear black uniforms and ski masks to intimidate you.
[00:01:49.892 --> 00:01:52.874]  And he was talking about why they wanted to militarize more police.
[00:01:52.934 --> 00:01:59.339]  So the idea is government's God, everybody else is criminals, and the state is here to basically feed on us.
[00:02:00.119 --> 00:02:01.580]  So that is coming up.
[00:02:02.181 --> 00:02:10.747]  Alan Greenspan, of course, years ago famously said the Federal Reserve is above the law and no group of government can oversee it, which is asinine.
