[00:00:03.652 --> 00:00:05.702]  You're listening to GCN.
[00:00:06.064 --> 00:00:07.772]  Great Talk Radio starts here.
[00:00:15.236 --> 00:00:19.419]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.060 --> 00:00:20.880]  You want answers?
[00:00:21.661 --> 00:00:22.622]  Well, so does he.
[00:00:23.202 --> 00:00:27.045]  He's Alex Jones on the GCN Radio Network.
[00:00:27.386 --> 00:00:31.489]  And now, live from Austin, Texas, Alex Jones.
[00:00:47.714 --> 00:00:57.364]  I was almost, almost late getting on air a moment ago because I had this impromptu idea about three or four minutes ago to do a skit.
[00:00:58.685 --> 00:01:02.569]  To do a skit in the next week, a comedy skit.
[00:01:02.589 --> 00:01:08.616]  But the more I think about it, it is probably not a good idea because the media takes it out of context.
[00:01:09.156 --> 00:01:10.618]  But I want to have some fun.
[00:01:12.102 --> 00:01:19.271]  At the same time, I don't want to all just be gloom and doom, and I want to illustrate the absurdity of political correctness by being absurd.
[00:01:21.440 --> 00:01:23.921]  Obviously Egypt is melting down by globalist design.
[00:01:23.961 --> 00:01:32.063]  We predicted it three years ago when they kicked Hosni Mubarak out because it's part of a Pentagon plan that has been on paper for decades.
[00:01:32.083 --> 00:01:33.883]  We're going to be breaking that down.
[00:01:34.863 --> 00:01:44.566]  We're going to get into more of the fake terror alerts that are coming out and just the incredible police state that we have in this country.
[00:01:44.706 --> 00:01:49.187]  Mother threatened for feeding baby goats milk instead of GMO soy formula.
[00:01:49.967 --> 00:02:03.712]  By the way, in Western and also Eastern medicine for thousands of years, if a mother cannot produce milk or the baby is allergic to her milk, you give them goat is about the best you can get, unless you can get donkey, jackass milk.
[00:02:05.053 --> 00:02:06.853]  I guess it wouldn't be a jackass, it'd be a genny.
[00:02:06.873 --> 00:02:09.074]  That's what they call a female donkey, right?
[00:02:10.735 --> 00:02:12.275]  A female mule is a genny.
[00:02:12.315 --> 00:02:13.136]  What is a female donkey?
[00:02:14.923 --> 00:02:15.964]  We'll figure out that in a minute.
[00:02:15.984 --> 00:02:24.071]  The point is, I've just read that in medical literature, that a female donkey is reportedly, in some cases, better than human milk for a human.
[00:02:24.591 --> 00:02:32.918]  I mean, obviously, original human milk has all the immunities that the woman has in her colostrum the first few months, especially the first few weeks, passed on to the baby.
[00:02:34.019 --> 00:02:37.101]  I know that's a conspiracy theory, that women have mammary glands to feed their young.
[00:02:37.742 --> 00:02:41.167]  You know, that all mammals have hair and feed their young through mammary glands.
[00:02:41.267 --> 00:02:43.550]  I know scientific terms are racist.
[00:02:43.931 --> 00:02:44.311]  I get it.
[00:02:44.431 --> 00:02:45.413]  Knowledge is racist.
[00:02:46.414 --> 00:02:48.457]  Not agreeing with the corrupt government is racist.
[00:02:49.819 --> 00:02:51.922]  Not agreeing with the flavor of ice cream is racist.
[00:02:51.942 --> 00:02:53.023]  Having any opinion is racist.
[00:02:55.998 --> 00:02:59.201]  I'm just going to get this out of the way right now and then come back into the serious news.
[00:03:00.122 --> 00:03:16.279]  I saw these articles last few days and hadn't mentioned it, but I noticed that some of the White House manipulated groups out there have been bashing me because in the past I've mentioned that I think it's wrong that they are trying to put men
[00:03:17.885 --> 00:03:25.470]  In women's sports, because they say they're transgendered, and that it's obviously a way to cheat sports, and the Olympic Committee says the same thing.
[00:03:26.070 --> 00:03:28.712]  But they say that I'm against transgendered people.
[00:03:28.772 --> 00:03:30.192]  No, I really could care less.
[00:03:30.272 --> 00:03:36.596]  I understand it's about a big pity party, and you're supposed to get all this attention, and I'm supposed to hate you, and then that makes what you do more fun.
[00:03:37.377 --> 00:03:37.597]  No.
[00:03:38.117 --> 00:03:39.338]  No, that's not what's going on here.
[00:03:39.909 --> 00:04:05.923]  But I just thought about it, should I get a big polka-dotted muumuu, put a blonde wig on, a fake mustache to make it funnier, smoke a big cigar, and call Leanne McAdoo in here, and say, look, I'm transgendered, I'm going to arm-wrestle you and have a big betting around the office, and if people don't bet for her, they're against women, because that's bigoted to say that a man's going to beat a woman, and then I'm going to arm-wrestle her as a woman and beat her.
[00:04:07.062 --> 00:04:11.084]  Like Andy Kaufman who would do those stunts wrestling women and people hated him for it.
[00:04:11.645 --> 00:04:15.187]  Why didn't Andy Kaufman just wear a wig and say he was transgender?
