[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[00:00:02.417 --> 00:00:05.608]  You're listening to the Alex Jones Broadcasting Network.
[00:00:11.795 --> 00:00:12.435]  Big Brother.
[00:00:13.095 --> 00:00:14.135]  Mainstream media.
[00:00:14.856 --> 00:00:15.956]  Government cover-ups.
[00:00:16.616 --> 00:00:17.436]  You want answers?
[00:00:18.196 --> 00:00:19.096]  Well, so does he.
[00:00:19.756 --> 00:00:23.337]  He's Alex Jones on the GCN Radio Network.
[00:00:23.937 --> 00:00:28.038]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.939 --> 00:00:37.019]  Well, a lot has obviously happened over the weekend.
[00:00:37.039 --> 00:00:39.540]  And we're live, ladies and gentlemen.
[00:00:41.175 --> 00:00:47.317]  Thank you so much for joining us on this Monday, the 21st day already of April 2014.
[00:00:49.338 --> 00:00:50.838]  Again, I am your host Alex Jones.
[00:00:50.858 --> 00:00:54.039]  We're going to be opening the phones up in the first hour today.
[00:00:54.059 --> 00:00:55.180]  I'm going to make myself do that.
[00:00:56.493 --> 00:00:59.695]  We're going to cover just the waterfront of incredibly important news.
[00:01:00.175 --> 00:01:10.800]  But I'm going to be getting back into the whole Bundy situation because they're set to have Senate hearings now that Harry Reid's going to push and they are going to obviously try to develop some plan to create a new
[00:01:12.446 --> 00:01:41.592]  standoff because the feds run by their foreign owners the federal occupiers of the country cannot have an example of one ant standing up because if you let one ant stand up they might all stand up and you have a congress with a six percent approval rating saying it's above the law you have the bill of rights and constitution being butchered from one end to the other you have open rise of paramilitary federalized police being trained for open war
[00:01:42.665 --> 00:01:44.947]  This is an illegitimate government.
[00:01:44.987 --> 00:01:47.488]  This is not the Republic of the United States.
[00:01:48.369 --> 00:01:51.451]  This is a criminal orgy.
[00:01:53.273 --> 00:01:55.334]  A criminal move to take over society.
[00:01:55.874 --> 00:02:00.978]  And it's not until we realize that and admit that, that we're going to turn society around.
[00:02:01.318 --> 00:02:07.563]  So when I do open the phones up, I'll give the number out in the next segment, I want to hear from you, first-time callers.
[00:02:09.444 --> 00:02:10.405]  I want to hear from you.
[00:02:11.442 --> 00:02:13.703]  If you haven't called in a year, you can call that a first-time caller.
[00:02:15.904 --> 00:02:19.766]  I want to hear from you on how much will we take?
[00:02:20.346 --> 00:02:24.608]  Is there any amount of abuse that we shouldn't lay down to?
[00:02:27.569 --> 00:02:30.191]  Is there any amount of abuse that we should ever stand up to?
[00:02:30.851 --> 00:02:35.433]  And obviously, the answer in your gut and common sense is, of course, you have a right and a duty to stand up.
[00:02:35.493 --> 00:02:36.634]  But then there's a larger question.
[00:02:38.054 --> 00:02:39.455]  How do you do that smartly?
[00:02:40.762 --> 00:02:47.204]  Because politically, we're really starting to have an effect right now, and I don't want a physical war to break out.
[00:02:48.104 --> 00:02:49.564]  I really meditated on that.
[00:02:50.205 --> 00:02:59.787]  By meditated, I don't mean like some yogi, but I spent a lot of time this weekend in quiet reflection on the Bundy situation, and I'm going to share some of my views on that today, but I'll tell you right now.
[00:03:00.167 --> 00:03:01.788]  Thank God no violence broke out.
[00:03:03.088 --> 00:03:09.470]  The Bundys and their supporters are in the right, clearly, but that doesn't mean that we should just go ahead and have a civil war start.
[00:03:11.092 --> 00:03:13.593]  Americans have every right to start physically fighting back.
[00:03:14.574 --> 00:03:16.295]  I think we crossed that Rubicon a long time ago.
[00:03:16.315 --> 00:03:17.915]  The question is, is that smart?
[00:03:18.616 --> 00:03:20.777]  And I think the answer is no.
[00:03:20.997 --> 00:03:24.859]  In fact, I know it's not smart to have a physical confrontation.
[00:03:25.879 --> 00:03:29.641]  A, because the people we're going to be fighting are the minions.
[00:03:30.882 --> 00:03:39.626]  B, it's going to give the globalists the crisis they need to try to cause a political, physical crackdown that they don't have the political support for right now.
[00:03:40.603 --> 00:03:48.176]  So, keep your powder dry, folks, but I think not getting into a civil war is obviously the way we want to go here.
[00:03:48.196 --> 00:03:51.281]  I know for most of you are like, tell us something we don't know, Alex.
[00:03:52.796 --> 00:04:00.561]  The media, the controlled corporate media is going to spin it, that the American people, if you don't agree with anything the government's doing, you're a terrorist.
[00:04:01.241 --> 00:04:03.362]  And so they're branding all dissent as terrorism.
[00:04:04.163 --> 00:04:20.012]  So at a certain point, as they start coming after us anyways, and saying we're terrorists, or saying I want violence, or saying I'm behind the Boston bombing, we have that Rachel Maddow clip, we have the MSNBC clip, saying that I'm involved in the Boston bombing and quote, deeply racist.
[00:04:21.337 --> 00:04:22.477]  I have no connection to that.
[00:04:22.777 --> 00:04:24.358]  No one can say I have a connection to that.
[00:04:25.138 --> 00:04:29.119]  But they ran AP articles saying that the brothers were both Alex Jones fans.
[00:04:29.699 --> 00:04:31.160]  Well, the brothers were both patsies.
[00:04:31.900 --> 00:04:37.721]  So when I exposed who was really behind it, their answer was to say that it was my fault.
[00:04:39.542 --> 00:04:39.862]  You see?
[00:04:40.962 --> 00:04:42.502]  So it's a complex issue.
[00:04:42.542 --> 00:04:43.623]  We should have a debate about it.
[00:04:45.936 --> 00:04:48.719]  Let me tell you, the globalists are geared up with Homeland Security.
[00:04:49.240 --> 00:04:50.522]  They want a civil war.
[00:04:51.062 --> 00:04:52.444]  I think we should not give it to them.
[00:04:52.584 --> 00:04:59.933]  But at the same time, you've got to admire people who stand up and walk up against feds with guns on them, saying, we're going to shoot you if you cross that line.
[00:05:00.473 --> 00:05:01.655]  The people crossed that line.
[00:05:01.995 --> 00:05:02.576]  That's epic.
[00:05:03.056 --> 00:05:04.498]  We're going to be right back on the other side.
[00:05:04.518 --> 00:05:04.879]  Stay with us.
[00:05:06.897 --> 00:05:15.902]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:05:15.982 --> 00:05:24.066]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:05:24.386 --> 00:05:29.088]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:05:29.249 --> 00:05:35.972]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:05:36.052 --> 00:05:43.135]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:05:43.216 --> 00:05:50.079]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:05:50.239 --> 00:05:54.600]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:05:54.720 --> 00:05:57.981]  Available in original or with our immune support infusion blend.
[00:05:58.121 --> 00:06:04.243]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:06:04.423 --> 00:06:06.644]  Available at Infowarslife.com.
[00:06:06.784 --> 00:06:17.167]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:06:17.467 --> 00:06:19.308]  Guess what else is in the halogen family?
[00:06:19.508 --> 00:06:20.208]  Fluoride.
[00:06:20.408 --> 00:06:22.209]  Ladies and gentlemen, Alex Jones here.
[00:06:22.329 --> 00:06:28.630]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:06:28.891 --> 00:06:31.731]  It's the good halogen on the periodic table.
[00:06:31.851 --> 00:06:33.692]  And the results are on record.
[00:06:33.812 --> 00:06:39.934]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:06:40.134 --> 00:06:42.314]  Bottom line, iodine is important.
[00:06:42.554 --> 00:06:45.175]  Unbound, clean, in a glycerin base.
[00:06:45.495 --> 00:06:48.876]  Nascent iodine was the answer for myself and my family.
[00:06:48.996 --> 00:06:54.221]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:06:54.421 --> 00:06:59.225]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:06:59.526 --> 00:07:00.586]  I take it every day.
[00:07:00.727 --> 00:07:03.589]  That's InfoWarsLife.com or call toll free 888-253-3139.
[00:07:06.912 --> 00:07:14.774]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:07:15.034 --> 00:07:17.115]  All the major networks are state-run.
[00:07:17.255 --> 00:07:19.896]  We are partnering this year with the NFL.
[00:07:19.956 --> 00:07:24.077]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:07:24.317 --> 00:07:27.538]  MSNBC tells us that our children belong to the state.
[00:07:27.558 --> 00:07:34.840]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:07:35.020 --> 00:07:39.124]  It is more important than ever to realize that we are not the alternative media.
[00:07:39.324 --> 00:07:41.025]  We are the true media.
[00:07:41.105 --> 00:07:43.707]  The establishment dinosaur press is dying.
[00:07:43.808 --> 00:07:47.471]  We are in an information war, and we are losing that war.
[00:07:47.591 --> 00:07:51.714]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:07:51.914 --> 00:07:54.797]  Members can share their memberships with up to 11 people.
[00:07:54.897 --> 00:07:59.641]  By subscribing, you will literally be buying war bonds in the info war to
[00:07:59.942 --> 00:08:01.385]  Join us at PrisonPlanet.tv
[00:08:24.443 --> 00:08:30.878]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:08:30.958 --> 00:08:32.462]  It's Alex Jones!
[00:08:38.869 --> 00:08:43.431]  We are coming to you live from Austin, Texas on this live 21st day of April 2014.
[00:08:46.613 --> 00:08:55.357]  Coming up in the last 15-20 minutes of the broadcast, Jakari Jackson and crew have put together a compilation a year later of the Boston bombing.
[00:08:55.397 --> 00:09:03.302]  The anniversary was last week, but the Boston Marathon, a police state promo, is going on right now.
[00:09:03.342 --> 00:09:05.423]  We're going to be breaking that down today.
[00:09:06.383 --> 00:09:10.945]  Sergeant Biggs has come to work here with us at InfoWars.
[00:09:11.466 --> 00:09:29.655]  As a reporter, I can now announce that today and I might even get him to pop in on the transmission today to give us his take on Special Forces suicide rates hit record levels, casualties of hard combat, former Ranger breaks silent on Pat Tillman death.
[00:09:29.835 --> 00:09:31.296]  I may have killed him.
[00:09:31.716 --> 00:09:34.358]  Very curious to have this quote whistleblower come out.
[00:09:35.556 --> 00:09:39.077]  Mr. Elliott, because, well, there's a problem.
[00:09:39.198 --> 00:09:55.124]  We have what the coroner say and what came out in the second inquest and there was a cover-up and he was shot at a distance and then shot up close with a triple burst from some type of M4 carbine in the face.
[00:09:56.104 --> 00:10:05.430]  So he was killed up close, and reportedly begged for his life, kept saying, you know, I'm Pat Tillman, I'm Pat Tillman, you idiots, and they kept shooting him behind the rocks.
[00:10:05.490 --> 00:10:07.292]  So, very interesting.
