[00:00:00.971 --> 00:00:03.257]  3139.
[00:00:02.094 --> 00:00:03.257]  Coast to Coast.
[00:00:03.638 --> 00:00:04.961]  Direct from Austin.
[00:00:05.683 --> 00:00:08.891]  You're listening to the Alex Jones Broadcasting Network.
[00:00:11.637 --> 00:00:16.659]  I feel like this all the time, trying to politically awaken people that they're being lied to, that there's an agenda.
[00:00:17.179 --> 00:00:18.179]  It's not left or right.
[00:00:18.219 --> 00:00:20.400]  It's, hey, there's mind control going on.
[00:00:20.680 --> 00:00:23.901]  The signal's broadcast 24 hours a day through all this media.
[00:00:24.201 --> 00:00:26.942]  Just become aware of it, and they'll say, there's nothing going on.
[00:00:27.182 --> 00:00:31.284]  And I want to say, put on these glasses or start chewing concrete!
[00:00:36.733 --> 00:00:41.257]  They have taken the hearts and minds of our leaders.
[00:00:42.298 --> 00:00:44.540]  They have recruited the rich and the powerful!
[00:00:45.021 --> 00:00:47.323]  And they have blinded us to the truth!
[00:00:47.703 --> 00:00:50.666]  The question is, do we all work for central bankers?
[00:00:50.706 --> 00:00:52.928]  That's what I want to address to our guest tonight.
[00:00:53.708 --> 00:00:56.031]  Our impulses are being redirected.
[00:00:56.591 --> 00:01:01.816]  We are living in an artificially induced state of consciousness that resembles sleep.
[00:01:02.216 --> 00:01:08.399]  An estimated 50 to 70 million Americans suffer from a sleep disorder or sleep deprivation.
[00:01:08.819 --> 00:01:18.423]  Outside the limit of our sight, feeding off us, perched on top of us, from birth to death, are our owners!
[00:01:18.943 --> 00:01:25.846]  Latest census numbers prove the United States has the biggest gap between rich and poor compared to all westernized countries today.
[00:01:26.326 --> 00:01:36.409]  Our projections show that by the year 2025, not only America, but the entire planet will be under the protection and the dominion of this power alliance.
[00:01:37.049 --> 00:01:44.131]  The gains have been substantial, both for ourselves and for you, the human power elite.
[00:01:44.191 --> 00:01:52.334]  And for the first time in all of human history,
[00:01:54.853 --> 00:01:56.854]  Mankind is politically awakened.
[00:01:57.455 --> 00:02:00.056]  That's a total new reality.
[00:02:00.096 --> 00:02:02.018]  I've got one that can see.
[00:02:02.978 --> 00:02:04.359]  We can't be the only ones who can see.
[00:02:04.379 --> 00:02:15.266]  Unfortunately, you've grown up hearing voices that incessantly warn of government as nothing more than some separate sinister entity that's at the root of all our problems.
[00:02:16.187 --> 00:02:17.608]  It's a new morning in America.
[00:02:18.306 --> 00:02:18.626]  Fresh.
[00:02:19.206 --> 00:02:19.567]  Vital.
[00:02:20.227 --> 00:02:21.707]  The old cynicism is gone.
[00:02:22.528 --> 00:02:24.528]  We have faith in our leaders.
[00:02:25.069 --> 00:02:28.170]  We're optimistic as to what becomes of it all.
[00:02:29.430 --> 00:02:32.852]  It really boils down to our ability to accept.
[00:02:33.192 --> 00:02:35.193]  We don't need pessimism.
[00:02:35.233 --> 00:02:37.333]  I have two words for you.
[00:02:38.154 --> 00:02:39.014]  Predator drums.
[00:02:39.194 --> 00:02:45.436]  And who are you little cow?
[00:02:45.557 --> 00:02:46.637]  You will never see it coming.
[00:02:47.463 --> 00:02:55.598]  I'm predicting the first guy who uses a Second Amendment weapon to bring a drone down that's been hovering over his house is going to be a folk hero in this country.
[00:02:55.658 --> 00:02:56.099]  Nice!
[00:02:59.767 --> 00:03:03.668]  Broadcast every second of every day through our television sets.
[00:03:04.088 --> 00:03:09.169]  I'm just trying to warn you folks that television is a giant LED weapon system.
[00:03:10.049 --> 00:03:11.189]  It's so advanced.
[00:03:11.869 --> 00:03:13.770]  They got a monkey farm in Bastrop, folks.
[00:03:13.790 --> 00:03:17.790]  They do all sorts of testing on great apes, rhesus monkeys, the whole nine yards.
[00:03:17.930 --> 00:03:23.911]  And they go, oh, you didn't see this, and punch a button and there'd be hundreds of monkeys with wires in their brains with television sets brainwashing them.
[00:03:23.931 --> 00:03:27.012]  All I ever have to do is be famous.
[00:03:28.519 --> 00:03:31.340]  People watch me, and they love me.
[00:03:31.621 --> 00:03:33.441]  You can have a little taste of that good life, too.
[00:03:33.701 --> 00:03:34.682]  I know you want it.
[00:03:34.782 --> 00:03:36.183]  Hell, everybody does.
[00:03:36.683 --> 00:03:37.943]  Do it to your own kind.
[00:03:39.044 --> 00:03:39.964]  What's the threat?
[00:03:40.625 --> 00:03:42.305]  We all sell out every day.
[00:03:42.386 --> 00:03:44.086]  Might as well be on the winning team.
[00:03:44.206 --> 00:03:51.750]  The real men of the world have to stand up and say, I have come here to chew bubblegum and kick ass.
[00:03:53.596 --> 00:03:55.456]  And I'm all out of bubble gum.
[00:03:55.717 --> 00:03:58.817]  Time to take a stand, boys.
[00:03:59.297 --> 00:03:59.958]  You know what?
[00:03:59.978 --> 00:04:01.238]  You got a little courage.
[00:04:01.658 --> 00:04:02.978]  Stand up for yourself.
[00:04:04.899 --> 00:04:06.999]  Waging war on corruption.
[00:04:07.539 --> 00:04:12.860]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:04:13.481 --> 00:04:14.701]  It's Friday, folks.
[00:04:14.781 --> 00:04:18.362]  We're gonna give a press conference and how to buy a sailboat.
[00:04:26.192 --> 00:04:30.135]  Ladies and gentlemen, we're going to be back live on this Friday edition.
[00:04:30.495 --> 00:04:40.382]  Dr. Nick Begich is going to be joining us on a host of issues, including brain chips for the troops, positronics, type warfare systems, and so much more.
[00:04:41.778 --> 00:04:47.181]  Also, global warming scientists covered up a skeptic's damaging review.
[00:04:48.282 --> 00:04:54.766]  The paper echoes ClimateGate, showing the organized takeover and socialistic McCarthyism.
[00:04:54.866 --> 00:04:59.249]  It's all coming up on this live Friday edition.
[00:04:59.489 --> 00:05:03.012]  Massive transmission lined up for you today.
[00:05:03.432 --> 00:05:06.114]  I'm Alex Jones, InfoWars.com.
[00:05:06.134 --> 00:05:06.574]  Stay with us.
[00:05:10.529 --> 00:05:17.612]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:05:17.692 --> 00:05:19.852]  But it's not just the air outside that's toxic.
[00:05:20.032 --> 00:05:25.134]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:05:25.314 --> 00:05:30.256]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:05:30.476 --> 00:05:33.538]  There are more than 42 million smokers in the United States.
[00:05:33.799 --> 00:05:37.661]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:05:37.881 --> 00:05:42.125]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:05:42.205 --> 00:05:52.232]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:05:52.432 --> 00:05:54.954]  Made with organic and wild cultivated herbs,
[00:05:55.134 --> 00:06:03.207]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:06:03.347 --> 00:06:07.314]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:06:10.279 --> 00:06:13.181]  This is Alex Jones for InfoWarsLife.com.
[00:06:13.342 --> 00:06:15.263]  The latest in preparedness is now here.
[00:06:15.483 --> 00:06:21.468]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:06:21.668 --> 00:06:26.672]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[00:06:26.752 --> 00:06:31.456]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[00:06:31.616 --> 00:06:36.159]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:06:36.440 --> 00:06:44.806]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:06:45.046 --> 00:06:46.988]  This is not a low-grade formula.
[00:06:47.188 --> 00:06:50.110]  We are working with one of the top laboratory manufacturers
[00:06:50.250 --> 00:06:50.590]  We're good to go.
[00:07:13.063 --> 00:07:15.304]  Do you realize how fake it all is?
[00:07:15.364 --> 00:07:17.145]  The football, the basketball.
[00:07:17.505 --> 00:07:18.526]  Security alert.
[00:07:18.746 --> 00:07:20.507]  This is Homeland Security.
[00:07:20.787 --> 00:07:21.427]  Analysis.
[00:07:21.687 --> 00:07:24.529]  InfoWars building independent media operation.
[00:07:24.569 --> 00:07:29.491]  But the worst people get controlled and tell us that we are the ones responsible.
[00:07:29.531 --> 00:07:30.472]  Prime Directive.
[00:07:30.572 --> 00:07:32.013]  Discredit Alex Jones.
[00:07:32.153 --> 00:07:34.994]  Jones is the wildly popular conspiracy theorist.
[00:07:35.054 --> 00:07:38.176]  A popular conspiracy theory talk show called InfoWars.
[00:07:38.456 --> 00:07:42.160]  I don't know what he is, except a conspiracy theorist.
[00:07:42.220 --> 00:07:44.422]  Targeting of patriots engaged.
[00:07:44.442 --> 00:07:46.824]  They are never going to stop.
[00:07:47.104 --> 00:07:51.088]  They're never going to deviate from their program until we stop them.
[00:07:51.228 --> 00:07:54.511]  Block free iPhone app at InfoWars.com.
[00:07:54.891 --> 00:07:57.594]  Block free podcast and video feed.
[00:07:58.294 --> 00:07:59.075]  Imperative.
