[00:00:57.981 --> 00:01:01.047]  Why does Christian persecution worsen after U.S.
[00:01:01.087 --> 00:01:01.808]  liberation?
[00:01:02.690 --> 00:01:07.098]  And a European Parliament member calls Bilderberg the root of all evil.
[00:01:07.779 --> 00:01:09.803]  That's next on The Info War.
[00:01:41.081 --> 00:01:42.583]  Welcome to the Infowars Nightly News.
[00:01:42.663 --> 00:01:43.324]  I'm David Knight.
[00:01:43.484 --> 00:01:44.806]  It's May 19th, 2014 and here are our top stories.
[00:01:50.748 --> 00:01:53.569]  Police train to take on returning veterans.
[00:01:54.789 --> 00:01:58.790]  Then, why does Christian persecution worsen after U.S.
[00:01:58.850 --> 00:01:59.550]  liberation?
[00:02:00.450 --> 00:02:04.871]  And a European Parliament member calls Bilderberg the root of all evil.
[00:02:05.512 --> 00:02:08.852]  That's next on the InfoWars Nightly News.
[00:02:09.753 --> 00:02:12.153]  Setting themselves up just as the devil did!
[00:02:12.393 --> 00:02:15.394]  Look at how they manifest all the attributes of Satan!
[00:02:18.522 --> 00:02:20.723]  Our first story tonight is about a U.S.
[00:02:20.823 --> 00:02:23.624]  veteran who was beaten to death by five cops.
[00:02:24.104 --> 00:02:26.205]  Now, why is this our top story?
[00:02:26.765 --> 00:02:39.169]  Because it tells us something very important about the state of our police departments as well as the attitudes of many veterans who are not going to take the kind of abuse that many of us will roll over and take.
[00:02:39.189 --> 00:02:41.730]  Now in this story, a very sad story out of California.
[00:02:42.290 --> 00:02:50.775]  Tommy Yancey, 32, father of two, was savagely beaten to death by five law enforcement officers, and this is just over a traffic stop.
[00:02:51.296 --> 00:02:53.978]  Now, this veteran suffers from PTSD.
[00:02:54.038 --> 00:02:56.019]  He served in Afghanistan and Iraq.
[00:02:56.479 --> 00:03:02.063]  The officers claim that Yancey swung at an officer and attacked a canine.
[00:03:03.043 --> 00:03:06.065]  I'm sure that the canine attacked him first.
[00:03:06.325 --> 00:03:08.887]  You don't typically go and start swinging at canines.
[00:03:09.307 --> 00:03:11.329]  And what caused him to swing at the officer?
[00:03:12.478 --> 00:03:14.940]  Is that a capital offense anymore?
[00:03:15.840 --> 00:03:16.921]  What did they charge him with?
[00:03:17.081 --> 00:03:18.422]  Basically nothing.
[00:03:18.742 --> 00:03:20.803]  Listen to this recounting of the story.
[00:03:20.823 --> 00:03:26.026]  Of course, this was captured on video by someone who was at quite a distance, so we can't see a lot of detail with it.
[00:03:26.387 --> 00:03:32.310]  It says, Yancy was stopped on his way to the store after a highway patrol officer saw that he was missing his front license plate.
