[00:00:27.429 --> 00:00:29.470]  Welcome to the InfoWars Nightly News.
[00:00:29.570 --> 00:00:30.811]  I'm your host, Jakari Jackson.
[00:00:31.151 --> 00:00:35.032]  It's June 11, 2014, and let's get straight into our top story tonight.
[00:00:35.573 --> 00:00:45.157]  FBI Director confirms criminal probe of the VA, which this is good news because it's largely a distraction by the Bergdahl situation, so I'm glad we can get some more light on this.
[00:00:45.677 --> 00:00:49.379]  FBI Director James Comey confirmed Wednesday that the Bureau's Phoenix Branch
[00:00:49.639 --> 00:00:50.079]  That's right.
[00:01:06.295 --> 00:01:09.376]  And it comes back, you know, you don't get that care.
[00:01:09.416 --> 00:01:15.417]  We've seen Staff Sergeant Joe Biggs, our very own, he goes to the VA last month in May, says, hey, I have internal bleeding.
[00:01:15.737 --> 00:01:16.157]  I need help.
[00:01:16.177 --> 00:01:17.498]  They say, come back in July.
[00:01:17.878 --> 00:01:20.258]  And many similar stories of people all over the country.
[00:01:20.638 --> 00:01:26.920]  And regardless if you believe in everything the military does, you know, I've been critical of them growing the opium in Afghanistan.
[00:01:27.260 --> 00:01:28.940]  But I'm not mad at the individual troops.
[00:01:29.000 --> 00:01:30.501]  I'm mad at the guys who gave the order.
[00:01:30.761 --> 00:01:31.981]  So hopefully we can get some justice.
[00:01:32.261 --> 00:01:34.383]  A couple of decades ago, Australia had a mass shooting, similar to Columbine or Newtown.
[00:01:34.403 --> 00:01:35.544]  And Australia just said, well, that's it.
[00:02:01.248 --> 00:02:03.251]  We're not seeing that again.
[00:02:04.552 --> 00:02:13.463]  And basically imposed very severe, tough gun laws and they haven't had a mass shooting since.
[00:02:14.537 --> 00:02:16.658]  And there's one more thing I'd like to point out in the article.
[00:02:16.999 --> 00:02:24.103]  Invoking his role as a parent, Obama pushes the notion that American gun owners are collectively responsible for mass shootings.
[00:02:24.603 --> 00:02:27.505]  This country has a lot of soul-searching to do, Obama said.
[00:02:27.885 --> 00:02:29.106]  This is becoming the norm.
[00:02:29.486 --> 00:02:32.148]  And we take it for granted in ways that, as a parent,
[00:02:32.768 --> 00:02:33.448]  Terrify me.
[00:02:34.029 --> 00:02:35.549]  So, this is a president.
[00:02:36.250 --> 00:02:40.812]  He has an administration that has run guns into Mexico with Operation Fast and Furious.
[00:02:41.172 --> 00:02:42.533]  And you know, you guys may have seen the clip.
[00:02:42.573 --> 00:02:43.853]  He says, well, I have a big government.
[00:02:44.153 --> 00:02:45.374]  I have a lot of moving parts.
[00:02:45.494 --> 00:02:47.455]  I can't be responsible for what everybody does.
[00:02:47.775 --> 00:02:53.798]  Okay, maybe you don't know what everybody's doing, but once you find out what they're doing, why don't you hold the people responsible?
[00:02:54.118 --> 00:02:57.620]  And by responsible, I don't mean you let the Justice Department investigate themselves.
[00:02:58.040 --> 00:03:01.782]  You know, or you have the other situations, like with the Syrian rebels.
[00:03:02.122 --> 00:03:10.709]  You have an administration who is giving arms to Syrian rebels, Al Qaeda rebels, and he's very much involved in this, very much knows exactly what's going on.
[00:03:11.089 --> 00:03:18.474]  Al Qaeda rebels who are killing people in Syria, killing Christians, doing all types of horrible things, but he wants to blame the U.S.
[00:03:18.514 --> 00:03:18.995]  gun owner.
[00:03:19.375 --> 00:03:29.281]  And to go back to the Mexico angle for one second, this is a president who goes down to Mexico and says the reason Mexicans have such high gun violence is because of the United States Second Amendment.
[00:03:29.721 --> 00:03:37.906]  But as we said, his administration is running guns down there to known drug dealers, known cartel members, because we have all this talk about background checks here in the States.
[00:03:38.186 --> 00:03:44.550]  Meanwhile, I guess they did do the background checks and found out these guys were corrupt, criminal enough to deserve these weapons.
[00:03:44.870 --> 00:03:49.311]  Let's go back and talk about the Syrian angle, the Al-Qaeda rebels specifically.
[00:03:49.472 --> 00:03:53.533]  Because it's not just in Syria, we also have situations going on in Iraq.
[00:03:53.833 --> 00:04:00.875]  And the headline reads, Islamic Jihadis take over second largest city in Iraq, but Al-Qaeda wasn't even in Iraq until the U.S.
[00:04:00.915 --> 00:04:01.295]  invaded.
[00:04:01.655 --> 00:04:12.019]  And if you go to Infowars.com, you can see a database there, a graph, and if you look at the graph, you can see about 2002, you had this large spike.
[00:04:12.859 --> 00:04:13.179]  I'm good.
[00:04:30.114 --> 00:04:36.878]  To make matters worse, the Army fled, so militants seized huge caches of US-supplied weapons, including Humvees.
[00:04:37.238 --> 00:04:46.584]  And if you go to the article on Infowars.com, you can see these guys, the Al-Qaeda rebels, walking around, looking at Humvees and other armaments.
[00:04:46.624 --> 00:04:48.305]  You know, Al-Qaeda's going to pop some tags.
[00:04:48.325 --> 00:04:49.766]  They only got $20 in their pocket.
[00:04:50.086 --> 00:04:50.666]  So what do you do?
[00:04:50.726 --> 00:04:53.928]  You go to the US cache, and you steal military weaponry.
[00:04:55.447 --> 00:05:02.231]  And people will say, well, isn't this a good reason to bring these things home, bring these big MRAPs and other things to the United States so the terrorists can't get them?
[00:05:02.751 --> 00:05:08.055]  No, because when you bring these things home, number one, you have military vehicles on the streets of the United States.
[00:05:08.095 --> 00:05:09.676]  I mean, what does that say about our country?
[00:05:10.016 --> 00:05:13.258]  And it's not because, you know, some guy wanted to dress up like the Joker and kill some people.
[00:05:13.578 --> 00:05:18.321]  No, that just shows that they have a domestic arms race to get these things on the streets.
[00:05:18.661 --> 00:05:23.703]  But on top of that, you're feeding into the military-industrial conflicts when you bring these things back to the states.
[00:05:24.063 --> 00:05:27.804]  Because you can't just take this thing around the corner to Joe's, you know, body shop.
[00:05:27.824 --> 00:05:33.246]  You have to get specialized equipment, specialized training, specialized guys to come and work on these vehicles.
[00:05:33.266 --> 00:05:36.187]  You know, these things aren't your normal, everyday minivans.
[00:05:36.607 --> 00:05:44.717]  And on top of that, you know, you think about the things going on in these foreign countries, these foreign conflicts, that's also feeding the military-industrial complex.
[00:05:44.977 --> 00:05:53.167]  Whether they bring the things back home, they blow them up, they leave them there, you know, you have parking lots full of these military vehicles that have never even been used.
[00:05:53.507 --> 00:06:00.331]  You know, some of them have, a good number of them have, but there's some that have never even been used, once again feeding into the military-industrial complex.
[00:06:00.651 --> 00:06:04.954]  So, you know, don't feed into the military-industrial complex, is basically what I'm getting at.
[00:06:05.294 --> 00:06:06.935]  And Curt Nimmo has that article as well.
[00:06:07.375 --> 00:06:12.298]  Iraq would not even have al-Qaeda if the state allowed citizens to be armed.
[00:06:12.658 --> 00:06:15.000]  And that's a very real statement, because you think about this.
[00:06:15.885 --> 00:06:22.049]  It would be like some foreign government coming to the United States, giving the Crips and Bloods all these arms and then saying, hey, you go deal with the problem.
[00:06:22.069 --> 00:06:25.351]  It's like, well, you gave these guys the arms, why don't you go fix the problem?
[00:06:25.752 --> 00:06:27.893]  And then sometimes they don't even want you to come fix the problem.
[00:06:28.213 --> 00:06:32.276]  Okay, you gave these guys the arms, we have to deal with it, we'll deal with it in our own way.
[00:06:32.316 --> 00:06:36.139]  We don't need your intervention anymore because you've wrecked our country enough.
[00:06:36.159 --> 00:06:38.780]  So you can find those articles on InfoWars.com.
[00:06:39.181 --> 00:06:42.283]  And speaking of wrecking the country, we have been wrecked economically.
[00:06:42.603 --> 00:06:43.404]  And that's very true.
[00:06:43.464 --> 00:06:46.067]  It has a very good illustration on this.
[00:06:46.087 --> 00:06:50.291]  19 reasons why you can laugh when anyone tells you that the economy is in good shape.
[00:06:50.691 --> 00:06:54.455]  Now, for the sake of time, we won't go through them all, but we'll hit some of the high points here.
[00:06:54.495 --> 00:07:00.561]  We'll start with number one, Radio Shack is closing an additional 200 stores on top of what they already said they would close.
[00:07:01.042 --> 00:07:04.645]  Number two, the first quarter earnings of this year, the top U.S.
[00:07:04.705 --> 00:07:06.147]  giants, retailer giants,
[00:07:06.627 --> 00:07:09.809]  Missed the estimates by the largest gap in 13 years.
[00:07:10.450 --> 00:07:16.714]  Number three, one out of every three grocery store workers in the state of California is on some form of public assistance.
[00:07:17.074 --> 00:07:20.116]  And I'll briefly tell you guys my grocery store experience.
[00:07:20.457 --> 00:07:22.598]  Back when I was in high school I worked at a grocery store.
[00:07:22.938 --> 00:07:23.219]  I made...
[00:07:23.919 --> 00:07:24.499]  I think so.
[00:07:47.978 --> 00:07:48.939]  $15 an hour raise.
[00:07:49.199 --> 00:07:55.643]  You know, seven years from now, when $15 an hour is the new $7 an hour, you can be right back out there again saying that you need more money.
[00:07:55.983 --> 00:07:59.885]  It's the system that's broken, not just the fact that, you know, McDonald's doesn't want to pay you more.
[00:08:00.525 --> 00:08:01.726]  And let's look at one more here.
[00:08:02.346 --> 00:08:09.871]  According to one recent survey, this is number five, 52% of Americans cannot even afford the house that they are living in right now.
[00:08:10.311 --> 00:08:15.274]  So like I said, you have a Federal Reserve devaluing your currency, and you know, so
[00:08:15.934 --> 00:08:20.537]  Not only that, but you don't want to stay in the sacking grocery jobs for your entire life.
[00:08:20.898 --> 00:08:24.240]  You don't want to stay, you know, shaking the fries out for the rest of your life.
[00:08:24.260 --> 00:08:25.161]  You want to go up.
[00:08:25.481 --> 00:08:32.886]  Because, you know, hey, make more money, but bro, you're not going to drive a Ferrari sacking groceries at, you know, the Quickie Mart or wherever it is that you work.
[00:08:33.307 --> 00:08:38.570]  So, you know, when they tell you that the economy is good and everything's rosy, just say, no, it's not.
[00:08:38.791 --> 00:08:39.411]  It is not rosy.
[00:08:39.992 --> 00:08:46.879]  And we'll end our segment tonight on this, illegal immigrants intentionally surrendering to Border Patrol to gain entry to the United States.
[00:08:47.380 --> 00:08:53.767]  Our Border Patrol is doing the best and the most kind and humane thing with the children.
[00:08:54.428 --> 00:09:01.395]  Border Patrol has always been a good partner of the City of Nogales and they work very closely with us in the City of Nogales.
[00:09:01.776 --> 00:09:11.546]  Now, as a city, we need to help Border Patrol so that they can accomplish their goal in making sure that these children are all taken care of.
[00:09:11.946 --> 00:09:31.031]  It used to be that people tried to avoid Border Patrol ICE if they were illegal immigrants, but now they just walk across the border, hey, I give up, and then the Border Patrol says, hey, okay, you're here in the United States, we'll drive you to a facility, free food, free clothes, you know, free facilities, you can get in-state tuition in states like Texas, and it's a whole good deal.
[00:09:31.271 --> 00:09:36.273]  So we'll talk more about this, and I don't have a problem with people coming here to the United States, just do so legally.
[00:09:36.633 --> 00:09:44.476]  But we'll talk to the crew there in San Antonio right now at one of these facilities where this is going on, where they're spending your taxpayer money to house illegal immigrants.
[00:09:44.576 --> 00:09:47.697]  I'm kind of the Rand Paul situation.
[00:09:47.737 --> 00:09:51.038]  Let's get rid of some of these illegal immigrants and exchange them for Marines.
[00:09:51.098 --> 00:09:53.419]  Or, you know, maybe even send a few Democrats down there.
[00:09:53.519 --> 00:09:53.839]  Whatever.
[00:09:54.219 --> 00:09:59.301]  Whatever it takes to get the ball rolling again, but stay tuned for that because we'll be talking to the guys right after this break.
[00:09:59.701 --> 00:10:06.644]  But first, if you like this broadcast and you would like to see it continue, stop by PrisonPlanet.tv and get yourself a 15-day free trial.
[00:10:06.984 --> 00:10:12.267]  You can get the Alex Jones Show, the nightly news, the rants, the special reports, and so much more at PrisonPlanet.tv.
[00:10:12.547 --> 00:10:16.628]  And stay tuned for the end of our show because we'll have some excerpts from the Alex Jones Radio Show.
[00:10:16.668 --> 00:10:22.891]  We'll talk to Telly Blackwood of Off The Hook TV and also The Food Babe and her new initiative to find out what exactly is
[00:10:23.272 --> 00:10:23.754]  In your beer.
[00:10:23.774 --> 00:10:24.798]  So stay tuned for all that.
[00:10:25.059 --> 00:10:27.048]  This is the Info Wars Nightly News.
[00:10:35.635 --> 00:10:41.217]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:10:41.417 --> 00:10:48.639]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:10:48.799 --> 00:10:52.040]  Radioactive contamination is now in most of the food supply.
[00:10:52.160 --> 00:10:53.921]  There's only two ways to avoid this.
[00:10:54.181 --> 00:10:58.744]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:10:58.844 --> 00:11:01.605]  Looking to protect my family, I've done deep research.
[00:11:01.765 --> 00:11:07.528]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:11:07.708 --> 00:11:11.190]  It's made right here in the USA, completely non-GMO.
[00:11:11.390 --> 00:11:16.433]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:11:16.633 --> 00:11:19.595]  Exclusively available at Infowarslife.com.
[00:11:19.855 --> 00:11:25.719]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:11:25.839 --> 00:11:27.821]  Survival Shield Nascent Iodine.
[00:11:28.001 --> 00:11:33.424]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:11:33.525 --> 00:11:34.886]  That's InfoWarsLife.com.
[00:11:39.617 --> 00:11:42.841]  Globalist social engineers are not just targeting us with propaganda.
[00:11:42.941 --> 00:11:45.184]  They are manipulating our genetics.
[00:11:45.364 --> 00:11:53.655]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:11:53.955 --> 00:11:56.018]  After consulting top doctors, nutritionists,
[00:11:56.178 --> 00:12:10.061]  Pharmacist and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula sourced from powerful organic herbs and then concentrated for maximum potency.
[00:12:10.261 --> 00:12:17.883]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:12:18.303 --> 00:12:24.406]  Super Mel Vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[00:12:24.646 --> 00:12:33.249]  For a limited time, we are offering 15% off Super Mel Vitality at InfoWarsLife.com to introduce you to this powerful supplement.
[00:12:33.389 --> 00:12:37.351]  Visit InfoWarsLife.com today to secure your Super Mel Vitality.
[00:12:37.551 --> 00:12:38.372]  InfoWarsLife.com
[00:12:47.133 --> 00:12:47.773]  And welcome back.
[00:12:48.174 --> 00:12:56.218]  We've seen the stories about immigrants pouring into the country, and now the InfoWars crew is down in San Antonio at one of the military facilities where the immigrants are being held.
[00:12:56.818 --> 00:13:00.280]  InfoWars reporters Kit Daniel and also Staff Sergeant Joe Biggs are on the scene.
[00:13:00.300 --> 00:13:01.421]  How are you doing, guys?
[00:13:01.941 --> 00:13:02.961]  Good, good, good.
[00:13:03.442 --> 00:13:05.863]  Okay, so first tell us where you are and what's going on out there.
[00:13:06.823 --> 00:13:11.566]  Well, we're here at Lackland Air Force Base in San Antonio, Texas, where one of the former
[00:13:13.109 --> 00:13:18.753]  Basic training dorms has been reappropriated to house about 2,000 illegal immigrants.
[00:13:19.293 --> 00:13:20.634]  Wow.
[00:13:21.094 --> 00:13:22.996]  We found the area where they're being housed.
[00:13:23.936 --> 00:13:30.860]  It's barricaded with fences all around it with privacy screens to try to keep people from looking into it.
[00:13:31.821 --> 00:13:34.343]  There's several port-a-potties in the area.
[00:13:34.583 --> 00:13:41.107]  One that even says restricted for youth only, indicating for the illegal children, illegal
[00:13:42.130 --> 00:13:42.750]  Youth immigrants.
[00:13:43.791 --> 00:13:52.357]  Also, we saw about two 18-wheeler trailers from H-E-B that are likely there providing food.
[00:13:52.958 --> 00:13:56.781]  And for people who don't know, who aren't from Texas, H-E-B is a grocery store.
[00:13:56.801 --> 00:13:57.321]  Go ahead, Kit.
[00:13:58.582 --> 00:14:03.826]  And also, I've got some footage of several loads of trash.
[00:14:05.027 --> 00:14:09.250]  To back up, I talked to the Lackland Public Affairs.
[00:14:09.290 --> 00:14:11.131]  They told me that they were not on the lead.
[00:14:11.935 --> 00:14:29.628]  On this housing these immigrants, the Department of Health and Human Services, and I believe it's the Administration of Family and Children in particular, of HHS, is in charge of the housing and processing of these illegal immigrants.
[00:14:30.769 --> 00:14:40.196]  And they have actually subcontracted it to a group called BCS out of San Antonio, which is a non-profit faith-based organization.
[00:14:40.908 --> 00:14:47.833]  And when we bring in the footage later, you'll see BCFS men wearing BCFS shirts and whatnot.
[00:14:48.293 --> 00:14:49.474]  So let me ask you this, Kit.
[00:14:49.734 --> 00:14:51.795]  Of the people there, are they mostly children?
[00:14:51.855 --> 00:14:53.476]  Are they all children?
[00:14:53.677 --> 00:14:55.098]  How many children do you see out there?
[00:14:55.878 --> 00:14:59.020]  I'll let Staff Sergeant Biggs answer that question.
[00:14:59.781 --> 00:15:03.003]  Yeah, most of what I saw were from, I'd say, teenagers.
[00:15:03.527 --> 00:15:07.088]  From anywhere from teenagers all the way down to, you know, maybe, what, five years, you think?
[00:15:07.368 --> 00:15:09.528]  Yeah, five years old, somewhere in that area.
[00:15:09.888 --> 00:15:11.769]  They're running around, you know, playing right now.
[00:15:11.789 --> 00:15:13.609]  A group of children were singing songs.
[00:15:14.489 --> 00:15:15.890]  You could hear that over the fence.
[00:15:16.450 --> 00:15:28.453]  But, you know, one of the interesting things is, though, is we have these illegal immigrants staying here on a military facility while homeless veterans are outside the gate right now with no shelter and no food.
[00:15:28.793 --> 00:15:30.173]  But these kids are being flown in.
[00:15:30.666 --> 00:15:34.283]  And brought in by the bus loads and being taken care of.
[00:15:34.464 --> 00:15:35.107]  I just think that's...
