[00:00:10.009 --> 00:00:10.650]  Hi, how you doing?
[00:00:10.670 --> 00:00:21.758]  Hey, I just want to make you aware of the fact that the organization you work for, the Border Patrol, is funding illegals coming into our country completely illegally.
[00:00:21.818 --> 00:00:22.499]  Are you aware of that?
[00:00:22.739 --> 00:00:23.339]  I am aware of that.
[00:00:23.760 --> 00:00:24.941]  We gotta talk to somebody else.
[00:00:28.203 --> 00:00:28.924]  Hey, how's it going?
[00:00:29.944 --> 00:00:35.429]  I just want to let you guys know that the news the past few days... Where are you from?
[00:00:36.750 --> 00:00:37.130]  What do you mean?
[00:00:37.614 --> 00:00:38.194]  Who are you with?
[00:00:38.674 --> 00:00:39.815]  Why are you sitting in the primary?
[00:00:41.395 --> 00:00:42.035]  I'm just talking.
[00:00:42.095 --> 00:00:42.716]  I'm a U.S.
[00:00:42.736 --> 00:00:43.216]  citizen.
[00:00:43.276 --> 00:00:44.576]  I'm talking.
[00:00:44.616 --> 00:00:46.057]  Why am I the enemy?
[00:00:46.077 --> 00:00:47.537]  Why am I the enemy?
[00:00:47.557 --> 00:00:48.358]  Why can't I talk to you?
[00:00:48.458 --> 00:00:49.418]  It's dangerous here for you.
[00:00:49.438 --> 00:00:54.440]  You don't know exactly what's going on here.
[00:00:54.460 --> 00:01:01.922]  We've been down in South Texas and we've been doing a report on you guys for the past four days and I have
[00:01:02.608 --> 00:01:20.095]  Footage here of the illegals coming in, but basically we found out yesterday that Border Patrol, and it's not you guys, you guys are just doing your job, but the people that manage you guys, Homeland Security, has been paying for illegal citizens to come into the U.S.
[00:01:20.155 --> 00:01:27.378]  and paying for them to be spread out into the U.S., people that are committed crimes, illegal citizens.
[00:01:29.022 --> 00:01:33.225]  We got chased around by Border Patrol because we're American journalists.
[00:01:33.826 --> 00:01:43.354]  Meanwhile, we're filming illegal citizens being paid for with my tax dollars and your tax dollars to come into our country and wreak havoc.
[00:01:43.474 --> 00:01:44.975]  I just want to make you guys aware of that.
[00:01:45.475 --> 00:01:48.278]  As a citizen of the United States, that's happening.
[00:01:48.518 --> 00:01:49.318]  We're aware of you.
[00:01:49.959 --> 00:01:52.941]  And, you know, the American people won't stand for it.
[00:01:52.961 --> 00:01:55.844]  We've been watching the news.
[00:01:56.284 --> 00:01:58.426]  The intimidation of the American people has to end.
[00:01:59.868 --> 00:02:06.012]  Homeland Security, all this nonsense about the next terrorist attack and whatnot.
[00:02:06.332 --> 00:02:08.633]  The CIA funded Al Qaeda.
[00:02:08.933 --> 00:02:10.734]  Obama's approval rating is dismal.
[00:02:11.255 --> 00:02:13.896]  And that's because we've been getting lied to for too long.
[00:02:15.677 --> 00:02:16.357]  We're aware of it.
[00:02:16.898 --> 00:02:22.401]  Our money's going into this intimidation, this fear, propaganda, government, federal agency.
[00:02:22.861 --> 00:02:28.044]  And now Border Patrol is part of an illegal act
[00:02:28.835 --> 00:02:30.017]  against the American people.
[00:02:30.077 --> 00:02:31.620]  I'm not some whack job.
[00:02:32.281 --> 00:02:43.139]  I just wanted to bring it to your attention and let you know that you may run into more people like me as this continues because it's something that needs to be corrected pronto.
[00:02:44.502 --> 00:02:48.225]  Or else Obama's going to get impeached and he's going to take you guys down with him.
[00:02:48.285 --> 00:02:49.805]  This whole Homeland Security thing.
[00:02:49.826 --> 00:02:53.408]  But as you stated, we're doing our job.
[00:02:53.688 --> 00:02:58.811]  We're not going to be able to change any policy or anything at the national level.
[00:02:59.406 --> 00:03:00.828]  Well, I understand that there are internal...
[00:03:21.216 --> 00:03:44.166]  Alright well just just keep an eye on the news because you guys are good Americans I'm sure but it's putting your organization and homeland security in the light of an invading army within our borders as if you guys are the invaders so I just wanted you guys to be aware of that you may be aware of that already you guys have a great day
[00:03:53.925 --> 00:04:01.767]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:04:02.047 --> 00:04:04.107]  All the major networks are state-run.
[00:04:04.267 --> 00:04:06.908]  We are partnering this year with the NFL.
[00:04:06.968 --> 00:04:11.069]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[00:04:11.389 --> 00:04:14.549]  MSNBC tells us that our children belong to the state.
[00:04:14.569 --> 00:04:21.811]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[00:04:22.011 --> 00:04:26.135]  It is more important than ever to realize that we are not the alternative media.
[00:04:26.335 --> 00:04:27.996]  We are the true media.
[00:04:28.137 --> 00:04:30.739]  The establishment dinosaur press is dying.
[00:04:30.839 --> 00:04:34.502]  We are in an information war and we are losing that war.
[00:04:34.582 --> 00:04:38.726]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:04:38.926 --> 00:04:41.769]  Members can share their memberships with up to 11 people.
[00:04:41.889 --> 00:04:46.253]  By subscribing, you will literally be buying war bonds in the Info War.
[00:04:46.553 --> 00:04:49.457]  To expand our operation in the face of the tyrants.
[00:04:49.737 --> 00:04:51.460]  Join us at PrisonPlanet.tv
