[00:00:02.202 --> 00:00:02.842]  Big Brother.
[00:00:03.503 --> 00:00:04.543]  Mainstream media.
[00:00:05.284 --> 00:00:06.384]  Government cover-ups.
[00:00:07.045 --> 00:00:07.845]  You want answers?
[00:00:08.626 --> 00:00:09.506]  Well, so does he.
[00:00:10.167 --> 00:00:13.809]  He's Alex Jones on the GCN Radio Network.
[00:00:14.349 --> 00:00:18.411]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.077 --> 00:00:23.519]  Welcome to the Alex Jones Show.
[00:00:23.539 --> 00:00:25.762]  I'm David Knight, here in the studio on this July 8, 2014.
[00:00:25.822 --> 00:00:29.346]  I have Alex Jones on the phone.
[00:00:29.366 --> 00:00:31.189]  He's going to be joining us in just a moment or two.
[00:00:31.790 --> 00:00:35.895]  We have some breaking news from California, as we have up on Infowars.com.
[00:00:35.955 --> 00:00:39.980]  Mexican flag-wearing La Raza militants arrive in Murrieta, California.
[00:00:40.060 --> 00:00:52.493]  This is the place where there's a standoff between citizens who are protesting the 140 immigrants that are going to be brought in every 72 hours into the place by our government, importing the immigrants.
[00:00:52.933 --> 00:00:54.175]  So they've pushed back against that.
[00:00:54.215 --> 00:00:57.078]  They've stopped the importation now three times.
[00:00:58.419 --> 00:01:00.241]  The federal government is bringing in reinforcements.
[00:01:00.321 --> 00:01:01.803]  They're bringing in La Raza.
[00:01:02.244 --> 00:01:06.068]  We also have InfoWars reporters there, and we're going to be talking to them later on in the show.
[00:01:06.429 --> 00:01:10.774]  We've got Staff Sergeant Joe Biggs, who has already been threatened by some of these people.
[00:01:10.794 --> 00:01:16.881]  Of course, there's also interviews with some other Hispanics there who point out that La Raza is a Hispanic KKK.
[00:01:17.842 --> 00:01:23.408]  And Alex is going to be joining us in just one second, but before we go to him, also we're going to have Jerome Corsi later on in the program.
[00:01:23.728 --> 00:01:32.057]  He's going to be pointing out what only WND and InfoWars has been pointing out, and that is the establishment believes that America is finished.
[00:01:32.577 --> 00:01:37.622]  This is the beginning of North America as an established fact, the North American Union.
[00:01:38.223 --> 00:01:40.565]  Both Petraeus and Pelosi have openly said that.
[00:01:41.226 --> 00:01:42.847]  Corsi wrote an article about it yesterday.
[00:01:42.867 --> 00:01:46.388]  We pointed it out a couple weeks ago when Petraeus first said that in London.
