[00:00:19.349 --> 00:00:20.910]  Welcome to the InfoWars Nightly News.
[00:00:21.010 --> 00:00:21.710]  I'm David Knight.
[00:00:21.810 --> 00:00:25.792]  It's Thursday, July 31st, 2014, and here are our top stories.
[00:00:28.794 --> 00:00:34.396]  Tonight, how a health emergency could turn governors into dictators.
[00:00:35.097 --> 00:00:39.059]  Then, conservatives and the GOP battle over immigration.
[00:00:39.939 --> 00:00:43.721]  And the CIA is sorry they got caught spying on the Senate.
[00:00:44.401 --> 00:00:47.723]  That's next on the InfoWars Nightly News.
[00:00:58.012 --> 00:01:00.813]  Well, this headline from the Daily Caller says it all.
[00:01:01.273 --> 00:01:04.173]  Conservatives battle GOP leaders.
[00:01:04.674 --> 00:01:05.454]  Isn't that the case?
[00:01:05.894 --> 00:01:17.137]  Finally, conservatives are going to realize that the GOP doesn't really represent them when it comes to individual liberty, when it comes to limited government, especially when it comes to opposing the entitlement state.
[00:01:17.617 --> 00:01:26.279]  Now, this is Boehner, who is trying to push this through, even though, the article points out, Obama's support has dived down to only 18 percent.
[00:01:27.839 --> 00:01:30.760]  And 57% oppose him.
[00:01:31.300 --> 00:01:35.281]  Where do you want to be if you're a politician and you want to get elected?
[00:01:35.321 --> 00:01:38.982]  Do you want to be standing with the 18% or do you want to be with the 82%?
[00:01:40.203 --> 00:01:48.265]  Now we see some comments from some conservative leaders saying things like, this is equivalent to catching your opposition's Hail Mary pass and running it into the end zone.
[00:01:48.885 --> 00:01:53.146]  We can't understand why they can't do anything but fail in politics.
[00:01:53.746 --> 00:01:55.467]  I don't think that's the case.
[00:01:56.187 --> 00:02:05.436]  I don't think they're worried about your votes because they've got the support of the Chamber of Commerce, of the banks, of the people who want NAFTA.
[00:02:05.536 --> 00:02:07.738]  That's what they supported along with the Democrats.
[00:02:08.218 --> 00:02:10.160]  They're pushing through NAFTA.
[00:02:10.180 --> 00:02:12.022]  They're pushing through this globalism.
[00:02:12.402 --> 00:02:14.464]  They don't really care what you want.
[00:02:14.504 --> 00:02:15.585]  That's why they're standing with the 18%.
[00:02:16.906 --> 00:02:20.228]  Now, Senator Sessions had a great summary of this.
[00:02:20.268 --> 00:02:31.393]  He said the Leader's Immigration Bill is, quote, a plan for expedited asylum, not expedited removal of the hundreds of thousands of people that have come in just recently.
[00:02:32.053 --> 00:02:36.175]  To underscore this, there's also been a poll that has come out by the Tea Party Patriots.
[00:02:36.675 --> 00:02:38.496]  And listen to the breakdown on this.
[00:02:38.536 --> 00:02:43.298]  What is the most important issue to Tea Party Patriots, according to this poll?
[00:02:45.359 --> 00:02:47.442]  Want the flow of illegals stopped?
[00:02:47.842 --> 00:03:03.522]  Compared to 24% who think that Obama's executive orders are overreaching, 23% who are opposed to Obamacare, 7% who are opposed to the IRS targeting politics and political enemies, and only 3% concerned about the Benghazi.
[00:03:04.122 --> 00:03:08.824]  79% said that they're coming because they can be citizens.
[00:03:08.844 --> 00:03:10.744]  That's talking about the illegal aliens.
[00:03:11.325 --> 00:03:12.385]  That's what's going on.
[00:03:12.445 --> 00:03:14.166]  It's really about the subsidies.
[00:03:14.286 --> 00:03:18.207]  It's really about the massive expansion of the entitlement state.
[00:03:18.667 --> 00:03:23.209]  Far beyond what we can afford, even if we weren't already $17 trillion in debt.
[00:03:23.629 --> 00:03:25.530]  Now look at this story from the New American.
[00:03:26.550 --> 00:03:30.792]  Some illegal immigrant foster children are 22 years old.
[00:03:30.852 --> 00:03:31.272]  That's right.
[00:03:31.960 --> 00:03:36.846]  Now as you may know, many of the children who have come across into Texas have been put into foster homes.
[00:03:37.346 --> 00:03:42.933]  But you may be surprised to learn that a lot of these quote-unquote children are 22 years old.
[00:03:43.353 --> 00:03:51.843]  Now spokeswoman for the Texas Catholic Charities said, most of our children are 15 to 17 years old, but some stay in our program until they are 22 years old.
[00:03:53.064 --> 00:04:00.330]  Now, they get paid $40 per day per person, which means that in some foster homes they can take up to six children.
[00:04:00.670 --> 00:04:04.233]  That means that they could get $7,400 per month.
[00:04:04.713 --> 00:04:06.154]  That's coming from taxpayers.
[00:04:06.534 --> 00:04:12.819]  Actually, that's going to be coming from your children in terms of debt, because we're going into debt more every year.
[00:04:13.260 --> 00:04:19.725]  Now, that's in addition, the article points out, to other taxpayer-subsidized activities like education,
[00:04:20.345 --> 00:04:20.445]  Okay.
[00:04:40.586 --> 00:04:41.166]  I think so.
[00:05:03.755 --> 00:05:08.637]  Get disease and pandemic coming across the border like we see drug dealers coming across the border.
[00:05:08.977 --> 00:05:10.998]  They have some plans to control the U.S.
[00:05:11.038 --> 00:05:11.538]  population.
[00:05:11.558 --> 00:05:14.079]  Look at this article from Paul Joseph Watson on InfoWars today.
[00:05:14.439 --> 00:05:20.882]  The feds would exercise draconian emergency powers if something like Ebola hits the United States.
[00:05:21.522 --> 00:05:27.387]  Federal health authorities could exercise authoritarian powers to control an Ebola outbreak if the deadly disease hits the U.S.
[00:05:27.868 --> 00:05:31.351]  under the Model State Emergency Health Powers Act.
[00:05:31.851 --> 00:05:34.273]  Now, that's legislation that was passed in the wake of 9-11.
[00:05:34.454 --> 00:05:42.961]  Even at the time, it attracted controversy for its draconian scope, and that was in the aftermath of the hysteria and the panic after 9-11.
[00:05:44.142 --> 00:05:56.409]  Now, he says in the article that when asked about whether or not Ebola would be coming to the United States, CNN's chief medical correspondent, Dr. Sanjay Gupta, said it's going to happen at some point.
[00:05:56.449 --> 00:05:57.489]  So what are they going to do?
[00:05:57.569 --> 00:06:12.257]  Well, with this law, the American Associations of Physicians and Surgeons, as well as many conservative groups like Heritage Foundation and Phyllis Schlafly, have said that legislation could turn governors into dictators in an unprecedented assault
[00:06:12.737 --> 00:06:15.118]  On the constitutional rights of the American people.
[00:06:15.518 --> 00:06:21.420]  And if you look at some of the things that have been enumerated in this, and there's so many things, it is truly martial law.
[00:06:21.460 --> 00:06:25.702]  They say it could force persons to be vaccinated, treated, or quarantined, of course.
[00:06:26.122 --> 00:06:30.784]  Preempt existing state laws, rules, regulations, including those relating to privacy.
[00:06:30.804 --> 00:06:34.806]  Well, they've already gone after our privacy, our medical privacy, as well.
[00:06:34.846 --> 00:06:38.947]  They said also, though, and this is key, they could go after property rights.
[00:06:39.067 --> 00:06:40.828]  They could ration firearms.
[00:06:41.368 --> 00:06:45.429]  Food, fuel, alcoholic beverages, among any other commodities.
[00:06:45.469 --> 00:06:47.970]  In other words, full out martial law.
[00:06:47.990 --> 00:06:57.732]  And of course, many of the things that you see here that were put in in 2001 are going to be a part of Obamacare and are a part of Obamacare in terms of violating our privacy.
[00:06:58.572 --> 00:06:58.992]  Stay with us.
[00:06:59.052 --> 00:07:05.454]  Right after the break, we're going to have some international news updates as well as updates on the surveillance and security state.
[00:07:05.474 --> 00:07:06.134]  We'll be right back.
[00:07:07.734 --> 00:07:16.743]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best-tasting, 100% organic coffee on the planet.
[00:07:16.823 --> 00:07:25.072]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:07:25.232 --> 00:07:29.897]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:07:30.097 --> 00:07:36.798]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:07:36.878 --> 00:07:43.959]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:07:44.059 --> 00:07:50.941]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:07:51.081 --> 00:07:55.421]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:07:55.561 --> 00:07:58.782]  Available in original or with our immune support infusion blend.
[00:07:58.942 --> 00:08:05.069]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:08:05.249 --> 00:08:07.492]  Available at Infowarslife.com.
[00:08:07.672 --> 00:08:10.555]  This is Alex Jones for Infowarslife.com.
[00:08:10.736 --> 00:08:12.678]  The latest in preparedness is now here.
[00:08:12.878 --> 00:08:18.845]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[00:08:19.045 --> 00:08:28.829]  Concentrated to 30 parts per million in what has been dubbed the Survival Silver Solution, the new InfoWars Live Silver Bullet Colloidal Silver is the answer for you and your family.
[00:08:29.009 --> 00:08:33.551]  And it's entirely free of toxic artificial additives that are loaded into many products.
[00:08:33.831 --> 00:08:42.215]  The InfoWars Live Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[00:08:42.435 --> 00:08:44.396]  This is not a low-grade formula.
[00:08:44.576 --> 00:08:47.497]  We are working with one of the top laboratory manufacturers
[00:08:47.637 --> 00:08:47.897]  We're good.
[00:09:08.868 --> 00:09:09.468]  Welcome back.
[00:09:09.909 --> 00:09:11.390]  Now, there's talk in the U.S.
[00:09:11.490 --> 00:09:15.193]  of sending even more weapons to the Ukraine and to Israel, of course.
[00:09:15.573 --> 00:09:21.337]  The military-industrial complex, the merchants of death want that as a profit center, a continuing profit center.
