[00:00:01.390 --> 00:00:02.550]  Coast to Coast.
[00:00:02.931 --> 00:00:04.251]  Direct from Austin.
[00:00:04.992 --> 00:00:08.194]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.041 --> 00:00:20.206]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:20.887 --> 00:00:21.668]  You want answers?
[00:00:22.449 --> 00:00:23.350]  Well, so does he.
[00:00:23.991 --> 00:00:27.616]  He's Alex Jones on the GCN Radio Network.
[00:00:28.197 --> 00:00:32.262]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.821 --> 00:00:58.486]  Our reporters are on the ground in Ferguson, Missouri that's now become an international news story and threatens to engulf the country in more riots and looting.
[00:00:59.387 --> 00:01:05.950]  We're here trying to objectively break down how the police state is not good for anybody but the globalists that have hijacked this country.
[00:01:06.531 --> 00:01:13.475]  Nevertheless, though, there are miscreant forces coming into the area in Ferguson out of St.
[00:01:13.515 --> 00:01:15.776]  Louis trying to stir things up.
[00:01:15.816 --> 00:01:17.017]  We've got the New Black Panthers
[00:01:18.375 --> 00:01:19.476]  Calling for violence.
[00:01:20.637 --> 00:01:27.120]  We've got reports that our reporters have confirmed of Molotov cocktails and shots being fired.
[00:01:27.620 --> 00:01:32.643]  So the police then went completely wild and began attacking everyone, including reporters.
[00:01:34.044 --> 00:01:44.910]  And then they had a late-night press conference saying that, well, unless you have a $50,000 camera, this is an actual quote, and a news van, basically, we don't know you're a reporter.
[00:01:46.269 --> 00:01:47.530]  So that is ongoing.
[00:01:47.570 --> 00:01:49.591]  We had our reporters there in the press conference.
[00:01:50.792 --> 00:01:57.696]  Joe Biggs literally right next to the state police spokesman.
[00:02:00.978 --> 00:02:04.860]  And they would just ignore their serious questions.
[00:02:05.921 --> 00:02:07.202]  So that's coming up.
[00:02:08.983 --> 00:02:13.706]  The situation is obviously deteriorating quickly, but we need to look at all the other news.
[00:02:14.977 --> 00:02:22.040]  The open borders, the wars the globalists are starting, the destabilization of the Middle East, the ongoing devaluation of the dollar.
[00:02:22.600 --> 00:02:24.261]  We don't have a guest on until the third hour.
[00:02:25.281 --> 00:02:28.822]  Its best-selling author wrote Police State, USA.
[00:02:29.282 --> 00:02:30.463]  We carry and sell the book.
[00:02:30.503 --> 00:02:31.503]  It's a World Net Daily book.
[00:02:32.904 --> 00:02:35.965]  And the book is so informative that I actually learned something from it.
[00:02:36.765 --> 00:02:38.106]  And I don't say that arrogantly.
[00:02:39.147 --> 00:02:54.337]  I'm probably the leading expert when it comes to full-spectrum analysis of how the police state really works, just because I've been studying it, reading the Rand Corporation documents, reading the Pentagon Papers, for almost two decades.
[00:02:55.217 --> 00:02:58.339]  I didn't wake up to this for a couple years on air, so maybe 18 years?
[00:03:00.260 --> 00:03:05.724]  And her book's powerful, because she's a well-known journalist that did a deep
[00:03:07.321 --> 00:03:09.103]  Research on what's currently going on.
[00:03:09.523 --> 00:03:14.087]  So she'll be joining us to discuss the police state that finally people are getting concerned about.
[00:03:14.107 --> 00:03:19.972]  And when we say police state, the slang connotation is that means not liking police.
[00:03:20.052 --> 00:03:23.816]  And that's how they've brainwashed the police that if someone talks about a police state, why?
