[00:00:19.383 --> 00:00:21.164]  Welcome to the InfoWars Nightly News.
[00:00:21.224 --> 00:00:25.247]  It is Friday, September 5th, 2014, and I'm Leigh Ann McAdoo.
[00:00:25.547 --> 00:00:26.528]  Here's what's coming up tonight.
[00:00:29.310 --> 00:00:34.434]  Tonight, NATO sends troops to Ukraine.
[00:00:35.294 --> 00:00:39.817]  Then, a top CIA officer talks Benghazi's stand down.
[00:00:40.718 --> 00:00:44.541]  And a man crosses the border with a flag of a terrorist.
[00:00:45.181 --> 00:00:48.744]  That's next on the InfoWars Nightly News.
[00:00:50.285 --> 00:01:06.815]  While NATO has approved troops on the Russian border, this comes at a time when both sides involved in a conflict have agreed to a ceasefire.
[00:01:07.235 --> 00:01:16.721]  NATO leaders have approved a rapid response force with headquarters in Eastern Europe that they say will send a clear message to any potential aggressor.
[00:01:17.281 --> 00:01:24.969]  Poland, Romania and the Baltic States have offered to host a so-called reception facility for deployment of military equipment.
[00:01:25.370 --> 00:01:37.503]  And British Prime Minister David Cameron vowed to deploy 3,500 troops for Operation Spearhead to deal with challenges in Europe, none of which appear to be ISIS
[00:01:38.604 --> 00:01:43.328]  Which is kind of odd since they just declared UK a hotbed for jihadism.
[00:01:43.868 --> 00:01:48.932]  But while NATO is strategizing, Russia has come up with some military tactics of their own.
[00:01:48.952 --> 00:01:53.336]  A Russian general has called for Russia to revamp its military doctrine.
[00:01:53.596 --> 00:01:54.677]  It was last updated in 2010.
[00:01:56.118 --> 00:01:58.460]  He wants to clearly identify the U.S.
[00:01:58.581 --> 00:02:02.244]  and its NATO allies as Moscow's enemy number one.
[00:02:02.585 --> 00:02:16.598]  And that in itself isn't disturbing, but things get very problematic when the general demands that Russia spell out the conditions under which the country would launch a preemptive nuclear strike against the 28-member military alliance.
[00:02:17.199 --> 00:02:27.305]  Now the 2010 doctrine defines NATO expansion as a threat to Russian national security and reaffirms its right to use nuclear weapons in a defensive posture.
[00:02:27.645 --> 00:02:37.311]  But it stops far short of actually declaring NATO as Moscow's primary adversary and it doesn't actually lay a preemptive nuclear strike scenario out on the table.
[00:02:37.691 --> 00:02:41.734]  So now he's saying, when is it okay to launch nukes?
[00:02:42.134 --> 00:02:55.404]  The general added that a special attention should also be paid to integrating the functions of the newly created air and space defense forces with Russia's land, sea, and air-based nuclear forces.
[00:02:56.044 --> 00:03:07.273]  So while Russia is gearing itself up for preemptive nuclear strikes, NATO and the West, they are surrounding the country with troops and applying more economic sanctions.
[00:03:07.353 --> 00:03:10.175]  So just one way to poke the nuclear bear.
[00:03:10.595 --> 00:03:14.779]  But while things continue to fare poorly for Kiev and its NATO backers,
